SOS_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,3,3,0,0,0,0,0,0,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,0,0,4,0,0,0,0,0,0,4,0,6,5,3,0,32,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0
SOS50,0,0,0,17,157,641,1848,1539,190,205,160,283,142,101,107,5375,0,6,17,95,72,148,1032,729,96,102,127,128,90,6,25,2665,3,41,285,562,607,723,1280,786,140,147,152,186,108,49,61,5138,32,35,71,225,1377,2206,10174,6257,1296,1298,1144,1795,626,75,495,27105,83,506,1259,436,283,883,418,117,12,17,4,10,7,0,137,4177,83,148,247,132,176,214,490,494,77,74,62,53,32,8,59,2366,7,22,42,91,215,130,212,171,17,19,28,34,5,8,33,1046,942,918,745,665,1329,777,1655,840,105,114,145,186,87,32,158,8689,108,525,653,237,101,43,74,138,9,18,0,18,4,6,59,1999,15,28,156,471,1030,1002,1292,949,218,194,233,267,195,59,118,6221,359,269,2228,1946,1884,2681,18894,14034,2935,2390,3505,4203,1452,285,919,57989,44,131,100,282,1123,2829,3839,1855,407,431,456,560,558,62,258,12937,8,4,12,60,678,691,1505,2134
SOS51,0,0,0,0,0,7,60,96,10,12,15,38,6,4,14,264,0,0,0,0,0,6,31,41,8,12,6,9,8,0,3,116,0,4,43,79,60,92,190,107,34,17,27,30,18,3,21,714,5,0,0,3,24,35,244,196,43,56,75,196,39,17,38,966,6,23,62,9,15,10,16,7,0,0,0,0,0,0,6,158,3,9,12,8,9,9,11,17,8,0,4,16,9,9,6,125,0,4,9,17,31,23,76,47,3,14,13,7,13,26,3,292,254,203,125,111,198,93,288,130,26,25,22,36,17,4,51,1579,0,22,26,10,4,4,8,10,0,5,3,0,0,0,4,98,0,0,12,20,15,22,33,50,8,7,3,13,15,0,9,211,38,14,113,69,47,76,756,665,115,122,146,170,74,28,50,2484,10,9,3,9,34,83,223,195,55,48,51,49,45,9,18,849,0,0,0,3,24,0,14,69
SOS52,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,10,6,7,18,13,0,3,3,0,0,0,3,76,0,0,0,0,0,0,18,9,6,0,3,13,0,0,3,56,0,0,9,4,4,5,0,0,0,0,0,0,0,0,4,23,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,4,9,6,9,0,0,0,3,0,43,31,42,25,15,23,21,31,18,3,6,6,7,0,0,7,234,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,3,0,0,0,3,0,0,5,3,0,0,4,18,0,9,19,15,6,3,25,50,11,3,15,17,14,0,8,199,3,4,5,0,4,9,15,8,8,0,3,5,0,0,0,66,0,0,0,0,0,0,0,4
SOS53,0,0,0,0,0,4,10,14,0,0,0,0,0,3,19,56,0,0,0,0,6,3,7,3,0,0,0,0,0,0,6,33,0,0,39,47,53,44,59,37,8,0,9,20,7,0,11,339,0,0,0,5,9,15,84,67,9,17,9,29,3,0,24,261,0,25,55,18,6,15,8,0,0,0,0,0,0,0,7,137,5,4,10,3,0,3,4,0,0,0,0,0,0,0,3,31,0,0,4,4,6,9,4,6,0,0,3,12,9,6,14,90,74,68,70,67,144,80,131,67,15,4,26,24,16,0,24,823,0,12,8,9,5,0,4,0,0,0,0,0,0,0,4,40,0,0,6,3,5,14,19,10,0,0,0,0,0,0,14,76,21,9,61,44,26,23,81,44,9,12,13,9,4,0,45,390,5,12,6,5,12,22,38,30,11,12,17,11,12,0,10,193,0,0,0,0,9,4,7,6
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,4,0,24,0,0,0,0,0,0,0,0,0,0,0,7,6,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,9,3,0,0,0,0,0,8,9,0,5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,7,0,0,0,4,4,0,0,3,30,0,0,0,0,0,3,3,0,0,5,0,4,0,0,5,15,0,0,0,0,0,0,0,0
SOS60,0,0,0,0,0,0,8,49,26,6,7,4,3,0,0,107,0,0,0,3,0,0,81,162,30,47,53,49,13,0,13,453,6,5,22,66,50,68,87,38,12,12,17,20,0,0,0,404,3,15,17,13,45,85,817,1714,748,672,597,467,123,13,104,5421,0,31,66,18,6,13,0,6,0,0,0,0,0,0,3,154,3,3,8,0,10,0,17,8,5,8,12,15,6,0,0,98,0,7,18,13,33,24,10,10,5,4,7,8,0,0,4,138,107,189,110,59,100,51,90,42,11,11,10,20,3,0,24,818,5,77,157,40,18,7,5,18,0,0,5,3,0,0,9,351,0,3,16,24,42,33,91,133,39,45,41,76,46,8,0,591,23,4,43,27,26,63,507,1260,419,433,441,451,145,36,69,3943,3,17,3,9,15,27,77,82,20,23,16,19,10,0,10,324,0,0,0,0,18,19,24,64
SOS61,0,0,0,0,0,4,6,73,31,20,3,25,0,3,0,168,0,0,0,0,0,0,24,43,13,16,13,12,5,0,0,127,4,4,35,46,43,31,69,37,9,14,9,10,6,0,6,320,4,8,10,7,20,41,191,309,137,135,127,133,24,0,18,1169,7,9,12,0,0,0,0,0,0,0,0,0,0,0,3,42,0,3,11,5,0,9,3,15,4,9,9,11,0,0,0,86,0,0,4,6,18,27,17,9,0,0,0,0,0,0,5,92,55,177,95,62,79,25,63,24,3,3,4,9,0,3,22,621,0,14,29,7,4,0,0,0,0,0,0,0,0,0,3,73,0,0,11,10,33,16,33,58,8,9,11,13,6,4,0,201,6,6,25,16,25,49,290,475,183,205,256,216,100,29,50,1929,6,6,6,7,11,12,39,35,14,4,4,26,9,0,0,183,0,0,0,3,7,4,28,113
SOS62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,10,5,10,15,7,5,0,0,0,0,0,3,61,3,0,0,0,6,0,9,16,9,3,10,7,0,0,3,66,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9,9,31,22,10,22,10,17,4,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,5,0,0,14,12,0,5,6,0,0,0,0,65,0,3,0,0,0,4,3,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0
SOS63,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,10,0,3,25,43,40,27,55,27,0,3,0,15,0,0,3,241,0,3,3,0,11,9,41,32,18,17,13,14,6,0,3,176,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,8,3,0,3,0,0,0,0,0,0,0,0,0,0,17,0,0,8,4,8,4,4,3,0,0,0,0,0,0,0,31,44,83,71,45,101,39,78,22,6,0,5,8,5,0,15,516,0,9,13,3,3,0,0,0,0,3,0,0,0,0,5,34,0,0,5,10,4,6,8,9,0,0,3,6,4,0,0,48,4,4,23,8,8,4,22,45,14,32,18,11,6,0,6,196,4,9,8,0,3,3,14,9,4,7,0,4,0,0,0,75,0,0,0,0,0,0,7,10
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
SOS70,0,0,0,0,0,0,18,8,0,0,0,0,3,0,5,27,0,0,0,5,12,19,116,192,43,87,72,59,23,3,3,635,0,7,14,25,22,22,50,50,9,9,4,7,4,0,7,230,0,13,13,7,48,53,367,350,120,123,110,96,40,0,41,1387,0,0,13,0,5,3,0,0,0,0,0,0,0,0,3,26,0,0,3,5,0,0,15,5,5,0,4,0,7,0,0,54,0,5,3,8,48,36,57,52,9,9,19,16,11,0,9,286,23,66,68,32,48,48,100,61,8,8,16,11,3,3,23,511,0,75,262,185,97,104,119,199,17,11,0,5,4,0,53,1134,0,7,9,29,47,41,34,47,15,3,7,20,8,0,8,271,9,13,32,38,68,89,891,1098,299,327,341,370,133,24,68,3788,7,9,6,78,98,193,257,210,62,75,85,75,43,7,24,1230,4,0,0,0,3,5,19,36
SOS71,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,22,8,5,4,3,3,0,0,61,0,0,6,10,12,0,12,10,0,0,4,3,0,4,0,65,0,0,0,0,3,3,38,27,13,20,47,76,12,0,5,248,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,12,0,0,4,5,22,10,41,41,4,13,8,11,0,0,7,182,0,18,12,6,10,16,27,25,0,4,0,6,3,3,3,135,0,4,3,3,0,9,5,0,0,0,0,0,0,0,0,26,0,0,0,0,4,12,6,8,4,8,8,0,0,0,0,44,0,0,3,5,9,18,338,280,111,102,104,111,39,19,16,1156,0,0,0,0,5,8,19,18,9,3,11,14,6,0,4,105,0,0,0,0,3,0,7,4
SOS72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,6,5,0,4,6,3,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,4,4,0,0,24,0,4,0,0,0,0,5,4,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,14,9,3,4,0,3,0,0,45,0,0,0,0,0,6,3,6,4,0,4,4,0,0,0,29,0,0,0,0,0,0,0,0
SOS73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,3,5,4,6,4,0,0,0,4,0,0,0,35,0,0,0,0,0,0,6,6,0,0,0,8,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,3,3,4,5,0,0,0,5,27,10,18,11,10,16,11,31,21,0,0,0,6,3,0,0,126,0,0,5,3,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,4,0,8,12,0,0,0,0,0,0,5,49,0,0,0,7,3,9,17,14,3,4,4,3,0,0,6,76,0,0,0,0,0,0,0,4
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,5,6,0,0,0,0,0,8,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
SOS80,0,0,0,6,35,107,196,260,23,29,32,18,8,11,4,740,0,0,6,16,65,284,766,387,86,104,79,56,61,11,25,1942,0,20,83,194,164,214,285,184,23,48,43,52,46,12,16,1381,17,40,47,99,585,1124,3297,2791,901,1011,875,811,274,33,232,12141,7,137,618,235,113,127,38,33,4,0,6,0,0,0,27,1348,17,13,47,32,37,40,120,112,22,31,33,23,7,5,9,541,4,10,21,56,222,213,288,110,17,21,17,17,19,15,30,1057,368,470,242,154,189,194,280,123,32,28,23,38,10,3,45,2203,27,216,399,156,37,21,23,50,3,5,7,4,5,0,41,1000,10,22,70,181,387,348,335,243,49,51,39,44,50,16,38,1893,28,27,130,217,439,1110,5556,4227,1001,1161,1283,1185,462,97,270,17185,9,31,35,67,121,159,299,203,45,75,85,85,68,15,13,1315,0,0,6,22,123,126,219,332
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,6,4,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0
SOS92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,4,0,0,3,0,0,3,33,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
