SOS_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
SOS69,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,5,0,0,0,0,0,0,9,12,45,34,22,20,10,7,28,5,181
SOS70,280,100,831,462,338,182,109,214,24,2539,4,6,8,12,4,6,0,9,0,56,144,135,113,158,92,32,49,65,24,814,123,118,194,207,160,73,86,117,237,1316,6499,13907,6953,7154,5971,2201,1635,2252,809,47375
SOS71,97,38,230,145,118,60,33,75,9,802,0,4,0,3,6,0,0,4,3,21,30,56,28,58,28,8,12,17,7,238,48,90,83,145,49,31,40,72,139,684,1884,4562,1960,2635,1608,527,407,645,354,14585
SOS72,39,11,64,65,31,16,4,25,7,255,0,0,0,8,0,0,0,0,0,9,4,5,14,12,5,4,0,4,0,55,19,40,35,75,17,21,26,39,29,297,609,1028,510,777,372,115,139,273,65,3896
SOS73,72,31,132,71,75,38,32,55,0,507,0,0,0,0,0,0,4,0,0,13,21,19,21,17,22,6,8,13,3,141,54,50,85,62,48,22,42,82,53,495,1559,1759,1976,1083,1147,305,483,792,173,9282
SOS77,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,6,0,0,0,15,0,40
SOS79,0,0,6,0,0,0,3,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,11,0,0,0,5,0,0,0,12,8,26,44,104,33,42,35,18,16,73,13,378
SOS80,849,321,2262,1036,1139,464,245,450,95,6855,9,13,15,22,25,15,14,13,3,135,848,940,204,346,555,119,109,135,131,3382,386,503,366,355,416,174,143,249,665,3251,37680,72061,17327,17953,25505,6727,3247,5794,3911,190200
SOS82,0,0,3,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,51,94,32,19,30,5,4,11,5,255
SOS83,3,0,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,87,49,46,13,25,5,0,8,4,249
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21,46,19,19,20,11,0,7,0,138
SOS91,6,0,3,5,7,0,5,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,5,5,0,0,0,0,6,13,74,90,95,69,54,4,24,37,7,452
SOS92,13,0,27,15,10,6,4,10,0,73,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,15,3,5,12,10,9,5,0,10,0,58,149,137,163,122,90,47,16,58,12,778
SOS93,3,0,3,3,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,4,13,44,37,37,23,29,10,7,14,5,202
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
