SOS_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS49,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,6,17,47,4,10,5,0,0,89,24,49,61,214,82,93,54,7,0,587,140,262,394,1159,478,513,359,64,11,3377
SOS50,109,793,1078,4122,553,282,193,60,14,7203,0,64,205,379,478,218,75,15,3,1429,131,2889,5463,11770,5906,2728,1275,293,40,30488,6,80,104,1390,687,914,1268,361,315,5122,0,13,44,158,105,86,53,20,3,483,46,746,1486,4560,3794,4702,3920,2452,823,22530,74,906,1699,4700,2400,2426,2080,750,203,15238,154,2038,5147,12220,8177,5375,2956,1263,369,37701,43,493,914,3544,1407,898,782,394,111,8590,43,130,110,2479,268,150,146,30,6,3362,88,898,1361,3365,1424,682,341,61,13,8226,13,73,71,587,289,195,88,46,17,1375,208,932,1040,2818,1133,1125,894,354,90,8594,82,599,1200,5799,3656,3019,1845,507,235,16942,19,171,400,1316,1003,1096,905,564,191,5661,30,306,1273,3708,2224,1749,835,257,68,10442,479,4725,7455,31028,11544,9641,7092,4126,1435,77528,3963,8771,9564,30132,12035,9877,7732,6153,4261,92480,125841,262039,246891,593820,263686,229678,182320,99540,39936,2043762
SOS51,7,54,27,198,23,20,7,0,4,354,5,31,50,114,100,42,21,0,0,365,48,574,774,2369,1051,519,211,36,3,5582,0,0,8,85,56,43,59,36,42,322,0,0,3,34,14,17,5,0,0,74,0,48,86,388,307,537,480,309,87,2250,7,26,41,154,89,87,66,22,3,495,34,360,598,1596,1145,668,362,158,48,4963,5,45,26,223,76,35,21,10,0,449,8,8,12,417,4,6,3,0,0,467,15,190,184,533,270,144,41,0,4,1381,0,0,0,31,11,8,0,3,0,56,9,66,60,331,160,179,169,67,11,1057,4,42,43,338,106,68,36,12,0,643,0,10,27,123,99,155,109,82,26,629,6,65,160,556,361,296,153,34,7,1624,55,303,346,2189,868,812,619,387,139,5719,1767,4406,3558,10157,4663,4049,2770,1738,837,33947,24762,54476,41628,102707,50132,46811,36993,19669,7350,384526
SOS52,0,0,0,0,0,0,0,0,0,3,0,0,0,7,11,8,0,0,0,25,4,82,72,272,113,56,22,6,0,624,0,0,0,7,4,6,7,0,3,22,0,0,0,0,0,3,3,0,0,9,0,0,3,44,37,79,74,46,11,298,0,0,0,8,14,4,3,0,0,32,3,30,34,127,87,68,34,16,8,414,0,0,0,15,4,3,0,5,0,26,0,0,0,64,0,0,0,0,0,62,4,14,7,49,25,13,3,3,0,119,0,0,0,0,0,0,0,0,0,0,0,3,4,29,26,27,26,5,4,124,0,0,6,31,12,8,3,0,0,61,0,0,0,17,21,23,22,7,5,93,0,0,3,31,32,27,16,6,0,111,6,14,37,250,84,101,108,67,15,682,326,757,615,1621,957,1066,777,480,170,6767,3630,7669,6047,13801,7596,8621,7322,3685,1134,59508
SOS53,0,3,5,36,8,3,5,0,0,58,0,0,4,19,49,25,13,0,0,110,4,62,74,352,148,97,25,8,0,767,0,0,0,24,22,11,42,10,3,124,0,0,0,15,5,0,0,0,0,20,0,10,31,159,190,313,219,100,14,1028,0,5,13,45,53,56,36,14,0,223,14,85,165,497,439,301,168,56,14,1752,0,0,4,35,11,11,7,7,0,76,0,0,6,84,5,7,0,0,0,97,7,31,20,92,67,29,13,0,0,264,0,0,0,10,7,4,0,0,0,14,3,27,32,116,71,127,111,36,8,541,3,7,23,160,108,70,43,3,0,418,0,4,5,41,40,84,70,25,5,277,0,4,32,150,114,138,84,15,3,544,4,31,116,881,383,588,413,182,38,2643,462,1529,1841,5475,3100,2888,1990,867,164,18313,7220,19368,16650,38177,25420,27127,19970,8074,1649,163652
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,0,0,0,0,21,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,0,0,0,16,0,0,21,119,47,23,3,0,0,215,0,0,42,284,109,62,18,0,0,514
SOS59,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,18,6,0,0,0,0,35,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,13,10,0,0,34,0,0,0,3,0,0,0,0,0,11,0,3,5,25,8,5,4,0,0,55,0,0,0,0,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,13,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,25,10,5,7,0,0,43,0,0,0,13,5,0,0,0,0,11,0,0,0,4,4,0,5,3,0,12,0,0,0,0,4,0,0,0,0,15,3,0,22,105,15,20,9,3,0,182,52,62,173,707,358,278,168,42,17,1851,300,473,820,3053,1313,1144,758,155,30,8055
SOS60,24,39,55,654,22,8,8,0,0,808,0,0,8,23,57,21,8,3,0,124,7,81,106,496,158,105,80,16,3,1054,0,0,4,65,32,47,75,64,27,314,0,0,0,8,10,6,3,0,0,18,0,24,24,93,108,139,175,151,67,784,3,20,52,123,41,28,27,10,0,304,5,55,81,295,162,114,118,48,23,899,8,32,60,583,44,27,27,8,5,789,4,13,11,317,11,5,0,0,0,365,4,49,65,199,70,26,17,4,0,427,0,0,0,17,9,10,3,6,0,45,22,71,78,266,126,130,118,49,13,873,3,64,156,658,42,32,19,3,0,978,0,3,5,23,23,42,45,38,17,200,0,14,23,59,43,21,18,4,3,177,45,263,304,1665,515,454,385,267,132,4035,334,847,913,2409,909,973,995,792,411,8578,10218,22108,22907,59360,23007,22706,20305,11961,4881,197451
SOS61,18,36,34,404,14,0,0,3,0,518,0,0,0,26,50,17,17,0,0,120,6,68,80,415,165,136,114,29,0,1012,0,0,0,21,21,37,39,25,18,163,0,0,9,18,4,3,5,4,0,38,0,9,16,70,78,189,257,211,72,907,0,19,15,62,25,19,19,5,3,162,8,26,58,194,127,85,81,42,17,633,5,33,43,301,54,17,7,7,0,467,0,12,6,215,8,0,3,0,0,249,6,27,27,116,65,35,12,3,0,295,0,0,0,6,8,7,6,0,0,22,5,32,46,160,95,76,102,43,12,561,5,29,52,199,23,20,0,0,0,334,0,0,5,17,21,39,50,57,19,216,0,3,9,31,33,17,13,12,4,120,28,164,211,1060,420,343,395,291,95,3008,473,1085,1231,2776,1400,1567,1730,1384,564,12213,11547,25824,24686,53805,26444,28412,26785,16431,6236,220162
SOS62,0,0,0,12,0,0,0,0,0,16,0,0,0,5,10,3,5,0,0,32,0,3,3,45,18,10,13,11,0,102,0,0,0,9,6,0,3,4,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,5,12,45,57,29,8,162,0,4,7,4,3,7,5,0,0,31,0,12,6,37,29,18,22,7,0,137,0,3,0,16,0,0,4,0,0,30,0,0,0,22,0,0,0,0,0,24,0,7,0,10,11,5,3,0,0,35,0,0,0,0,4,0,3,0,0,13,0,11,3,36,17,17,37,8,0,130,0,0,0,6,0,0,0,0,0,13,0,0,4,0,5,14,8,8,4,46,0,0,0,5,10,4,0,0,0,27,0,4,15,87,53,74,66,43,10,350,71,168,158,407,299,395,393,276,105,2271,1412,3421,2699,6376,3990,5201,4914,2475,703,31196
SOS63,0,0,7,118,0,0,3,0,0,126,0,0,0,8,35,28,6,4,0,79,0,24,25,102,47,36,26,12,0,262,0,0,0,17,7,15,29,8,0,83,0,0,0,9,0,5,0,0,0,10,0,5,9,36,52,115,117,69,14,418,0,8,3,16,23,11,13,0,0,78,4,15,22,104,92,98,71,17,3,423,3,3,8,37,4,10,7,0,4,73,0,5,0,45,0,0,0,0,0,55,3,12,4,47,24,12,8,0,0,110,0,0,0,3,4,5,0,0,0,13,3,24,29,109,65,108,104,42,4,491,0,3,3,48,7,0,3,0,0,62,0,5,0,20,19,37,40,24,4,149,0,0,0,7,27,18,19,5,0,78,9,31,47,346,168,228,223,112,26,1194,258,692,619,1668,1132,1466,1257,541,144,7773,5065,12915,10581,22635,15552,18867,14821,5751,1169,107361
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,8,7,0,0,0,0,19
SOS69,0,0,0,6,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,25,0,12,34,49,29,49,66,6,0,242,42,92,215,426,203,199,163,31,3,1377
SOS70,21,51,50,419,41,18,0,0,0,596,0,19,29,108,129,56,32,3,3,377,24,426,764,2165,923,494,273,73,19,5162,0,0,3,45,12,9,15,3,0,92,0,0,3,16,4,4,6,0,0,32,0,7,16,94,62,85,56,44,8,379,7,24,14,80,40,44,35,26,0,266,11,67,80,244,113,58,18,13,0,599,10,93,78,616,111,64,48,30,8,1056,14,28,7,332,13,11,4,0,0,405,9,64,107,332,147,99,40,17,4,814,0,0,0,14,6,9,3,3,0,37,12,41,31,153,54,44,33,13,5,381,7,77,121,534,130,91,57,11,7,1020,0,3,7,36,14,11,17,6,5,102,0,16,52,217,68,42,7,0,0,404,47,333,332,1541,707,560,439,238,76,4273,561,1268,1220,3684,1289,969,604,249,105,9942,8542,16217,14774,43607,15409,12042,7784,3088,749,122207
SOS71,0,3,4,67,4,0,0,0,0,81,0,0,6,32,28,20,3,0,0,96,14,69,91,430,153,97,51,8,5,915,0,0,0,9,5,5,6,0,0,26,0,0,5,20,7,0,5,0,0,34,0,4,0,26,20,21,13,12,0,100,0,0,3,7,7,5,0,0,0,24,0,18,30,88,47,32,9,3,0,229,0,11,8,107,20,7,7,0,0,168,0,0,0,64,3,4,0,0,0,81,0,5,12,58,22,11,0,0,0,115,0,0,0,3,0,0,0,0,0,0,27,104,50,310,91,92,21,4,0,701,0,7,13,58,24,17,0,0,0,123,0,0,4,13,3,5,0,0,0,31,0,7,32,106,61,27,8,0,0,247,7,51,73,471,200,100,58,21,8,992,204,433,401,1400,478,431,231,95,22,3692,3614,7385,6360,16646,5898,4924,2535,852,231,48456
SOS72,0,0,0,0,0,0,0,0,0,0,0,3,3,14,8,13,0,0,0,40,0,14,9,55,16,10,0,0,0,103,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,3,5,6,3,0,0,19,0,0,0,5,0,0,0,0,0,8,0,0,0,15,3,12,0,0,0,32,0,0,0,17,0,0,0,0,0,21,0,0,0,7,0,0,0,0,0,8,0,0,3,11,12,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,3,0,0,18,0,0,0,6,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,5,4,0,0,16,0,11,9,63,37,18,18,5,0,159,92,140,145,501,222,212,132,22,0,1467,1900,4073,3995,7543,2892,2248,1152,311,48,24165
SOS73,0,0,0,8,0,0,0,0,0,8,0,0,9,11,34,15,9,0,0,69,5,6,11,60,44,41,24,6,0,203,0,0,0,3,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,20,16,8,0,70,0,0,0,0,7,3,0,0,0,9,0,3,5,23,17,15,12,0,0,80,0,0,0,3,0,4,0,0,0,11,0,5,3,4,0,4,0,0,0,15,0,16,16,47,22,21,11,5,0,147,0,0,0,0,0,0,0,0,0,0,0,4,7,25,3,18,19,6,4,82,0,6,21,73,43,37,15,0,0,193,0,0,6,7,0,6,3,0,0,24,0,0,6,18,10,12,8,0,0,60,3,3,20,180,43,52,52,26,3,382,148,393,563,1271,722,637,394,127,10,4263,1998,4716,4556,9635,5154,4426,2704,856,123,34172
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,3,0,0,0,21,0,0,15,44,19,17,0,0,0,99
SOS79,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,56,9,10,6,3,0,83,29,40,86,326,184,167,71,9,0,904,164,285,276,1232,591,579,318,49,7,3500
SOS80,31,273,285,1841,292,119,47,10,0,2904,0,7,35,143,278,157,61,16,5,702,21,313,519,2417,837,540,303,82,16,5051,0,20,11,247,143,172,251,110,50,1009,0,19,48,83,50,58,16,9,0,294,5,30,78,261,240,381,376,316,123,1810,13,110,172,393,216,129,95,28,12,1166,19,144,351,746,522,252,198,71,28,2333,9,148,259,1337,534,488,344,139,37,3298,4,29,52,450,74,44,30,7,4,690,17,119,214,768,241,145,88,26,4,1616,3,15,13,117,66,37,34,6,0,293,111,405,483,1126,481,325,285,138,15,3365,19,143,335,1473,791,754,398,119,52,4077,0,12,17,97,57,84,85,75,24,447,0,27,88,278,155,86,35,12,0,685,130,1031,1388,6533,2423,1995,1685,1129,462,16777,727,1610,2767,5579,1754,1464,1327,962,520,16711,26592,56079,60266,146598,55949,45186,35529,19303,7174,452670
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,7,0,0,4,3,0,0,5,3,0,24,25,103,75,145,100,73,58,30,6,615
SOS83,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,3,0,0,10,6,0,29,16,17,12,7,0,0,88,41,49,121,175,75,72,52,9,5,605
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,3,0,0,0,20,0,0,9,40,20,18,14,0,0,110,19,25,148,215,77,78,34,10,4,605
SOS91,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,6,10,0,0,34,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,8,12,25,16,98,48,30,30,4,0,257,81,199,99,404,209,181,150,26,4,1355
SOS92,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,4,0,3,4,14,7,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,11,6,6,10,4,0,39,11,34,27,96,40,61,35,28,3,333,119,311,223,512,296,471,314,162,48,2450
SOS93,0,0,0,8,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,3,0,5,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,3,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,10,73,11,0,3,0,0,102,8,17,15,26,22,27,18,13,0,144,41,78,87,299,158,119,119,66,15,976
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,11
