SOS_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SOS60,382,586,969,152,247,406,206,759,965,252,1573,1829,883,4281,5165,1143,2791,3935,2828,1983,4813,2910,2245,5154,3619,2390,6006,4299,1738,6032,3111,1616,4729,3211,1130,4344,6726,1670,8391,4955,334,5290,3865,438,4305,2571,130,2706,6192,604,6792,3184,544,3726,420,719,1135,50921,25767,76686
SOS61,428,741,1169,232,325,554,267,1129,1391,426,2444,2873,1355,7052,8408,1620,4082,5703,5666,2286,7953,4505,2741,7247,4754,2678,7435,5605,1757,7366,3822,1375,5194,3713,976,4691,7543,1192,8731,4835,207,5042,3386,226,3616,1924,70,1995,3580,393,3977,3985,366,4349,709,1246,1963,58353,31293,89650
SOS62,62,123,188,44,44,90,44,160,205,48,355,407,199,954,1152,247,490,741,860,324,1188,667,343,1012,720,329,1049,731,188,911,531,181,711,527,133,663,936,156,1089,760,15,778,495,21,514,264,0,263,535,44,579,715,37,752,113,162,275,8510,4070,12580
SOS63,273,273,554,164,140,305,143,367,510,186,792,978,676,2102,2782,671,936,1602,2359,730,3086,1959,962,2921,2259,902,3159,2543,543,3090,1792,447,2237,1928,336,2262,3773,398,4169,2745,50,2798,1913,94,2009,1152,15,1170,2407,130,2538,2545,105,2648,343,339,681,29836,9656,39495
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,165,317,485,51,89,142,104,248,352,158,648,805,308,958,1265,381,610,993,761,559,1323,756,875,1630,1170,1075,2245,1459,1102,2561,1315,1058,2375,1502,930,2423,3992,1691,5686,3240,294,3529,2838,415,3258,2104,152,2260,5463,662,6117,3185,570,3750,234,297,525,29176,12554,41727
SOS71,45,80,126,88,47,142,146,121,269,111,153,264,227,281,506,181,204,379,338,177,517,368,274,643,520,395,916,517,425,940,451,395,843,465,323,783,1135,586,1721,1035,75,1110,907,154,1057,613,51,665,1478,210,1686,1070,181,1256,143,137,280,9823,4273,14097
SOS72,11,21,31,48,11,63,107,77,181,51,66,113,267,88,351,148,52,196,305,95,400,330,107,437,298,155,454,367,126,492,250,132,384,222,103,329,389,209,599,268,13,277,215,39,254,131,5,135,262,46,311,449,24,468,110,48,150,4211,1421,5629
SOS73,52,75,132,44,35,78,64,83,148,45,119,166,163,235,396,105,135,244,318,109,425,300,169,470,320,226,543,383,165,544,262,168,426,305,120,421,691,219,902,594,18,609,586,42,627,462,13,480,1189,55,1242,966,54,1022,206,125,329,7037,2170,9202
