SOS_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SOS62,49,21,12,4,0,0,90,32,0,13,5,5,0,60,59,28,21,9,12,0,129,61,28,20,16,13,0,140,107,78,44,25,17,0,276,126,134,49,25,27,0,361,123,140,63,24,24,0,384,128,183,47,30,13,4,410,111,157,44,20,9,6,350,79,142,38,22,13,0,290,43,74,15,7,4,0,140,68,96,32,11,5,0,209,23,43,10,6,0,0,80,14,23,8,0,0,0,43,32,49,19,0,0,0,103,49,63,16,5,3,0,132,21,23,6,0,0,0,52,8,5,0,0,0,0,10,79,57,27,12,16,0,184,1194,1354,487,219,172,19,3448
SOS63,245,116,76,13,28,4,485,141,26,25,7,16,4,223,198,98,80,24,24,0,422,168,114,83,26,38,0,434,293,204,158,60,58,7,780,336,341,181,70,61,12,999,431,459,208,93,73,3,1265,453,572,247,109,66,9,1462,341,554,185,71,59,4,1221,369,577,156,67,38,5,1203,220,370,95,29,19,0,742,326,545,172,55,39,4,1139,136,197,51,11,4,0,400,84,120,27,11,0,0,247,153,289,67,18,11,3,538,190,276,85,19,15,0,582,72,74,25,5,3,0,172,65,68,33,3,4,3,172,240,193,106,51,43,0,633,4461,5189,2057,753,612,56,13124
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,101,60,67,22,24,5,271,18,10,7,3,0,0,48,41,24,18,9,8,0,106,36,28,19,9,8,0,94,82,61,37,21,17,10,222,93,94,44,23,46,10,304,177,150,74,38,40,10,483,202,243,83,72,45,9,652,254,272,62,75,69,9,746,305,394,110,92,71,12,987,253,420,81,76,46,7,880,376,694,181,112,73,18,1459,207,391,81,53,32,7,774,116,304,65,26,17,4,529,333,676,145,65,53,8,1274,351,698,225,69,51,9,1394,145,225,103,17,19,9,514,92,191,54,14,9,4,380,168,211,84,34,51,5,557,3355,5151,1527,835,679,126,11681
SOS71,23,19,11,0,6,0,54,3,0,4,0,0,0,14,14,14,9,0,0,0,39,11,7,0,0,3,0,24,32,7,3,17,0,0,63,46,41,16,11,15,0,135,49,55,25,16,10,3,163,68,90,26,24,19,4,227,105,114,29,30,12,4,295,106,167,35,25,20,4,354,76,133,29,15,21,0,272,119,172,42,24,24,0,377,46,70,20,7,12,0,153,24,52,14,3,0,0,92,57,104,39,17,13,0,228,61,93,34,21,7,4,213,18,32,7,0,3,0,61,19,21,6,3,0,0,43,39,44,16,12,14,0,120,912,1228,349,222,183,30,2926
SOS72,0,5,0,0,4,0,6,3,0,0,0,0,0,3,6,3,0,0,0,0,4,0,3,0,0,0,0,7,0,6,0,0,0,0,7,6,10,0,0,4,0,15,8,6,9,0,4,0,20,10,12,0,0,0,0,26,6,3,4,0,0,0,20,8,0,3,3,5,0,15,13,0,0,0,0,0,14,19,20,0,0,3,0,34,7,4,0,3,0,0,19,8,8,0,3,0,0,18,11,23,3,0,0,0,39,12,28,10,0,0,0,52,9,4,7,3,4,0,25,3,4,3,0,0,0,18,10,6,4,0,4,0,27,130,147,52,23,23,4,372
SOS73,37,14,9,6,3,0,67,8,5,5,0,0,0,21,7,0,6,0,4,0,19,16,17,0,3,5,0,34,27,9,11,0,4,0,57,41,20,9,6,0,0,74,48,38,26,16,4,0,141,57,54,20,10,10,0,145,56,48,15,9,7,0,139,60,70,30,12,9,0,175,64,66,20,5,11,0,172,107,131,58,19,17,3,330,60,95,22,4,8,0,189,47,67,14,9,8,0,138,101,188,51,22,8,0,373,136,238,84,22,13,0,495,47,85,31,10,5,0,178,43,50,17,6,6,0,122,62,67,32,11,9,3,189,1042,1265,454,158,120,14,3058
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,637,499,334,64,100,29,1671,161,88,106,16,32,0,402,232,110,136,37,52,6,572,187,135,101,37,61,4,524,343,221,197,70,92,16,927,406,371,227,100,137,20,1262,677,641,357,146,203,26,2057,838,909,378,205,224,38,2593,1064,1228,392,313,241,47,3281,1221,1736,494,341,320,47,4159,1106,1796,398,299,239,38,3883,1732,3058,794,419,329,46,6377,953,1870,367,220,143,21,3578,740,1545,253,134,73,13,2763,1400,3390,714,295,190,33,6021,1736,4503,1090,301,205,29,7866,654,1682,502,104,71,11,3022,554,1317,426,66,56,0,2423,523,994,350,135,146,29,2182,15173,26099,7626,3303,2910,456,55575
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,0,0,0,3,0,5,0,0,0,0,8,0,5,0,0,0,0,9,0,5,0,0,0,0,7,3,3,0,0,0,0,7,3,5,0,0,0,0,11,0,4,0,0,0,0,5,3,5,6,0,0,0,9,5,15,7,0,0,0,18,0,5,4,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,24,50,14,4,5,0,99
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,4,15,10,5,0,0,0,32
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,7,3,4,0,0,0,0,10,0,0,0,0,0,0,3,0,5,0,0,0,0,3,0,0,0,0,0,0,3,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,4,4,3,0,53
SOS92,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,9,9,0,0,0,0,0,12,3,6,5,0,0,0,12,0,6,0,0,0,0,15,3,9,5,0,0,0,12,8,3,0,0,0,0,13,3,0,0,0,0,0,6,8,8,3,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,4,5,0,0,0,0,0,5,0,3,0,0,0,0,3,5,0,4,0,0,0,11,55,44,16,12,4,4,130
SOS93,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,10,0,0,0,31
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
