SOS_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,6,6,4,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS50,9,134,192,722,392,271,88,28,10,1849,27,450,452,4279,967,826,781,467,143,8392,5,107,175,1385,570,955,2163,1871,1046,8285,52,163,146,458,226,87,70,29,9,1246,25,170,231,1593,360,188,67,21,6,2670,0,23,36,157,132,101,111,43,3,602,51,668,1553,5090,1943,1706,1914,886,188,13998,0,0,6,30,22,64,137,96,24,380,0,58,238,1056,288,335,258,114,45,2397,10,74,272,1354,712,725,601,277,107,4130,8,54,353,1571,121,31,8,0,0,2154,12,81,123,416,381,357,947,751,256,3315,222,1889,2726,10272,5330,5148,3062,906,143,29697,0,21,30,370,272,300,388,170,65,1627,70,395,802,2543,342,155,92,33,8,4440,0,33,95,162,236,99,34,0,4,658,63,1504,2707,4637,2686,893,240,57,9,12793,6,44,53,590,290,373,578,158,79,2163,0,6,26,105,61,43,28,7,0,280,26,408,812,2301,1939,2333,1892,1193,321,11228
SOS51,0,7,0,19,6,0,0,0,0,40,3,26,34,318,79,63,76,41,22,666,4,5,3,125,33,45,153,166,109,639,0,11,6,23,8,0,6,5,0,68,0,9,16,114,12,4,0,0,0,165,0,0,6,12,5,11,9,4,0,45,0,10,24,163,51,48,39,15,0,358,0,0,0,0,5,11,11,16,0,44,0,0,8,48,14,15,6,5,3,108,0,11,18,83,42,25,19,4,7,199,0,8,10,89,6,0,0,0,0,111,0,6,12,61,49,72,216,129,37,586,44,350,488,1996,1252,1281,714,213,28,6369,0,0,0,3,0,10,12,4,4,36,3,30,18,117,14,18,4,0,5,204,7,15,23,59,49,28,10,0,0,190,23,283,399,964,472,156,25,5,0,2325,0,0,0,28,19,17,25,24,10,128,0,0,0,17,13,6,0,0,0,39,0,17,46,183,152,270,241,149,36,1092
SOS52,0,0,0,0,0,0,0,0,0,6,0,3,5,40,3,6,8,6,0,83,0,0,0,10,0,9,24,13,11,72,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,7,12,0,7,3,4,0,37,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,6,6,0,0,6,0,0,0,6,0,0,0,0,0,12,0,0,4,9,6,16,30,30,5,100,0,19,32,210,166,193,136,41,5,801,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,9,0,48,42,119,50,8,0,0,0,264,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,4,0,0,4,0,0,4,15,21,40,34,23,9,143
SOS53,0,0,0,20,3,0,0,0,0,32,0,0,7,110,45,36,46,28,11,286,0,0,8,60,10,55,159,93,28,408,0,0,5,5,0,7,3,0,0,20,0,0,6,15,3,3,0,0,0,32,0,0,0,5,8,0,0,0,0,17,0,10,14,69,36,29,25,4,0,174,0,0,0,0,0,0,17,11,0,31,0,0,0,16,11,3,9,0,0,40,0,0,3,15,7,10,11,0,0,46,0,0,0,11,0,0,0,0,0,16,0,0,9,34,34,62,124,77,9,350,7,44,122,685,545,650,393,85,4,2531,0,0,0,3,0,7,4,3,0,22,0,0,6,26,0,0,3,0,0,36,0,0,3,16,29,15,4,0,0,66,0,22,43,189,66,27,0,0,0,359,0,0,0,12,12,11,21,0,5,59,0,0,0,10,5,0,0,0,0,20,0,0,9,73,91,147,107,52,11,499
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,5,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,14,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,13
SOS59,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,7,0,16,0,0,3,11,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,8,0,0,0,6,0,0,0,0,0,4,0,0,0,6,0,0,5,0,0,12,5,5,10,50,27,32,16,9,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,4,0,0,16
SOS60,0,0,0,12,4,6,0,0,0,27,0,6,11,43,18,18,24,16,3,147,0,3,0,35,12,24,66,58,43,248,4,11,16,28,12,5,5,0,0,74,4,21,17,135,11,21,4,3,0,224,0,0,0,18,5,4,9,0,0,42,0,5,70,171,24,32,29,11,5,347,0,0,0,0,4,4,6,0,6,20,0,0,4,19,6,0,0,0,0,26,0,0,10,20,8,7,9,0,0,55,9,68,242,1850,25,5,0,0,0,2202,0,4,8,27,21,28,95,89,25,293,3,34,49,224,157,154,122,36,6,791,0,0,0,0,0,4,0,0,0,4,13,28,32,469,14,3,0,0,0,560,0,0,0,6,19,6,0,0,0,42,6,45,52,177,49,16,13,3,0,364,0,0,3,29,7,15,32,18,7,121,0,0,0,8,6,6,0,0,0,15,0,9,5,45,69,78,94,61,30,395
SOS61,0,0,0,13,0,0,0,0,0,21,0,4,3,20,18,12,29,15,13,113,0,3,0,18,5,23,35,38,27,152,0,5,4,7,4,0,3,0,0,28,0,11,11,58,8,5,4,0,0,98,0,0,0,5,0,12,3,0,0,18,7,16,45,89,25,15,16,7,0,216,0,0,0,4,0,5,9,7,3,29,0,0,0,10,0,7,0,0,0,17,0,12,32,32,25,6,0,0,0,103,4,64,130,783,11,0,0,0,6,1002,0,0,0,35,35,45,150,149,54,468,3,33,48,219,192,206,185,74,14,982,0,0,0,0,0,0,0,0,0,4,4,18,18,318,7,5,0,0,0,370,0,0,0,23,16,8,5,0,0,50,6,31,34,95,26,15,8,3,0,219,0,0,0,9,8,15,16,14,4,68,0,0,8,12,6,4,0,0,0,24,0,9,6,39,40,88,120,100,34,434
SOS62,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,6,0,24,0,0,0,5,0,9,8,3,0,28,0,0,0,0,4,0,0,0,0,9,0,0,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,55,0,0,0,0,3,10,24,27,3,63,0,4,3,28,31,55,51,9,5,190,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,11,0,0,0,0,3,5,7,0,0,15,0,3,3,13,8,0,0,0,0,27,0,0,0,0,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,24,29,19,5,90
SOS63,0,0,0,0,0,0,0,0,0,3,0,0,5,13,13,20,19,4,4,83,0,0,0,11,8,8,23,11,3,71,0,0,0,7,3,3,0,0,0,10,0,0,4,4,3,9,0,0,0,24,0,0,0,0,0,0,0,0,0,6,0,0,0,13,7,7,7,0,0,34,0,0,0,0,3,7,12,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,67,0,0,0,0,0,83,0,0,6,25,19,32,87,57,5,239,0,23,30,145,159,189,137,64,9,747,0,0,0,0,0,0,0,0,0,5,0,0,0,104,0,0,0,0,0,105,0,0,0,8,15,15,5,5,0,46,0,12,9,16,4,5,4,0,0,48,0,0,0,3,3,12,11,4,0,37,0,0,5,4,0,0,0,0,0,6,0,0,8,17,29,57,69,41,13,239
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
SOS70,0,0,5,3,6,0,0,0,0,7,0,15,14,175,19,17,21,14,0,274,0,8,3,71,20,23,40,29,13,199,0,8,3,29,3,5,0,0,0,55,3,15,11,81,17,8,0,0,0,133,0,0,0,21,0,3,0,0,0,25,4,15,20,100,48,34,34,26,3,276,0,0,0,0,0,0,8,0,0,13,0,5,0,23,3,5,0,0,0,40,0,4,4,31,23,7,11,3,0,79,0,33,220,1075,34,10,0,0,0,1374,0,0,0,15,13,11,31,11,3,86,10,53,75,287,208,250,165,43,3,1104,0,0,0,0,0,0,0,0,0,3,11,25,26,300,19,10,3,0,0,392,0,4,9,50,55,22,8,4,3,158,16,209,400,837,418,171,69,14,4,2139,0,0,0,20,5,5,7,6,0,34,0,0,3,5,4,3,3,0,0,16,0,5,12,47,25,46,30,21,4,188
SOS71,0,0,0,5,9,5,0,0,0,21,0,0,0,36,7,5,10,3,0,61,0,0,0,16,0,0,8,9,5,47,0,0,0,8,0,0,0,0,0,12,0,0,0,16,0,0,0,0,0,21,0,0,0,0,0,4,0,0,0,3,0,0,0,24,0,4,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,11,0,0,0,4,0,0,0,0,0,6,5,5,16,195,5,0,3,0,0,224,0,0,0,6,3,3,3,3,5,27,5,42,53,202,74,102,65,16,0,556,0,0,0,0,0,0,0,0,0,5,0,0,0,46,0,0,0,0,0,52,0,0,0,11,9,10,0,0,0,37,4,34,59,165,59,32,9,3,0,361,0,0,0,4,3,4,0,0,0,9,0,0,5,9,0,3,0,0,0,18,0,0,0,11,9,8,8,11,0,47
SOS72,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,17,0,0,0,0,0,20,0,0,0,0,0,0,3,0,0,8,0,0,5,33,25,33,18,6,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,6,0,0,0,22,0,6,4,17,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,4,0,0,0,16
SOS73,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,12,9,0,33,0,0,0,5,0,4,8,5,0,27,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,5,4,0,0,27,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,7,0,0,0,3,0,6,14,16,5,46,0,4,8,58,54,72,60,22,0,275,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,6,8,9,0,0,0,24,0,5,0,22,12,6,3,0,0,49,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13,14,4,0,38
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,12,4,7,12,4,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SOS80,0,28,60,160,69,48,27,9,0,396,0,39,25,162,57,54,58,55,17,464,4,10,16,132,82,140,265,207,107,953,7,45,57,61,32,12,21,0,0,236,13,50,121,727,143,66,32,11,4,1162,0,8,15,79,60,29,38,18,3,248,9,56,158,466,200,202,124,56,17,1282,0,0,0,8,8,18,52,34,4,123,0,9,19,81,20,26,8,3,3,169,0,0,25,128,75,40,28,22,4,322,3,38,470,2451,61,8,15,5,0,3056,8,17,15,52,52,59,136,89,50,471,18,149,305,853,480,420,257,130,33,2647,0,0,11,63,28,47,60,17,6,224,24,140,161,1053,184,77,26,10,0,1666,0,5,17,60,150,68,19,6,0,326,10,155,252,978,337,151,70,19,3,1982,0,6,7,105,66,68,118,45,12,430,0,15,23,44,20,28,8,9,0,149,0,15,42,145,127,203,199,142,50,923
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,23,19,12,48,10,4,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,18,21,42,12,8,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS93,0,0,0,13,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,9,9,9,12,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,5,4,9,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
