SOS_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,12
SOS69,0,0,0,0,0,3,0,0,0,8,0,0,0,3,6,9,7,0,0,23,0,42,21,28,23,19,6,0,0,145,0,0,0,0,0,0,0,0,0,10,0,6,6,11,16,19,9,0,0,59,49,34,49,27,21,28,19,4,0,232,5,19,11,24,18,31,28,4,0,136,61,108,92,97,78,98,72,13,4,616,0,0,8,16,26,38,21,9,3,120,7,22,29,17,18,15,9,0,0,121,0,0,0,3,6,10,6,3,0,37,0,0,0,0,0,4,0,0,0,5,0,0,0,9,18,8,14,0,0,53,0,0,0,0,7,7,17,3,3,45,0,0,0,0,3,8,0,0,0,18,0,0,0,3,4,11,11,0,0,38,4,69,51,51,53,34,16,0,0,288,0,0,0,5,4,3,5,0,0,12,4,12,8,21,32,23,9,0,0,117,102,90,107,64,70,51,40,7,0,529
SOS70,10,10,27,50,65,90,98,68,27,435,23,7,14,20,94,160,193,129,33,681,158,726,1124,914,625,475,240,85,38,4375,4,0,9,15,45,67,70,53,23,287,370,336,613,737,664,655,533,241,94,4251,9920,4874,8633,6580,4455,2840,1393,378,54,39126,1244,757,1225,990,745,572,332,161,62,6087,12100,6984,12239,9996,7592,5936,3797,1566,414,60623,14,72,269,523,1054,1555,1621,858,229,6209,1063,830,1475,1203,992,843,587,217,45,7261,17,21,67,157,353,538,664,345,55,2215,0,6,0,10,10,40,93,166,120,445,19,81,203,443,798,1198,1171,525,111,4549,45,44,85,139,360,693,869,503,180,2929,28,27,50,109,126,172,205,146,47,905,57,21,40,56,161,341,396,261,60,1398,343,1087,1646,1441,1126,852,450,160,49,7160,5,0,9,32,83,155,203,137,40,667,982,650,1012,1245,1226,1240,969,446,160,7930,19881,10584,17164,13117,9087,5794,2852,786,110,79374
SOS71,0,15,30,56,106,94,69,28,17,415,10,5,8,21,47,64,57,35,11,264,34,217,377,263,227,162,73,26,9,1392,4,0,3,14,29,32,27,24,9,139,155,105,244,254,294,285,167,81,39,1612,4290,2268,3432,2463,1671,1068,412,96,20,15722,583,287,509,386,310,249,123,49,16,2512,5272,3104,4897,3843,3102,2501,1234,445,156,24553,10,32,77,149,274,472,406,206,78,1709,368,270,495,488,457,440,226,85,26,2853,9,9,22,35,108,196,160,83,19,633,0,0,0,4,8,29,67,66,54,227,20,55,129,290,518,628,433,164,45,2294,140,180,142,201,290,385,324,168,47,1872,21,24,46,78,149,162,127,49,26,683,32,15,22,43,75,124,118,66,24,518,98,345,597,479,402,295,141,49,13,2422,4,0,7,25,46,82,67,46,13,291,408,239,382,428,510,537,309,138,55,3009,8787,4739,6566,4949,3295,2188,877,196,30,31632
SOS72,4,7,19,19,32,52,27,14,3,174,8,0,3,18,24,32,27,14,0,123,9,52,78,73,66,49,27,9,0,371,4,0,0,0,5,15,11,0,0,34,40,35,66,84,107,123,68,25,0,550,2392,1636,1660,1124,791,486,188,35,8,8325,273,149,186,136,144,125,85,10,0,1110,2832,2007,2208,1727,1522,1196,599,144,25,12253,0,5,16,46,109,164,133,45,8,534,129,72,102,151,193,190,100,24,5,970,0,0,3,0,30,46,48,24,5,156,0,0,0,3,5,15,24,22,6,77,17,38,128,303,413,398,229,72,7,1602,100,128,126,119,190,203,123,52,8,1044,16,9,29,34,74,93,43,24,7,323,20,0,3,34,35,61,48,26,0,237,33,103,141,135,117,98,50,12,4,690,4,0,3,6,16,29,21,16,0,92,122,74,119,140,185,212,120,47,7,1034,4970,3316,3219,2270,1599,968,398,79,9,16832
SOS73,5,4,8,13,22,26,15,13,0,103,9,6,4,4,23,81,60,30,11,224,27,123,162,178,146,126,50,17,5,829,0,0,3,3,11,15,22,15,4,77,76,58,104,155,215,208,119,42,10,986,2632,1462,1496,1390,1317,875,422,93,14,9694,443,316,356,351,350,302,181,47,5,2356,3275,2070,2255,2329,2425,2021,1184,346,60,15958,0,13,56,126,305,524,492,205,39,1753,230,176,214,276,327,314,192,71,13,1816,7,9,12,35,84,185,189,88,9,619,0,3,3,0,3,13,23,23,14,75,7,37,56,155,298,410,347,142,21,1480,36,64,59,74,161,276,305,124,22,1126,10,13,12,31,44,61,63,38,5,277,18,3,4,15,58,168,144,67,13,504,63,193,251,278,279,251,120,29,12,1472,0,0,3,12,23,49,57,53,4,196,199,127,179,264,361,394,269,97,11,1908,5268,3167,3142,2810,2814,1970,949,209,26,20353
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,15,12,8,0,0,0,58
SOS79,0,0,0,9,7,20,8,4,0,44,0,0,0,5,3,10,9,0,0,29,0,6,27,30,15,24,3,5,0,109,0,0,0,0,0,4,0,0,0,8,3,3,14,25,24,17,13,4,0,99,153,88,182,120,84,73,32,4,0,745,32,48,105,71,105,98,33,0,0,482,190,162,364,268,280,279,114,17,4,1675,0,0,0,14,27,60,58,5,0,165,11,7,36,30,34,35,22,0,0,179,0,0,0,8,13,18,28,4,0,81,0,0,0,4,3,0,5,0,0,8,0,0,9,12,43,60,39,4,0,169,0,6,14,19,35,58,36,5,0,181,0,3,0,4,24,31,13,3,0,84,0,0,0,6,10,22,15,0,0,61,6,14,41,55,50,48,22,8,0,237,0,0,0,0,3,9,4,0,0,24,10,11,25,41,56,45,27,3,0,217,355,149,356,269,183,166,91,12,3,1580
SOS80,28,35,82,154,238,316,451,509,273,2086,34,35,70,155,295,590,860,762,331,3137,983,5879,6558,5090,4043,2717,1511,770,394,27941,9,8,28,66,141,230,310,421,292,1511,1499,2509,3822,4031,3789,3739,3204,1828,919,25334,33288,18572,25026,21572,15359,10448,6462,2467,600,133789,2316,2146,2156,1767,1458,1161,1020,575,317,12931,40037,29956,38922,34934,28257,23389,18971,10542,4313,229301,88,366,1179,2460,4689,7528,9213,6663,2773,34966,5461,5575,7299,6743,5269,4287,3567,1860,615,40674,65,127,343,747,1464,2488,3497,2530,876,12130,5,7,3,17,33,99,347,963,1152,2623,130,307,707,1531,2688,3924,4476,2791,882,17440,124,163,246,503,1140,2360,3935,3648,1910,14036,74,74,160,293,465,641,1003,964,502,4183,72,76,126,284,556,1072,1673,1494,612,5971,2101,8748,10198,8294,6802,4661,2640,1289,578,45310,18,23,53,134,289,497,781,900,542,3219,3798,4059,5868,6550,6651,6742,5738,3177,1406,43977,67377,40137,52785,44918,32043,21003,12238,4628,1080,276216
SOS82,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,6,0,0,8,0,3,3,6,9,6,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,8,6,4,0,24,56,26,16,31,31,13,13,0,0,178,0,3,0,3,0,3,4,0,0,17,59,35,20,49,50,42,29,13,3,304,0,0,0,3,12,15,15,15,0,57,8,5,5,11,11,8,4,3,0,51,0,0,0,0,0,5,0,10,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,4,24,0,0,0,0,5,8,4,6,6,25,0,0,0,0,0,3,5,0,0,9,0,0,0,0,0,4,6,0,0,9,4,7,7,14,15,5,0,3,0,48,0,0,0,0,0,0,0,0,0,0,7,3,0,10,14,16,7,7,0,47,112,56,35,67,60,24,20,0,0,375
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,8,8,4,7,0,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,6,0,4,6,0,0,0,21,33,27,28,17,16,11,5,0,0,141,0,7,5,6,10,13,0,0,0,42,38,40,48,29,33,38,19,3,5,264,0,0,0,3,9,11,12,3,0,42,4,13,12,5,3,9,3,0,0,53,0,0,0,0,0,3,6,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,15,0,0,0,0,0,3,8,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,12,0,7,8,12,8,9,0,0,0,48,0,0,0,0,0,0,0,0,0,4,3,3,13,7,3,7,4,0,0,36,77,81,75,35,35,29,18,3,0,349
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,8,5,8,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,7,5,6,5,8,0,0,0,29,15,39,33,19,13,11,0,0,0,132,0,3,7,7,4,6,4,0,0,40,21,74,53,33,30,35,10,8,0,273,0,0,0,3,3,20,10,3,4,42,5,12,9,8,3,6,3,0,0,53,0,0,0,0,0,3,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,0,3,0,17,0,0,0,0,3,4,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,4,40,19,20,14,11,0,0,0,108,0,0,0,0,3,0,0,0,0,6,0,9,12,8,14,14,5,0,0,62,35,75,57,37,28,11,4,0,0,253
SOS91,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,3,5,0,3,3,8,0,0,0,19,0,0,0,0,0,0,0,0,0,3,4,0,3,8,6,3,5,0,0,31,104,34,62,71,55,47,25,5,0,393,17,13,23,26,18,18,4,4,0,113,126,50,88,112,98,84,42,9,0,620,0,0,0,0,7,10,12,0,0,30,13,12,12,11,5,16,5,0,0,82,3,0,0,3,7,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,10,16,3,0,51,0,0,0,0,3,3,10,4,0,22,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,6,3,9,4,3,7,5,0,0,0,38,0,0,0,0,0,0,0,0,0,5,4,0,3,7,13,7,10,5,0,62,221,67,121,121,125,106,73,7,4,845
SOS92,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,4,0,0,0,9,0,13,15,13,10,10,9,3,0,61,0,0,0,0,0,4,0,0,3,5,3,4,0,9,8,25,15,11,5,86,156,74,66,101,98,132,84,22,10,749,34,13,25,29,19,21,16,18,6,175,201,119,110,164,155,244,169,84,29,1270,0,0,4,3,15,41,48,33,12,160,15,21,7,25,22,28,19,12,3,150,0,0,0,4,6,18,22,19,3,66,0,0,0,0,0,0,3,5,4,20,0,0,0,0,7,27,27,14,3,82,0,0,0,0,6,18,39,14,13,97,0,0,0,3,0,7,0,6,0,26,0,0,0,0,0,8,13,4,0,33,3,17,20,28,18,18,11,4,0,111,0,0,0,0,0,3,6,5,3,22,11,8,0,20,23,40,28,16,8,155,332,150,136,192,184,263,137,48,19,1456
SOS93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,9,0,0,0,0,10,0,3,0,0,24,0,0,0,0,0,3,0,0,0,3,0,0,0,0,12,9,4,3,6,26,36,23,27,25,27,33,19,12,0,204,12,8,11,4,15,10,7,8,0,72,47,37,40,33,70,60,47,39,4,371,0,0,0,0,10,12,17,12,7,61,9,0,5,0,13,3,8,9,0,37,0,0,0,0,7,0,7,4,6,20,0,0,0,0,0,0,9,4,0,9,0,0,0,0,15,11,23,8,0,51,0,0,0,0,11,4,19,8,5,44,0,0,0,0,0,3,6,0,0,7,0,0,0,0,0,0,3,5,0,9,0,5,4,7,19,3,4,0,0,35,0,0,0,0,4,3,4,0,0,16,0,3,0,5,14,12,11,5,6,51,83,43,49,48,64,57,52,24,3,416
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9
