SOS_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SOS69,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,41,56,67,46,48,27,20,8,0,310,41,56,67,46,48,27,20,8,0,310,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS70,..,98,2802,4513,3553,2825,1923,820,124,16666,..,622,2277,1367,958,628,267,72,3,6197,..,25,98,262,317,223,115,37,21,1094,11461,..,..,..,..,..,..,..,..,11461,..,2011,..,..,..,..,..,..,..,2011,..,1800,935,354,182,63,3,0,0,3336,..,420,392,124,136,132,122,57,21,1419,..,273,616,164,96,80,43,7,0,1289,..,602,1301,410,308,276,169,51,7,3124,..,303,919,745,900,955,829,299,71,5021,174,154,231,152,120,111,67,19,4,1034,11636,6315,9563,8095,6586,5288,3546,1361,249,52648,..,264,4000,4911,3582,2600,1534,464,39,17389,..,887,2592,1498,928,537,195,34,0,6657,..,154,715,1124,1015,509,251,118,56,3949,10963,..,..,..,..,..,..,..,..,10963,..,2047,..,..,..,..,..,..,..,2047,..,1191,517,193,91,54,4,0,0,2052,..,345,296,88,152,288,302,164,60,1704,..,269,484,114,56,42,18,8,0,990
SOS71,..,179,1090,1558,1155,1012,539,170,20,5730,..,199,816,591,410,254,110,15,3,2396,..,21,67,97,116,80,55,10,8,452,5211,..,..,..,..,..,..,..,..,5211,..,670,..,..,..,..,..,..,..,670,..,1065,427,149,67,21,0,0,0,1724,..,423,294,229,170,140,71,22,6,1360,..,70,164,53,30,25,11,0,0,357,..,112,331,140,106,89,43,13,0,823,..,103,345,294,315,375,249,98,14,1794,105,100,126,89,57,50,33,7,0,578,5318,2949,3661,3200,2419,2053,1107,327,50,21090,..,268,1419,1591,1132,905,389,113,8,5821,..,271,939,573,427,220,62,10,5,2500,..,142,443,553,412,221,114,43,12,1936,4788,..,..,..,..,..,..,..,..,4788,..,631,..,..,..,..,..,..,..,631,..,800,318,97,59,10,4,0,0,1277,..,359,216,149,201,228,131,57,11,1352,..,63,133,33,30,17,6,0,0,287
SOS72,..,246,696,702,584,436,220,54,7,2947,..,108,255,212,168,97,33,10,0,879,..,9,38,61,62,43,33,19,0,271,2901,..,..,..,..,..,..,..,..,2901,..,215,..,..,..,..,..,..,..,215,..,723,333,112,35,11,0,0,0,1216,..,416,245,170,155,105,61,21,5,1179,..,35,18,12,10,11,3,3,0,91,..,22,34,8,31,16,12,5,0,130,..,30,140,117,154,133,84,27,4,690,90,69,56,44,37,26,16,5,0,344,2992,1879,1813,1446,1237,884,468,137,20,10881,..,313,796,741,586,363,160,18,0,2974,..,146,271,222,160,72,22,3,0,900,..,105,322,263,243,163,74,31,5,1208,2611,..,..,..,..,..,..,..,..,2611,..,235,..,..,..,..,..,..,..,235,..,588,239,77,44,12,0,0,0,968,..,319,157,131,178,191,154,43,16,1183,..,35,17,14,10,4,6,3,0,87
SOS73,..,89,484,883,1050,933,659,221,24,4352,..,115,454,363,390,276,113,26,0,1740,..,13,25,55,82,73,31,16,4,296,3075,..,..,..,..,..,..,..,..,3075,..,389,..,..,..,..,..,..,..,389,..,730,299,126,64,21,3,0,0,1235,..,256,130,88,92,112,60,39,15,781,..,73,79,33,44,45,18,8,0,303,..,47,67,42,67,75,58,17,0,369,..,55,128,120,237,330,276,84,17,1240,51,72,67,40,49,35,40,10,0,361,3129,1839,1735,1754,2080,1892,1260,416,58,14164,..,142,651,1075,1124,892,522,115,12,4541,..,162,548,396,392,247,79,21,3,1844,..,59,142,218,195,127,71,50,11,876,2926,..,..,..,..,..,..,..,..,2926,..,416,..,..,..,..,..,..,..,416,..,473,166,74,48,12,3,0,0,784,..,181,94,78,92,138,147,51,21,805,..,70,44,27,33,27,10,6,0,216
SOS77,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS79,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,47,24,47,34,30,26,23,8,0,239,47,24,47,34,30,26,23,8,0,239,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS80,..,283,10193,20088,16636,13176,10843,5835,1392,78446,..,1887,8641,4473,2997,1852,888,248,31,21028,..,22,241,878,1310,739,280,144,88,3708,40738,..,..,..,..,..,..,..,..,40738,..,10370,..,..,..,..,..,..,..,10370,..,6578,3845,1226,779,323,55,0,0,12809,..,1198,1311,385,314,341,275,153,87,4051,..,1103,2131,495,231,161,51,21,3,4189,..,3158,4879,1165,650,531,289,98,22,10788,..,895,3960,3249,3053,2993,2398,1353,625,18532,408,701,766,497,364,301,230,102,32,3400,41143,26192,35969,32453,26336,20413,15307,7952,2285,208045,..,679,13805,20963,16127,12619,9871,4289,659,79009,..,2767,8909,4217,2803,1593,670,172,19,21152,..,207,1530,3358,3932,2105,865,560,356,12908,38223,..,..,..,..,..,..,..,..,38223,..,10161,..,..,..,..,..,..,..,10161,..,4687,2357,656,387,211,65,0,0,8362,..,1020,965,298,282,694,829,607,268,4961,..,997,1384,257,115,74,36,10,7,2881
SOS82,..,0,7,25,41,23,26,10,0,131,..,0,5,12,8,0,0,0,0,24,..,0,0,0,0,0,0,0,0,3,67,..,..,..,..,..,..,..,..,67,..,22,..,..,..,..,..,..,..,22,..,8,9,3,0,0,0,0,0,25,..,0,0,4,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,3,67,38,30,44,47,26,24,13,0,295,..,0,9,34,32,23,24,8,0,131,..,4,6,9,5,0,0,0,0,27,..,0,0,4,3,6,0,0,0,14,62,..,..,..,..,..,..,..,..,62,..,16,..,..,..,..,..,..,..,16,..,14,3,0,5,0,0,0,0,21,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS83,..,0,10,9,19,20,17,4,0,75,..,0,13,6,6,0,3,0,0,31,..,0,0,3,0,0,0,0,0,3,53,..,..,..,..,..,..,..,..,53,..,8,..,..,..,..,..,..,..,8,..,6,5,0,4,0,0,0,0,11,..,4,0,0,0,0,0,0,0,4,..,0,6,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,11,..,0,0,0,0,3,3,0,0,11,0,0,3,0,0,0,0,0,0,6,53,23,30,22,30,25,26,3,0,209,..,0,13,12,15,22,8,7,0,70,..,4,10,5,4,0,5,0,0,27,..,0,4,4,3,0,0,0,0,7,34,..,..,..,..,..,..,..,..,34,..,11,..,..,..,..,..,..,..,11,..,8,3,0,0,0,0,0,0,7,..,5,0,0,0,0,3,0,0,10,..,3,9,0,0,0,0,0,0,9
SOS87,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS89,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,9,23,30,23,20,7,11,4,0,132,9,23,30,23,20,7,11,4,0,132,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS91,..,0,30,41,49,40,47,3,3,204,..,0,15,4,13,9,3,0,0,46,..,0,0,0,3,6,0,0,0,11,127,..,..,..,..,..,..,..,..,127,..,16,..,..,..,..,..,..,..,16,..,17,10,5,6,0,0,0,0,32,..,0,0,3,0,7,3,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,0,0,0,0,4,..,5,13,4,11,21,26,5,0,85,0,0,0,0,0,5,7,0,0,21,132,39,71,66,76,84,83,13,4,551,..,0,26,64,52,39,22,3,0,215,..,4,14,6,12,4,0,0,0,43,..,0,3,3,7,3,0,0,0,20,109,..,..,..,..,..,..,..,..,109,..,21,..,..,..,..,..,..,..,21,..,8,5,0,0,0,0,0,0,16,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0
SOS92,..,3,25,65,59,98,87,41,8,394,..,8,18,20,30,25,15,4,0,113,..,0,0,6,5,5,0,5,0,18,191,..,..,..,..,..,..,..,..,191,..,23,..,..,..,..,..,..,..,23,..,35,12,5,0,0,0,0,0,53,..,9,0,0,0,0,0,0,7,23,..,0,0,0,0,0,0,0,0,3,..,5,0,0,0,12,3,0,0,22,..,4,9,10,17,42,19,15,5,124,9,5,0,5,0,5,4,3,0,33,198,86,66,121,115,190,123,69,16,988,..,10,34,64,59,118,72,31,4,387,..,11,29,28,23,28,10,0,0,123,..,4,3,15,26,8,3,0,0,60,172,..,..,..,..,..,..,..,..,172,..,20,..,..,..,..,..,..,..,20,..,28,3,6,0,0,0,0,0,44,..,9,0,0,0,0,5,9,3,24,..,3,0,0,0,0,0,0,0,5
SOS93,..,0,5,15,21,19,23,16,0,92,..,0,0,0,8,3,0,0,0,28,..,0,0,0,0,0,5,0,0,11,58,..,..,..,..,..,..,..,..,58,..,3,..,..,..,..,..,..,..,3,..,9,0,8,0,0,0,0,0,23,..,3,6,3,0,7,3,3,0,23,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,3,0,0,3,..,0,0,0,9,4,8,4,4,30,0,0,0,0,0,3,0,0,0,11,61,25,22,28,41,36,46,26,3,290,..,0,8,13,22,14,20,12,0,92,..,5,10,7,7,8,5,0,0,30,..,0,4,3,6,5,0,6,0,20,37,..,..,..,..,..,..,..,..,37,..,8,..,..,..,..,..,..,..,8,..,10,6,0,0,0,0,0,0,18,..,3,0,0,4,6,3,0,0,23,..,0,0,0,0,0,0,0,0,0
SOS97,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS99,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
