SOS_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SOS60,17703,18414,8350,743,45204,15265,2634,63101,543,246,281,33,1089,1758,178,3026,688,309,226,37,1257,973,236,2464,1227,555,501,67,2348,2728,413,5489,1300,557,543,64,2461,3033,394,5882,252,62,39,15,375,568,91,1035,162,35,43,11,254,276,63,593,14,0,0,0,12,16,0,31,38,18,15,4,67,53,9,128,1766,674,640,92,3170,3946,552,7664,11,3,4,0,15,30,0,40,18,0,3,0,27,34,0,65,0,0,0,0,0,0,0,0,46,27,13,0,80,51,26,158,71,30,19,0,121,116,22,263,35,23,15,0,76,83,6,163,20802,19690,9524,904,50921,22140,3625,76686
SOS61,23282,19737,10331,775,54122,21256,2227,77602,955,315,596,57,1921,3981,186,6088,364,198,154,13,730,577,88,1394,1320,516,749,72,2651,4558,276,7483,599,199,294,26,1120,2088,148,3360,19,15,10,0,44,106,6,154,20,0,3,0,23,51,4,80,6,0,0,0,4,3,0,9,26,14,17,0,51,67,7,131,667,226,325,27,1241,2317,172,3727,60,7,13,0,78,187,3,275,39,8,16,3,63,73,4,143,0,9,0,0,8,10,0,19,56,27,28,9,115,99,26,237,151,56,54,10,272,368,35,674,40,29,6,0,69,85,3,157,25452,20554,11462,883,58353,28585,2707,89650
SOS62,4141,2936,1142,87,8304,3437,257,11999,36,5,16,0,64,170,4,231,14,12,3,0,28,13,0,40,49,16,17,0,89,182,4,271,19,4,9,0,24,63,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,5,18,6,9,0,33,74,0,104,8,0,4,0,13,45,0,60,15,3,0,0,23,27,0,56,4,0,0,0,5,3,0,9,11,3,0,0,15,15,0,28,37,14,4,0,56,89,3,150,19,11,0,0,27,23,0,57,4269,2976,1172,89,8510,3804,273,12580
SOS63,14302,11710,3236,246,29491,8565,802,38858,50,30,10,0,90,29,4,121,15,9,5,0,23,11,0,37,64,37,12,0,119,40,4,160,5,10,5,0,19,28,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,15,7,0,24,16,16,5,0,40,33,3,78,42,9,6,0,62,91,9,162,35,11,7,0,44,44,3,91,6,4,0,0,15,14,0,25,7,7,3,0,17,3,0,21,95,29,10,0,140,149,15,297,32,24,3,0,54,48,5,109,14500,11822,3261,246,29836,8837,825,39495
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,6006,10404,3287,277,19969,3462,1113,24542,557,439,337,53,1380,1193,123,2701,558,415,294,35,1298,704,184,2187,1114,857,631,89,2686,1891,304,4886,912,702,414,67,2091,1666,273,4029,469,403,131,25,1034,727,162,1919,887,584,271,44,1799,1110,351,3253,881,352,106,24,1374,949,271,2592,3,3,0,0,11,14,0,22,3158,2048,927,168,6299,4466,1055,11815,94,20,4,0,123,111,7,240,17,6,0,0,32,38,0,73,6,0,0,0,11,19,0,32,7,7,0,0,16,3,4,19,130,34,13,5,176,173,7,355,22,4,10,0,39,79,3,124,10429,13343,4862,537,29176,10068,2486,41727
SOS71,2205,3795,1491,203,7698,1687,513,9900,475,469,239,34,1215,925,104,2245,236,180,116,12,547,390,69,1005,708,650,352,54,1758,1312,176,3253,104,47,34,9,195,309,23,518,3,0,6,0,11,14,0,25,3,5,4,0,7,5,0,15,0,0,0,0,0,0,0,0,3,6,0,0,8,5,0,14,105,56,42,9,219,329,27,569,33,6,5,0,50,67,0,112,6,4,6,0,5,15,0,18,4,0,3,0,8,9,0,24,10,5,0,0,12,13,0,21,51,10,15,0,71,104,0,186,40,20,21,0,74,111,9,194,3109,4532,1923,265,9823,3546,725,14097
SOS72,806,1750,877,151,3589,740,81,4416,117,153,110,20,406,319,13,741,0,6,0,0,4,4,0,6,119,164,110,20,411,327,13,752,58,25,18,9,107,108,3,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,25,18,9,108,109,3,219,32,6,0,0,42,52,6,99,4,0,6,0,4,7,0,18,7,0,0,0,12,3,0,11,5,0,0,0,5,6,0,12,43,8,10,0,61,66,4,138,19,9,3,4,43,55,5,106,1056,1946,1024,187,4211,1298,120,5629
SOS73,2449,3146,900,120,6610,1493,250,8354,15,19,3,0,41,26,0,76,3,4,0,0,7,0,0,7,17,22,3,0,50,26,0,79,4,3,8,0,17,10,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,9,6,3,8,0,18,16,0,34,96,23,10,4,140,141,6,286,17,10,3,0,31,57,0,88,28,15,3,5,54,54,7,114,10,0,0,0,4,0,0,8,151,49,21,5,233,252,19,506,73,38,13,0,124,108,6,238,2693,3260,955,126,7037,1892,275,9202
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,28206,44685,11250,979,85123,17645,3363,106123,3066,2268,1618,148,7101,6096,546,13741,4069,3449,1673,240,9433,4432,1301,15163,7137,5714,3293,387,16532,10529,1845,28906,1330,666,432,46,2473,2745,409,5628,2147,882,428,112,3571,3476,697,7745,4037,1181,569,143,5928,5810,904,12642,2047,538,258,88,2929,2697,578,6206,115,62,28,3,214,198,26,442,9675,3330,1726,391,15117,14932,2612,32669,5,3,5,0,10,29,0,45,17,8,13,5,37,63,6,105,0,0,0,0,0,0,0,0,3,5,0,0,8,3,4,12,25,15,14,6,57,94,11,163,45,38,16,0,105,85,15,202,45091,53774,16302,1767,116933,43285,7841,168058
SOS82,58,91,18,0,166,20,0,188,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,3,4,0,0,0,4,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,91,17,0,173,29,0,203
SOS83,41,45,13,0,99,24,4,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,13,46,44,17,5,106,26,4,138
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,57,86,11,0,152,34,0,191,21,24,7,0,58,24,0,83,3,4,3,0,5,3,0,11,22,33,11,0,67,27,0,95,21,9,3,0,29,40,6,76,10,22,9,3,36,8,0,51,0,3,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,26,10,3,71,58,6,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,6,0,6,107,146,30,3,291,122,4,416
SOS92,268,194,75,10,550,277,19,849,0,0,0,0,3,6,0,7,0,0,0,0,0,4,0,4,0,0,0,0,3,5,0,11,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,13,5,0,0,0,7,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,5,0,12,280,201,78,10,567,302,19,887
SOS93,60,53,23,7,150,66,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,68,53,23,7,155,73,0,227
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
