SOS_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SOS42,19,0,0,0,1282,1300,79,5,0,0,1042,1126,735,36,35,0,1634,2443,1347,111,133,10,913,2523,1638,184,367,26,907,3124,2373,236,718,75,722,4123,2601,212,756,204,326,4097,1363,64,262,243,103,2028,331,15,40,224,34,644,10485,865,2310,782,6970,21414,20,0,0,0,1182,1205,92,6,0,0,938,1035,986,69,48,5,1454,2555,1511,163,172,25,752,2624,1778,213,456,77,634,3153,2543,176,749,235,429,4133,2395,117,615,528,159,3821,1028,35,204,774,34,2067,167,8,31,723,24,949,10508,797,2270,2370,5601,21547,38,0,0,0,2470,2509,171,7,0,0,1980,2161,1718,106,85,4,3088,4998,2862,274,307,33,1669,5150,3416,405,824,99,1537,6274,4914,412,1464,314,1149,8260,4995,329,1368,732,485,7919,2390,100,459,1017,136,4099,498,21,71,944,57,1592,21000,1662,4585,3149,12569,42961
SOS43,7,0,0,8,4535,4556,81,4,5,0,3488,3577,2064,82,76,9,4446,6667,4821,300,407,15,2570,8119,6799,456,1129,71,2508,10966,8327,628,2007,214,2047,13220,7433,425,1696,469,814,10839,3278,151,500,477,222,4625,512,19,58,254,37,878,33318,2063,5885,1517,20659,63446,11,0,0,0,4066,4075,153,7,0,0,2753,2908,2628,89,80,7,3311,6110,5436,277,431,30,1794,7971,7196,388,1074,187,1624,10470,8347,406,1611,483,1062,11916,6538,211,1025,945,346,9060,2183,45,316,975,84,3608,242,3,37,563,15,859,32728,1429,4576,3189,15055,56981,15,0,0,8,8607,8627,231,12,6,0,6236,6493,4689,168,152,17,7752,12777,10261,576,835,48,4366,16088,13995,846,2207,258,4130,21437,16674,1032,3617,697,3108,25136,13969,639,2725,1413,1161,19900,5460,198,817,1454,311,8239,749,21,96,817,55,1738,66047,3492,10466,4710,35717,120427
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,12
SOS49,0,0,0,0,74,74,0,0,0,0,111,108,28,6,9,0,273,320,48,30,29,0,178,289,49,38,54,6,152,299,79,44,88,8,89,311,96,31,58,16,18,214,19,4,13,0,0,40,3,0,0,3,0,7,328,153,260,30,892,1668,0,0,0,0,112,112,4,3,0,3,88,95,39,11,12,0,243,305,50,28,26,0,137,245,42,30,28,10,73,178,91,27,45,6,27,197,80,8,31,11,13,141,6,0,6,8,0,26,5,0,0,3,0,10,311,110,152,39,702,1306,0,0,0,0,186,186,7,3,0,3,199,206,66,19,23,0,523,627,100,65,50,3,313,534,87,71,82,10,225,478,168,69,136,15,117,513,170,39,93,24,32,359,30,4,21,14,0,64,9,0,0,11,0,11,637,261,406,75,1594,2975
SOS50,64,14,14,17,60538,60648,1271,75,43,34,63395,64814,41731,1940,2076,122,99090,144955,89219,5396,7760,210,44654,147237,83098,6453,13671,726,26329,130284,73533,5000,16257,1662,15180,111637,61154,3264,12711,3373,6205,86701,33266,1293,5037,4652,1950,46197,9016,265,939,4683,474,15377,392350,23695,58511,15481,317815,807849,67,21,14,17,57784,57892,2865,206,79,34,60354,63540,58155,3642,3515,194,85428,150941,94402,7238,11077,817,37152,150691,82272,7750,19460,2182,21745,133403,71518,5801,23390,5668,11667,118041,55769,3313,18693,12949,4894,95610,24535,1018,7742,18357,1691,53346,4718,170,1757,17294,624,24562,394307,29148,85730,57510,281336,848032,127,27,28,35,118323,118535,4136,280,123,62,123750,128352,99889,5578,5591,315,184521,295897,183626,12632,18836,1030,81804,297929,165369,14204,33131,2909,48075,263686,145055,10797,39651,7332,26847,229678,116925,6574,31400,16319,11103,182320,57797,2306,12780,23014,3638,99540,13732,437,2695,21975,1098,39936,786658,52845,144237,72993,599151,1655875
SOS51,20,3,3,3,11535,11569,293,23,3,10,9562,9891,6918,403,349,25,17000,24698,13684,1106,1407,65,9300,25562,13911,1491,2846,157,6521,24926,13895,1216,3863,444,3964,23384,12002,862,3010,875,1458,18206,6489,292,1106,1100,412,9393,1656,48,196,921,97,2912,68851,5445,12780,3597,59863,150537,27,0,0,9,10781,10821,483,47,7,9,8795,9350,9091,711,600,73,15398,25862,14615,1513,2020,202,8233,26589,13779,1675,3732,500,5526,25204,13387,1290,4743,1206,2801,23429,10932,731,3487,2679,952,18788,4785,196,1275,3756,268,10277,872,40,287,3149,90,4441,67974,6205,16153,11577,52840,154756,42,6,11,10,22321,22391,772,75,12,19,18363,19240,16011,1118,943,92,32396,50560,28293,2623,3431,270,17534,52149,27689,3164,6576,652,12045,50132,27277,2508,8610,1650,6771,46811,22937,1590,6504,3554,2408,36993,11269,491,2375,4856,685,19669,2523,80,481,4073,183,7350,136820,11654,28938,15177,112701,305293
SOS52,27,0,0,4,1576,1607,114,4,3,0,1331,1449,899,59,36,4,2334,3338,1622,146,162,10,1397,3343,1832,239,414,32,1346,3862,2267,301,782,103,959,4401,2270,181,763,203,436,3853,1155,83,290,209,133,1868,290,7,33,144,24,498,10475,1025,2486,709,9532,24224,32,0,0,0,1498,1531,134,15,9,4,1300,1461,1177,89,62,11,2229,3567,1734,204,219,46,1354,3557,1850,269,495,91,1040,3733,2270,254,777,268,648,4222,2014,138,565,524,229,3469,850,39,218,645,57,1818,129,5,40,452,12,636,10192,1007,2380,2035,8378,23984,56,0,0,4,3078,3135,244,20,10,5,2626,2915,2077,152,98,19,4566,6906,3362,348,381,59,2753,6899,3680,508,908,120,2388,7596,4537,552,1552,369,1612,8621,4283,324,1331,724,667,7322,2004,124,513,859,193,3685,424,17,68,592,36,1134,20662,2033,4862,2739,17908,48211
SOS53,17,4,8,3,4710,4741,166,10,3,9,4456,4644,2758,166,144,12,6981,10059,6256,468,642,19,4109,11495,8383,710,1383,70,3185,13733,9350,732,2077,242,2064,14468,7679,481,1692,438,764,11045,3232,156,499,449,173,4509,508,16,54,220,40,841,38339,2742,6506,1463,26487,75535,21,0,0,0,4166,4187,148,11,0,4,2916,3081,2712,136,138,16,4311,7309,6052,337,524,51,2349,9310,7875,471,1205,174,1958,11683,9003,433,1656,447,1118,12660,6452,208,1087,872,302,8919,2144,51,332,967,67,3563,213,7,51,521,22,805,34622,1662,4992,3050,17204,61530,35,7,8,6,8875,8927,312,28,7,7,7370,7726,5466,301,283,23,11291,17368,12303,803,1159,72,6464,20805,16252,1188,2589,247,5137,25420,18351,1171,3735,692,3179,27127,14129,687,2779,1312,1062,19970,5380,204,838,1414,246,8074,718,24,104,743,57,1649,72960,4405,11498,4516,43690,137066
SOS57,0,0,0,0,7,7,0,0,0,0,25,25,25,0,0,0,69,99,75,13,9,0,64,157,61,3,11,0,24,103,35,5,9,0,3,55,9,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,205,30,37,3,189,455,0,0,0,0,3,3,0,0,0,0,11,11,4,0,0,0,7,14,0,0,5,0,7,11,3,0,0,0,0,9,0,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,0,33,61,0,0,0,0,6,6,0,0,0,0,31,31,32,0,0,0,83,116,75,13,11,0,72,170,66,8,17,0,27,109,33,5,16,0,7,62,14,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,217,25,44,3,227,516
SOS59,0,0,0,0,114,118,4,3,0,0,294,295,71,28,30,4,686,822,190,91,66,0,579,926,131,128,117,12,460,842,212,88,155,12,204,667,198,30,119,35,61,444,49,7,32,17,16,118,0,4,9,0,7,14,861,371,524,83,2408,4247,0,0,0,0,145,147,13,0,0,0,248,256,104,24,25,0,531,692,143,55,56,8,347,613,113,34,97,15,216,468,231,34,118,18,74,477,164,17,81,23,22,316,19,0,3,16,0,38,0,0,3,9,4,16,791,175,385,93,1589,3030,0,0,0,0,259,261,10,3,0,0,539,562,180,60,56,4,1220,1512,336,141,119,16,924,1543,241,166,211,24,673,1313,442,126,271,30,277,1144,371,48,199,57,83,758,65,8,33,33,15,155,0,4,5,14,3,30,1648,548,909,175,3998,7285
SOS60,3,4,0,0,5356,5357,159,7,8,4,6067,6254,5115,193,228,21,11588,17136,6559,402,642,21,4698,12326,6006,520,1341,78,3095,11047,6098,510,1804,222,2025,10655,6150,322,1494,435,966,9363,3598,146,634,649,252,5279,975,21,95,652,56,1795,34654,2120,6251,2086,34103,79218,4,0,3,7,5114,5121,367,12,6,0,5783,6173,6047,343,323,23,10160,16898,6678,613,1023,68,4613,12997,6181,696,1947,194,2949,11958,6319,638,2758,592,1741,12048,5758,346,2452,1634,763,10946,2762,114,1039,2497,280,6683,487,18,221,2251,104,3084,34598,2780,9769,7252,31501,85913,8,4,3,4,10468,10486,532,29,12,4,11848,12423,11162,535,552,42,21754,34039,13240,1010,1669,88,9312,25323,12185,1213,3288,269,6049,23007,12418,1149,4560,817,3766,22706,11898,667,3943,2064,1727,20305,6353,250,1677,3149,531,11961,1462,44,314,2900,159,4881,69256,4903,16023,9343,65608,165131
SOS61,4,4,0,0,6167,6177,194,14,7,5,6164,6380,4170,220,209,12,9776,14379,6001,505,760,26,4564,11855,6382,743,1736,85,3505,12457,7779,728,2384,272,2273,13438,8226,498,2040,698,1072,12536,5107,186,804,991,335,7423,1283,36,135,811,91,2359,39154,2926,8080,2899,33951,87006,3,0,0,0,5848,5862,369,29,8,3,5859,6268,5106,441,359,19,8723,14647,6413,808,1169,95,4434,12919,6908,971,2583,316,3210,13987,8080,857,3268,940,1819,14969,7792,548,2885,2243,778,14251,3842,160,1095,3629,280,9006,668,22,224,2853,112,3877,39180,3841,11592,10111,31063,95790,9,0,0,4,12018,12036,560,36,15,8,12027,12648,9273,659,568,34,18497,29031,12416,1312,1926,120,9001,24774,13287,1713,4318,404,6715,26444,15852,1591,5655,1221,4094,28412,16020,1047,4922,2946,1849,26785,8947,346,1900,4620,611,16431,1957,56,359,3666,202,6236,78330,6768,19673,13010,65014,182793
SOS62,0,0,0,0,741,741,11,0,0,0,676,688,407,24,22,4,1071,1526,785,65,83,5,668,1607,1027,109,229,16,580,1964,1469,120,450,60,426,2529,1649,109,491,105,181,2535,821,47,177,171,55,1266,154,0,24,115,11,303,6322,476,1486,477,4402,13160,4,0,0,0,687,690,31,0,0,0,541,578,530,37,36,3,955,1570,881,76,133,8,580,1676,1167,120,288,47,413,2032,1617,126,497,142,294,2672,1440,79,415,329,113,2381,572,20,160,428,28,1209,72,0,29,290,12,401,6312,453,1563,1250,3634,13209,4,0,0,0,1434,1429,40,0,0,0,1220,1264,940,60,68,3,2027,3096,1666,149,214,12,1243,3281,2193,224,520,60,995,3990,3088,246,947,200,723,5201,3086,184,910,442,294,4914,1393,64,337,603,85,2475,229,4,46,406,24,703,12638,930,3043,1722,8035,26369
SOS63,5,0,0,0,3198,3202,55,0,0,3,2353,2414,1448,85,76,3,3565,5182,3235,211,338,13,2199,6007,4446,364,875,60,2000,7739,5887,430,1617,176,1523,9634,5406,356,1341,379,652,8133,2246,90,395,372,146,3249,341,9,43,173,30,600,23066,1549,4695,1179,15673,46159,5,0,0,0,2811,2821,103,11,10,0,2031,2146,1869,105,121,12,2980,5084,3774,233,415,38,1910,6364,4900,328,933,146,1511,7815,6106,325,1444,405,954,9227,4588,173,914,709,312,6690,1437,22,253,718,66,2497,135,4,48,367,7,571,22914,1192,4134,2397,12585,43220,11,0,0,0,6005,6019,156,10,12,0,4385,4564,3318,186,201,16,6549,10269,7004,444,751,51,4111,12366,9345,687,1806,204,3510,15552,11995,753,3060,580,2477,18867,9996,523,2253,1086,962,14821,3679,116,652,1095,211,5751,479,16,88,541,38,1169,45972,2742,8830,3575,28257,89376
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,19
SOS69,0,0,0,0,43,43,3,0,0,0,61,71,10,8,4,0,116,135,13,8,9,4,62,99,17,16,26,0,74,130,25,21,26,0,24,104,24,13,27,0,22,90,4,3,0,6,7,18,0,0,0,0,0,0,99,69,103,11,405,689,0,0,0,0,48,48,0,0,0,0,50,53,13,5,0,0,76,92,21,13,9,0,57,97,21,15,13,0,36,78,29,12,35,0,19,98,16,7,26,15,10,72,0,3,3,6,0,13,0,0,0,0,0,4,99,53,89,27,291,561,0,0,0,0,95,95,5,0,0,0,118,119,26,6,7,0,187,228,35,27,19,6,116,198,29,30,37,0,104,203,61,29,62,5,44,199,43,20,53,16,29,163,4,3,6,10,7,31,0,0,0,0,0,3,206,125,191,35,696,1248
SOS70,23,0,0,0,3310,3340,222,7,4,0,4215,4451,3798,137,172,4,7644,11752,5587,330,499,16,3192,9620,4379,396,867,57,2120,7817,3384,348,975,104,1294,6100,2264,234,796,173,528,3989,949,64,199,165,143,1528,157,12,29,106,30,336,20764,1529,3538,627,22471,48931,11,0,0,0,3198,3204,335,17,7,7,3413,3779,4743,262,272,16,6943,12239,5566,484,720,69,3164,9996,4068,431,1046,164,1883,7592,3052,342,1139,409,998,5936,1757,196,821,683,347,3797,537,39,275,643,72,1566,57,6,54,290,16,414,20124,1775,4327,2269,20029,48524,33,0,0,0,6507,6547,557,30,13,5,7622,8228,8544,394,447,19,14589,23991,11153,813,1218,80,6352,19618,8443,821,1909,222,4004,15409,6437,691,2113,511,2290,12042,4019,427,1612,854,873,7784,1488,113,474,810,215,3088,216,15,83,393,46,749,40885,3303,7868,2898,42499,97454
SOS71,70,7,3,0,1668,1748,239,12,3,5,1253,1509,1445,58,60,11,2680,4255,1928,115,149,20,1452,3662,1418,158,274,36,908,2796,1310,154,325,71,559,2423,694,99,231,70,205,1302,213,24,57,61,53,407,40,4,3,18,11,72,7349,626,1112,299,8786,18171,95,3,0,0,1466,1562,341,20,6,5,1173,1544,1762,110,81,42,2899,4897,1879,187,196,51,1522,3843,1406,179,352,122,1046,3102,1142,137,390,243,592,2501,476,66,215,265,212,1234,131,18,76,172,58,445,19,5,14,103,24,156,7247,725,1331,993,8987,19285,159,4,0,5,3140,3309,582,24,8,11,2428,3051,3206,171,142,53,5579,9148,3813,302,343,74,2970,7503,2820,341,626,162,1952,5898,2452,293,718,309,1146,4924,1177,167,451,337,412,2535,338,45,130,229,105,852,62,9,18,117,29,231,14604,1356,2439,1287,17766,37454
SOS72,82,4,0,0,899,987,329,23,6,0,638,1005,906,36,41,10,1017,2001,890,47,70,3,590,1609,744,73,108,35,410,1377,585,63,94,44,262,1048,296,35,81,51,103,556,73,6,23,37,23,164,7,0,0,12,7,22,3912,285,426,204,3950,8767,135,4,6,0,826,974,367,15,11,6,637,1034,1057,88,44,31,983,2208,925,94,59,40,601,1727,749,73,132,101,466,1522,515,56,136,197,298,1196,207,33,73,184,94,599,29,8,17,74,22,144,0,0,0,23,7,25,3994,369,475,656,3929,9419,215,8,6,0,1727,1958,699,37,13,7,1279,2039,1965,123,83,44,1997,4211,1824,146,127,48,1193,3334,1490,147,243,137,881,2892,1097,120,231,239,556,2248,503,66,150,240,197,1152,100,15,38,112,40,311,12,0,6,35,9,48,7907,657,890,853,7881,18192
SOS73,42,6,0,0,1175,1218,176,9,3,0,1080,1271,814,53,29,3,1698,2607,1312,85,90,5,952,2446,1481,143,270,21,820,2733,1280,126,371,70,559,2408,848,110,267,84,209,1516,289,34,95,54,41,512,27,0,12,19,9,63,6274,569,1129,258,6546,14777,61,0,0,0,990,1050,178,7,0,4,823,1016,854,46,52,9,1297,2255,1313,95,143,31,749,2329,1405,121,242,65,584,2425,1127,103,293,162,326,2021,658,57,189,189,101,1184,148,9,51,125,14,346,17,0,3,40,9,60,5763,434,975,625,4896,12684,99,3,0,0,2166,2273,359,14,8,4,1906,2283,1672,98,81,16,3002,4862,2626,175,231,35,1699,4771,2892,262,510,88,1405,5154,2405,232,666,231,883,4426,1508,165,452,274,311,2704,441,43,142,179,51,856,40,0,10,55,15,123,12034,997,2103,888,11438,27458
SOS77,0,0,0,0,4,4,0,0,0,0,6,6,4,5,0,0,9,16,6,0,4,0,4,22,5,0,0,0,7,18,6,0,15,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,17,0,42,83,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,11,0,0,0,0,4,4,3,0,0,0,6,6,4,5,0,0,14,23,6,0,4,0,4,22,12,0,0,0,7,19,3,0,15,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,19,0,39,94
SOS79,0,0,0,0,30,30,9,0,0,0,74,84,41,0,6,0,248,292,97,17,16,0,178,305,78,12,27,14,178,311,106,6,53,6,130,300,111,13,42,10,36,205,17,3,11,5,6,33,0,0,0,0,0,6,456,45,144,38,879,1567,0,0,0,0,64,64,9,0,0,0,91,99,62,6,5,3,288,364,86,13,15,6,152,268,85,10,26,13,146,280,113,8,34,24,100,279,70,0,15,10,16,114,8,0,4,0,4,17,0,0,0,0,0,4,429,44,99,56,859,1486,0,0,0,0,95,95,16,3,0,0,163,183,105,9,8,3,536,661,185,24,34,4,325,573,168,24,52,27,317,591,219,13,88,32,233,579,180,18,54,17,52,318,19,3,13,6,4,49,0,0,0,4,0,7,886,88,251,91,1736,3052
SOS80,5,0,0,0,13313,13327,378,12,9,4,16580,16986,12095,408,540,24,25482,38546,21858,989,1766,58,9519,34198,17828,1174,2843,116,5732,27701,14435,887,2956,284,3239,21798,11980,496,2127,662,1293,16561,6476,213,814,929,331,8767,1692,37,159,894,79,2861,86746,4222,11217,2963,75585,180737,11,0,6,4,12846,12864,893,35,31,4,16129,17090,15558,640,808,33,21882,38922,22205,1317,2461,151,8795,34934,17183,1433,3983,419,5239,28257,13864,963,4518,1068,2972,23389,10978,599,3690,2487,1213,18971,4794,185,1526,3652,382,10542,832,29,370,2950,127,4313,86318,5211,17401,10766,69580,189264,15,0,8,0,26165,26191,1269,45,44,9,32711,34073,27649,1041,1353,55,47364,77465,44067,2306,4230,211,18314,69135,35014,2616,6822,534,10971,55949,28300,1852,7480,1347,6210,45186,22954,1093,5818,3149,2510,35529,11268,397,2347,4577,714,19303,2523,65,530,3838,207,7174,173058,9432,28622,13728,145162,370000
SOS82,0,0,0,0,27,27,0,0,0,0,9,9,10,0,5,0,13,30,31,3,0,0,17,48,41,0,0,0,8,47,24,0,0,0,0,30,25,0,0,3,0,28,11,0,0,3,0,15,0,0,0,0,0,0,139,9,9,10,81,242,0,0,0,0,22,22,0,0,0,0,17,17,9,0,0,0,10,20,34,0,3,0,10,49,37,0,8,5,6,50,33,0,7,0,0,42,27,0,0,0,0,29,8,0,0,6,0,13,0,0,0,3,0,3,146,5,17,9,64,240,0,0,0,0,45,45,0,0,0,0,25,25,21,0,4,0,24,49,63,3,7,0,26,96,76,0,7,5,14,100,55,4,8,6,0,73,56,0,3,3,0,58,16,0,0,5,0,30,0,0,0,3,0,6,284,11,32,20,140,481
SOS83,0,0,0,0,30,30,0,0,0,0,47,47,9,3,0,0,54,65,13,6,8,0,10,27,22,0,3,0,13,41,30,6,3,0,0,36,21,0,6,0,0,31,4,0,4,0,0,6,0,0,0,4,0,6,99,12,19,3,154,292,0,0,0,0,15,15,0,0,0,0,27,27,15,0,0,0,36,48,14,5,4,0,9,29,22,0,0,0,13,33,30,4,3,0,0,38,14,0,3,0,0,19,7,0,0,0,0,3,0,0,0,0,0,5,98,9,16,4,93,221,0,0,0,0,51,51,0,0,0,0,75,75,19,4,0,0,91,115,26,6,10,0,15,61,44,3,3,0,18,75,55,8,6,0,5,72,35,0,11,0,0,52,7,0,4,0,0,9,3,0,0,4,0,5,201,20,32,4,250,519
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,23,23,0,0,0,0,43,44,5,0,0,0,55,60,0,4,0,0,54,62,10,8,12,0,28,53,7,3,7,0,7,38,7,3,10,0,9,21,0,0,0,0,0,6,0,0,0,0,0,0,32,19,35,7,221,315,0,0,0,0,37,37,0,0,0,0,42,40,9,0,0,0,40,53,8,4,3,0,21,33,3,0,7,0,16,30,9,4,11,6,8,35,3,0,7,0,0,10,0,0,0,3,0,8,0,0,0,0,0,0,40,10,30,8,158,249,0,0,0,0,58,58,0,0,0,0,83,82,14,0,0,0,91,108,11,9,6,0,75,104,8,3,20,4,46,77,23,8,24,3,17,78,10,3,8,6,9,34,6,0,0,3,0,10,0,0,0,0,0,4,76,32,68,15,375,560
SOS91,0,0,0,0,23,23,0,0,0,0,28,27,40,0,0,0,70,116,52,0,6,3,27,90,63,9,19,0,29,115,59,7,15,0,12,97,74,4,8,0,13,107,7,4,0,4,0,15,4,0,0,0,0,4,304,25,58,8,193,577,0,0,0,0,34,34,0,0,0,0,17,19,38,5,0,0,47,88,78,3,6,0,26,112,60,3,13,3,16,98,57,3,13,0,9,84,30,0,3,8,3,42,10,0,0,0,0,9,0,0,0,0,0,0,275,17,36,15,145,494,0,0,0,0,51,51,0,0,0,0,46,45,75,5,3,0,120,202,131,4,17,3,48,206,123,8,26,3,43,209,118,11,26,0,21,181,102,10,16,11,18,150,18,5,0,0,0,26,4,0,0,0,0,4,580,36,93,25,340,1074
