SOS_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SOS62,0,29,0,29,635,76,741,36,22,0,61,564,64,688,499,50,12,558,868,100,1526,797,39,38,876,650,80,1607,487,65,20,575,1267,124,1964,129,187,9,320,2052,153,2529,19,212,0,227,2113,190,2535,0,35,0,38,1117,115,1266,0,4,0,4,247,55,303,1968,636,84,2685,9510,965,13160,5,58,0,60,580,52,690,76,40,0,121,426,31,578,702,69,36,812,659,96,1570,959,55,74,1093,486,98,1676,461,160,33,654,1269,111,2032,51,442,3,498,2033,145,2672,9,323,0,335,1901,137,2381,0,32,0,37,1035,135,1209,0,0,0,0,331,67,401,2260,1193,154,3613,8723,875,13209,5,86,0,91,1212,130,1429,110,61,3,180,986,95,1264,1198,118,49,1367,1531,193,3096,1756,91,117,1965,1137,182,3281,945,230,54,1226,2527,237,3990,176,629,13,818,4084,302,5201,26,539,0,565,4015,333,4914,0,69,0,71,2151,254,2475,0,7,0,7
SOS63,10,103,0,120,2801,281,3202,109,65,0,176,2088,148,2414,1531,142,43,1717,3073,389,5182,3240,132,115,3488,2100,412,6007,2117,259,50,2431,4811,502,7739,481,685,13,1178,7829,633,9634,90,728,0,820,6728,585,8133,16,136,0,154,2837,263,3249,0,3,0,3,527,72,600,7589,2258,236,10079,32795,3278,46159,12,218,0,237,2350,234,2821,191,163,11,370,1628,147,2146,2194,208,142,2545,2182,354,5084,3765,204,232,4203,1791,373,6364,1799,638,86,2524,4878,416,7815,177,1621,19,1807,6908,518,9227,31,1026,5,1065,5198,433,6690,4,130,0,138,2136,227,2497,0,4,0,7,497,63,571,8181,4209,495,12885,27570,2762,43220,19,326,6,357,5155,514,6019,307,229,11,545,3722,298,4564,3724,349,186,4260,5262,746,10269,7011,334,349,7686,3895,787,12366,3910,898,142,4953,9690,915,15552,653,2303,31,2983,14738,1148,18867,119,1754,9,1879,11922,1014,14821,26,266,0,286,4968,493,5751,0,5,0,10
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,7,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,4,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,4,0,4,25,10,43,3,3,0,11,47,10,71,28,7,0,35,62,40,135,27,5,3,29,45,27,99,13,3,0,13,87,29,130,0,0,0,4,68,32,104,0,0,0,0,44,45,90,0,0,0,0,13,4,18,0,0,0,0,0,0,0,71,17,3,90,397,204,689,3,3,0,4,33,10,48,4,6,4,14,33,7,53,28,0,0,31,47,12,92,32,0,0,33,42,21,97,7,6,0,10,49,17,78,3,4,0,4,72,27,98,0,0,0,0,41,30,72,0,0,0,0,8,4,13,0,0,0,0,4,0,4,76,25,5,99,336,122,561,3,8,0,6,66,18,95,10,6,4,20,86,19,119,55,8,0,62,113,50,228,57,5,3,66,88,52,198,20,11,0,28,134,46,203,3,3,0,5,140,55,199,0,0,0,0,84,71,163,0,0,0,0,22,10,31,0,0,0,0
SOS70,7,172,0,185,2812,338,3340,117,146,7,273,3525,655,4451,2104,254,68,2427,7724,1604,11752,4008,188,130,4321,4096,1202,9620,2126,221,53,2398,4457,959,7817,450,391,13,848,4640,612,6100,111,431,0,538,3069,377,3989,13,88,3,102,1272,152,1528,0,11,0,10,277,46,336,8932,1900,274,11110,31874,5946,48931,26,315,5,355,2569,287,3204,296,236,13,548,2857,372,3779,3465,475,194,4133,6949,1158,12239,4878,337,302,5514,3616,861,9996,1913,490,106,2507,4458,627,7592,189,923,9,1121,4345,472,5936,38,782,10,832,2667,301,3797,10,148,0,158,1243,167,1566,5,9,0,11,335,74,414,10817,3707,646,15168,29029,4322,48524,32,494,5,536,5379,628,6547,418,381,26,824,6380,1028,8228,5574,727,259,6559,14669,2756,23991,8879,528,434,9841,7715,2063,19618,4034,714,157,4907,8912,1591,15409,637,1313,22,1969,8991,1090,12042,145,1213,14,1365,5739,675,7784,19,236,3,259,2513,318,3088,3,13,0,22
SOS71,44,292,11,346,1212,190,1748,122,240,37,398,971,139,1509,930,297,152,1379,2390,489,4255,1360,239,143,1739,1557,362,3662,615,246,77,940,1603,258,2796,132,220,27,379,1773,263,2423,37,136,4,175,993,132,1302,6,27,0,30,325,52,407,0,5,0,6,67,7,72,3238,1704,450,5392,10883,1894,18171,69,314,26,409,987,168,1562,245,261,86,589,836,116,1544,1435,405,273,2112,2324,456,4897,1603,331,236,2171,1306,362,3843,586,446,97,1128,1693,280,3102,84,429,38,553,1744,207,2501,31,213,9,252,871,113,1234,0,26,8,34,363,48,445,3,3,0,5,125,23,156,4058,2430,771,7263,10251,1775,19285,113,603,34,749,2199,357,3309,359,498,129,988,1805,260,3051,2369,706,422,3495,4716,944,9148,2962,569,380,3912,2863,719,7503,1205,690,172,2064,3297,540,5898,216,654,64,936,3514,477,4924,65,348,15,426,1870,242,2535,6,56,6,64,689,95,852,5,6,0,9
SOS72,28,265,19,305,597,89,987,146,211,53,409,520,72,1005,509,299,151,957,866,186,2001,516,197,117,835,639,139,1609,231,255,51,533,719,118,1377,62,154,20,239,687,118,1048,20,78,9,107,381,69,556,3,20,0,24,119,20,164,0,4,0,3,20,0,22,1516,1475,418,3407,4549,817,8767,55,296,32,387,471,110,974,220,257,85,564,399,75,1034,788,340,238,1370,669,165,2208,643,287,184,1113,489,126,1727,230,395,88,706,669,142,1522,36,336,43,417,661,117,1196,16,148,10,172,349,73,599,0,26,3,31,107,10,144,0,10,0,5,19,0,25,1990,2095,684,4767,3837,822,9419,78,561,48,692,1067,198,1958,365,469,135,971,913,151,2039,1299,636,390,2322,1531,356,4211,1165,481,303,1949,1121,265,3334,464,643,134,1242,1397,259,2892,102,489,60,655,1351,236,2248,32,225,23,281,729,142,1152,5,42,7,55,222,27,311,0,9,0,12
SOS73,11,172,5,188,807,226,1218,75,136,23,232,729,302,1271,530,186,51,764,1226,618,2607,862,121,65,1044,834,574,2446,565,161,32,757,1436,538,2733,105,186,19,308,1698,403,2408,27,119,3,150,1138,228,1516,4,24,0,29,390,94,512,0,4,0,4,52,8,63,2177,1098,194,3477,8313,2985,14777,29,168,4,208,685,161,1050,124,161,27,306,551,154,1016,774,202,97,1086,846,327,2255,1078,195,112,1375,643,304,2329,466,310,50,829,1289,311,2425,48,362,16,421,1324,274,2021,18,217,3,241,786,162,1184,3,36,0,42,257,52,346,0,3,0,7,49,8,60,2537,1651,321,4504,6427,1756,12684,44,340,10,391,1490,388,2273,198,293,45,541,1285,465,2283,1311,388,151,1845,2072,945,4862,1936,311,175,2420,1475,881,4771,1026,473,83,1586,2728,847,5154,152,546,41,732,3022,670,4426,40,333,13,388,1924,388,2704,6,56,6,67,644,143,856,0,3,0,7
SOS77,0,0,0,0,5,0,4,0,0,0,0,6,0,6,5,0,0,0,9,4,16,0,0,0,0,13,4,22,0,0,0,6,7,4,18,0,0,0,0,11,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,56,21,83,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,8,0,11,0,0,0,0,5,0,4,0,0,0,3,6,0,6,5,0,0,0,9,4,23,0,0,0,0,13,4,22,0,4,0,5,14,4,19,0,0,0,0,14,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,16,15,30,3,0,0,4,36,48,84,30,0,0,31,159,103,292,62,0,0,64,110,132,305,27,7,0,31,133,151,311,0,3,0,3,181,119,300,4,0,0,0,147,52,205,0,0,0,0,24,11,33,0,0,0,0,4,0,6,125,14,3,140,793,635,1567,0,3,0,3,25,31,64,13,4,0,21,43,39,99,50,8,7,59,167,136,364,84,7,4,97,72,105,268,16,11,0,24,132,124,280,8,3,0,7,161,107,279,0,0,0,0,86,33,114,0,0,0,0,7,0,17,0,0,0,0,0,0,4,165,41,13,218,697,568,1486,0,11,0,11,37,49,95,14,9,0,26,80,82,183,76,5,6,91,325,243,661,146,7,3,155,177,236,573,39,14,0,56,265,270,591,9,10,0,9,341,225,579,4,3,0,9,229,81,318,0,0,0,0,36,16,49,0,0,0,0
SOS80,36,614,4,647,12024,650,13327,189,393,10,587,15289,1102,16986,6332,777,131,7245,29065,2239,38546,17390,549,540,18480,14144,1571,34198,10176,582,287,11045,15543,1113,27701,1825,1650,52,3524,17418,857,21798,245,3130,15,3394,12508,657,16561,42,916,0,963,7296,503,8767,3,57,0,60,2543,258,2861,36240,8671,1039,45946,125829,8950,180737,41,933,3,978,11261,621,12864,492,780,24,1293,14815,984,17090,10055,1308,412,11776,25327,1823,38922,20364,891,1056,22315,11393,1224,34934,9274,1304,404,10976,16380,900,28257,803,4079,54,4945,17755,691,23389,176,5071,32,5282,12958,731,18971,47,1116,9,1177,8775,586,10542,4,45,0,46,3789,478,4313,41262,15521,2000,58782,122455,8028,189264,76,1545,5,1630,23288,1268,26191,679,1170,29,1885,30102,2086,34073,16385,2085,544,19017,54387,4064,77465,37760,1440,1594,40793,25540,2796,69135,19449,1880,693,22024,31925,2004,55949,2630,5733,107,8468,35171,1545,45186,421,8200,46,8671,25464,1391,35529,91,2031,14,2140,16074,1091,19303,9,103,0,107
SOS82,0,0,0,0,22,3,27,0,0,0,0,9,0,9,8,0,0,6,21,0,30,26,0,0,26,16,0,48,20,3,0,23,23,0,47,0,0,0,4,24,3,30,0,7,0,7,20,3,28,0,3,0,3,7,4,15,0,0,0,0,0,0,0,59,10,0,71,155,16,242,0,0,0,0,19,0,22,0,0,0,0,15,0,17,8,7,0,16,10,0,20,36,0,0,36,9,3,49,20,5,0,24,23,0,50,0,7,0,12,31,0,42,0,11,0,7,16,0,29,0,3,0,3,9,0,13,0,0,0,0,3,0,3,66,26,0,94,133,12,240,0,4,0,4,41,3,45,0,0,0,0,29,0,25,16,0,0,21,31,0,49,63,0,0,63,27,3,96,46,7,0,53,43,0,100,0,8,0,8,53,4,73,0,14,0,11,41,5,58,0,6,0,6,18,4,30,0,0,0,0
SOS83,0,0,0,0,21,8,30,0,0,0,0,37,8,47,8,0,0,9,46,13,65,15,0,0,18,7,0,27,4,0,0,4,23,10,41,5,4,0,8,26,6,36,0,0,0,0,24,9,31,0,0,0,0,4,0,6,0,0,0,0,4,0,6,39,8,0,44,187,53,292,0,0,0,0,15,3,15,0,0,0,0,22,6,27,16,0,0,18,28,5,48,21,0,0,21,10,0,29,5,4,0,11,19,10,33,3,13,0,10,20,3,38,0,9,0,9,12,0,19,0,0,0,0,5,0,3,0,0,0,0,5,0,5,45,20,0,68,122,35,221,0,0,0,0,36,7,51,0,4,0,4,56,18,75,31,4,0,29,71,17,115,35,0,0,35,17,3,61,15,4,0,19,34,20,75,8,17,0,19,46,12,72,0,8,0,8,36,11,52,0,3,0,3,9,0,9,0,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,20,4,23,5,0,0,7,28,7,44,9,3,0,10,38,11,60,11,0,0,10,23,30,62,9,0,0,9,28,19,53,0,7,0,7,23,16,38,0,4,0,4,14,10,21,0,0,0,0,3,0,6,0,0,0,0,0,0,0,28,17,0,42,176,97,315,0,0,0,5,36,0,37,3,0,0,6,30,4,40,8,0,0,13,36,7,53,8,6,0,15,13,7,33,8,4,0,6,12,8,30,0,4,0,5,24,8,35,0,5,0,3,0,4,10,0,0,0,0,4,0,8,0,0,0,0,0,0,0,35,20,0,52,159,31,249,0,4,0,5,49,4,58,7,3,0,11,65,7,82,13,9,0,20,70,17,108,22,8,0,26,38,35,104,13,4,0,13,40,27,77,0,11,0,5,47,22,78,0,7,0,3,17,11,34,0,0,0,0,12,0,10,0,0,0,0
SOS91,0,0,0,0,16,3,23,0,0,0,0,15,6,27,22,0,0,24,58,31,116,35,0,0,42,27,24,90,27,0,0,28,56,27,115,11,8,0,18,69,10,97,0,8,0,3,79,20,107,0,0,0,0,12,0,15,0,0,0,0,4,0,4,97,17,3,117,340,126,577,0,0,0,0,28,3,34,3,0,0,5,12,3,19,32,4,0,35,36,23,88,56,3,4,61,29,23,112,26,0,0,28,54,12,98,4,7,0,16,53,18,84,0,3,0,3,38,4,42,0,0,0,0,9,3,9,0,0,0,0,0,0,0,120,16,4,146,265,86,494,0,0,0,0,46,8,51,3,0,0,7,28,13,45,51,4,0,55,89,53,202,93,5,3,103,59,41,206,56,5,0,57,111,43,209,13,16,0,28,123,23,181,0,7,0,7,114,25,150,0,0,0,0,26,0,26,0,0,0,0
SOS92,0,6,0,6,40,9,52,0,0,0,0,39,8,52,22,0,3,24,46,12,90,61,0,3,69,60,20,145,40,3,4,44,77,24,143,11,15,0,28,165,33,228,0,12,0,16,108,17,141,0,4,0,4,58,16,82,0,0,0,0,21,0,22,136,52,8,196,621,138,949,0,8,0,8,35,14,51,8,10,0,15,41,7,65,39,11,5,43,46,18,110,75,7,9,97,42,26,164,38,13,5,55,88,15,155,6,36,0,41,170,28,244,0,19,0,19,140,13,169,0,7,0,7,66,16,84,0,0,0,0,25,0,29,162,106,14,281,646,137,1070,0,10,0,10,75,22,106,8,14,0,19,80,16,118,59,8,6,73,96,32,202,138,12,18,163,100,46,311,80,15,4,99,165,38,296,15,50,0,71,338,63,471,0,32,0,35,251,33,314,0,8,0,8,122,29,162,0,0,0,0
SOS93,0,0,0,0,18,0,17,0,0,0,0,9,25,38,3,0,0,4,12,113,137,13,0,0,15,11,62,94,10,5,5,13,35,36,87,7,0,0,4,39,19,58,3,4,0,9,54,7,71,0,0,0,0,18,10,32,0,0,0,0,9,0,6,37,13,3,58,208,268,536,0,3,0,3,12,7,20,0,5,0,4,10,4,17,12,4,0,11,17,13,40,20,0,0,18,12,0,33,11,5,5,15,34,13,70,3,11,0,11,41,10,60,0,3,0,8,29,9,47,0,3,0,3,28,3,39,0,0,0,0,3,0,4,45,25,5,73,193,54,330,0,3,0,3,27,4,31,0,5,0,4,24,25,52,12,8,0,17,32,121,173,30,0,3,34,24,64,125,19,9,7,30,75,46,158,4,14,0,17,76,23,119,6,11,0,13,88,16,119,0,3,0,3,47,12,66,0,0,0,0
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
