SOS_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,11,6,18,11,6,0,64,0,0,0,0,0,0,0,0,0,4,0,0,3,7,0,0,0,0,0,9,0,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,11,0,0,4,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SOS50,6,25,51,337,170,167,117,63,14,955,53,583,1358,7241,2672,2031,1051,312,175,15468,0,19,21,327,215,431,572,337,220,2138,8,122,132,296,88,126,162,121,59,1112,171,2544,5588,15359,13700,17289,13143,9580,3648,81024,0,19,33,202,97,117,53,26,5,552,12,66,106,934,252,182,116,73,29,1769,9,96,201,1354,664,630,970,636,202,4759,3,12,38,79,55,114,229,286,223,1032,34,165,363,1420,415,447,359,84,36,3322,241,1614,2220,15481,2753,2215,1800,1110,440,27878,62,332,705,3640,1522,798,652,220,65,7990,12,145,265,1581,393,307,191,71,36,2998,7,115,182,789,314,153,79,29,0,1667,39,399,449,3525,914,908,764,508,200,7707,8,95,153,1028,395,788,2081,1893,1379,7826,46,138,200,1364,815,298,156,59,18,3091,33,180,191,2059,519,225,96,26,3,3334,3,23,26,162,100,125,71,23,6,540,65,638,1552,5979,2657,2548,2465,897,250,17056
SOS51,0,0,0,53,15,12,0,0,0,88,0,12,35,339,99,62,15,8,0,573,0,0,3,13,4,14,15,10,4,69,4,8,0,22,0,0,9,3,5,48,19,204,415,1715,1605,2447,2036,1558,592,10578,0,7,12,57,25,21,8,3,0,133,0,4,20,152,26,29,14,13,3,262,0,8,34,281,118,125,211,124,43,940,0,0,0,11,5,12,8,10,5,46,3,4,5,61,13,16,10,0,0,123,15,95,46,679,94,66,65,52,21,1127,9,47,37,309,117,36,27,10,3,593,0,5,3,43,11,4,0,0,0,65,0,4,3,16,4,3,0,0,0,34,5,33,36,288,86,71,88,46,10,666,0,5,8,102,25,56,141,139,96,571,6,5,9,98,50,9,5,5,0,184,0,5,9,143,11,3,6,0,0,180,0,0,0,9,0,4,3,4,0,28,0,7,24,178,71,70,41,20,5,430
SOS52,0,0,0,3,0,0,0,0,0,8,0,0,8,15,13,0,0,0,0,41,0,0,0,0,0,4,8,0,0,12,0,0,0,0,0,0,0,0,0,3,0,12,40,211,230,416,361,244,57,1569,0,3,0,8,5,0,0,0,0,21,0,0,3,18,3,4,4,0,0,35,0,0,4,36,12,17,37,22,3,142,0,0,0,0,3,0,0,0,0,7,0,0,0,4,0,0,0,0,0,12,3,9,6,54,10,18,8,4,5,102,0,3,0,21,7,4,4,0,0,46,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,44,8,12,3,7,0,92,0,0,0,11,0,4,11,16,12,53,0,0,0,12,0,0,4,0,0,21,0,0,0,9,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,10,3,5,0,33
SOS53,0,0,0,9,6,0,6,0,0,20,0,0,3,44,32,24,10,6,0,124,0,0,0,4,5,10,21,17,8,59,0,0,0,0,0,0,7,0,0,8,3,77,167,715,1031,1706,1149,577,136,5565,0,0,0,12,9,5,0,0,0,26,0,4,5,62,14,19,12,6,0,125,4,5,20,136,73,81,102,39,6,463,0,0,0,0,0,6,8,7,0,14,0,0,4,15,8,4,5,0,0,43,0,0,9,36,16,34,29,21,4,146,0,7,0,56,26,7,16,0,0,118,0,0,0,4,0,5,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,8,89,27,38,38,20,9,227,4,0,3,36,8,34,98,59,29,284,0,0,4,39,13,9,5,3,0,70,0,0,4,21,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,3,5,0,15,56,29,46,25,11,0,179
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,4,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,44,18,45,31,4,0,155,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,15,0,0,4,7,3,3,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,3,0,0,20,0,0,0,12,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
SOS60,0,0,0,33,19,13,13,5,5,77,5,88,266,2353,107,104,67,30,9,3028,0,0,3,9,8,12,25,21,9,82,9,3,8,7,3,4,5,3,0,44,9,78,88,324,388,650,690,602,274,3101,0,3,3,16,15,19,10,13,0,81,0,6,4,52,14,12,11,4,4,101,0,7,9,70,36,57,88,100,53,429,0,0,4,13,13,19,38,75,27,190,5,17,41,175,26,19,17,0,5,302,20,93,171,1197,74,45,32,24,13,1665,0,7,35,93,26,9,12,0,0,188,0,18,22,61,14,10,0,4,0,125,0,9,10,10,7,7,3,0,0,39,0,3,12,30,19,30,29,28,10,166,0,0,0,29,9,21,34,63,36,204,0,6,24,89,42,15,17,3,3,200,0,11,17,159,37,19,8,5,0,259,0,0,7,5,4,8,3,0,0,26,3,13,80,219,56,44,43,14,3,482
SOS61,0,0,0,17,10,13,3,3,0,41,3,23,63,454,60,43,19,0,0,671,0,0,0,0,0,6,0,7,0,14,0,11,3,16,4,3,0,0,0,41,4,38,68,252,292,721,976,863,336,3534,0,0,0,21,11,9,7,0,0,56,0,0,0,16,9,7,10,4,4,46,0,0,10,29,34,42,89,78,28,310,0,0,0,0,0,8,5,12,0,27,0,7,8,64,4,13,12,0,0,114,10,40,62,544,42,40,16,14,5,770,5,3,7,54,17,10,10,5,0,115,0,52,37,31,10,0,6,0,0,137,0,4,3,12,0,0,0,0,0,22,0,6,3,22,9,17,33,28,9,122,0,0,0,18,0,17,26,28,24,127,0,5,0,35,13,10,10,0,0,74,0,4,11,71,10,10,3,0,0,99,0,4,0,7,0,4,0,0,0,16,3,21,38,123,28,27,28,10,0,274
SOS62,0,0,0,0,0,5,3,0,0,5,0,5,5,28,3,0,3,4,0,42,0,0,0,0,0,0,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,5,16,51,61,174,214,127,36,695,0,0,0,0,3,0,0,0,0,5,0,0,0,8,4,5,0,0,0,24,0,6,0,9,6,7,12,19,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,3,10,0,3,0,0,4,26,0,0,0,0,6,0,0,0,0,14,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,13,0,0,0,5,0,0,5,3,3,17,0,0,0,3,3,4,0,0,0,12,0,0,0,10,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,10,3,0,0,25
SOS63,0,0,4,9,5,6,3,0,0,25,3,4,9,63,15,12,9,4,0,120,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,3,0,0,5,3,24,26,168,313,655,618,294,58,2164,0,0,0,3,7,5,3,0,0,14,0,6,0,16,5,16,7,0,4,49,0,0,9,53,31,81,62,36,5,279,0,0,0,5,0,3,4,4,0,12,0,0,0,12,3,0,0,0,0,26,0,3,0,42,8,9,9,12,3,80,0,3,0,21,6,7,9,4,0,52,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,16,17,8,3,76,0,0,0,3,0,10,16,7,0,35,0,7,0,26,20,9,0,3,0,58,0,3,0,26,8,10,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,5,0,0,56
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,0,0,3,21,3,0,5,0,0,30,0,23,90,481,111,65,36,15,5,838,0,0,0,0,0,0,0,3,0,8,0,0,3,4,5,0,7,0,0,19,10,53,90,452,261,312,208,130,45,1559,0,9,10,66,30,17,8,3,0,148,0,6,7,70,7,5,9,12,0,114,3,4,13,105,42,37,38,35,13,292,0,30,39,128,47,78,112,66,12,502,0,6,3,70,16,25,24,0,0,150,17,147,149,1105,156,95,68,15,5,1748,6,40,56,369,174,93,61,15,4,824,0,0,5,23,5,0,0,0,0,27,0,0,0,0,5,0,0,0,0,3,0,21,17,206,11,9,8,6,0,288,0,0,3,50,13,10,25,24,7,136,0,6,8,49,29,6,3,3,0,109,0,3,6,116,20,3,0,0,0,155,0,0,0,9,0,0,0,0,0,13,0,16,19,109,45,55,55,28,7,332
SOS71,0,0,0,6,0,0,0,0,0,11,0,0,10,117,18,9,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,5,0,21,15,105,65,110,49,29,6,396,0,4,7,27,20,12,5,8,0,86,0,0,3,27,0,3,6,0,0,42,0,0,0,34,10,10,7,0,3,74,0,0,0,5,0,0,0,0,0,11,0,0,0,18,3,4,0,0,0,30,10,33,27,371,37,35,21,0,0,537,0,3,4,47,4,4,0,0,0,63,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,23,5,9,3,3,0,47,0,6,4,7,3,3,4,6,3,37,0,0,0,13,8,0,0,0,0,24,0,0,0,24,0,0,0,0,0,30,0,0,0,0,4,0,0,0,0,4,0,0,0,20,3,8,5,0,0,39
SOS72,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,23,31,11,6,0,104,0,0,0,0,5,0,0,0,0,10,0,0,0,4,0,0,0,0,0,3,0,0,0,5,8,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,19,0,0,0,12,4,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,9
SOS73,0,0,0,3,0,0,0,0,0,9,0,0,4,13,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,88,70,112,56,28,6,366,0,0,0,4,3,0,0,0,0,16,0,0,6,13,3,4,0,0,0,26,0,0,3,32,11,10,7,3,0,73,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,5,0,9,0,3,0,0,0,23,0,0,0,21,10,4,3,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,5,7,0,28,0,0,0,9,3,0,6,3,0,14,0,0,0,8,0,0,0,0,0,7,0,4,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,6,5,0,0,32
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,18,7,14,9,0,0,61,0,0,0,3,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,14,0,0,3,3,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7
SOS80,4,12,10,124,79,86,88,48,9,446,21,136,877,3712,753,693,410,146,55,6802,0,4,10,55,49,117,246,165,69,715,0,32,23,86,20,25,25,16,8,243,27,268,521,1002,866,1292,1214,882,379,6453,0,17,50,215,100,92,54,37,3,568,3,32,45,154,70,45,28,11,6,385,3,22,51,220,126,139,293,245,101,1191,0,3,11,31,27,66,138,191,72,543,4,40,113,394,120,168,107,16,7,965,48,506,739,5160,705,452,302,123,41,8078,8,50,77,365,137,83,76,21,14,829,0,15,46,305,60,50,39,12,3,534,0,27,30,147,50,44,22,12,3,333,0,33,27,113,61,64,64,49,18,437,0,13,25,117,65,145,236,237,123,953,8,30,53,244,144,63,44,12,6,613,16,57,136,837,197,93,41,18,5,1393,0,8,8,60,43,43,37,7,4,219,3,59,149,573,255,233,188,72,26,1567
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,30,26,27,20,5,0,121
SOS92,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,5,0,30,0,0,4,3,7,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,0,0,0,12
SOS93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,3,4,0,31
