SOS_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SOS69,5,18,46,36,42,20,3,0,0,174,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,4,0,0,0,22,5,3,3,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,3,7,0,0,0,0,0,11,0,0,0,4,3,0,0,0,0,5,0,0,7,0,10,5,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3
SOS70,1444,3174,9251,7711,6087,4231,1301,127,14,33330,4,15,38,34,33,24,3,0,0,160,7,15,76,59,44,28,5,0,0,221,26,49,81,101,87,49,15,0,0,408,0,11,82,100,75,49,5,0,0,320,21,48,227,223,198,137,20,0,0,865,5,22,71,69,60,31,9,0,0,274,369,355,693,458,423,284,89,5,0,2678,524,332,880,506,281,189,43,3,0,2758,26,61,159,150,119,100,24,3,0,643,10,25,63,53,22,26,6,0,0,204,4,30,172,127,103,38,11,0,0,493,9,37,128,113,96,63,27,8,0,481,27,140,584,446,321,218,71,8,0,1811,23,74,290,265,243,141,38,3,0,1077,68,447,1495,1548,1313,806,156,10,0,5847,86,239,892,1067,939,640,142,14,0,4019,97,547,2456,1718,1107,810,219,12,0,6953,75,101,186,117,98,54,19,0,0,651,60,100,342,307,198,118,38,5,0,1169
SOS71,443,706,2705,2385,1796,1569,479,47,4,10139,5,4,11,8,3,3,0,0,0,41,3,3,24,17,18,3,0,0,0,68,10,6,19,16,16,8,0,0,0,79,3,0,9,8,10,9,0,0,0,36,7,20,56,58,44,35,7,4,0,231,3,5,21,19,15,13,6,0,0,84,134,64,212,114,101,103,28,0,0,768,83,46,207,95,65,65,14,0,0,585,0,7,42,22,33,32,6,0,0,147,8,7,17,14,9,8,0,0,0,57,3,4,30,24,8,11,0,0,0,84,7,8,25,16,13,19,8,0,0,92,8,15,144,99,81,50,14,6,0,412,0,20,66,61,50,46,11,0,0,255,19,95,411,384,350,246,51,0,0,1564,59,94,393,359,363,277,76,4,0,1631,48,221,1003,758,587,423,124,5,0,3172,27,26,65,47,39,28,18,0,0,254,17,30,105,105,77,52,20,0,0,402
SOS72,103,266,711,723,639,521,172,17,0,3152,3,11,12,13,6,9,4,0,0,48,0,9,22,21,6,5,0,0,0,64,0,0,4,8,8,4,0,0,0,23,0,0,4,0,10,0,0,0,0,10,4,3,7,14,9,12,3,0,0,51,0,0,6,4,7,4,0,0,0,20,24,13,70,61,49,41,5,0,0,265,33,63,79,51,36,31,6,0,0,301,4,7,18,8,10,6,3,0,0,57,0,0,7,0,0,0,0,0,0,11,0,0,0,7,3,7,0,0,0,18,0,0,0,0,0,5,0,0,0,11,0,0,14,10,16,16,6,0,0,60,4,8,18,21,23,13,4,0,0,91,11,36,119,148,132,82,27,0,0,556,14,49,176,164,173,140,27,0,0,753,13,32,129,107,103,113,22,0,0,518,3,17,26,34,29,22,8,5,0,141,3,0,23,25,22,15,6,0,0,98
SOS73,431,649,1473,1479,1749,1343,419,68,0,7609,53,114,138,103,100,68,28,9,0,612,9,9,19,21,23,10,0,0,0,90,14,19,21,11,22,24,3,0,0,108,0,4,14,21,19,11,0,0,0,62,11,9,67,86,93,62,13,0,0,338,3,6,20,23,28,16,0,0,0,108,95,46,67,74,100,85,23,0,0,497,94,36,87,64,62,61,14,0,0,413,3,8,23,20,53,36,4,0,0,153,0,0,0,8,8,3,0,0,0,20,0,3,21,10,14,6,3,0,0,66,0,7,16,26,24,16,6,0,0,100,12,13,49,72,76,49,12,0,0,294,10,13,33,46,60,49,4,0,0,212,15,74,230,277,284,182,29,0,0,1092,37,48,172,232,262,161,37,0,0,949,27,63,164,171,218,165,40,5,0,850,10,19,48,38,41,21,15,0,0,183,13,19,38,42,44,40,11,0,0,209
SOS77,0,3,16,10,9,9,0,0,0,56,0,3,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,3,17,76,67,36,26,11,0,0,242,0,0,12,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,4,4,0,6,0,0,0,0,20,4,3,28,3,3,0,0,0,0,49,0,0,4,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,9,5,0,0,0,0,0,8,0,0,8,13,5,0,0,0,0,25,0,3,0,3,4,0,0,0,0,6,0,0,5,4,7,0,0,0,0,19,0,0,0,4,7,0,0,0,0,20,0,0,12,6,6,6,3,0,0,38,0,0,4,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0
SOS80,6029,12732,32808,30317,23945,14537,4186,568,58,125176,12,26,39,42,22,47,28,6,0,224,0,3,7,8,3,0,0,0,0,27,161,148,260,207,202,126,41,13,0,1156,8,51,183,156,108,41,5,0,0,553,55,181,599,489,379,207,43,8,0,1964,20,72,113,97,106,78,22,0,0,505,1752,1749,1870,1010,861,733,253,22,0,8241,2213,1750,1691,774,481,372,83,9,0,7367,21,71,233,217,239,168,41,4,0,991,52,155,377,360,304,162,37,13,0,1460,14,145,545,506,340,212,59,8,0,1831,36,226,458,340,238,182,56,15,3,1557,174,1295,3454,2979,2031,1104,302,42,0,11373,80,298,946,732,608,473,135,11,3,3286,276,2450,9588,11012,9122,4351,584,24,0,37407,672,1358,3438,3899,3485,2162,539,48,0,15609,490,2277,6088,4852,3755,2738,679,44,0,20927,332,443,542,432,347,229,88,13,0,2436,304,531,935,768,629,415,140,8,0,3727
SOS82,10,12,30,41,46,19,3,5,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,6,3,6,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,11,15,13,11,0,0,0,51,0,0,0,7,14,5,0,0,0,29,5,9,0,6,10,0,0,0,0,26,0,3,0,0,0,0,0,0,0,3,0,6,3,0,0,0,0,0,0,7
SOS83,20,35,53,28,29,24,16,0,0,209,0,0,3,0,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,9,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,8,15,9,3,0,0,0,0,26,0,0,4,4,8,0,0,0,0,12,0,0,6,0,6,3,0,0,0,18,0,0,6,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,3
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,10,18,30,23,14,5,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,12,8,3,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,3,9,5,0,5,0,0,0,23,0,4,3,0,4,3,0,0,0,13,0,3,9,4,0,5,0,0,0,20,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5
SOS91,8,16,77,65,79,73,50,0,0,382,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,3,0,0,0,9,0,0,4,6,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,0,0,0,0,10,0,0,4,5,5,3,0,0,0,21,0,0,5,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,9,4,0,3,9,10,5,0,0,0,25,0,3,22,28,19,7,3,0,0,88,0,0,10,8,11,4,5,0,0,42,0,0,6,8,5,7,4,0,0,18,8,0,3,4,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4
SOS92,34,38,71,118,108,167,50,15,0,595,0,0,3,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,4,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,4,5,0,19,20,23,16,4,0,94,18,13,16,19,21,21,12,0,0,116,0,0,3,0,4,0,0,0,0,16,0,0,5,0,0,0,0,0,0,7,0,0,6,3,3,3,0,0,0,12,0,0,0,4,0,4,0,0,0,8,0,0,0,6,3,14,0,0,0,21,0,4,4,14,13,15,7,0,0,57,6,5,4,15,11,17,3,0,0,64,0,8,17,13,4,24,3,0,0,70,0,6,13,13,21,28,16,3,0,86,0,0,0,0,5,7,0,0,0,15,0,0,0,0,4,9,0,0,0,9
SOS93,5,9,18,26,38,30,26,5,3,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,0,0,20,6,0,6,0,4,7,4,0,0,26,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,10,0,0,6,3,0,4,0,0,0,12,0,0,4,4,11,3,0,0,0,26,0,0,4,4,6,3,0,0,0,16,0,0,3,4,4,3,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
