SOS_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS49,43,42,129,81,59,57,14,0,0,423,57,40,102,88,76,114,106,23,7,613,19,16,74,79,46,25,17,0,3,273,112,95,305,245,178,197,141,26,10,1306,3,19,112,92,77,45,11,0,0,351,18,34,77,41,36,39,15,0,0,264,4,3,17,19,12,22,3,0,0,70,0,3,8,4,0,7,0,0,0,38,32,61,211,156,128,106,26,4,0,724,11,10,35,33,30,25,0,0,0,152,25,15,24,18,17,14,3,0,0,112,35,29,62,55,38,40,3,0,0,266,65,87,272,205,172,147,34,4,0,989,86,80,193,161,172,241,262,55,7,1266,30,39,161,163,136,120,62,4,3,719,186,206,627,534,478,513,359,64,11,2975
SOS50,34082,50930,117044,116960,105934,75562,18318,1580,108,520512,21810,9743,26492,27761,22715,38488,73514,47993,21164,289677,1999,2864,7409,5970,4754,3991,3777,3778,3295,37841,57892,63540,150941,150691,133403,118041,95610,53346,24562,848032,9233,43281,150955,155707,142708,94321,17421,1033,51,614708,43343,46587,62599,67913,56742,49268,21970,3213,199,351838,1799,3006,11862,9237,6620,7444,2272,254,24,42518,832,2076,4643,3249,2483,1591,510,177,63,15614,55204,94947,230057,236108,208557,152624,42173,4679,336,1024680,2221,4220,6873,5600,5495,4330,659,40,3,29440,9167,3988,4289,3707,2899,2758,949,83,8,27842,11383,8208,11161,9306,8393,7086,1608,130,13,57284,66590,103155,241217,245414,216952,159706,43783,4805,342,1081965,47822,18915,37585,37559,34439,60276,131037,88110,34480,490236,4131,6275,17088,14951,12296,9698,7494,6627,5115,83679,118535,128352,295897,297929,263686,229678,182320,99540,39936,1655875
SOS51,6456,6807,18073,19919,19441,14437,3474,322,22,88947,3540,1615,5322,4458,3861,7397,14021,8965,3740,52915,823,928,2471,2212,1903,1594,1292,996,682,12894,10821,9350,25862,26589,25204,23429,18788,10277,4441,154756,3205,8687,23888,25265,25552,18065,3475,221,6,108365,7425,3833,9276,11447,10028,9265,3914,557,36,55783,456,583,2360,1883,1828,2057,588,72,9,9854,264,369,817,665,541,390,125,56,23,3241,11348,13471,36346,39263,37955,29778,8100,912,69,177243,529,679,990,793,854,665,87,5,0,4607,985,348,559,542,448,505,150,14,5,3545,1510,1030,1550,1338,1305,1169,236,24,4,8153,12862,14494,37898,40600,39255,30943,8335,928,74,185394,7702,2788,7404,6597,6345,12104,25999,16900,6177,92013,1820,1956,5261,4951,4532,3766,2663,1839,1092,27884,22391,19240,50560,52149,50132,46811,36993,19669,7350,305293
SOS52,614,781,2090,2267,2477,2331,643,87,8,11287,771,511,1092,905,887,1477,2501,1491,519,10148,146,170,381,383,377,413,324,238,112,2547,1531,1461,3567,3557,3733,4222,3469,1818,636,23984,389,971,2676,2685,3161,2892,744,81,4,13598,561,451,1053,1291,1296,1502,665,123,11,6947,52,73,273,223,290,369,132,21,4,1442,55,65,144,110,110,116,37,17,10,661,1051,1553,4147,4315,4856,4876,1583,242,26,22648,83,131,204,187,176,161,32,0,0,968,88,51,99,105,91,90,33,4,0,551,170,181,304,288,265,246,63,8,0,1523,1220,1733,4451,4598,5125,5125,1650,243,25,24167,1624,847,1641,1480,1558,2551,4960,2958,914,18528,291,334,808,819,910,949,717,477,196,5507,3135,2915,6906,6899,7596,8621,7322,3685,1134,48211
SOS53,2245,2240,4933,6880,8890,8114,2583,433,27,36343,1601,477,1528,1526,1775,3556,5614,2773,705,19560,342,366,845,908,1016,993,723,362,76,5627,4187,3081,7309,9310,11683,12660,8919,3563,805,61530,1387,3313,7520,9249,12429,10784,3212,568,55,48517,2491,1446,2597,4255,4983,5523,2879,671,74,24913,192,233,740,747,976,1197,450,68,5,4595,148,151,264,294,336,290,165,97,21,1763,4212,5141,11122,14540,18726,17795,6706,1400,147,79789,145,175,268,275,312,308,54,0,0,1533,320,101,119,141,162,193,74,4,0,1119,469,280,388,412,471,502,129,8,0,2649,4679,5420,11505,14951,19195,18296,6830,1407,153,82437,3488,1192,3180,3119,3289,6201,11429,5862,1330,39083,760,1113,2685,2736,2932,2634,1706,800,164,15541,8927,7726,17368,20805,25420,27127,19970,8074,1649,137066
SOS57,0,5,8,9,5,0,0,0,0,29,0,0,0,0,0,0,5,0,0,9,0,5,3,3,8,0,0,0,0,19,3,11,14,11,9,3,4,0,0,61,0,20,62,85,56,25,3,0,0,243,0,0,0,3,5,0,0,0,0,18,0,0,4,0,3,6,0,0,0,13,0,0,0,0,0,0,0,0,0,5,5,17,62,95,59,33,5,0,0,277,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,17,62,96,59,34,5,0,0,277,0,0,0,0,4,3,7,0,0,18,3,15,46,73,50,21,3,0,0,220,6,31,116,170,109,62,18,0,0,516
SOS59,43,111,281,177,122,123,23,0,0,875,44,47,155,157,127,200,207,27,5,967,57,104,259,276,224,154,93,16,12,1193,147,256,692,613,468,477,316,38,16,3030,16,90,328,188,158,117,16,0,0,915,33,73,118,102,56,75,26,0,0,484,0,17,45,60,28,25,6,0,0,181,3,4,11,4,5,0,0,0,0,33,53,185,501,355,248,216,45,0,0,1614,13,31,69,68,57,33,5,0,0,274,13,18,24,28,21,16,3,0,0,117,24,48,92,89,75,48,7,0,0,392,72,235,596,442,332,265,57,3,0,2000,89,93,265,290,249,396,465,89,10,1955,98,230,647,802,737,481,235,67,18,3326,261,562,1512,1543,1313,1144,758,155,30,7285
SOS60,2764,4704,13498,10433,9593,7442,1814,164,15,50424,2163,1208,2686,2074,1980,4217,8661,6091,2776,31861,196,260,717,494,389,386,469,430,292,3633,5121,6173,16898,12997,11958,12048,10946,6683,3084,85913,635,3583,14667,11959,11768,7921,1315,85,3,51942,3273,4243,9651,6966,5471,5249,2322,319,15,37508,204,304,1102,790,648,698,231,36,4,4015,71,170,521,224,178,119,53,16,7,1357,4176,8301,25942,19936,18066,13991,3925,449,32,94821,245,598,1286,579,365,284,38,0,0,3405,872,626,853,359,264,221,75,0,0,3269,1117,1225,2139,942,625,508,114,4,0,6673,5296,9527,28084,20878,18690,14501,4039,459,32,101497,4788,2384,4489,3441,3486,7407,15409,10744,4417,56557,401,513,1464,1001,838,799,865,757,432,7073,10486,12423,34039,25323,23007,22706,20305,11961,4881,165131
SOS61,3381,4775,10978,9765,10559,8680,1936,155,14,50243,2216,1161,2995,2616,2885,5698,11590,8121,3444,40737,262,333,674,535,546,590,722,732,418,4807,5862,6268,14647,12919,13987,14969,14251,9006,3877,95790,1145,4783,12963,11172,12114,9212,1525,78,8,52999,3943,3482,7226,6543,6301,6361,2370,309,22,36558,253,312,1155,737,777,998,277,29,5,4544,129,221,415,220,243,183,87,42,11,1550,5476,8795,21757,18670,19430,16760,4264,455,45,95653,329,657,909,584,579,420,56,0,0,3540,669,395,509,342,340,368,69,9,0,2702,997,1048,1415,925,920,792,126,9,3,6239,6470,9847,23173,19595,20349,17554,4389,472,46,101895,4994,2110,4416,4006,4930,9648,20995,14707,5493,71297,574,693,1439,1175,1163,1212,1403,1251,699,9608,12036,12648,29031,24774,26444,28412,26785,16431,6236,182793
SOS62,378,427,1177,1276,1537,1511,368,33,4,6711,282,114,299,308,389,1020,1873,1047,336,5666,27,31,91,87,108,146,140,132,60,826,690,578,1570,1676,2032,2672,2381,1209,401,13209,156,495,1368,1483,1735,1445,316,27,0,7018,419,324,771,898,1013,1235,474,72,8,5210,36,34,165,114,126,200,73,10,0,755,19,31,52,44,63,51,15,8,4,293,627,881,2360,2533,2946,2928,879,118,8,13276,31,56,67,57,86,79,12,0,0,388,52,26,52,44,40,67,26,0,0,312,82,77,118,103,127,148,35,6,0,696,712,959,2478,2633,3070,3075,913,118,6,13974,642,206,431,485,704,1833,3681,2109,589,10681,79,93,187,168,217,294,326,246,112,1715,1429,1264,3096,3281,3990,5201,4914,2475,703,26369
SOS63,1491,1639,3782,4979,5974,5403,1290,187,10,24764,1185,366,961,1015,1439,3309,4998,2094,496,15865,146,131,343,372,396,514,403,223,63,2593,2821,2146,5084,6364,7815,9227,6690,2497,571,43220,797,1948,4626,5769,7105,5871,1390,204,13,27731,1703,1123,2477,3368,3944,4458,1764,317,33,19193,133,127,463,441,555,714,194,35,10,2667,65,104,158,192,219,191,81,34,12,1060,2695,3310,7720,9770,11818,11234,3434,599,65,50648,129,208,269,161,238,263,30,3,0,1301,269,110,119,124,136,213,42,0,0,1009,391,316,382,290,371,473,74,0,0,2304,3091,3626,8103,10062,12191,11709,3508,601,65,52957,2608,668,1440,1543,2488,6058,10377,4690,976,30840,322,259,718,766,877,1108,937,457,132,5582,6019,4564,10269,12366,15552,18867,14821,5751,1169,89376
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,0,0,19
SOS69,20,20,49,44,29,30,5,0,0,194,24,22,29,37,31,49,36,10,0,244,10,7,11,24,17,22,26,5,0,122,48,53,92,97,78,98,72,13,4,561,3,17,43,35,30,15,3,0,0,149,7,21,22,29,29,16,4,0,0,126,3,3,11,5,0,10,0,0,0,26,0,0,0,0,3,0,0,0,0,10,12,33,79,69,63,42,9,0,0,309,12,21,17,12,22,4,0,4,0,94,9,7,12,9,3,12,0,0,0,46,18,27,32,17,25,14,0,4,0,139,31,58,109,85,90,54,13,4,0,445,42,43,64,65,75,93,77,22,3,485,19,16,49,54,41,50,71,11,0,314,95,119,228,198,203,199,163,31,3,1248
SOS70,1741,2925,9595,7924,6056,4010,1002,94,0,33348,1219,515,1604,1285,952,1485,2518,1317,350,11242,250,337,1040,787,587,442,275,150,63,3934,3204,3779,12239,9996,7592,5936,3797,1566,414,48524,674,3671,12818,11190,9178,5868,1290,86,12,44780,2069,1895,4328,3277,2159,1662,818,110,6,16323,114,207,939,687,479,467,143,12,0,3052,78,155,392,228,167,125,34,9,7,1183,2939,5931,18475,15382,11984,8119,2280,213,20,65347,169,242,451,305,241,216,45,6,0,1655,348,149,247,150,107,91,37,9,0,1141,512,387,699,451,340,308,79,9,0,2797,3451,6322,19173,15829,12326,8431,2365,222,17,68141,2591,1116,2621,2127,1747,2623,4804,2587,622,20845,502,790,2192,1662,1331,993,619,280,105,8466,6547,8228,23991,19618,15409,12042,7784,3088,749,97454
SOS71,547,820,3178,2454,2049,1534,414,33,5,11036,905,612,1281,1051,792,775,711,361,144,6631,116,112,428,331,265,198,110,51,11,1615,1562,1544,4897,3843,3102,2501,1234,445,156,19285,287,955,4185,3370,2889,2277,533,35,0,14537,547,329,1015,1023,610,574,268,38,0,4413,30,67,325,220,172,144,71,0,0,1023,38,63,154,101,79,48,15,6,0,510,908,1413,5676,4710,3748,3045,890,80,0,20477,104,160,296,202,142,71,14,0,0,990,104,76,136,96,62,42,15,3,0,539,207,240,427,303,205,116,26,7,0,1532,1111,1652,6106,5018,3951,3160,917,91,4,22006,1943,1168,2194,1810,1432,1328,1387,672,206,12146,255,232,845,670,518,434,233,93,23,3301,3309,3051,9148,7503,5898,4924,2535,852,231,37454
SOS72,204,356,890,837,719,569,131,8,0,3710,716,616,1147,768,672,517,400,126,26,4988,59,65,170,121,123,110,71,8,0,725,974,1034,2208,1727,1522,1196,599,144,25,9419,94,313,909,892,885,742,182,10,0,4033,119,156,407,449,306,221,88,17,0,1759,18,28,90,66,68,70,13,6,0,355,17,23,58,55,43,34,11,0,0,238,245,529,1468,1456,1303,1061,299,33,0,6382,96,154,227,151,83,44,0,0,0,761,40,61,74,65,28,17,0,0,0,286,136,207,303,216,109,66,6,0,0,1045,380,738,1767,1671,1407,1124,303,31,0,7422,1467,1176,2085,1412,1244,898,730,254,52,9306,114,123,353,256,241,223,126,23,3,1458,1958,2039,4211,3334,2892,2248,1152,311,48,18192
SOS73,482,580,1370,1480,1687,1160,279,20,3,7057,456,285,582,548,449,597,752,279,57,4006,120,150,305,299,284,263,149,50,3,1620,1050,1016,2255,2329,2425,2021,1184,346,60,12684,381,835,2000,2094,2462,1671,391,49,0,9884,427,266,516,567,631,574,213,32,5,3226,29,41,166,153,188,166,51,3,0,798,28,48,70,66,73,47,32,3,0,363,861,1184,2756,2877,3360,2459,694,86,8,14269,66,84,149,108,123,72,19,0,0,628,49,11,41,37,44,35,13,0,0,226,122,96,193,143,175,102,28,0,0,860,981,1275,2949,3015,3528,2565,720,86,5,15130,1016,640,1209,1102,921,1245,1617,636,106,8491,276,366,709,651,713,623,368,134,11,3839,2273,2283,4862,4771,5154,4426,2704,856,123,27458
SOS77,0,3,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,11,0,5,13,10,10,9,0,0,0,46,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,5,16,10,10,9,0,0,0,56,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,16,10,10,7,0,0,0,63,0,0,0,5,5,0,0,0,0,8,6,0,6,4,4,3,0,0,0,21,4,6,23,22,19,17,0,0,0,94
SOS79,17,29,115,69,60,25,5,0,0,320,24,36,119,99,91,145,79,13,4,605,27,39,130,96,128,107,28,0,0,558,64,99,364,268,280,279,114,17,4,1486,9,21,97,58,34,24,4,0,0,252,8,7,40,31,20,17,9,0,0,132,0,0,25,24,23,5,5,0,0,92,0,0,10,11,0,3,0,0,0,27,13,34,175,126,84,53,22,0,0,500,3,13,33,18,16,12,4,0,0,85,0,0,10,10,7,10,0,0,0,37,7,14,36,26,19,17,0,0,0,127,15,50,213,153,112,67,21,0,0,633,35,55,216,195,209,290,216,32,3,1251,43,81,228,227,277,225,82,14,0,1174,95,183,661,573,591,579,318,49,7,3052
SOS80,7872,14179,33017,29997,24039,14332,3274,298,26,127033,4438,2049,4253,3781,3388,8422,14993,9701,3861,54898,555,863,1656,1147,830,634,696,537,419,7337,12864,17090,38922,34934,28257,23389,18971,10542,4313,189264,2169,13130,46023,42895,36263,19118,3208,197,16,163017,9786,11795,14755,13536,9258,7685,3651,597,48,71113,711,877,3072,2649,1616,1501,460,49,14,10950,129,394,953,532,353,174,69,22,5,2631,12793,26200,64804,59610,47494,28482,7381,863,80,247706,326,740,1390,920,707,530,83,3,0,4701,2055,970,775,491,350,376,155,15,0,5195,2383,1707,2163,1409,1055,906,239,19,0,9893,15180,27909,66972,61019,48552,29387,7619,884,82,257601,9894,4334,6937,5604,5592,14373,26594,17408,6414,97159,1122,1834,3557,2509,1805,1426,1316,1003,671,15247,26191,34073,77465,69135,55949,45186,35529,19303,7174,370000
SOS82,14,15,18,41,47,25,10,0,0,167,0,0,6,3,4,12,25,13,3,65,0,0,0,3,0,0,0,0,0,8,22,17,20,49,50,42,29,13,3,240,4,12,37,55,65,30,0,0,0,203,20,9,8,23,26,12,5,4,0,105,0,0,3,3,3,0,0,0,0,20,0,0,0,0,0,5,0,0,0,7,25,23,45,84,92,45,12,5,0,335,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,9,32,29,45,84,92,45,11,5,0,343,14,0,6,9,4,22,42,25,6,121,4,0,0,3,0,0,5,0,0,19,45,25,49,96,100,73,58,30,6,481
SOS83,4,14,37,26,26,21,9,0,0,144,10,5,6,0,3,13,9,5,5,44,3,3,5,0,10,3,0,0,0,36,15,27,48,29,33,38,19,3,5,221,18,40,66,44,36,25,15,0,0,249,7,12,17,11,9,15,10,3,0,83,0,0,7,0,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,27,56,94,50,50,51,23,3,0,352,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,29,59,94,52,52,49,23,3,0,355,6,5,10,0,6,15,22,9,4,81,8,14,18,6,17,12,7,0,0,82,51,75,115,61,75,72,52,9,5,519
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,22,23,32,19,16,17,0,0,0,129,21,14,8,13,5,14,7,4,0,88,0,4,7,7,7,8,7,0,0,35,37,40,53,33,30,35,10,8,0,249,8,17,35,20,18,9,0,0,0,108,13,20,17,8,7,10,0,0,0,83,6,0,7,4,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,22,36,59,38,32,23,3,0,0,216,4,4,10,9,0,0,0,0,0,32,7,7,4,0,3,0,0,0,0,17,8,14,7,9,6,0,0,0,0,48,34,50,71,47,36,26,3,0,0,264,25,26,24,21,15,32,21,8,0,169,0,9,21,35,29,22,16,5,0,129,58,82,108,104,77,78,34,10,4,560
SOS91,22,14,55,86,70,48,19,0,0,307,9,7,9,13,9,20,21,9,0,99,3,3,23,20,17,16,4,3,0,87,34,19,88,112,98,84,42,9,0,494,4,23,102,107,116,78,46,0,0,473,23,6,25,33,29,26,22,0,0,156,0,0,7,8,5,6,5,0,0,27,0,0,5,0,6,3,5,0,0,25,26,25,133,144,150,120,71,0,0,686,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,12,29,30,133,144,150,126,71,0,0,695,20,7,14,13,16,27,56,20,4,179,3,14,49,42,36,26,24,3,0,201,51,45,202,206,209,181,150,26,4,1074
SOS92,29,50,79,111,123,168,61,15,0,649,14,7,15,26,14,50,93,52,19,294,8,10,18,25,14,26,12,15,0,131,51,65,110,164,155,244,169,84,29,1070,20,50,79,141,151,195,43,11,0,696,39,31,57,75,65,107,59,17,0,443,9,6,9,10,13,21,14,0,0,81,0,3,4,0,3,0,0,0,0,13,63,87,152,229,231,323,114,28,0,1234,0,0,0,4,0,3,0,0,0,15,0,0,0,3,0,4,0,0,0,10,0,3,0,3,0,14,0,0,0,27,65,91,155,237,233,337,114,28,0,1261,23,11,18,32,28,80,172,102,40,504,12,12,32,42,38,51,27,29,5,256,106,118,202,311,296,471,314,162,48,2017
SOS93,10,9,26,25,45,41,14,3,0,176,9,3,4,5,12,11,27,23,3,95,7,5,11,0,13,6,5,6,0,56,20,17,40,33,70,60,47,39,4,330,4,10,27,32,49,41,19,0,0,183,4,6,9,17,21,19,20,9,3,111,0,0,9,4,0,3,3,0,0,21,0,0,0,0,3,0,0,0,0,8,15,19,44,50,81,64,35,11,3,329,0,0,0,0,0,3,0,0,0,10,0,0,0,4,0,6,0,0,0,8,0,0,0,3,3,4,0,0,0,18,15,19,43,54,80,73,41,11,3,340,14,28,115,61,53,30,64,39,9,401,4,3,17,12,25,20,14,19,0,119,31,52,173,125,158,119,119,66,15,859
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,11
