SOS_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
SOS69,5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,8,0,0,0,0,0,0,3,0,0,3,0,3,0,11,0,0,3,0,0,0,5,0,3,10,6,3,0,19,0,0,0,0,0,0,7,0,0,0,0,4,0,4,0,0,0,0,4,0,3,4,4,33,17,33,4,92,0,0,3,0,5,4,12,0,0,0,0,0,0,7,0,0,0,0,7,0,4,0,0,0,0,0,0,5,0,0,0,0,21,0,26,0,0,0,0,0,0,0,0,0,0,4,8,0,12,0,0,3,0,6,0,8,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,4,4,0,10,0,4,0,0,3,0,11,0,0,3,0,3,0,11,0
SOS70,400,67,1467,28,17,87,60,166,20,383,10,13,75,22,25,6,156,22,16,88,99,121,15,356,30,5,83,85,130,13,342,348,112,608,164,251,32,1519,62,15,173,129,205,38,624,610,418,1474,883,1118,99,4613,672,406,1398,375,596,55,3501,993,528,2552,789,975,171,6009,44,22,143,57,116,14,399,96,29,201,149,348,32,855,63,24,179,90,169,104,622,3444,1688,8405,3630,5619,781,23569,44,5,88,51,140,4,328,64,12,162,104,547,28,914,48,9,155,151,598,28,995,99,35,217,139,334,13,846,107,17,450,339,2379,89,3390,29,11,115,103,339,27,620,403,27,743,325,947,107,2558,410,38,999,572,845,127,2990,149,44,396,366,767,65,1790,41,23,152,65,100,11,396,43,34,161,162,152,21,564,53,15,156,134,249,17,622,721,203,1345,349,534,60,3205,118,21,318,233,436,59,1190,1202,675,2739,1941,2938,228,9720,1029
SOS71,98,28,307,5,0,15,12,37,4,77,12,3,11,5,12,0,40,0,4,11,18,18,0,53,4,0,9,15,32,5,60,60,28,122,32,76,9,324,13,8,42,27,67,6,160,184,80,352,234,326,31,1205,198,155,527,141,229,39,1288,413,208,1047,373,480,85,2617,18,11,56,27,57,7,174,23,20,80,42,117,12,290,16,4,49,24,56,65,220,1039,548,2617,1109,1861,322,7497,7,0,18,13,37,9,89,13,3,45,37,207,15,327,21,4,45,25,154,5,252,7,0,20,32,99,4,170,22,6,90,89,733,39,964,7,0,25,21,74,3,135,73,13,197,101,304,40,723,68,8,187,115,211,49,628,22,6,72,85,197,12,402,13,7,29,12,31,4,99,3,3,17,29,24,3,78,6,0,15,19,52,5,95,104,39,231,75,189,26,661,20,15,79,46,129,15,296,358,133,662,553,882,81,2676,295
SOS72,107,7,190,0,0,11,6,12,4,29,0,0,6,4,0,0,11,0,0,0,3,9,0,15,0,0,0,0,5,0,7,3,0,12,10,12,0,36,0,0,9,7,19,6,51,30,17,76,69,143,24,356,59,58,203,46,111,22,506,27,23,94,58,116,24,342,12,3,20,10,31,6,82,10,3,11,8,27,4,59,0,0,10,6,14,16,54,171,122,530,300,708,138,1966,3,0,13,9,52,6,87,5,8,36,29,116,12,207,0,0,3,13,30,0,43,0,0,3,4,37,0,53,0,0,4,22,163,10,209,0,0,4,0,15,0,19,16,4,28,19,111,14,185,23,5,85,65,223,18,417,0,3,22,22,56,4,108,0,0,6,4,6,0,16,0,0,0,0,9,0,16,0,0,4,0,8,0,16,13,0,16,7,30,3,76,4,4,23,20,58,5,117,41,26,111,157,342,44,730,94
SOS73,111,16,215,0,4,10,16,54,7,84,0,0,0,3,5,0,14,3,0,7,15,11,0,41,0,0,5,17,38,4,67,24,15,78,42,68,8,235,0,0,23,24,51,8,115,50,75,212,196,269,24,819,70,91,255,100,193,24,731,54,62,184,144,198,24,671,4,10,32,19,45,10,114,3,0,22,28,67,13,136,7,4,21,33,60,24,142,248,281,1067,857,1654,222,4332,25,8,127,132,486,44,820,7,5,34,38,321,18,427,4,0,20,31,187,13,253,6,5,15,35,116,4,193,5,4,62,97,919,39,1131,0,0,21,21,103,16,165,3,7,51,51,237,27,375,10,5,63,63,199,29,372,3,7,24,57,214,12,313,0,0,3,9,26,3,38,0,0,10,25,19,0,64,0,0,13,21,63,3,102,31,20,129,53,142,12,391,8,3,30,48,138,10,237,76,97,316,372,698,53,1610,96
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,5,0,12,3,17,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,8,3,38,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,3,0,0,8,3,0,0,17,0,0,5,4,0,0,9,0,0,7,3,3,0,20,5,4,6,4,0,0,20,3,0,12,3,3,0,32,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,8,11,24,12,82,33,31,13,196,0,0,8,8,11,4,29,0,0,3,0,4,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,3,3,19,5,37,0,0,0,0,0,0,6,0,0,6,0,6,0,20,7,7,21,7,22,3,63,0,0,3,5,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,6,3,0,13,5,5,0,33,0,0,3,4,3,0,13,4,0,15,3,9,0,29,7
SOS80,829,103,3235,102,27,182,131,187,25,651,259,108,531,147,119,18,1183,301,102,476,291,231,48,1444,160,42,335,233,338,39,1137,2431,836,4406,966,946,143,9724,347,112,746,421,480,77,2184,7325,3234,13050,4285,3575,404,31878,3756,1486,5612,1217,1401,148,13619,3452,1408,7476,2628,2594,366,17925,316,137,703,205,289,26,1680,324,111,701,563,969,67,2736,278,48,448,180,153,233,1329,20701,7911,38090,13134,13884,1881,95599,76,29,115,68,112,11,408,22,7,35,11,34,3,109,362,50,715,379,1116,55,2678,258,62,426,191,446,25,1408,564,104,1775,1385,6979,247,11055,147,31,359,208,425,20,1194,1498,174,2584,1208,2233,242,7938,1328,110,2321,1450,2007,254,7465,611,98,841,584,1107,148,3387,554,212,1248,414,461,47,2938,622,175,1103,524,378,84,2892,308,75,683,460,623,55,2211,6236,1730,10675,2333,2083,371,23424,749,196,1391,724,1097,144,4295,16081,5572,24845,8386,7323,865,63069,6455
SOS82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,10,0,0,0,0,0,0,0,9,4,23,5,3,0,45,3,4,7,0,3,0,19,3,3,9,4,4,0,22,0,0,6,0,0,0,3,0,0,4,0,0,0,6,0,0,0,0,0,0,0,16,16,51,19,21,8,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,4,0,4,0,0,0,10,20,0,30,0,0,0,0,0,0,0,0,4,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,15,5,4,0,36,0,0,0,0,0,0,4,12,4,34,15,8,3,70,3
SOS83,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,12,0,0,0,0,0,0,3,0,4,9,3,3,0,19,7,3,4,3,3,0,17,0,0,5,0,0,0,15,0,0,3,0,4,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,12,37,30,25,8,108,0,4,11,7,13,0,34,0,0,0,0,0,0,0,0,0,3,0,5,0,5,0,0,0,0,0,0,0,0,5,0,4,20,0,27,0,0,0,0,4,0,5,0,0,0,3,0,0,6,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,4,3,3,8,4,6,0,25,0,0,4,0,3,0,8,5,6,25,7,17,0,60,7
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,5,5,0,12,3,0,0,24,0,0,3,0,0,0,11,4,0,8,5,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,33,9,9,0,78,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,6,4,6,0,10,0,0,7,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,4,0,14,0,0,0,3,0,0,7,9,3,16,3,4,0,32,4
SOS91,0,5,4,0,0,3,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,7,0,7,5,4,16,21,25,0,77,7,4,14,4,12,0,35,0,0,4,4,5,0,18,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,13,48,39,69,12,202,0,0,0,0,0,0,3,0,0,4,7,29,0,45,0,0,0,0,3,0,3,0,0,3,0,12,0,19,0,0,0,6,27,7,43,0,0,0,0,3,0,3,0,0,0,0,3,0,8,0,0,6,0,7,5,12,3,0,8,3,21,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,12,0,0,0,6,12,0,20,8,10,35,26,63,3,148,3
SOS92,23,9,55,0,0,4,0,3,0,8,0,0,0,0,3,0,0,0,0,6,3,3,0,12,0,0,0,5,0,0,6,0,0,4,4,4,0,10,0,0,9,0,12,0,28,8,3,3,16,13,0,51,11,9,24,4,13,3,64,7,8,23,14,8,7,72,0,0,3,0,6,0,14,0,0,3,0,3,0,7,0,0,3,4,0,5,14,26,30,105,87,113,44,405,0,0,3,6,6,0,14,0,0,0,0,0,0,0,0,0,3,3,8,0,15,0,0,0,4,11,0,15,0,0,3,4,53,8,68,0,0,0,0,3,0,4,0,9,18,8,34,5,69,0,0,20,17,43,16,99,0,0,3,5,9,4,18,0,0,0,0,8,0,11,0,0,6,3,4,0,13,0,0,0,5,0,0,4,0,0,12,6,3,0,26,7,0,9,7,25,4,44,12,5,25,30,43,7,132,14
SOS93,5,3,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,12,0,0,0,0,4,0,5,4,0,0,5,9,0,18,0,0,8,0,3,0,16,0,0,8,0,5,0,14,0,0,0,6,3,0,4,0,0,0,0,0,0,3,0,0,0,0,0,4,10,12,7,25,12,32,7,96,0,0,0,0,3,0,5,0,0,0,0,3,0,7,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,3,15,0,24,0,0,0,0,0,0,0,0,0,3,0,0,3,9,0,0,6,0,9,4,21,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,4,0,0,0,10,0,0,0,0,7,0,7,9,0,6,9,23,0,44,0
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
