SOS_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
SOS63,593,1279,3134,3788,4516,3933,1028,167,16,18448,707,380,752,828,1076,1613,989,205,21,6578,68,50,129,197,287,370,116,20,8,1235,35,68,82,125,122,119,45,24,6,636,1399,1782,4099,4937,6002,6034,2172,412,50,26894,72,143,178,99,165,183,18,3,0,869,126,54,49,36,53,85,32,0,0,433,202,199,225,141,213,268,45,0,0,1300,1598,1982,4324,5081,6217,6301,2222,413,50,28197,1421,302,481,526,1044,2748,5373,2597,477,14973,177,126,373,400,480,585,540,237,69,2989,3202,2414,5182,6007,7739,9634,8133,3249,600,46159,210,673,1499,1974,2593,1941,365,42,0,9283,993,736,1730,2541,2867,2843,777,117,9,12616,63,79,331,246,266,346,85,20,0,1430,25,38,71,70,91,71,38,13,0,422,1298,1522,3623,4836,5815,5201,1262,187,10,23755,53,67,88,61,79,81,14,0,0,437,146,51,73,85,83,123,11,0,0,578,193,116,159,147,157,206,31,0,0,1010
SOS67,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,7,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,6,11,28,26,22,8,0,0,0,101,0,10,11,12,12,4,3,0,0,53,0,0,4,5,0,3,0,0,0,12,0,0,0,0,3,0,0,0,0,6,5,18,46,36,42,20,3,0,0,174,7,12,7,9,14,4,0,0,0,60,0,5,4,3,6,3,0,0,0,18,5,21,16,7,18,3,0,0,0,81,13,34,61,46,60,25,4,0,0,249,16,24,36,28,45,39,45,10,0,242,9,10,37,27,25,32,46,4,0,197,43,71,135,99,130,104,90,18,0,689,0,8,12,13,11,7,0,0,0,53,6,9,14,17,13,10,0,0,0,69,0,0,3,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,8,18,33,36,22,20,5,0,0,133,5,3,10,3,6,0,0,0,0,35,6,0,7,3,0,7,0,0,0,29,12,11,19,10,7,8,0,0,0,60
SOS70,409,2156,7184,6325,5024,3312,815,60,5,25288,930,839,1554,982,701,626,393,62,3,6090,60,84,297,271,262,222,68,4,0,1272,44,92,218,131,103,71,19,3,3,678,1444,3174,9251,7711,6087,4231,1301,127,14,33330,98,147,256,165,152,138,29,3,0,995,166,73,80,38,35,49,27,5,0,475,264,225,329,200,186,187,59,4,0,1468,1706,3397,9579,7908,6278,4414,1356,129,18,34793,1376,595,1016,841,800,1140,2285,1269,276,9606,253,455,1157,870,744,551,344,124,38,4533,3340,4451,11752,9620,7817,6100,3989,1528,336,48931,266,1514,5634,4868,4154,2553,472,23,0,19487,1134,1060,2775,2295,1460,1041,423,50,0,10234,54,120,640,418,222,242,74,9,0,1784,34,60,179,101,66,50,18,7,0,508,1495,2761,9222,7674,5899,3890,983,86,0,32019,65,90,199,138,85,81,10,0,0,666,182,74,169,110,75,46,8,3,0,668,247,165,366,246,159,119,18,0,0,1328
SOS71,158,508,2165,1925,1486,1239,316,18,0,7817,255,133,350,324,200,235,117,22,0,1635,11,29,108,91,77,72,35,0,0,412,19,35,84,53,39,26,12,9,0,272,443,706,2705,2385,1796,1569,479,47,4,10139,66,93,158,125,80,41,9,0,0,574,54,36,64,43,22,23,11,3,0,258,122,126,219,171,107,59,20,3,0,830,564,829,2928,2558,1899,1631,500,50,4,10967,1043,555,909,762,640,552,676,314,66,5515,143,123,416,343,250,237,126,46,4,1679,1748,1509,4255,3662,2796,2423,1302,407,72,18171,133,446,2017,1445,1405,1036,218,18,0,6719,290,199,669,696,408,348,154,19,0,2776,17,39,217,128,99,76,27,0,0,610,18,26,69,47,40,23,5,0,0,235,468,711,2971,2323,1952,1478,406,30,0,10342,42,69,136,77,59,32,3,0,0,413,46,42,75,55,41,20,6,0,0,278,85,110,211,131,101,54,7,0,0,697
SOS72,53,165,482,503,465,381,113,11,0,2169,42,77,165,159,116,90,43,8,0,703,4,11,41,29,36,33,7,0,0,162,10,11,28,27,23,14,4,0,0,121,103,266,711,723,639,521,172,17,0,3152,49,86,134,80,40,30,0,0,0,420,22,24,42,29,16,9,0,0,0,141,74,120,176,110,52,35,0,0,0,559,182,383,880,832,695,555,170,22,0,3717,756,560,940,644,566,373,328,123,24,4318,56,61,179,130,116,115,64,15,0,738,987,1005,2001,1609,1377,1048,556,164,22,8767,47,148,436,381,418,357,71,6,0,1865,73,85,246,286,193,125,44,4,0,1059,10,17,48,38,37,40,6,0,0,189,3,14,31,27,16,14,8,0,0,114,135,261,757,732,665,541,127,8,0,3228,44,59,99,72,44,22,0,0,0,339,24,33,35,31,14,9,0,0,0,147,67,91,136,107,54,28,3,0,0,482
SOS73,238,487,1213,1209,1371,988,265,37,0,5809,164,108,163,152,219,237,107,25,0,1178,17,20,47,76,110,90,30,6,0,405,15,26,49,40,40,28,21,3,0,221,431,649,1473,1479,1749,1343,419,68,0,7609,43,43,86,47,75,42,11,0,0,351,23,8,25,13,17,15,13,0,0,114,62,46,110,64,96,58,21,0,0,465,495,699,1581,1543,1844,1403,438,70,0,8071,564,360,622,554,470,650,861,359,51,4483,159,216,406,350,423,358,211,86,8,2214,1218,1271,2607,2446,2733,2408,1516,512,63,14777,142,342,789,884,1093,686,130,9,0,4076,261,150,352,413,411,337,110,11,0,2048,15,19,119,75,78,67,19,0,0,396,13,23,28,22,31,22,12,0,0,148,429,532,1282,1396,1612,1115,273,20,4,6660,27,42,67,58,47,29,5,0,0,279,22,9,21,16,27,16,0,0,0,118,53,51,85,77,77,44,11,0,0,396
SOS77,0,0,8,10,7,9,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,3,16,10,9,9,0,0,0,56,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,16,10,9,7,0,0,0,58,0,0,0,5,0,0,0,0,0,6,6,0,4,4,4,3,0,0,0,19,4,6,16,22,18,17,0,0,0,83,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,3,11,47,35,22,13,3,0,0,132,0,0,13,19,3,8,3,0,0,60,0,0,7,13,9,4,3,0,0,39,0,0,3,7,0,0,0,0,0,17,3,17,76,67,36,26,11,0,0,242,4,4,20,9,11,7,4,0,0,50,0,0,4,0,0,8,0,0,0,19,4,4,25,16,13,11,0,0,0,70,4,17,104,83,47,40,9,0,0,312,9,20,95,93,112,144,137,22,4,645,13,42,99,132,145,112,57,12,0,613,30,84,292,305,311,300,205,33,6,1567,3,16,47,23,19,9,0,0,0,121,6,3,23,13,17,9,8,0,0,73,0,0,17,9,16,0,0,0,0,53,0,0,8,6,0,0,0,0,0,11,13,18,96,54,46,16,5,0,0,259,0,4,10,5,8,3,0,0,0,34,0,0,7,6,3,3,0,0,0,22,3,7,17,16,9,7,0,0,0,58
SOS80,1390,6952,25623,25259,20277,10919,2109,155,13,92690,4255,5193,5778,3839,2746,2821,1796,372,32,26829,309,376,848,886,715,694,242,25,4,4102,69,219,565,339,215,101,38,10,6,1557,6029,12732,32808,30317,23945,14537,4186,568,58,125176,208,469,812,550,453,356,62,3,0,2918,1065,524,340,150,119,163,96,12,0,2481,1274,998,1151,706,571,520,158,18,0,5396,7308,13729,33958,31021,24518,15052,4342,590,54,130564,5456,2280,2682,1823,2208,5954,11600,7705,2556,42257,563,974,1901,1355,975,793,615,470,250,7905,13327,16986,38546,34198,27701,21798,16561,8767,2861,180737,776,6184,20408,17636,15987,8200,1096,45,0,70331,5529,6605,8974,9699,6515,4865,1855,220,21,44286,399,505,2227,1768,905,804,215,23,5,6848,58,173,391,196,144,72,31,9,3,1076,6763,13468,32002,29288,23551,13943,3199,299,26,122535,119,265,580,369,257,175,14,0,0,1785,986,447,431,341,226,213,62,3,0,2712,1111,711,1017,708,485,387,76,3,0,4502
SOS82,4,9,20,32,38,12,0,0,0,123,9,0,6,5,7,3,3,4,0,38,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,10,12,30,41,46,19,3,5,0,168,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,9,16,9,30,41,46,22,5,5,0,173,11,0,0,4,0,5,17,6,0,57,0,0,0,0,0,0,3,0,0,13,27,9,30,48,47,30,28,15,0,242,0,7,13,28,23,14,0,0,0,83,16,8,4,15,21,7,4,0,0,71,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,16,15,18,41,47,25,10,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS83,19,38,52,27,17,15,13,0,0,172,0,3,3,0,9,7,8,0,0,31,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,20,35,53,28,29,24,16,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,36,53,28,29,24,16,0,0,211,5,0,0,0,4,4,10,4,4,31,7,8,10,0,10,6,6,0,0,50,30,47,65,27,41,36,31,6,6,292,0,10,17,16,19,13,3,0,0,78,3,11,14,11,6,6,6,0,0,52,0,0,3,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7,14,37,25,25,21,9,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,11,13,17,14,10,0,0,0,61,3,9,7,6,0,0,0,0,0,25,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,10,18,30,23,14,5,0,0,0,104,4,6,5,6,0,0,0,0,0,18,0,3,0,0,3,0,0,0,0,10,4,13,7,6,3,0,0,0,0,29,17,27,39,29,21,5,0,0,0,135,9,8,12,11,10,20,17,4,0,89,0,6,17,30,19,16,10,4,0,92,23,44,60,62,53,38,21,6,0,315,4,5,21,8,10,7,0,0,0,49,8,14,5,5,7,10,0,0,0,54,0,0,8,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14,23,31,16,13,16,0,0,0,111,0,3,5,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,3,10,0,3,0,0,0,0,0,0,21
SOS91,3,13,63,61,65,57,40,0,0,303,9,4,10,0,10,12,4,0,0,49,0,0,0,0,9,4,5,0,0,11,0,0,3,0,4,3,5,0,0,13,8,16,77,65,79,73,50,0,0,382,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,16,77,65,79,77,50,0,0,387,10,0,0,0,3,9,29,14,4,81,4,8,29,24,27,10,18,0,0,120,23,27,116,90,115,97,107,15,4,577,5,3,31,42,53,24,7,0,0,171,17,10,17,30,15,10,14,0,0,109,0,0,4,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,11,22,10,55,81,71,43,19,0,0,300,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5
SOS92,12,27,43,80,85,118,22,9,0,401,13,7,15,27,21,41,21,3,0,158,0,0,0,6,4,10,7,0,0,29,0,0,4,0,0,0,0,0,0,11,34,38,71,118,108,167,50,15,0,595,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,7,0,6,0,0,0,4,0,0,0,16,34,38,70,118,113,168,52,16,0,608,16,3,4,8,12,29,77,48,21,213,4,7,12,20,26,28,14,17,0,130,52,52,90,145,143,228,141,82,22,949,7,22,35,59,67,76,21,0,0,295,24,22,39,50,39,72,40,16,0,290,4,3,6,6,12,10,7,0,0,50,0,3,0,0,3,0,0,0,0,3,31,49,79,112,123,160,61,15,0,639,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,5,0,0,0,4,0,0,0,5,0,10,0,0,0,11
SOS93,4,7,16,21,24,21,10,0,0,109,3,0,3,3,3,4,11,5,3,39,0,0,0,3,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,4,5,9,18,26,38,30,26,5,3,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,5,9,20,30,38,33,25,5,3,171,11,23,109,53,41,18,34,16,5,307,0,0,8,6,8,11,9,10,0,60,17,38,137,94,87,58,71,32,6,536,0,5,17,14,19,20,0,0,0,72,3,7,10,5,19,13,10,7,0,76,0,0,3,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,8,10,9,26,23,39,36,15,3,0,166,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,0,0,0,0,11
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
