SA1_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
12702152021,0,0,0,4,5,13,14,8,0,46,0,0,0,0,3,12,14,10,9,42,3,0,0,7,5,0,0,0,0,17,17,42,44,72,83,62,65,37,14,447
12702152022,0,0,0,0,9,18,16,15,3,55,0,0,0,0,0,3,5,3,4,20,0,0,0,0,5,5,3,0,0,13,12,46,51,38,61,73,71,32,12,400
12702152023,0,0,0,0,0,10,12,7,4,38,0,0,0,0,0,5,6,0,3,20,6,4,4,0,0,8,0,0,0,15,10,28,38,45,41,55,52,27,11,311
12702152024,0,0,6,5,8,18,6,15,6,55,0,0,0,0,4,7,10,4,0,32,0,0,3,0,4,5,3,0,0,19,15,33,94,72,73,95,69,44,10,507
12702152025,0,0,0,0,6,15,4,5,0,34,0,0,3,0,7,6,8,8,4,37,4,3,0,3,4,4,0,6,0,25,11,19,48,37,57,63,46,31,8,319
12702152026,0,0,7,6,6,0,9,0,3,29,0,0,5,5,13,13,4,4,4,50,4,0,4,3,0,9,3,6,0,26,26,25,62,58,68,49,46,17,3,346
12702152101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,9,0,0,4,7,9,13,3,0,0,34
12703152201,0,0,0,0,4,5,6,10,0,21,0,0,0,5,0,4,3,0,0,8,4,0,0,4,0,0,6,0,0,15,12,50,65,88,76,87,40,16,0,430
12703152202,0,0,0,0,0,0,5,3,0,14,0,0,0,0,5,0,3,3,0,13,0,0,4,3,3,7,4,0,0,21,24,50,76,67,68,70,32,15,8,408
12703152203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5
12703152204,0,0,0,0,5,0,5,7,0,26,0,3,5,0,0,0,0,0,0,14,0,0,4,0,5,0,3,0,0,14,23,69,134,120,119,98,42,18,4,627
12703152205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,4
12703152206,0,0,0,8,0,0,8,9,4,32,0,0,0,0,5,3,3,4,0,19,0,0,13,3,3,5,0,0,0,27,13,38,96,89,64,76,40,32,10,451
12703152207,0,0,0,0,5,3,9,3,4,23,0,0,0,0,0,4,0,3,0,12,0,0,0,8,0,0,5,0,0,17,19,42,85,89,70,43,22,12,9,393
12703152208,0,0,0,0,4,3,8,11,6,38,0,0,0,0,0,0,6,6,0,13,0,0,7,6,5,4,5,0,0,33,13,34,87,52,56,57,64,27,8,400
12703152209,0,0,0,5,5,8,4,0,3,31,0,0,0,4,0,6,4,0,0,16,0,0,3,3,5,6,0,3,0,20,8,23,56,47,47,51,30,12,6,284
12703152210,0,0,0,0,0,5,9,3,0,33,0,0,0,4,0,3,0,0,0,8,0,8,3,9,4,3,4,5,0,22,14,46,80,79,70,64,55,31,13,444
12703152211,0,0,0,0,3,0,6,0,0,16,0,0,0,0,0,5,3,0,0,13,0,0,3,7,0,3,0,0,0,14,16,54,100,80,88,91,41,14,3,492
12703152212,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,5,3,0,12,5,0,5,0,0,0,0,0,0,13,14,29,48,59,57,37,36,19,3,282
