SUA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
5009,231,1448,29,24924,143,41,72,124,123,186,60,111,75,531,13391,14869,132,33,97,88,32,61,11,62,46,964,1022,2541,45851,9834,1457,30594,3650,20446,1843,15060,2377,65782,15246,212152
5010,3,0,0,350,0,0,3,0,0,4,0,0,0,0,125,137,0,0,0,3,0,0,0,0,0,0,11,23,543,24,21,157,40,129,11,26,18,69,142,1173
6000,12,87,3,869,15,9,12,17,3,30,10,18,4,84,941,1132,21,6,12,12,4,7,5,5,3,157,165,398,3122,1283,233,2959,325,1812,295,2077,351,9121,1310,22877
6001,0,14,4,135,0,0,0,0,0,3,0,6,0,12,152,178,0,0,0,0,0,0,0,0,0,26,27,56,477,143,26,433,48,287,35,227,49,1394,221,3331
6002,5,15,0,122,5,0,4,0,0,3,3,3,0,25,117,154,0,0,7,0,0,3,0,3,0,22,26,61,547,167,37,509,51,281,35,306,57,1659,179,3824
6003,14,139,5,1881,17,3,0,12,5,11,6,12,5,64,781,927,8,9,5,6,0,5,3,6,0,119,102,259,4535,1660,186,3718,355,2043,243,2168,307,8771,1022,25014
6004,4,46,0,581,4,0,0,4,3,13,0,0,3,18,332,380,6,0,3,3,0,0,0,4,3,46,44,120,1880,584,53,1595,144,789,86,818,100,3495,441,9974
6005,0,7,0,65,0,0,0,4,0,0,0,3,0,17,81,103,0,0,0,0,0,0,0,0,0,16,17,40,205,91,18,241,28,136,23,155,29,950,107,1993
7000,0,19,0,456,5,0,0,0,7,9,3,10,4,35,324,402,14,0,3,0,0,0,0,4,0,45,95,172,1406,183,77,483,116,455,39,237,85,1604,465,5149
7001,5,12,0,355,6,0,0,0,0,0,0,0,0,0,170,179,0,0,4,0,0,0,0,0,0,7,9,18,912,75,29,298,35,238,21,87,20,358,187,2256
7002,3,54,7,1620,20,4,12,12,6,14,0,5,11,19,1011,1101,5,0,8,0,0,0,3,0,4,27,61,116,3983,509,133,1777,282,1187,109,536,124,1790,1119,11548
8000,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,5,30,3,4,18,5,10,0,13,0,23,4,112
8001,81,614,3,9552,31,8,6,26,9,27,9,10,15,84,1487,1710,20,0,12,10,4,3,0,6,4,102,134,303,15435,2120,324,6676,924,4739,394,3143,512,14486,1770,50528
9000,0,0,0,37,0,0,0,0,0,0,0,0,0,4,22,27,0,0,0,0,0,0,0,0,0,0,3,10,99,28,11,88,4,48,5,58,7,97,33,496
