SUA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
2012,214,142,124,54,25,4,840,14,154,156,197,148,97,20,4,778,193,1180,969,741,538,343,124,34,4125,176,585,675,730,690,453,167,27,3501,729,1868,1507,1507,1298,777,301,73,8059,125,156,113,102,78,41,13,0,633,57,71,93,149,103,84,36,11,601,909,2099,1707,1751,1485,904,360,84,9294,8,37,33,30,24,24,28,11,199,633,753,682,682,657,708,531,299,4944,1948,5057,4440,4275,3656,2591,1253,464,23684
2013,46,47,46,34,17,6,245,10,48,47,40,55,44,10,0,247,77,268,237,175,200,170,63,13,1202,52,244,241,270,279,199,93,19,1385,359,995,804,793,828,533,212,64,4592,49,46,56,21,26,22,5,0,238,16,25,29,45,41,56,22,6,246,422,1069,885,868,896,611,240,74,5070,4,5,7,4,10,19,19,4,76,224,238,224,248,296,345,217,104,1906,789,1930,1682,1654,1777,1425,659,225,10127
2014,29,25,22,25,11,0,142,6,14,27,34,37,36,5,5,173,25,170,148,132,125,113,37,4,760,17,97,150,135,147,132,48,15,738,141,326,345,418,411,283,92,17,2037,23,27,20,16,12,12,4,0,109,9,12,23,47,29,21,13,0,155,181,364,383,484,448,320,111,24,2304,4,0,9,8,10,9,11,0,39,90,84,112,101,137,150,120,68,867,323,765,860,923,930,785,336,116,5035
2015,110,73,57,43,8,0,405,4,59,64,69,43,39,14,3,294,72,388,328,266,170,171,60,14,1468,39,202,217,256,228,148,98,25,1213,198,485,473,445,411,313,134,31,2486,40,34,22,26,27,12,3,0,172,8,23,24,26,33,28,13,9,167,250,546,523,496,473,358,147,36,2821,0,6,8,3,11,7,12,4,61,125,141,140,146,129,161,142,141,1115,491,1449,1387,1310,1107,927,482,215,7379
2016,337,188,133,85,27,7,1221,13,206,222,212,168,108,26,7,969,253,1318,1029,652,519,389,127,32,4341,198,744,794,691,590,436,185,48,3688,790,1638,1379,1348,1229,753,344,81,7566,133,104,83,86,45,45,12,0,505,50,83,92,136,103,77,38,14,583,965,1831,1562,1565,1377,873,388,94,8657,16,48,42,21,28,24,8,9,193,563,712,587,546,574,575,589,396,4538,2061,5257,4574,3873,3398,2486,1354,597,23603
2017,37,26,9,15,3,0,171,0,36,34,33,45,23,9,0,179,48,259,235,119,81,70,31,9,858,38,151,161,119,130,87,50,19,758,165,447,329,256,256,155,60,19,1701,36,18,18,9,12,12,0,0,106,14,25,31,25,24,18,12,0,139,215,491,383,296,291,185,72,17,1949,0,5,6,3,4,7,0,4,35,112,134,98,90,116,106,131,82,863,423,1142,952,689,677,493,293,131,4807
2018,233,154,114,84,22,0,866,22,111,125,134,125,86,32,0,629,196,980,726,542,421,299,134,24,3320,99,539,545,556,504,350,165,30,2796,675,1718,1401,1292,1310,841,379,98,7716,63,107,103,78,55,46,11,5,464,22,56,70,76,77,103,26,15,446,759,1879,1575,1448,1445,988,410,113,8628,6,16,17,20,30,30,19,6,157,423,526,482,456,538,520,503,388,3840,1528,4299,3714,3316,3170,2359,1281,562,20232
2019,97,81,71,51,8,4,450,5,59,83,88,98,81,25,4,451,97,458,403,306,230,202,109,34,1839,59,237,260,286,289,228,104,40,1504,286,650,614,606,527,369,177,55,3287,39,27,39,50,25,23,10,4,209,22,24,31,38,36,44,26,10,238,345,699,688,690,593,436,218,68,3735,9,8,6,10,13,11,12,7,82,141,160,137,163,180,238,283,183,1495,661,1769,1680,1624,1470,1244,755,339,9549
2020,246,207,163,120,53,7,1034,18,126,175,146,183,170,55,0,880,186,1031,848,642,564,468,192,36,3975,130,657,676,608,578,482,207,56,3393,626,1805,1393,1344,1225,809,361,107,7678,101,77,63,58,54,69,14,0,436,41,80,77,110,122,106,61,18,619,767,1970,1534,1514,1406,987,432,122,8727,9,19,35,21,33,41,39,11,211,277,404,360,363,369,416,372,136,2699,1405,4440,3873,3510,3300,2677,1354,370,20920
2021,235,186,177,123,41,6,1017,8,122,180,183,164,126,25,9,825,160,970,888,698,532,442,144,46,3875,98,439,494,516,521,420,184,41,2712,543,1200,1180,1081,923,519,232,68,5746,70,71,43,50,55,37,7,5,340,37,38,56,90,86,63,35,5,416,655,1312,1280,1221,1062,615,275,79,6502,3,21,12,8,14,19,17,8,115,272,289,331,281,306,350,358,248,2443,1206,3402,3425,3092,2789,2096,1054,435,17493
3000,1997,2118,2241,1685,551,63,10236,125,1118,1461,1780,1827,1338,315,38,8009,2472,10618,10609,9552,8174,6486,2130,378,50422,1561,5369,7509,9797,10511,7017,2429,412,44612,11000,23267,24049,24852,25274,16946,5762,925,132075,3212,1833,1473,1361,1319,808,218,18,10239,776,1080,1480,2055,2247,1847,669,114,10263,14983,26179,27003,28271,28839,19600,6651,1056,152580,173,347,342,436,568,629,382,109,2982,10318,11790,11195,12637,13345,11481,7426,2745,80939,29714,56929,60118,64582,65513,48243,19890,4803,349790
3001,66,38,46,39,11,0,300,0,23,40,30,31,21,3,0,149,132,599,303,227,140,106,29,7,1535,93,317,288,260,193,122,38,0,1312,280,645,586,502,407,219,63,8,2720,74,46,40,32,23,17,4,0,234,17,30,42,45,39,32,6,0,217,376,721,665,579,471,273,80,9,3174,5,19,18,16,10,5,10,0,73,253,499,319,285,266,170,68,8,1869,870,2280,1695,1434,1141,742,233,29,8423
3002,39010,26629,17074,9896,3400,607,127652,1209,10715,12542,12225,8586,5316,1548,269,52411,29345,100311,92021,65753,38833,25031,9955,2350,363590,15686,36293,41444,40849,31338,19310,8084,1985,194986,41335,71518,64617,59319,49189,30512,13566,3502,333557,9688,5150,3800,2959,2415,1725,560,100,26395,3348,4311,5793,6711,6220,5073,2402,658,34522,54378,80979,74206,68992,57823,37304,16530,4255,394470,947,1802,2116,1941,1738,1783,1200,425,11944,18206,24580,20607,17412,14595,13830,12131,8218,129590,121485,283989,281953,233803,169980,112477,52847,18112,1274650
3003,239,254,197,168,58,11,1152,19,134,207,192,186,128,41,7,909,259,1255,1319,1076,864,669,288,67,5795,151,545,700,891,967,736,351,65,4398,1220,2288,2157,2158,2326,1879,926,210,13157,394,253,154,125,97,94,40,10,1151,121,108,149,163,196,193,127,18,1090,1734,2645,2459,2450,2616,2173,1089,237,15405,19,38,31,36,46,62,66,15,312,519,676,587,662,707,817,854,407,5218,2717,5492,5544,5563,5573,4746,2743,814,33187
3004,1169,1057,861,466,142,19,4641,45,533,587,694,494,296,69,9,2735,751,4287,4252,3510,2316,1431,503,97,17149,429,1885,2688,3029,2383,1393,492,92,12391,2425,4859,4870,4962,4165,2508,951,223,24972,670,333,303,257,211,113,34,6,1921,189,259,354,420,416,326,139,39,2135,3283,5449,5521,5640,4792,2949,1123,265,29028,40,72,116,137,126,143,73,13,718,1994,2691,2233,2149,1774,1534,1009,479,13865,6598,15790,16559,16213,12758,8219,3411,976,80522
3005,65,51,30,9,0,0,227,9,48,55,35,35,9,0,0,185,94,344,297,180,107,44,15,0,1079,27,144,203,177,136,41,9,0,733,280,663,691,498,315,123,26,5,2596,102,53,38,21,17,6,0,0,238,21,20,37,43,26,18,0,0,167,404,741,761,560,358,143,32,3,3009,3,11,7,3,7,6,4,0,42,178,252,248,172,174,72,45,39,1178,719,1607,1633,1181,843,327,104,41,6452
3006,198,188,90,39,8,0,683,18,97,111,153,98,43,19,0,533,203,842,948,691,419,219,86,19,3421,69,362,523,664,500,226,72,18,2439,846,2115,2002,1871,1529,692,234,59,9358,349,166,123,58,66,46,5,0,812,53,94,104,115,108,69,25,9,572,1249,2369,2234,2049,1706,801,268,63,10750,12,22,25,45,38,23,14,7,182,364,477,491,500,436,306,214,118,2907,1923,4325,4529,4283,3290,1659,678,219,20920
3007,6886,4957,3575,2370,799,117,25502,310,2213,2553,2525,1883,1385,412,79,11354,6197,22303,20901,15333,9937,7393,2939,638,85647,5579,10892,12911,13423,10622,7007,2938,707,64073,11063,19400,19952,20427,17701,12163,5986,1481,108176,2039,1115,937,901,860,705,234,32,6833,975,1296,1907,2242,2298,2121,1094,285,12217,14077,21817,22797,23569,20864,14991,7315,1796,127223,265,498,609,573,651,738,518,203,4053,5666,8190,7104,6641,6085,6217,5904,4059,49869,32481,72325,73767,67020,53617,40099,20821,7593,367724
3008,52,60,38,41,17,3,265,0,32,45,55,54,51,13,0,253,56,266,295,265,227,197,82,22,1399,53,184,240,299,294,203,107,22,1402,447,836,765,746,735,471,176,58,4228,139,77,56,52,29,24,3,0,379,34,35,43,63,76,66,32,4,354,619,959,858,859,838,560,210,55,4963,5,7,6,11,24,15,6,3,83,190,212,180,198,194,234,216,130,1556,929,1715,1678,1746,1662,1299,648,238,9924
3009,222,208,218,162,69,9,1077,12,82,126,152,160,180,52,8,779,185,782,956,864,746,658,255,58,4503,90,376,619,826,1031,887,344,73,4246,740,1399,1530,1815,1985,1954,963,195,10585,198,113,108,96,91,108,33,0,758,57,78,110,146,189,227,112,41,964,998,1590,1753,2060,2268,2292,1106,237,12302,8,13,19,34,43,72,57,19,270,370,376,394,528,619,916,1013,475,4692,1666,3399,4083,4669,5075,5174,2908,882,27864
3010,43,27,20,22,11,0,155,0,21,21,24,15,25,9,0,113,66,190,171,132,97,68,23,12,756,18,104,101,150,125,96,45,7,648,208,430,327,280,295,188,73,23,1824,44,53,25,14,23,16,0,0,178,24,23,25,15,22,27,8,0,141,275,507,378,313,345,234,84,21,2141,0,3,13,10,7,9,6,0,45,104,112,91,88,88,107,93,56,734,486,961,811,743,694,552,262,95,4606
3011,405,303,248,108,22,5,1444,33,201,237,270,201,85,24,5,1047,474,1891,1857,1327,883,465,147,40,7082,168,737,1044,1168,962,479,197,53,4807,1378,3614,3457,3076,2667,1417,492,109,16208,363,201,181,105,77,51,12,4,997,130,128,182,218,194,127,65,12,1051,1871,3943,3817,3405,2940,1597,568,127,18261,24,44,51,54,43,30,32,9,288,927,1345,1261,1201,1059,701,595,384,7462,3516,8494,8674,7715,6326,3466,1583,623,40397
3012,48,55,57,48,17,3,254,4,28,37,70,55,48,8,0,251,63,202,292,268,275,238,97,13,1440,50,150,236,311,426,342,112,27,1654,497,810,867,922,952,828,323,68,5260,167,98,62,55,48,28,8,0,462,31,40,49,70,87,77,42,5,389,694,947,978,1041,1084,933,379,72,6119,8,9,14,11,12,26,15,4,100,248,214,246,250,310,360,328,167,2116,1061,1577,1836,2004,2227,1987,961,289,11941
3013,124,50,51,10,0,0,366,3,66,70,34,35,0,0,0,214,162,577,349,174,125,46,22,0,1455,40,176,220,175,152,54,16,0,826,331,840,719,637,503,155,59,7,3253,106,54,30,16,8,4,0,0,219,21,39,37,42,18,10,5,0,167,458,937,783,689,532,167,66,11,3645,5,6,8,13,9,5,0,0,52,308,376,338,286,231,125,76,24,1772,983,2260,1899,1419,1138,405,182,37,8327
3014,401,363,253,123,38,12,1546,25,199,216,235,206,94,22,4,1003,486,1626,1707,1207,814,487,190,41,6552,192,734,908,912,824,491,157,39,4260,1433,3232,2764,2192,2058,1103,426,120,13331,481,257,191,132,77,43,9,3,1191,129,129,170,155,150,106,58,16,915,2039,3618,3120,2481,2286,1254,497,133,15438,22,34,38,44,49,27,29,11,251,851,951,998,861,728,595,587,417,5989,3640,7494,7397,6098,5159,3072,1517,661,35035
3015,2831,2755,2361,1930,710,108,12767,98,850,1439,1736,1614,1255,389,59,7457,2053,9634,11038,9724,7068,5565,2444,528,48061,1462,4329,6305,7607,6941,5282,2365,629,34911,6225,10573,11676,12464,11801,8012,3630,967,65351,1412,586,522,488,520,449,163,37,4167,527,594,860,1170,1313,1376,650,211,6701,8167,11753,13061,14124,13634,9831,4444,1205,76227,103,162,261,343,396,447,359,117,2191,2477,3109,3247,3449,3321,3427,3328,2257,24621,14461,31815,38180,39737,35338,27747,14043,4912,206225
3016,1199,1027,834,534,209,24,4986,71,479,532,565,520,363,117,17,2675,1063,3964,3790,2830,2053,1621,676,164,16148,606,1646,1875,2138,1882,1308,611,155,10220,3095,5168,4215,3782,3325,2071,917,219,22789,754,432,247,203,134,118,40,4,1920,212,226,255,366,325,311,157,61,1912,4055,5821,4719,4346,3783,2492,1112,281,26617,49,81,77,81,70,97,79,26,559,1088,1196,1009,973,958,996,1022,588,7818,7001,14289,13201,11962,10113,7402,3823,1252,69037
3017,1352,1126,805,453,157,16,5094,109,596,719,623,464,275,54,14,2850,1412,5252,4383,3430,2227,1312,532,94,18635,605,2089,2448,2752,2221,1248,443,82,11881,3441,6737,6069,5332,4622,2546,983,195,29928,905,501,288,236,174,107,37,6,2251,241,310,355,413,395,279,120,32,2147,4585,7546,6712,5983,5195,2926,1139,238,34326,69,98,70,106,79,94,67,15,601,2656,2600,2129,1912,1571,1190,862,502,13420,9503,19314,17805,15935,12552,7504,3252,954,86816
3018,36,49,37,27,11,3,190,3,21,20,44,42,36,10,5,183,53,188,198,178,164,146,68,12,1015,19,110,148,164,179,150,67,15,853,314,559,432,425,430,329,140,25,2661,70,51,34,26,19,22,5,3,223,15,31,32,51,34,40,20,5,229,406,637,486,499,486,388,163,35,3116,0,7,6,8,8,20,18,5,75,135,141,108,162,185,201,218,114,1272,632,1139,1008,1098,1106,962,568,194,6706
3019,93,100,106,69,13,0,452,4,53,56,102,67,55,17,0,363,89,349,412,383,315,193,88,17,1841,49,165,250,290,308,178,84,16,1339,339,693,747,711,652,471,165,43,3821,80,40,31,28,33,12,11,0,239,24,29,41,49,62,45,28,9,283,438,762,818,787,750,539,199,53,4346,5,17,7,13,22,10,14,3,83,150,233,231,266,291,161,154,74,1551,731,1640,1865,1933,1867,1201,560,172,9970
4000,775,736,738,573,205,20,3842,47,369,577,641,806,660,150,16,3268,924,4029,4278,3582,3103,2791,995,185,19894,361,1758,2686,3597,4186,3386,1127,212,17315,3985,8250,8244,8657,9116,6128,2102,461,46941,644,792,712,548,523,350,77,11,3655,232,394,577,893,925,768,313,73,4171,4863,9431,9532,10095,10560,7243,2492,546,54766,55,121,166,183,219,250,186,50,1226,2438,2450,2558,3246,3864,3947,2895,1346,22751,8749,18907,20572,22086,23478,18851,8050,2378,123065
4001,20132,12270,8750,6134,2319,490,70845,467,4727,6219,5830,5269,4104,1253,192,28059,15117,53318,46852,32321,22290,17246,6997,1839,195981,4418,15567,19833,21025,19380,14395,5930,1628,102175,18559,37991,34488,33568,30336,20100,9641,3096,187774,3078,3643,2712,2050,1688,1141,367,103,14787,1264,2017,2838,3841,3860,3518,1799,623,19766,22897,43649,40045,39453,35883,24753,11812,3825,222323,534,1073,1118,1001,1015,1061,801,297,6899,7606,9785,8809,8377,8173,8581,8013,5295,64636,52234,147682,143009,120273,100762,76277,37118,13557,690917
4002,100,80,60,32,10,0,403,9,68,78,79,78,60,9,0,384,104,525,473,382,264,209,101,11,2079,34,206,263,366,327,295,98,32,1616,517,1214,1051,953,824,517,205,43,5324,71,116,88,65,45,35,10,0,425,41,35,59,84,68,76,32,11,401,633,1364,1189,1104,938,627,250,53,6159,4,9,11,11,20,23,8,9,94,222,242,223,228,245,302,279,172,1920,1015,2526,2333,2251,1937,1540,768,274,12654
4003,34,29,34,26,11,0,179,7,31,27,21,40,33,15,4,173,51,220,189,134,112,108,53,14,892,34,145,108,192,204,147,54,13,903,349,638,552,540,498,355,171,47,3142,64,65,58,39,28,21,4,0,284,16,32,43,54,37,36,27,10,250,430,737,649,634,566,409,199,54,3679,9,13,13,12,16,3,12,3,80,154,188,148,179,192,193,165,93,1318,689,1367,1174,1206,1163,918,515,188,7221
4004,46,23,18,5,4,0,197,3,28,23,24,35,20,8,0,140,46,232,144,138,83,56,17,0,713,12,99,114,117,152,100,17,7,628,157,482,378,414,408,228,98,14,2171,33,50,46,22,17,9,5,0,179,14,36,22,32,30,17,4,0,159,207,567,441,466,454,250,105,17,2505,4,16,21,7,6,9,0,0,73,165,179,175,169,176,148,128,29,1167,453,1204,969,964,923,584,279,56,5420
4005,45,36,30,24,9,0,209,0,30,35,30,36,32,8,0,173,72,293,293,209,158,105,46,13,1185,21,114,186,216,200,149,67,14,954,260,588,549,544,446,305,109,37,2840,37,54,53,40,39,17,7,0,254,15,33,52,40,48,40,18,3,248,316,670,650,630,538,362,129,46,3345,0,8,18,14,17,12,3,6,87,164,158,191,179,185,170,134,63,1247,587,1337,1413,1322,1153,853,398,144,7207
4006,28,26,20,8,0,0,134,3,26,23,17,28,11,4,0,112,64,196,123,111,96,75,20,3,686,21,85,104,129,153,79,29,5,591,235,482,385,443,411,264,125,34,2375,45,63,42,27,17,14,5,0,214,11,21,14,32,24,14,6,0,129,285,565,439,504,453,297,142,33,2721,3,3,6,5,14,4,0,3,39,122,146,106,133,147,167,150,52,1020,505,1054,837,926,902,639,342,104,5302
4007,91,91,133,206,98,12,697,4,26,46,74,133,211,55,9,548,60,245,386,391,492,715,331,86,2697,26,139,203,308,567,811,410,61,2530,214,551,682,726,972,1050,608,150,4948,62,53,51,56,53,65,25,14,369,11,24,63,70,107,205,107,28,621,285,627,794,848,1137,1317,738,192,5936,4,9,11,18,19,44,58,17,183,103,89,116,156,261,431,436,246,1846,486,1197,1644,1893,2738,3734,2127,625,14441
4008,71,49,35,19,5,0,277,3,22,35,47,34,17,9,5,172,67,356,325,248,144,94,28,7,1273,34,124,150,264,228,118,56,4,985,299,772,647,805,784,452,233,68,4068,75,113,74,57,42,21,0,0,391,16,24,33,48,54,37,22,0,240,392,917,761,912,879,517,261,71,4706,10,10,13,15,10,8,11,0,73,190,214,203,254,254,200,204,112,1639,699,1738,1559,1784,1592,974,573,199,9116
5000,886,703,749,560,197,18,3897,36,489,649,707,701,476,104,11,3171,854,4521,4824,4066,3272,2259,812,166,20773,439,2025,2845,3313,3637,2714,980,182,16123,3761,8562,8930,8607,8269,5100,1602,283,45103,1419,827,630,540,492,279,72,10,4259,218,365,562,734,846,690,259,56,3739,5402,9750,10119,9875,9607,6070,1938,342,53107,72,159,195,228,249,299,153,43,1389,4342,5998,6211,6484,5881,4547,2683,1002,37139,11194,23676,25717,25371,24103,16914,6852,1768,135594
5001,136,137,125,113,40,13,671,11,64,93,140,143,98,27,0,581,97,497,611,642,564,486,201,42,3154,87,305,426,517,586,464,230,56,2670,640,1211,1075,1099,1000,682,306,105,6117,303,112,81,69,64,34,14,3,676,34,43,50,111,138,125,49,18,567,980,1370,1207,1276,1209,842,361,124,7365,6,18,27,27,23,52,29,11,198,209,240,252,273,361,399,355,233,2315,1401,2606,2752,3008,2999,2455,1251,486,16959
5002,127,77,55,29,10,0,432,3,85,103,60,46,17,3,0,325,65,572,455,310,177,86,19,4,1683,43,201,288,212,164,73,15,3,1000,177,455,491,443,283,137,20,6,2010,81,48,39,16,17,5,0,0,211,14,31,36,43,40,17,3,0,181,270,535,572,504,337,165,27,6,2406,9,11,12,14,13,10,3,0,71,291,461,364,372,282,139,51,16,1973,690,1990,1920,1553,1073,512,122,30,7887
5003,330,299,230,162,41,11,1300,15,155,245,268,221,141,38,5,1092,229,1332,1596,1365,984,674,260,71,6520,162,736,1018,1019,1014,716,290,81,5019,1657,3064,3002,2686,2292,1437,536,117,14793,574,308,179,142,110,72,22,12,1416,84,107,191,247,276,191,78,15,1199,2316,3481,3373,3083,2679,1698,638,143,17410,14,41,64,62,62,83,51,18,393,476,703,694,689,704,648,514,313,4746,3231,6668,7334,6774,5890,4117,1828,638,36479
5004,159,184,133,136,67,3,785,3,78,171,187,135,105,31,8,721,81,628,1043,909,702,599,266,64,4297,71,353,582,675,669,591,283,60,3286,548,1157,1447,1372,1176,923,376,84,7091,220,90,76,79,62,57,16,7,602,41,55,88,137,146,150,61,15,689,810,1297,1611,1590,1390,1130,455,108,8388,8,27,31,38,46,51,39,8,248,257,366,400,398,410,423,362,193,2801,1230,2854,3997,3979,3480,3042,1503,443,20530
5005,24,32,15,16,0,0,121,3,17,37,31,27,16,3,6,144,33,199,176,174,112,87,49,10,842,14,80,121,141,142,97,59,20,678,201,424,391,378,334,166,82,15,1997,71,43,31,16,14,12,4,0,191,18,7,20,30,35,17,9,3,136,293,474,443,431,377,194,105,14,2327,4,5,4,4,15,6,8,4,55,171,150,176,204,171,177,178,46,1276,517,952,985,1019,863,593,406,98,5441
5006,160,134,89,47,9,7,554,9,99,119,129,98,56,14,0,522,129,602,670,626,367,227,81,12,2728,114,358,479,518,511,331,98,29,2432,646,1407,1274,1337,1127,650,252,66,6751,295,162,108,87,78,41,10,4,783,40,50,80,114,99,79,36,10,507,972,1621,1467,1535,1303,769,295,75,8042,12,24,19,43,39,23,23,18,193,443,515,565,550,502,388,343,231,3540,1695,3312,3488,3538,2906,1845,869,366,18006
5007,203,111,58,14,7,0,625,12,75,85,69,55,17,3,0,304,164,710,609,357,226,87,27,5,2185,55,280,370,311,260,102,17,3,1400,526,1336,1168,1008,746,300,87,11,5176,226,101,62,51,23,13,7,0,472,27,64,67,81,61,39,5,0,345,779,1499,1296,1138,826,341,94,13,5992,10,27,17,21,19,14,8,0,117,398,544,481,448,426,292,127,71,2785,1440,3343,3060,2456,1869,867,284,92,13413
5008,138,70,21,5,0,0,368,10,70,83,64,21,6,0,0,257,62,512,498,271,105,30,5,0,1485,33,214,337,246,138,31,4,0,1010,263,918,914,626,322,72,15,0,3135,109,65,49,30,20,5,0,0,278,15,24,49,49,31,7,0,0,177,389,1009,1009,704,365,86,15,0,3588,5,17,17,15,4,6,0,0,66,315,553,555,386,242,78,19,3,2149,816,2508,2639,1769,907,237,41,3,8921
5009,30369,19888,13052,7856,2810,557,100929,819,8250,10520,9675,7540,4466,1374,226,42866,21180,80780,79926,55421,35742,24085,9382,2342,308855,9884,28842,35176,33357,28223,19726,8646,2320,166170,31094,61086,55993,50537,44474,28450,12544,3375,287560,10468,4709,3404,2742,2275,1530,582,113,25813,2191,3197,4660,6158,5960,4753,2438,789,30150,43747,69001,64054,59437,52706,34733,15567,4276,343523,942,1990,2524,2301,2110,2285,1568,548,14271,13457,21368,19654,16889,14775,13412,11948,8299,119811,91736,234922,242222,196975,154149,106561,51300,18573,1096428
5010,74,41,43,10,0,0,229,3,53,55,30,21,5,0,0,163,58,391,374,148,95,19,4,0,1093,19,221,280,182,132,31,3,0,865,195,856,787,489,356,82,13,0,2786,82,68,58,25,10,0,0,0,234,14,38,36,40,28,3,0,0,161,288,957,882,557,388,92,17,0,3184,4,13,12,16,16,0,0,0,63,302,539,452,367,296,90,27,8,2087,688,2230,2130,1336,980,252,55,11,7678
6000,728,719,882,719,249,30,4093,16,241,305,460,585,494,117,22,2234,406,2308,2689,2445,2722,2349,762,117,13804,194,991,1557,2154,2813,2224,785,158,10878,2110,5376,5155,5496,5952,3725,1316,231,29369,498,534,429,340,375,210,60,13,2455,113,221,269,417,615,542,197,44,2428,2730,6127,5853,6245,6944,4476,1576,292,34250,43,70,88,99,136,169,103,26,732,1445,1454,1547,1813,2388,2671,1737,615,13663,4851,11943,12765,13940,16468,13100,5331,1257,79656
6001,115,89,103,53,32,0,546,8,68,72,68,69,47,18,5,353,96,479,452,320,336,238,96,18,2030,43,174,272,358,358,260,148,37,1646,419,984,896,863,889,509,234,55,4854,122,123,76,69,45,30,14,3,477,34,36,50,54,106,75,44,3,402,577,1138,1019,979,1038,616,294,67,5732,12,26,21,17,22,29,14,8,146,234,209,212,269,248,306,308,142,1935,971,2252,2162,2100,2170,1544,908,284,12383
6002,121,80,81,59,15,7,654,6,57,56,77,67,56,25,0,352,111,609,464,373,310,314,120,26,2326,43,257,315,422,371,316,155,45,1930,485,1259,1024,1043,951,650,270,82,5757,143,143,87,86,67,46,11,5,591,40,50,60,90,108,105,36,13,498,675,1461,1166,1215,1128,800,314,91,6841,8,20,21,21,19,27,25,0,145,194,260,199,217,314,401,340,180,2115,1050,2945,2347,2401,2289,1979,994,357,14356
6003,3828,2408,1834,1333,495,117,17553,79,1012,1214,1168,1086,808,229,40,5630,2249,9932,7218,5275,4187,3486,1369,390,34110,574,2465,2653,3062,2819,2346,1155,359,15432,2597,6443,5659,5201,4784,3092,1473,427,29676,631,632,434,303,318,183,75,22,2603,200,330,361,440,596,594,285,128,2939,3433,7405,6455,5948,5700,3869,1823,579,35225,79,221,185,145,178,183,152,55,1194,1361,2056,1502,1379,1461,1740,1660,867,12016,7995,30411,23052,19390,17263,13765,6886,2399,121152
6004,857,560,472,355,156,17,4071,23,252,345,303,277,232,72,12,1521,611,2986,2333,1881,1446,1044,403,106,10809,207,827,1013,1262,1110,856,451,128,5855,1288,2953,2528,2529,2221,1374,684,203,13789,340,359,207,160,151,80,29,12,1328,97,150,150,206,223,255,121,47,1254,1728,3466,2882,2894,2590,1709,843,262,16367,34,86,58,77,59,72,69,21,476,696,823,574,583,638,708,761,412,5193,3346,10030,8063,7568,6599,4982,2746,957,44297
