SUA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
4001,..,147522,147522,163395,13749,177145,79966,4037,84006,77541,1312,78856,28377,413,28789,12794,266,13056,362073,167290,529364
4002,..,3823,3823,3914,227,4145,1544,32,1577,1414,6,1420,566,0,564,275,0,275,7714,4097,11808
4003,..,2345,2345,2405,172,2575,916,33,947,762,10,764,329,3,331,204,4,209,4611,2568,7177
4004,..,1645,1645,1589,126,1713,662,12,674,526,10,539,271,0,271,145,9,149,3194,1802,4993
4005,..,1924,1924,2153,148,2294,838,38,874,764,4,759,311,0,317,130,0,130,4185,2116,6302
4006,..,2124,2124,1871,115,1991,762,13,775,583,4,588,261,0,261,115,0,115,3592,2255,5847
4007,..,4219,4219,5575,217,5800,1195,21,1217,917,11,924,363,0,365,149,4,153,8208,4477,12684
4008,..,3258,3258,2863,186,3054,1143,18,1163,943,9,948,388,0,388,142,0,142,5486,3474,8952
5000,..,25421,25421,32687,1836,34522,11433,283,11723,11319,94,11416,5674,32,5707,3200,32,3235,64313,27707,92016
5001,..,4045,4045,4708,263,4974,1708,51,1757,1608,13,1618,696,4,697,357,0,357,9075,4372,13451
5002,..,1102,1102,1266,149,1411,658,59,711,755,15,771,343,4,344,183,6,181,3201,1333,4532
5003,..,7386,7386,9451,640,10092,4111,108,4219,4179,28,4211,1714,6,1719,763,15,771,20220,8185,28400
5004,..,3730,3730,5477,304,5786,2011,65,2069,2140,20,2160,876,4,877,328,3,327,10831,4129,14957
5005,..,1305,1305,1504,103,1610,556,12,569,532,4,537,241,0,242,114,0,114,2950,1430,4379
5006,..,3899,3899,4655,325,4981,2011,54,2062,1843,4,1841,822,0,822,411,0,413,9737,4281,14020
5007,..,2718,2718,2826,282,3116,1518,62,1580,1497,12,1512,701,9,700,353,5,354,6890,3081,9975
5008,..,1102,1102,1294,134,1428,802,38,840,1042,7,1048,469,0,468,171,7,177,3774,1288,5062
5009,..,193244,193244,235048,19277,254327,121347,5415,126758,125652,1812,127470,48724,580,49300,21813,265,22072,552581,220584,773166
5010,..,1241,1241,1288,135,1418,746,20,766,737,6,739,375,0,377,222,0,222,3367,1401,4766
6000,..,18280,18280,24666,1261,25924,8227,126,8359,7139,28,7171,3050,13,3060,1636,10,1646,44720,19720,64438
6001,..,3873,3873,3924,216,4142,1465,29,1499,1283,6,1290,525,9,532,236,0,236,7433,4137,11572
6002,..,4047,4047,4452,301,4756,1837,41,1876,1434,14,1447,575,3,577,274,3,277,8560,4418,12982
6003,..,24229,24229,27483,2243,29726,13113,921,14032,11681,433,12120,4653,161,4817,2198,76,2274,59132,28068,87197
6004,..,11010,11010,11444,979,12419,5125,254,5385,4495,115,4612,1758,26,1783,810,11,825,23629,12409,36036
6005,..,1921,1921,2278,104,2385,797,9,809,677,6,681,257,0,262,127,3,128,4141,2045,6188
7000,..,4083,4083,4333,419,4752,2265,93,2354,2405,26,2433,1613,13,1625,3161,5,3171,13773,4643,18416
7001,..,2409,2409,2330,318,2649,1418,134,1553,1246,43,1291,577,11,587,401,5,401,5976,2916,8891
7002,..,10317,10317,12095,1717,13812,7358,563,7918,6639,189,6826,2802,61,2870,1598,16,1611,30492,12859,43351
8000,..,54,54,104,0,102,40,0,43,65,0,60,38,0,38,24,0,24,264,53,320
8001,..,47758,47758,54267,5068,59331,28076,2056,30124,29066,771,29835,10764,232,10991,4489,117,4608,126655,56000,182655
9000,..,492,492,507,26,529,187,0,185,168,0,168,97,0,98,62,0,62,1008,525,1533
