SUA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
5004,101,111,211,53,48,98,55,137,189,50,266,317,198,712,908,207,546,758,745,351,1099,604,357,960,813,350,1162,834,261,1096,569,187,760,590,134,727,1273,222,1500,964,36,1001,732,63,798,454,10,470,1124,73,1197,1332,102,1438,119,159,282,10831,4129,14957
5005,25,36,59,13,25,39,20,48,69,21,107,120,58,262,322,52,158,203,170,91,268,145,100,252,179,128,305,202,87,299,145,63,211,177,59,233,397,91,491,266,7,281,236,31,270,108,5,114,296,33,326,396,24,420,45,61,105,2950,1430,4379
5006,111,120,235,39,56,92,61,181,241,57,314,374,173,699,874,203,452,657,618,300,914,519,360,881,536,378,911,625,277,904,528,214,738,516,201,715,1195,332,1521,969,29,998,788,64,852,474,11,492,1007,78,1085,1206,72,1280,122,135,256,9737,4281,14020
5007,40,90,132,22,28,50,28,66,96,22,121,140,60,268,326,92,135,231,191,115,306,174,179,351,196,249,443,253,218,480,220,299,517,282,260,537,825,507,1325,759,38,801,795,137,934,526,26,550,1577,151,1726,721,87,801,111,109,218,6890,3081,9975
5008,12,20,28,7,4,11,4,20,20,7,23,29,16,31,49,16,19,39,23,31,50,28,42,73,53,70,116,63,93,152,81,129,208,132,141,271,373,275,644,327,22,346,452,99,546,317,20,340,1415,175,1595,435,40,469,23,38,57,3774,1288,5062
5009,5212,7378,12588,2073,2597,4677,2410,6674,9082,2757,13305,16071,7914,30536,38444,9445,20277,29720,26002,13373,39377,24307,16661,40970,29827,19484,49307,34357,16496,50852,27552,14558,42116,29484,11363,40847,66729,20087,86818,52918,2534,55455,46573,5329,51900,30513,1095,31601,96314,7746,104060,53266,5515,58787,4930,5570,10507,552581,220584,773166
5010,24,28,57,7,6,15,12,22,36,18,47,61,28,33,55,30,33,58,48,28,79,53,38,86,63,76,143,74,95,174,73,135,213,118,126,238,315,331,645,308,21,332,400,122,521,303,17,321,1041,156,1197,386,39,426,69,48,113,3367,1401,4766
6000,412,533,946,256,255,510,234,771,1008,332,1714,2043,1167,4795,5961,1254,2333,3585,4439,1415,5851,3469,1792,5261,3751,1621,5367,4121,986,5106,2863,830,3690,2899,580,3488,5369,665,6035,3621,82,3704,2387,134,2520,1313,24,1335,2551,199,2751,3675,204,3885,605,793,1397,44720,19720,64438
6001,49,99,145,22,37,63,43,165,200,56,385,438,198,963,1156,228,576,802,766,304,1069,583,343,920,576,351,931,726,191,919,441,171,612,458,130,582,947,146,1094,585,16,604,420,21,441,232,3,238,425,41,465,588,34,618,97,168,264,7433,4137,11572
6002,76,98,177,29,52,79,42,151,191,64,353,415,202,1034,1238,258,568,821,914,308,1225,750,382,1130,682,373,1056,795,236,1029,578,192,769,554,135,688,1062,176,1242,703,19,717,451,28,478,252,12,264,444,50,498,579,41,620,133,206,339,8560,4418,12982
6003,433,657,1091,177,266,442,232,824,1050,285,1708,1993,997,4732,5738,1280,3018,4303,3313,2166,5480,3322,2455,5775,4132,2634,6771,4964,1910,6880,3608,1743,5348,3749,1215,4968,7896,1776,9678,5917,351,6268,4520,468,4992,3020,137,3148,7038,629,7672,3762,569,4331,474,793,1265,59132,28068,87197
6004,154,292,447,90,130,218,93,427,524,155,858,1013,457,2297,2755,558,1517,2072,1789,981,2772,1599,1183,2785,1857,1185,3043,2187,822,3009,1507,613,2124,1468,446,1913,3222,559,3783,2140,129,2268,1645,129,1773,960,44,1002,2020,226,2245,1498,189,1687,221,385,608,23629,12409,36036
6005,24,43,67,16,18,35,21,74,101,26,152,181,92,568,659,105,288,390,495,152,642,322,144,468,346,140,480,388,70,458,252,75,335,252,78,325,487,76,554,335,14,346,229,4,237,134,0,139,238,18,254,325,12,338,57,110,168,4141,2045,6188
7000,61,85,150,165,60,228,278,211,486,155,235,389,553,384,934,354,202,558,785,238,1023,799,327,1123,839,479,1314,913,392,1300,655,405,1063,681,322,1005,1306,623,1925,1080,53,1131,954,120,1073,681,25,706,1456,151,1605,1692,119,1809,376,216,594,13773,4643,18416
7001,39,69,114,11,32,45,35,69,106,37,97,145,89,197,287,67,167,234,151,127,284,171,207,376,257,267,527,299,296,595,265,265,535,253,202,454,764,364,1127,686,51,736,626,110,732,414,34,443,1122,155,1276,614,134,746,56,80,138,5976,2916,8891
7002,172,331,502,51,98,147,109,251,365,163,651,814,321,975,1295,387,643,1026,783,577,1356,788,895,1683,1204,1106,2315,1518,1130,2650,1348,1090,2435,1555,950,2507,4129,1732,5857,3365,299,3665,2961,418,3387,2216,161,2380,5810,670,6478,3361,579,3941,251,306,562,30492,12859,43351
8000,0,0,0,0,0,0,0,3,3,0,5,5,0,12,13,0,3,4,0,5,5,3,6,9,6,7,15,13,9,21,8,0,11,6,0,9,26,7,30,35,0,32,21,0,24,24,0,24,89,0,96,19,4,17,4,0,4,264,53,320
8001,601,1132,1734,258,401,663,268,1058,1325,359,2092,2452,948,4703,5654,1208,3054,4258,2812,2935,5752,3052,3682,6731,4392,4632,9025,6188,4777,10963,5566,5219,10778,6023,4519,10540,15220,8802,24021,13126,1023,14141,12988,2068,15058,10504,587,11086,35934,3334,39262,6596,1140,7731,628,841,1466,126655,56000,182655
9000,8,16,22,7,12,16,6,14,18,12,36,43,20,80,99,21,45,67,50,46,94,55,51,103,64,52,116,72,39,118,63,31,91,72,36,101,127,30,157,97,0,98,75,14,88,57,0,54,94,9,105,97,3,101,26,18,46,1008,525,1533
