SUA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
2020,479,485,963,1222,1102,2327,344,352,704,252,247,499,1823,1704,3531,760,743,1505,294,356,645,300,324,623,1348,1421,2774,68,71,138,28,96,129,170,109,275,146,282,428,0,4,5,410,562,972,139,300,438,60,157,211,22,66,87,102,296,396,0,0,3,321,821,1137,732,1381,2114,63,56,117,73,132,199,0,3,3,128,190,327,1195,1212,2404,5704,6398,12103
2021,377,367,742,742,667,1411,647,605,1250,62,48,105,1446,1316,2768,732,688,1416,357,455,804,53,55,107,1138,1190,2328,49,77,126,62,114,175,165,126,290,193,232,423,5,0,5,477,543,1023,95,204,292,68,109,173,26,31,49,100,225,328,0,0,0,285,568,855,763,1117,1877,24,28,51,50,100,151,0,3,0,83,129,209,1038,1023,2060,4840,5144,9982
3000,4653,4179,8835,22904,21442,44346,5118,4909,10023,2297,2188,4487,30345,28567,58915,17042,15737,32775,3531,3748,7282,2907,2948,5850,23514,22442,45952,692,533,1224,495,860,1358,1385,1165,2546,1618,3738,5358,45,47,91,4235,6342,10576,996,2442,3445,679,1640,2321,366,912,1281,1304,3839,5139,23,33,56,3371,8870,12240,7615,15218,22834,671,704,1374,1192,2048,3237,38,43,77,1897,2793,4682,44872,34706,79578,112892,107905,220801
3001,81,80,163,403,345,752,57,60,122,65,67,130,524,476,1001,254,253,508,54,52,108,43,41,82,346,351,694,10,8,17,24,26,50,33,25,55,57,126,178,0,0,0,126,182,310,15,54,76,22,35,58,14,33,43,39,76,115,0,0,0,93,204,293,220,386,606,17,16,37,34,66,101,0,0,0,52,82,135,1010,788,1792,2232,2165,4397
3002,22987,21090,44078,74238,70899,145143,19489,18763,38252,12771,12385,25160,106666,102235,208903,51027,48077,99104,19675,18237,37908,17086,17586,34671,87926,84029,171956,4400,4503,8903,4777,7771,12543,5653,4617,10278,9231,15894,25125,92,101,195,24158,32883,57041,28690,37017,65711,11915,15839,27755,4514,6070,10581,12279,20825,33103,87,112,205,57482,79866,137347,81749,112864,194607,4359,4442,8807,6242,9414,15653,101,113,210,10705,13967,24674,62281,56028,118310,372319,390215,762534
3003,430,454,881,2000,1845,3846,460,459,919,420,372,796,2884,2682,5566,1445,1370,2817,652,644,1296,391,331,725,2496,2344,4843,69,80,152,68,113,181,142,145,290,186,368,556,3,8,14,473,714,1184,157,293,447,123,250,372,51,118,164,209,451,665,4,4,8,538,1114,1655,1011,1831,2840,83,82,167,199,238,434,4,3,4,287,328,607,2213,2132,4346,9315,9775,19091
3004,1148,1123,2270,3850,3637,7487,2034,1984,4021,573,470,1037,6463,6098,12568,3472,3310,6778,1574,1636,3216,471,503,963,5526,5453,10980,206,191,398,279,490,767,363,310,678,653,1263,1910,6,13,13,1509,2264,3766,624,1098,1715,418,798,1217,137,248,386,672,1351,2029,9,6,11,1862,3494,5358,3377,5769,9150,202,243,454,414,684,1094,9,13,20,628,942,1565,7181,6325,13508,24316,25716,50035
3005,137,146,289,461,431,895,271,328,598,41,60,98,782,812,1591,369,336,707,189,162,349,39,42,87,604,544,1146,29,14,44,9,11,16,44,36,79,56,107,161,0,0,0,136,172,309,14,45,66,14,50,63,4,39,44,46,101,146,0,0,0,78,231,312,218,405,619,22,16,36,50,64,114,0,0,0,72,80,154,709,478,1192,2525,2474,4989
3006,393,350,741,1629,1613,3248,428,408,840,128,138,266,2188,2164,4353,1373,1386,2760,280,318,593,136,98,239,1789,1809,3596,48,52,97,45,54,101,105,95,198,124,334,458,0,3,5,316,539,854,91,153,241,43,162,208,49,90,133,150,382,531,0,0,0,331,782,1117,649,1321,1971,62,57,123,138,191,328,0,4,4,204,254,458,1495,1300,2793,6711,7201,13913
3007,6673,6065,12741,18160,17057,35219,4087,3981,8068,5152,5150,10303,27447,26241,53689,13455,12698,26154,2925,3006,5928,6412,6110,12525,22831,21863,44693,1086,1215,2304,1468,2341,3812,1928,1386,3312,2968,5206,8176,31,26,51,7491,10174,17662,5608,8421,14030,2740,4084,6826,949,1462,2410,2317,4800,7117,26,30,58,11637,18800,30440,19156,29007,48165,970,1099,2072,1695,2736,4431,28,29,55,2694,3863,6559,21028,21415,42446,99833,108458,208293
3008,164,161,326,710,651,1363,81,71,156,110,109,220,902,835,1740,590,547,1132,115,121,237,119,125,243,825,794,1622,21,31,52,11,45,53,42,60,105,41,149,189,0,0,0,120,280,406,46,93,138,39,78,118,21,38,49,34,117,152,0,0,0,133,327,459,256,612,868,30,38,69,50,73,119,0,0,0,78,109,186,658,618,1279,2878,3132,6014
3009,344,376,721,1287,1247,2536,423,393,810,388,381,774,2099,2025,4127,1076,1140,2224,309,309,613,361,362,724,1750,1809,3564,35,54,85,43,99,146,109,113,224,171,338,509,0,0,0,367,603,967,82,166,244,71,199,274,28,68,93,134,305,439,0,0,0,314,733,1052,679,1344,2019,65,65,127,94,176,273,0,3,3,158,247,406,1770,1854,3628,6804,7655,14455
3010,81,92,175,297,268,564,54,48,103,99,104,204,452,418,876,310,288,594,18,33,48,28,34,60,356,353,702,13,8,21,10,12,21,29,24,53,36,66,107,0,0,0,93,115,208,3,36,41,7,15,22,0,13,15,29,71,99,0,7,7,46,135,185,142,255,392,12,11,23,29,34,64,0,0,0,38,53,83,372,347,720,1435,1513,2953
3011,680,637,1317,2388,2216,4600,1022,992,2016,332,373,704,3742,3584,7326,1762,1659,3417,908,953,1860,339,358,700,3009,2976,5986,107,68,176,72,113,185,228,190,416,239,541,780,6,5,6,648,914,1564,194,419,609,111,270,381,110,188,302,292,677,965,4,0,10,715,1556,2272,1365,2473,3843,93,92,186,241,309,550,6,0,0,332,408,746,4003,3035,7041,13142,13111,26252
3012,128,135,265,697,710,1405,153,149,300,107,103,213,961,958,1920,665,597,1262,113,119,234,119,123,247,899,844,1741,26,34,64,15,43,65,53,56,109,71,161,236,0,4,4,167,299,464,25,56,76,32,49,81,13,24,32,51,140,192,0,0,0,115,274,386,278,573,850,29,31,56,31,78,112,0,5,0,65,107,168,1602,819,2417,3938,3433,7367
3013,178,154,324,702,623,1325,194,217,412,22,12,30,923,851,1773,420,407,828,197,187,385,12,9,16,630,609,1233,9,16,28,34,18,51,47,51,101,66,112,179,0,0,0,164,201,361,10,47,49,21,45,67,7,27,37,66,193,259,0,0,0,105,305,411,267,506,774,34,37,70,49,57,104,3,0,3,90,97,180,984,786,1762,3062,2990,6055
3014,607,607,1217,2093,2012,4107,983,966,1953,443,494,936,3531,3482,7015,1312,1207,2525,1158,1063,2221,588,659,1246,3057,2943,6001,109,78,183,63,84,144,166,148,312,198,441,640,5,0,5,539,751,1282,289,518,811,187,342,522,116,229,343,308,656,967,0,0,0,893,1741,2639,1437,2496,3930,95,115,210,230,256,491,0,3,3,325,377,702,3857,2408,6264,12816,12310,25119
3015,3165,2820,5993,10743,10015,20754,1842,1875,3717,2641,2698,5338,15246,14617,29862,7828,7578,15408,1820,1921,3740,3359,3277,6637,13014,12796,25818,510,466,972,437,696,1132,906,648,1560,1156,2306,3458,14,17,29,3020,4129,7151,1965,3543,5515,1066,2229,3289,450,696,1145,1315,2740,4049,3,17,23,4804,9219,14025,7834,13368,21202,416,452,865,869,1382,2251,19,13,38,1304,1852,3152,10383,10105,20494,50956,55560,106520
3016,1151,1124,2275,3952,3725,7673,1384,1351,2737,960,987,1951,6307,6075,12382,2811,2750,5563,1414,1346,2761,1471,1452,2922,5702,5557,11257,301,307,613,262,303,568,417,399,818,610,1069,1679,12,10,17,1602,2096,3696,694,1125,1820,515,734,1248,247,395,643,740,1366,2108,4,6,5,2206,3628,5826,3810,5737,9552,251,224,474,396,606,1002,3,7,17,652,840,1491,3538,3404,6940,21163,22736,43899
3017,1521,1331,2854,4422,4171,8598,2551,2426,4974,845,831,1669,7830,7445,15273,3149,3038,6182,1926,2299,4232,1099,1068,2169,6181,6425,12604,327,221,551,220,397,618,397,327,726,556,1077,1629,0,5,5,1498,2030,3532,1435,2665,4098,660,1100,1763,275,440,713,884,1617,2501,6,7,17,3262,5832,9091,4765,7875,12637,299,261,558,414,639,1059,3,8,14,721,910,1632,8306,5814,14120,29330,29792,59123
3018,121,79,204,429,422,850,107,130,233,64,93,155,596,650,1241,262,265,527,123,150,274,131,139,271,511,556,1073,13,11,22,17,20,38,26,41,68,39,98,136,0,0,6,95,171,269,25,45,67,9,38,50,8,20,23,38,85,123,0,0,0,79,189,271,181,357,538,18,19,34,31,51,84,3,0,8,52,74,121,542,548,1093,2010,2263,4276
3019,141,130,267,534,490,1020,307,290,597,20,33,51,863,812,1674,306,313,626,490,315,810,70,78,154,869,712,1583,16,15,33,6,17,24,43,44,84,57,99,155,0,0,0,125,175,299,44,107,153,27,77,102,20,48,68,66,170,233,0,0,0,155,403,558,279,580,861,21,24,41,46,78,125,0,0,0,65,103,164,847,537,1391,3059,2865,5931
4000,1839,1729,3568,8695,8032,16733,1234,1249,2483,1638,1610,3254,11581,10902,22478,5726,5403,11127,515,501,1014,1214,1306,2517,7455,7221,14678,179,189,369,134,328,466,766,477,1247,711,1342,2048,22,22,42,1812,2354,4165,520,1152,1674,198,599,797,99,257,358,357,1175,1536,4,8,11,1176,3195,4371,2989,5554,8541,185,190,375,282,586,867,19,15,28,483,800,1282,11213,9152,20368,35561,35347,70911
4001,11592,10685,22273,39288,36252,75545,11118,10771,21893,9187,9114,18301,59676,56227,115908,21053,19593,40654,9728,9971,19696,9897,10003,19904,40719,39618,80341,2423,1891,4318,2789,4094,6887,3263,2175,5442,5748,8619,14362,72,59,133,14299,16846,31145,16816,21367,38186,7566,9562,17129,2145,2734,4878,6045,10244,16289,72,75,147,32637,43986,76626,47001,60907,107899,2003,2099,4108,3198,4714,7918,73,63,134,5278,6879,12154,27179,25478,52656,191441,199796,391236
4002,239,252,488,991,922,1907,250,227,474,130,121,248,1375,1271,2641,545,596,1148,226,202,433,125,111,240,903,916,1825,19,36,49,22,78,96,96,73,170,133,218,355,0,0,0,269,408,672,32,112,136,26,97,125,8,34,43,65,182,249,0,3,3,129,425,556,390,835,1234,28,27,56,49,89,138,0,0,0,76,121,199,815,891,1705,3803,4290,8092
4003,136,133,270,408,435,838,201,198,397,126,141,265,737,769,1499,349,346,693,23,14,35,106,118,223,475,479,956,24,15,34,14,40,52,37,47,82,61,116,184,0,0,0,144,219,362,41,71,111,24,31,54,13,11,28,23,73,95,0,0,0,102,190,292,242,409,653,18,24,34,28,48,78,0,0,0,48,73,117,1043,566,1614,2681,2424,5099
4004,113,110,219,460,447,902,117,122,241,21,40,59,591,611,1205,261,239,501,100,94,196,12,9,23,370,344,717,7,12,23,5,26,38,41,17,55,32,68,100,0,0,0,94,129,221,15,37,49,16,33,49,8,9,15,29,66,92,0,0,0,62,143,211,159,274,430,7,17,29,14,30,40,4,0,5,26,53,78,1131,521,1651,2387,1912,4297
4005,129,111,245,447,384,836,211,196,407,109,90,201,778,671,1450,264,234,504,125,169,302,65,84,150,459,491,950,15,12,26,12,22,28,44,33,73,49,102,151,0,0,3,123,166,293,18,35,50,16,25,44,7,22,28,22,88,109,0,0,0,61,173,232,186,339,525,8,9,19,22,51,67,0,4,3,29,61,90,770,516,1286,2350,2190,4539
4006,73,83,156,321,324,648,174,133,308,44,42,91,540,501,1045,277,245,524,154,179,331,26,32,55,456,455,910,8,16,20,12,22,37,40,34,79,38,67,104,0,4,4,98,145,240,14,54,68,14,24,34,8,22,21,17,45,62,0,0,0,51,144,197,152,286,436,13,8,25,14,25,36,0,0,0,27,33,61,452,427,882,1703,1783,3490
4007,152,127,275,603,545,1148,17,14,34,257,269,530,882,830,1713,310,335,643,15,21,38,232,244,470,562,595,1154,25,20,44,24,37,59,39,33,70,72,137,211,0,0,3,160,222,387,60,78,134,29,67,97,12,28,43,46,126,169,0,0,0,148,289,440,310,517,825,20,18,37,34,67,98,0,0,3,47,85,139,592,666,1254,2542,2822,5362
4008,165,173,339,718,659,1378,158,159,316,86,76,166,968,893,1859,434,412,849,144,180,327,26,20,50,615,611,1226,18,32,47,16,40,59,75,38,112,61,124,186,0,0,0,174,230,402,21,74,96,17,63,79,10,18,24,33,107,141,4,0,4,82,262,347,251,497,750,16,20,38,32,72,107,0,3,3,52,95,144,721,684,1404,2771,2959,5729
5000,1961,1886,3847,8283,7581,15861,1749,1647,3391,984,927,1909,11023,10164,21191,5555,5125,10686,1011,1092,2102,978,1160,2137,7549,7391,14933,313,300,607,142,325,466,773,441,1209,624,1497,2122,17,11,28,1866,2565,4436,272,572,837,176,468,638,80,207,282,431,1190,1620,6,0,13,965,2433,3396,2834,5004,7839,250,260,516,320,639,960,20,8,28,589,919,1503,24039,15237,39274,47989,40593,88581
5001,283,248,533,875,827,1699,120,126,248,269,310,583,1267,1267,2536,838,765,1605,121,136,253,292,340,631,1257,1240,2494,74,68,142,32,87,116,156,70,226,108,237,349,3,6,7,374,465,839,43,79,117,36,72,107,15,36,52,82,222,304,0,0,0,173,407,585,549,870,1422,21,36,57,97,116,215,0,0,3,123,150,270,1290,917,2207,4769,4697,9464
5002,130,108,236,537,506,1040,170,142,314,8,11,22,710,662,1375,308,350,659,124,136,255,9,14,18,439,497,936,6,16,30,13,16,26,34,35,63,63,134,199,0,0,0,121,199,325,19,35,52,20,54,76,0,23,24,44,138,182,0,0,0,83,253,335,202,456,660,15,14,26,17,43,61,0,0,0,28,55,85,1113,1059,2171,2624,2837,5460
5003,710,654,1364,2480,2234,4710,519,527,1044,484,409,899,3486,3178,6662,1810,1859,3667,551,568,1122,437,448,889,2798,2883,5681,141,151,287,81,198,282,317,186,500,219,473,694,5,3,7,761,1005,1770,100,258,360,82,224,307,30,85,120,177,431,611,0,4,4,392,1005,1395,1161,2011,3169,76,81,160,169,244,414,4,0,4,249,329,573,2776,1894,4673,11180,10940,22123
5004,318,327,643,1078,954,2030,410,402,808,311,315,626,1804,1665,3473,783,688,1474,368,417,777,325,323,650,1481,1427,2904,65,36,97,31,86,109,147,84,225,119,233,355,5,0,8,363,436,800,42,105,144,33,110,143,13,30,47,68,251,321,0,0,0,155,502,658,521,941,1456,39,41,79,63,136,198,0,3,8,104,178,286,1277,1099,2374,5503,5645,11146
5005,87,99,185,400,407,808,43,32,75,30,33,70,476,475,951,328,296,625,7,16,24,71,73,145,406,388,795,24,15,37,5,4,10,37,34,71,19,88,115,0,4,3,87,146,233,10,23,30,8,17,26,3,10,16,16,40,56,0,0,0,39,93,135,129,236,367,9,9,9,14,23,40,0,0,0,20,28,50,678,590,1275,1803,1820,3624
5006,338,330,670,951,801,1752,448,484,931,246,264,508,1649,1550,3198,719,659,1375,405,483,889,181,202,386,1311,1345,2653,63,97,158,42,78,119,158,124,283,149,327,475,0,5,8,410,623,1037,33,78,111,23,97,126,20,45,62,92,244,336,0,0,0,168,465,634,587,1088,1673,36,37,70,76,108,185,4,0,0,109,148,262,1987,1641,3628,5976,6106,12083
5007,297,301,593,1027,949,1972,254,233,494,78,89,172,1363,1277,2644,494,535,1036,314,283,593,66,57,123,883,880,1764,43,37,80,37,33,63,138,84,221,141,241,382,5,0,4,353,392,749,64,56,119,70,68,143,13,23,36,86,179,268,3,3,8,234,335,570,591,732,1321,44,21,60,62,103,167,4,4,4,106,124,237,1770,1308,3079,5010,4624,9629
5008,203,191,396,753,723,1472,161,149,306,29,32,58,946,901,1844,418,396,816,147,138,287,6,5,10,575,537,1114,17,17,35,17,17,40,52,49,105,77,162,241,4,0,4,180,239,418,8,20,27,8,31,38,3,14,17,59,119,177,0,0,0,80,179,263,264,422,682,5,7,21,32,61,94,0,0,0,41,73,112,1403,1114,2521,3434,3241,6673
5009,19133,17605,36729,63657,59720,123375,14498,14419,28924,12347,12202,24548,90651,86504,177156,41252,38362,79616,15174,14946,30117,16103,15718,31817,72605,69115,141720,4887,4589,9470,3925,6619,10544,6167,3597,9763,6959,12001,18961,97,89,184,22033,26894,48924,22355,28697,51060,8949,11842,20788,3743,4704,8449,8815,14537,23351,100,126,225,43968,59904,103871,66125,86927,153051,3155,3423,6577,5310,8252,13558,100,97,198,8563,11770,20332,57104,46576,103681,314177,318500,632678
5010,123,132,253,645,690,1338,74,77,153,24,10,38,744,778,1531,432,384,816,5,3,3,8,11,20,440,398,839,14,13,32,14,27,42,48,34,81,81,136,222,3,0,5,169,210,373,6,18,25,9,45,50,6,8,8,55,87,137,0,0,0,75,151,228,243,363,601,24,29,52,30,52,88,0,0,0,60,82,143,1282,1031,2315,2895,2783,5682
6000,812,779,1591,4928,4716,9643,974,905,1882,542,565,1110,6447,6188,12640,3092,2885,5976,766,816,1585,618,575,1195,4484,4279,8768,242,249,488,180,267,447,553,321,870,612,811,1416,24,18,38,1605,1657,3266,284,547,835,229,405,636,76,139,221,352,928,1282,9,10,13,950,2026,2981,2554,3689,6251,215,245,460,180,422,602,14,12,31,412,676,1092,6282,5723,12009,21000,21345,42345
6001,156,145,296,887,895,1784,266,236,506,65,50,117,1217,1189,2404,571,614,1187,179,202,381,42,35,77,797,855,1650,57,63,120,28,57,84,95,69,160,79,156,236,0,0,0,269,339,609,64,124,191,41,94,137,17,37,55,102,167,272,0,3,5,231,429,658,497,765,1264,30,40,65,33,54,91,0,3,3,62,97,164,781,817,1605,3516,3865,7376
6002,170,148,311,966,931,1894,262,242,502,111,129,241,1329,1302,2636,703,670,1371,161,172,337,83,80,162,943,925,1876,70,74,144,66,89,152,122,91,208,120,181,304,0,0,5,378,432,807,59,127,188,35,79,111,17,27,37,87,165,248,0,0,0,193,397,588,570,837,1405,59,61,116,58,84,137,0,5,5,111,155,260,827,831,1663,3952,4192,8148
6003,1551,1451,3003,6570,5851,12425,1960,2127,4088,1078,1068,2147,9622,9065,18685,3686,3413,7097,1681,1838,3519,1403,1333,2736,6776,6583,13364,510,477,986,1246,1253,2506,754,424,1173,1314,1352,2669,13,13,25,3835,3529,7362,1932,2317,4248,1539,1786,3324,287,398,684,1194,2153,3348,10,9,21,4959,6669,11630,8811,10208,19019,490,531,1026,490,750,1240,10,8,23,1002,1289,2289,5426,5036,10456,33179,33639,66817
6004,568,580,1147,2807,2638,5444,608,593,1199,522,496,1020,3940,3731,7671,1697,1661,3362,553,553,1102,592,565,1161,2846,2787,5630,133,169,304,295,351,649,333,187,517,447,478,924,9,3,14,1210,1192,2407,610,779,1394,445,578,1018,96,149,242,369,652,1024,0,7,9,1524,2159,3682,2737,3359,6097,197,186,386,215,312,521,3,3,3,412,500,915,2183,2104,4291,12685,13060,25749
6005,75,69,138,416,396,817,122,94,220,62,80,142,600,575,1174,298,272,570,96,94,189,59,64,124,456,432,886,28,22,58,15,30,48,56,23,83,44,87,124,0,0,0,149,168,316,24,50,74,21,33,59,4,19,21,40,81,124,0,0,0,90,184,275,240,352,586,19,14,36,23,43,64,0,0,0,44,59,99,446,427,873,1850,1907,3758
7000,693,667,1357,3514,3178,6685,443,425,869,234,236,473,4190,3835,8026,1623,1610,3231,272,279,547,275,238,514,2172,2126,4298,26,28,58,40,51,85,102,74,175,179,290,474,0,3,5,350,449,799,49,90,145,87,151,236,30,88,122,203,529,731,5,0,3,373,859,1237,725,1310,2030,65,64,134,88,135,226,7,3,13,163,204,371,6106,4685,10783,14044,12830,26870
7001,282,207,484,813,727,1539,210,208,414,220,222,442,1244,1159,2404,285,289,573,169,183,354,316,296,618,781,766,1548,16,6,25,35,36,68,56,42,94,131,200,335,4,0,8,242,287,522,33,65,102,58,135,195,16,46,59,225,440,666,3,0,5,338,681,1020,574,970,1549,52,52,101,55,122,177,0,4,8,107,180,283,894,928,1821,3883,4210,8090
7002,1235,1169,2412,4150,3966,8118,641,638,1282,703,758,1459,5499,5372,10875,2514,2507,5020,688,646,1339,713,712,1427,3920,3872,7794,167,135,300,322,342,666,258,210,466,582,917,1495,11,10,9,1333,1612,2940,650,920,1568,791,1216,1999,201,335,534,936,1902,2839,8,11,18,2583,4378,6963,3929,5992,9920,343,358,694,338,633,969,5,8,13,691,999,1682,6647,5030,11682,21917,22441,44363
8000,16,10,32,34,27,60,13,13,26,8,11,19,52,50,103,27,34,63,19,19,39,15,12,26,60,64,124,0,11,12,0,0,3,3,7,12,9,13,23,0,0,0,12,36,52,13,16,31,12,7,18,3,7,8,3,12,15,0,0,0,31,36,70,47,70,121,0,4,4,0,4,9,0,0,0,5,8,17,138,73,210,326,278,609
8001,4969,4515,9487,14122,13059,27176,4857,4469,9329,2257,2336,4597,21257,19887,41150,9083,8290,17374,4056,3821,7881,2333,2526,4861,15484,14652,30140,787,716,1499,1152,1221,2376,1744,1065,2814,2681,3525,6209,21,19,37,6391,6544,12930,7840,9407,17248,3348,3680,7026,1189,1561,2755,4494,6289,10787,34,25,62,16906,20970,37877,23325,27542,50868,1125,991,2120,1730,2259,3981,11,20,30,2864,3270,6136,10396,9383,19778,78300,79258,157557
9000,46,33,81,185,167,358,0,0,0,0,0,0,189,167,353,116,110,230,0,5,4,0,0,3,116,119,234,4,0,7,4,3,6,9,10,17,16,28,41,0,0,0,40,38,77,0,8,11,0,6,6,0,10,5,8,16,28,0,0,3,20,37,57,54,80,136,4,0,4,3,14,16,0,0,0,9,12,19,580,321,908,995,732,1733
