SUA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
6001,19,81,64,37,115,100,24,54,3,492,8,46,28,10,53,54,18,22,70,308,588,1845,1474,990,2353,2157,680,1334,176,11597
6002,20,94,68,57,127,114,20,66,5,575,24,38,33,25,57,51,20,32,91,372,657,2126,1804,1284,2885,2463,767,1460,245,13688
6003,109,674,627,389,917,710,209,352,40,4027,108,324,303,159,483,399,93,204,654,2721,4733,16945,15555,10523,25729,19015,5802,9572,1563,109439
6004,54,269,273,160,388,346,93,172,8,1773,57,144,103,83,191,179,44,83,239,1123,1815,6643,5916,4025,9547,7667,2460,4199,578,42858
6005,11,50,25,23,55,43,15,14,0,246,12,21,20,7,19,35,7,16,34,176,346,1045,875,612,1202,1113,395,614,118,6317
7000,42,97,78,59,232,194,50,171,24,945,94,89,74,51,145,171,35,135,398,1184,1435,2263,2000,1563,5640,4856,1591,4982,840,25174
7001,22,56,45,40,189,157,34,86,7,636,26,50,31,25,91,99,25,64,106,515,652,1147,988,902,3871,3060,963,1907,242,13726
7002,72,274,273,185,642,608,180,324,29,2586,94,237,210,123,527,548,113,354,563,2758,3233,6239,6037,4712,16987,15087,4580,10007,1248,68133
8000,0,6,4,0,7,6,0,4,0,31,0,4,0,4,4,11,0,0,5,21,52,116,82,69,141,179,49,101,11,792
8001,283,1297,1068,599,1676,1573,490,790,57,7827,165,579,494,267,1116,1053,201,438,1255,5575,11832,31629,26667,18254,69088,61904,17841,28569,2910,268700
9000,4,6,4,9,15,17,5,9,0,66,10,21,4,6,25,19,5,16,15,117,131,342,207,171,531,413,116,283,47,2251
