SUA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1020,6079,5974,12052,267,303,577,613,599,1209,21,18,44,43,54,103,9,8,19,11,12,18,7,6,10,20,24,39,11,10,20,0,0,0,733,722,1454,23,31,54,19,17,36,1042,1078,2117,357,320,672,7481,7373,14851
1021,10774,11364,22139,411,500,907,1431,1507,2932,27,27,51,40,27,73,0,3,3,6,11,20,0,4,8,4,0,7,8,9,17,0,0,0,1517,1588,3111,53,52,107,45,31,79,2031,2178,4205,554,623,1179,13359,14164,27526
1022,4653,4848,9500,508,572,1078,431,446,868,9,9,15,25,34,60,4,3,6,4,4,13,0,0,9,4,0,6,3,4,11,0,0,0,482,501,983,19,15,28,15,16,33,1020,1099,2120,366,388,758,6040,6338,12383
1023,4555,4528,9083,473,457,927,407,429,843,5,12,17,40,39,81,4,0,7,0,4,5,0,0,0,3,5,6,0,0,0,0,0,0,469,491,961,25,17,42,24,17,47,990,981,1971,667,389,1054,6213,5897,12115
1024,10912,11714,22628,658,703,1353,1009,1118,2131,34,43,80,55,55,114,10,5,13,4,3,12,8,8,13,12,17,29,19,17,32,0,0,0,1155,1268,2422,97,90,184,18,28,52,1923,2089,4015,766,839,1602,13601,14644,28244
1025,197616,206062,403675,6723,7102,13829,25313,27717,53028,548,532,1076,667,752,1418,134,130,262,159,138,299,98,91,184,128,132,259,184,178,365,8,10,16,27242,29669,56913,1023,1043,2066,797,695,1490,35785,38511,74297,12958,11575,24540,246359,256153,502514
1026,14285,14910,29198,809,913,1722,1486,1582,3066,78,68,147,59,69,136,6,6,16,44,20,60,0,0,6,18,20,37,40,39,81,9,5,10,1747,1820,3568,46,62,112,63,57,124,2671,2853,5522,2120,1384,3508,19078,19152,38230
1027,15722,16810,32538,996,1067,2069,1772,1874,3642,51,46,94,76,81,154,16,11,25,20,16,38,7,3,9,7,11,17,16,18,35,0,0,0,1951,2059,4012,84,92,176,53,45,101,3087,3276,6360,1176,1255,2425,19979,21341,41325
1028,18527,20687,39217,842,891,1735,2423,2809,5239,90,98,193,117,130,252,14,12,29,27,26,53,14,16,36,15,12,24,35,28,52,0,0,0,2742,3135,5873,100,103,203,79,89,168,3768,4214,7982,1198,1331,2532,23489,26239,49732
1029,6498,6470,12968,583,637,1215,611,511,1120,63,8,82,155,40,200,29,0,27,26,3,32,13,7,17,15,13,26,22,3,30,0,0,0,940,598,1538,48,32,72,26,6,35,1599,1266,2865,582,370,955,8677,8104,16782
1030,7712,8220,15931,379,389,771,755,823,1580,21,19,47,32,42,75,0,6,6,16,15,24,5,3,3,10,12,19,38,36,73,0,3,3,875,958,1828,25,30,55,23,18,38,1297,1393,2691,642,633,1277,9651,10251,19903
1031,1871579,1923991,3795566,70230,70594,140825,254931,258798,513733,5932,5439,11374,4529,4757,9286,1201,1181,2381,1310,1293,2597,458,501,958,444,395,839,1470,1490,2962,36,11,44,270315,273858,544168,22226,23524,45746,5404,4308,9709,368167,372280,740450,120833,116244,237077,2360577,2412515,4773091
1032,15844,16910,32755,1098,1148,2240,2040,2184,4224,59,49,103,116,128,246,10,7,24,7,9,14,5,11,15,9,8,16,8,9,16,0,0,0,2247,2397,4649,128,92,215,59,61,123,3536,3698,7231,1632,1732,3362,21008,22339,43346
1033,9753,10649,20399,684,797,1482,808,883,1692,23,26,49,48,49,97,4,3,4,4,4,11,8,3,9,6,6,13,9,8,10,0,0,0,899,985,1883,34,28,62,36,32,74,1649,1847,3494,1137,1211,2348,12538,13705,26247
1034,6450,6990,13446,512,526,1039,525,504,1031,26,25,47,34,35,67,3,4,11,0,9,5,6,9,13,6,0,3,28,38,65,0,0,0,619,619,1242,25,27,55,12,15,30,1174,1188,2362,527,545,1068,8149,8728,16875
1035,21190,22638,43829,1069,1228,2298,2459,2910,5364,219,268,483,195,200,389,63,67,134,22,24,43,11,12,25,24,21,45,80,90,165,0,0,0,3067,3580,6647,152,128,282,69,65,136,4362,4998,9358,1491,1566,3053,27041,29205,56243
1036,121767,125828,247592,4297,4375,8668,13449,14565,28014,269,269,541,282,285,566,33,46,81,58,61,118,49,39,90,27,26,55,172,208,382,0,4,4,14336,15509,29843,611,629,1240,370,304,676,19613,20816,40431,6970,7213,14181,148347,153853,302202
2000,284788,284101,568884,11797,12602,24399,1485,1543,3029,22282,23113,45397,848,858,1707,356,328,686,318,237,556,184,170,352,173,197,371,154,117,269,0,0,0,25798,26566,52364,1076,959,2038,663,581,1243,39334,40710,80045,32240,28293,60534,356360,353099,709455
2001,9745,10220,19966,594,646,1242,17,22,38,967,984,1951,20,19,38,5,8,18,5,5,6,3,3,6,4,0,3,3,0,3,0,0,0,1031,1039,2067,30,38,64,18,22,36,1671,1741,3413,493,523,1013,11911,12486,24397
2002,5860,6470,12327,401,443,846,25,36,58,431,497,926,26,31,57,0,7,4,8,6,15,5,3,11,9,4,12,0,0,0,0,0,0,509,588,1088,18,21,42,27,7,39,959,1057,2016,541,627,1175,7359,8154,15515
2003,41786,45435,87219,1550,1642,3190,113,128,246,6235,6751,12983,126,119,248,47,46,96,43,66,107,32,33,66,26,20,46,11,18,28,0,0,0,6631,7183,13815,202,227,429,161,130,286,8542,9179,17723,2849,2915,5771,53174,57529,110706
