SUA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
2019,49,83,79,51,54,12,4,336,10,12,9,4,6,0,0,37,3,3,6,0,0,0,0,17,91,169,142,96,128,32,10,676,4,9,11,7,0,0,0,27,7,9,0,6,3,0,0,25,7,16,18,13,7,0,0,52,96,183,157,110,134,32,10,734,96,88,55,33,40,7,0,314,0,0,0,0,0,0,0,3,190,274,212,144,175,39,13,1049
2020,97,175,117,99,105,31,10,633,16,20,9,5,9,0,0,67,10,20,8,4,3,3,0,46,158,317,232,202,241,74,21,1238,0,6,5,7,10,0,0,29,11,14,3,6,4,0,0,58,17,26,14,18,14,3,4,88,174,344,243,214,258,73,26,1324,184,149,105,73,61,21,18,611,3,9,5,4,3,3,0,22,364,501,352,288,319,96,39,1952
2021,89,182,137,88,106,23,10,638,27,21,4,0,0,0,0,54,4,0,5,4,0,0,0,16,144,305,237,162,204,53,13,1111,3,11,0,5,4,0,0,23,4,11,9,3,7,0,0,28,7,16,14,9,11,0,0,59,153,317,249,171,217,53,15,1171,109,132,76,38,44,14,4,418,7,3,0,0,0,0,0,7,266,454,322,213,261,64,11,1600
3000,1162,2408,1703,1137,1186,134,34,7750,189,242,168,120,116,16,6,852,99,183,107,89,68,9,0,557,2259,4786,3675,2681,2978,349,95,16828,166,372,219,190,132,9,4,1096,231,358,229,118,96,16,0,1051,395,732,450,307,229,25,9,2147,2664,5515,4122,2991,3212,374,101,18972,3850,3866,2250,1447,1114,127,38,12693,118,171,97,81,27,5,0,490,6630,9551,6468,4522,4352,498,140,32163
3001,20,49,49,11,20,0,0,152,0,5,3,0,0,0,0,12,0,3,3,0,0,0,0,10,45,104,82,50,77,0,0,364,3,6,0,0,0,0,0,14,0,4,4,6,0,0,0,15,6,12,6,9,3,0,0,33,49,114,95,56,79,0,0,396,45,41,19,14,13,0,0,132,3,3,0,0,0,0,0,10,97,155,113,66,98,8,0,533
3002,3841,7429,5293,3725,4468,1430,641,26834,1182,1474,985,676,814,298,132,5557,299,409,246,166,171,59,23,1379,8778,17488,13447,9950,13275,4712,2127,69777,491,953,636,438,485,122,54,3181,711,1142,578,371,397,102,43,3340,1200,2090,1214,813,883,221,100,6517,9978,19583,14657,10767,14155,4937,2222,76300,9920,10279,5896,4192,4152,1231,691,36362,296,326,202,135,77,30,14,1075,20198,30177,20756,15092,18384,6199,2929,113731
3003,162,370,244,163,186,17,3,1149,34,28,8,9,11,7,0,91,14,19,15,11,7,0,0,61,312,653,519,347,429,47,17,2322,24,37,19,19,22,3,0,131,34,70,31,18,16,4,0,170,57,106,49,41,39,7,0,298,368,757,566,386,470,57,17,2622,447,409,247,171,132,11,5,1421,11,14,6,4,0,0,0,47,830,1185,821,561,607,63,26,4090
3004,355,695,507,348,397,69,21,2391,57,69,29,30,29,0,6,211,11,24,9,19,16,3,0,79,637,1413,1089,848,1038,175,80,5276,40,84,80,45,42,14,4,305,70,99,62,43,42,13,3,330,110,179,140,87,83,24,5,633,748,1594,1228,939,1117,202,82,5907,773,772,447,293,262,59,19,2618,19,34,27,17,7,0,0,101,1538,2396,1698,1246,1388,256,97,8628
3005,31,46,33,23,22,0,0,152,11,13,10,0,4,0,0,34,0,3,0,0,4,0,0,8,72,124,105,81,62,8,0,452,4,6,0,4,0,0,0,15,7,6,5,0,0,0,0,18,9,17,8,8,0,0,0,35,78,140,108,86,70,8,0,485,55,46,35,13,13,0,0,165,0,0,6,3,0,0,0,14,141,189,147,95,78,4,3,657
3006,108,187,105,108,105,8,4,626,19,10,6,5,12,0,0,59,6,10,8,7,0,0,0,40,201,377,270,245,267,28,8,1390,19,37,22,16,11,5,0,108,37,52,35,18,12,0,0,150,50,89,57,33,27,5,0,258,252,465,325,277,296,30,9,1653,346,319,160,112,80,15,0,1034,8,7,3,9,0,0,0,26,605,791,491,400,371,45,10,2715
3007,1279,2506,1810,1271,1595,444,196,9102,335,430,295,177,267,93,41,1633,81,102,75,68,49,24,16,414,2501,5045,3951,2981,4000,1259,570,20302,81,191,131,101,83,29,19,637,169,279,159,105,109,25,10,866,255,474,293,205,193,60,27,1504,2755,5517,4243,3180,4193,1316,597,21806,2006,2271,1419,1005,1069,322,166,8263,69,100,65,44,33,13,0,311,4823,7890,5726,4228,5290,1653,768,30379
3008,48,113,100,72,77,16,9,439,6,9,7,0,3,0,0,32,8,10,6,6,4,0,0,24,95,184,159,133,170,31,13,780,8,3,0,7,5,0,0,24,6,15,8,8,4,0,0,43,12,22,16,11,8,0,0,67,109,203,173,150,176,31,13,846,167,169,142,79,73,7,0,642,6,0,0,0,0,0,0,7,284,378,315,223,252,36,11,1493
3009,118,267,224,143,139,9,4,901,17,19,9,15,15,3,0,76,10,16,11,0,3,4,0,51,207,480,394,281,332,36,13,1735,9,33,30,13,17,0,0,98,16,38,20,6,13,0,0,98,27,73,51,25,35,0,0,202,234,544,441,302,367,36,13,1935,303,362,211,141,153,13,9,1183,9,6,3,4,4,0,0,26,540,919,656,448,518,42,20,3147
3010,32,66,43,26,31,4,0,206,4,6,5,0,3,0,0,19,4,4,0,4,0,0,0,11,51,103,67,60,72,9,0,362,0,0,3,3,0,0,0,10,12,3,8,5,0,0,0,16,8,8,4,3,4,0,0,26,64,107,75,62,72,9,0,389,90,94,42,38,31,0,0,299,0,0,0,0,0,0,0,0,153,204,122,105,104,6,0,687
3011,203,365,279,159,180,18,4,1207,26,33,9,9,12,3,0,92,10,19,10,4,6,0,0,52,376,776,574,410,511,66,22,2722,20,39,29,17,13,0,0,114,22,38,30,13,13,0,0,116,46,79,57,24,22,0,0,226,416,856,628,440,534,66,22,2953,416,356,189,123,88,6,0,1176,5,15,4,9,4,0,0,34,838,1223,820,567,629,73,22,4160
3012,48,106,81,56,59,0,0,348,13,7,6,5,9,0,0,39,0,4,0,9,4,3,0,19,84,175,147,122,154,5,3,698,11,23,14,18,8,0,0,72,19,27,17,14,3,0,0,85,26,50,32,30,14,0,0,154,115,226,174,157,164,10,3,847,205,201,113,98,66,4,3,698,6,4,6,0,4,0,0,15,322,436,295,249,238,15,4,1561
3013,28,70,38,27,19,0,0,185,7,3,3,5,0,0,0,25,3,5,3,6,0,0,0,13,98,181,126,103,83,3,0,600,9,17,9,4,3,0,0,39,17,18,3,7,3,0,0,47,27,33,12,7,7,0,0,86,122,220,143,115,84,3,0,687,184,138,68,29,18,0,0,429,0,10,0,0,0,0,0,9,308,360,206,142,106,3,0,1132
3014,209,379,241,172,191,22,8,1222,31,54,29,17,21,0,0,153,21,14,12,5,4,3,0,57,396,768,559,411,488,72,22,2719,33,44,33,18,16,3,0,149,42,57,30,22,15,3,0,171,68,102,70,40,37,9,0,322,465,867,633,450,525,81,22,3041,580,488,284,151,142,10,5,1652,16,19,8,9,3,0,0,56,1062,1369,922,605,667,90,26,4745
3015,666,1409,1089,716,915,181,79,5049,158,254,185,138,179,39,17,974,32,51,47,32,26,10,3,204,1190,2624,2210,1609,2273,480,232,10628,25,89,75,38,48,10,0,290,77,144,72,65,53,10,3,423,104,232,145,109,99,19,4,713,1297,2853,2357,1716,2370,503,239,11340,837,1059,686,510,526,118,46,3774,31,41,29,14,4,3,0,127,2164,3951,3068,2243,2904,625,289,15245
3016,316,603,421,302,332,48,22,2038,52,59,37,30,18,6,0,201,9,22,12,10,12,0,0,66,600,1188,898,728,847,167,69,4493,31,60,27,28,32,0,0,182,48,89,64,27,21,4,4,267,83,152,93,55,52,4,4,444,685,1339,989,783,902,170,69,4933,688,630,402,296,252,70,29,2367,17,25,11,16,9,0,0,79,1389,1991,1397,1093,1166,238,99,7375
3017,407,763,494,347,410,95,40,2562,55,64,43,24,39,11,4,237,20,38,32,20,24,8,0,130,845,1698,1222,892,1147,245,109,6162,54,93,57,54,53,5,0,316,74,112,72,46,35,7,3,348,128,207,124,98,84,12,3,658,971,1899,1349,995,1236,254,111,6825,867,887,454,353,280,60,31,2947,25,37,19,12,5,3,0,102,1869,2832,1827,1358,1519,319,142,9874
3018,40,77,53,44,41,3,0,261,13,9,4,0,3,0,0,26,4,5,10,0,5,0,0,21,81,141,112,84,101,8,0,522,6,6,5,7,9,0,0,31,10,10,10,4,0,0,0,33,15,20,17,12,10,0,0,65,91,159,121,94,108,11,0,589,114,105,70,44,24,7,0,366,0,5,0,4,0,0,0,7,212,266,198,134,128,17,4,962
3019,50,79,56,38,43,3,3,269,4,11,7,0,5,0,0,26,5,7,0,10,7,0,0,22,94,153,119,99,133,24,5,623,0,0,5,4,0,0,0,10,3,6,0,6,3,0,0,18,3,11,3,12,3,0,0,28,95,162,121,106,135,24,5,652,55,73,30,19,27,5,0,208,0,0,0,3,0,0,0,3,156,238,156,132,159,21,5,863
4000,410,839,618,441,496,78,26,2914,45,64,50,46,37,6,0,248,24,28,19,21,20,0,4,118,627,1458,1132,905,1111,196,48,5470,33,81,55,28,32,7,0,235,41,83,41,29,39,7,0,236,74,163,94,60,66,13,0,474,698,1621,1227,963,1179,201,55,5941,958,974,547,380,347,59,13,3279,25,36,33,20,9,0,0,126,1686,2630,1808,1361,1535,269,71,9352
4001,2180,4499,3234,2237,2741,1123,612,16622,357,298,197,138,215,95,51,1364,125,152,114,75,78,29,17,586,3972,8468,6725,4980,6749,3011,1769,35676,165,358,252,173,240,87,37,1317,295,621,398,244,252,72,46,1920,460,980,645,416,495,161,88,3234,4431,9440,7376,5396,7244,3165,1856,38909,4908,5114,3068,2208,2267,857,567,18990,88,104,83,82,47,25,4,430,9423,14654,10529,7681,9558,4046,2431,58329
4002,99,169,93,64,79,18,0,525,12,13,12,8,11,0,0,51,8,5,5,6,3,0,0,19,152,247,168,136,197,32,10,937,3,12,13,8,9,3,0,48,6,11,8,5,3,4,0,42,10,28,20,14,14,6,0,90,159,271,190,153,203,37,7,1026,174,119,80,38,32,14,3,465,0,5,4,0,0,0,0,13,336,398,269,199,243,52,11,1511
4003,39,95,67,39,46,8,0,293,12,11,0,5,5,0,0,32,10,4,3,0,0,0,0,18,78,165,128,80,96,16,7,562,9,18,12,7,9,3,0,46,4,3,7,5,0,0,0,18,7,16,16,11,10,3,0,64,80,181,143,91,105,17,5,626,129,137,78,41,52,10,3,458,0,0,0,0,0,0,0,0,209,323,223,139,158,30,6,1084
4004,27,74,42,31,24,0,0,198,11,11,3,0,3,0,0,30,0,4,5,0,0,0,0,8,55,130,92,50,55,3,0,391,8,10,7,0,0,0,0,33,3,15,12,9,6,0,0,39,11,25,13,9,3,0,0,74,65,161,108,61,62,3,4,461,129,134,71,63,42,5,0,438,4,10,3,0,0,0,0,20,201,298,186,127,99,9,4,920
4005,49,81,57,35,39,9,0,273,0,4,5,4,5,0,0,23,0,0,3,0,0,0,0,7,61,128,101,69,92,15,0,463,0,3,3,3,0,0,0,8,0,4,4,0,0,0,0,14,4,5,9,4,0,0,0,24,64,137,105,74,93,15,0,484,111,93,50,28,28,3,0,314,0,3,0,3,0,0,0,9,173,231,159,102,117,18,0,810
4006,19,62,47,31,38,7,0,207,7,3,0,3,4,0,0,17,0,0,0,0,0,0,0,6,41,93,86,64,89,12,0,386,0,5,0,3,9,0,0,21,5,9,9,0,4,0,0,21,9,11,11,3,9,0,0,44,45,111,99,71,95,12,0,433,119,94,60,57,46,3,0,386,7,3,4,0,0,0,0,11,178,202,163,126,146,19,0,836
4007,43,120,77,61,79,17,11,402,11,9,10,6,3,0,0,28,4,8,6,0,4,0,3,19,63,174,123,99,134,38,17,638,0,4,0,0,0,0,0,8,3,10,0,3,0,0,0,17,6,12,0,4,0,0,0,27,64,185,130,109,133,38,17,669,86,84,63,35,31,8,0,315,0,4,5,0,0,0,0,9,152,273,195,144,170,39,16,989
4008,55,89,58,40,45,6,3,299,8,9,5,0,4,0,0,27,8,8,5,3,5,4,0,23,88,163,118,88,124,23,4,609,8,11,8,6,3,5,0,44,14,25,9,4,3,0,0,59,18,38,17,13,10,5,0,104,106,205,133,101,135,25,4,713,169,150,87,69,57,6,0,539,0,8,0,4,0,0,0,15,281,356,227,168,195,28,8,1261
5000,342,757,552,375,390,35,4,2458,48,50,65,38,33,0,0,235,22,28,24,24,19,0,0,114,608,1386,1162,798,925,80,22,4983,44,77,49,48,45,6,0,273,58,115,56,43,32,6,0,314,102,199,109,97,81,4,0,584,709,1581,1269,890,1004,84,23,5567,1237,1271,707,468,354,33,4,4066,40,73,42,25,16,0,0,195,1983,2924,2012,1384,1369,122,32,9825
5001,64,165,121,75,102,10,0,541,9,8,9,5,3,0,0,33,4,3,0,7,3,0,0,20,92,258,221,176,218,12,5,985,0,12,0,3,5,0,0,26,5,8,6,0,3,0,0,31,9,20,10,7,9,0,0,55,106,284,228,180,226,15,9,1036,151,170,85,66,59,10,3,535,3,4,0,6,0,0,0,15,257,454,314,246,282,27,7,1594
5002,28,57,32,20,21,3,0,152,5,0,0,0,0,0,0,10,0,3,0,0,0,0,0,8,71,149,105,76,79,6,0,490,0,0,7,4,3,0,0,17,0,5,7,6,4,0,0,17,0,11,8,9,6,0,0,34,76,159,112,83,85,6,0,520,79,85,47,32,22,0,0,263,9,11,10,4,0,0,0,23,162,250,164,121,108,6,0,813
5003,158,341,246,209,203,21,3,1185,31,18,24,16,16,0,0,105,13,7,8,4,5,0,0,36,293,608,492,418,498,49,10,2369,11,19,19,13,7,0,0,69,22,54,33,20,14,0,0,141,35,72,48,30,24,4,0,213,331,680,539,449,521,53,16,2580,426,383,217,125,121,13,4,1286,6,4,0,3,3,0,0,21,765,1074,759,576,642,64,15,3885
5004,66,195,165,114,126,7,0,674,9,11,11,7,6,0,5,38,0,8,0,0,0,0,0,9,87,302,280,218,260,17,0,1167,0,5,7,3,0,0,0,15,4,7,0,3,0,0,0,21,4,10,5,4,3,0,0,38,93,317,290,223,264,17,0,1203,111,118,54,48,44,0,0,377,0,10,0,0,0,0,0,14,207,437,339,270,315,18,4,1597
5005,22,39,16,20,29,0,0,119,0,0,0,3,5,0,0,9,0,4,0,0,3,0,0,4,31,75,48,49,76,3,3,285,0,3,4,0,0,0,0,9,0,5,0,0,0,0,0,12,0,8,4,4,0,0,0,16,36,82,49,51,75,3,3,306,74,57,18,21,22,0,0,191,5,0,0,0,0,0,0,3,112,136,78,69,93,7,3,503
5006,76,153,122,68,84,0,0,503,12,13,12,10,8,4,0,52,0,3,0,0,0,0,0,13,122,284,271,178,224,14,10,1102,3,17,26,12,0,0,0,57,18,27,13,8,10,0,0,78,14,47,35,18,15,0,0,132,140,327,306,194,237,14,3,1235,234,250,119,82,62,10,0,768,3,21,7,10,4,0,0,41,381,595,437,281,304,25,8,2040
5007,50,80,50,32,27,0,0,247,0,4,5,6,0,0,0,19,8,5,9,3,0,0,0,22,112,219,168,120,116,8,0,745,0,4,4,0,3,0,0,23,0,5,7,5,0,0,0,23,5,10,11,7,4,0,0,40,119,231,185,126,125,9,0,787,140,90,45,30,19,0,0,325,14,10,9,3,4,0,0,49,276,336,231,158,138,9,0,1161
5008,16,29,14,9,16,0,0,76,3,3,3,0,3,0,0,8,0,8,0,3,0,0,0,14,48,87,65,57,51,0,0,317,0,0,0,0,0,0,0,3,0,6,0,4,0,0,0,10,3,7,0,4,0,0,0,17,51,94,68,61,53,0,0,332,20,25,16,15,11,0,0,90,0,3,4,0,0,0,0,5,77,122,83,75,63,0,0,425
5009,3283,6904,4806,3375,3979,1368,759,24469,451,394,259,208,264,98,68,1744,166,244,157,123,152,50,37,919,6132,13112,10256,7810,10206,3897,2400,53811,275,606,440,304,385,120,74,2216,542,1047,571,379,383,75,62,3058,826,1654,1011,678,775,196,136,5274,6955,14767,11267,8483,10979,4096,2546,59082,7101,7058,3946,2764,2735,831,526,24950,189,223,155,101,72,23,17,774,14236,22045,15364,11350,13785,4942,3083,84810
5010,12,32,12,18,4,0,0,81,0,0,0,0,0,0,0,4,10,7,0,0,3,0,0,18,62,121,65,50,53,9,0,357,8,4,0,8,0,0,0,17,0,3,0,0,0,0,0,11,6,10,7,10,0,0,0,28,66,133,65,55,51,9,0,383,58,54,38,14,15,4,0,176,5,3,0,0,0,0,0,17,129,186,102,70,67,14,0,579
6000,229,520,398,305,306,63,19,1837,45,37,22,21,26,7,0,158,7,25,27,22,16,6,0,103,394,874,710,590,649,132,47,3397,21,54,47,27,30,7,3,198,41,97,53,27,31,4,0,256,58,159,95,55,63,15,3,451,455,1029,811,647,710,148,50,3853,690,741,422,295,260,53,14,2477,9,12,13,7,4,0,0,54,1160,1780,1247,945,979,198,68,6379
6001,67,109,93,86,65,8,3,438,8,6,9,6,6,0,0,34,0,4,3,3,6,0,0,16,93,172,164,140,159,28,5,766,0,13,6,8,3,0,0,43,16,31,16,11,16,0,0,83,16,45,26,20,16,5,0,125,105,217,191,159,172,32,5,893,244,194,118,77,70,6,3,721,5,11,7,8,0,0,0,27,360,427,317,246,250,42,11,1643
6002,98,163,120,69,95,16,5,572,13,8,5,12,10,0,0,48,10,3,3,5,3,0,0,25,152,263,230,148,185,42,18,1030,6,18,7,10,3,0,0,43,9,22,10,10,9,7,0,72,12,36,20,18,15,5,0,111,168,297,246,167,203,48,18,1143,185,235,131,86,83,14,0,741,5,6,6,0,0,0,0,15,362,536,382,252,284,61,22,1906
6003,444,884,657,429,507,149,49,3128,84,62,47,34,40,15,7,291,22,34,28,17,7,0,0,105,766,1587,1319,932,1252,418,183,6464,31,72,55,46,49,10,9,272,70,122,66,51,41,10,0,364,103,195,122,93,93,27,11,633,874,1780,1440,1022,1341,443,191,7095,973,1018,552,419,380,118,69,3526,18,30,13,10,3,3,0,80,1862,2829,2007,1456,1724,565,265,10704
6004,193,381,259,189,244,69,16,1348,27,20,11,9,18,0,0,91,13,11,8,9,3,0,0,49,317,634,498,389,534,144,46,2558,18,26,22,16,15,0,0,102,33,75,42,22,21,4,0,190,50,100,63,41,33,5,0,293,363,735,558,426,566,150,49,2850,497,508,305,193,185,43,19,1739,12,14,11,11,3,5,0,43,868,1249,870,628,756,200,69,4643
6005,27,70,52,34,39,3,0,224,6,5,4,0,3,5,0,15,5,3,4,0,4,0,0,23,45,94,85,66,90,14,6,399,0,0,0,0,0,0,0,8,4,8,4,0,7,0,0,22,4,9,4,4,6,4,0,27,52,106,94,66,92,12,6,429,62,72,31,24,40,4,7,253,0,4,3,0,0,0,0,3,108,176,126,95,136,26,7,682
7000,100,183,120,64,47,4,0,515,22,34,14,12,6,0,0,96,11,10,19,10,11,0,0,63,237,453,330,217,175,17,3,1437,51,73,40,38,13,3,0,221,25,54,26,28,12,0,0,151,76,129,66,65,25,3,0,371,311,581,398,281,206,21,4,1802,696,848,540,326,160,16,9,2595,39,51,28,23,4,0,0,145,1053,1478,974,630,365,41,8,4545
7001,36,62,52,34,37,4,0,219,10,13,6,0,0,0,0,29,5,7,0,3,0,5,0,22,110,211,162,110,128,14,5,746,9,3,9,6,0,0,0,31,0,7,9,0,4,0,0,23,15,10,11,4,3,0,0,54,128,221,175,120,137,14,5,799,165,162,94,59,33,3,0,518,0,0,0,0,4,0,0,17,295,388,277,185,174,20,4,1334
7002,186,340,191,157,119,23,7,1034,37,45,22,14,15,4,0,136,7,16,9,10,8,4,0,59,516,1042,703,523,595,121,63,3556,24,59,23,25,19,3,0,153,30,56,31,18,10,0,0,135,51,110,53,40,30,3,3,289,565,1153,758,566,621,123,62,3846,493,477,265,182,144,23,12,1595,37,37,10,18,12,0,0,115,1097,1667,1039,766,777,145,78,5556
8000,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,6,5,5,9,0,0,22,10,4,0,3,0,0,0,19,0,0,0,0,0,0,0,0,10,8,12,7,3,0,0,36
8001,645,1080,718,450,620,191,102,3807,147,124,69,39,62,33,15,481,48,28,29,19,17,8,5,143,1542,3167,2290,1631,2341,876,424,12270,47,73,49,49,49,10,13,288,62,104,61,37,50,17,6,338,111,181,111,80,91,31,17,625,1652,3344,2410,1710,2431,911,445,12899,1036,1108,635,398,512,167,117,3965,34,32,17,11,8,6,0,105,2716,4483,3059,2125,2952,1082,555,16970
9000,11,18,9,3,8,0,0,51,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,14,28,24,14,16,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,32,22,17,16,0,0,102,0,5,5,4,7,0,0,24,4,0,0,0,0,0,0,8,22,35,33,24,22,0,0,134
