SUA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
2003,43024,47933,90958,18489,10683,29176,6144,13240,19385,1486,2138,3622,1417,1187,2603,27542,27254,54790,13142,18157,31297,5.2,4.4,4.8,64,56.9,60.2,60.7,54.4,57.4,2093,2488,4584,987,1978,2964,5605,8022,13627,3399,4927,8327,10383,6309,16692,445,716,1153,486,746,1237,11315,7761,19080,41786,45435,87219,8542,9179,17723,25670,27896,53567,21877,23943,45821
2004,39492,44151,83646,16901,9879,26783,5547,12148,17692,1335,1948,3282,1183,960,2144,24967,24941,49903,12401,16948,29351,4.8,3.8,4.3,63.2,56.5,59.7,60.2,54.3,57.1,1379,1748,3131,775,1771,2546,4388,6927,11312,3088,4531,7623,10285,6103,16387,404,718,1121,484,756,1233,11172,7579,18746,39421,42483,81903,6718,7562,14282,24862,26415,51280,18634,20990,39629
2005,4743,4999,9742,1318,795,2111,763,1374,2133,128,176,311,96,87,185,2305,2436,4738,2124,2132,4255,4.3,3.5,3.9,48.6,48.7,48.7,46.5,47,46.8,333,469,802,153,329,482,692,995,1683,401,552,953,834,416,1243,35,53,87,57,69,130,919,540,1462,4025,4522,8545,617,705,1323,2635,2991,5624,1788,2056,3845
2006,5120,5461,10580,2243,1134,3375,630,1471,2101,185,267,451,118,62,182,3173,2935,6104,1675,2266,3937,3.7,2.1,2.9,61.9,53.7,57.7,59.6,52.6,56,74,105,179,51,101,150,322,559,877,294,519,811,1346,871,2220,50,75,120,56,81,141,1458,1030,2483,5061,5351,10415,750,734,1481,3410,3598,7005,2102,2190,4292
2007,8928,9829,18753,3626,2002,5625,1089,2616,3710,366,472,834,195,180,380,5278,5261,10540,3058,3934,6991,3.7,3.5,3.6,59.1,53.5,56.2,56.9,51.7,54.2,146,219,362,94,276,377,678,1220,1901,535,966,1499,2661,1301,3960,62,110,165,105,157,259,2824,1567,4390,8513,9207,17721,1515,1673,3188,5493,5964,11455,3994,4431,8424
2008,114008,123112,237121,49705,28084,77787,16758,35393,52150,4084,5868,9954,3429,2836,6263,73978,72183,146164,34373,45075,79452,4.6,3.9,4.3,64.9,58.6,61.6,61.9,56.3,59,6271,6574,12847,2287,5125,7417,16941,23376,40319,10336,14406,24742,27165,15126,42293,921,1475,2398,1369,2089,3453,29456,18692,48145,110458,117228,227694,20914,22725,43645,67742,72179,139914,56273,60758,117038
2009,8530,8914,17437,4220,2275,6495,1146,2735,3879,357,443,799,181,171,356,5907,5624,11525,2249,2858,5106,3,3.1,3.1,69.2,63.1,66.1,67.1,61.2,64.1,450,549,997,237,495,736,1228,1809,3034,902,1116,2021,2323,884,3206,59,100,160,131,185,318,2513,1171,3686,9322,9456,18782,1098,1138,2230,6499,6571,13073,3372,3478,6852
2010,6594,7233,13824,2990,1642,4634,832,1976,2811,240,301,549,148,120,271,4218,4043,8261,2002,2794,4796,3.6,2.9,3.3,63.9,55.9,59.7,61.6,54.3,57.8,154,201,355,75,211,281,480,926,1404,467,799,1275,1786,1069,2861,65,124,183,88,114,205,1940,1309,3251,6668,7054,13721,1009,1147,2154,4404,4621,9023,2843,3110,5950
2011,1923516,2022295,3945813,888493,552884,1441377,290149,508220,798373,67939,87978,155914,71360,63706,135064,1317941,1212788,2530724,509509,714142,1223655,5.4,5.3,5.3,68.5,60,64.1,64.8,56.8,60.7,171700,179788,351486,39938,77344,117283,379925,453972,833899,175095,216843,391937,319356,166463,485821,12988,19483,32468,23817,35854,59677,356164,221799,577965,1884506,1955751,3840255,348679,358017,706698,1195351,1257294,2452650,916038,941129,1857160
2012,21133,22449,43582,8553,5416,13966,2498,5193,7690,795,989,1789,740,550,1291,12582,12150,24736,6670,8466,15138,5.9,4.5,5.2,59.5,54.1,56.8,56,51.7,53.8,373,469,840,223,550,778,1443,2689,4125,1327,2175,3501,5039,3017,8059,240,392,633,244,358,601,5526,3768,9294,20343,21413,41752,3275,3380,6650,13184,13628,26818,9067,9782,18843
2013,8925,9391,18322,3216,1598,4815,914,2309,3218,342,403,742,422,268,692,4892,4573,9468,3363,4135,7495,8.6,5.9,7.3,54.8,48.7,51.7,50.1,45.9,47.9,91,161,245,62,188,247,414,785,1202,522,863,1385,3040,1548,4592,81,151,238,97,150,246,3220,1856,5070,8750,9045,17793,1048,1168,2219,6261,6279,12538,3053,3448,6500
