SUA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
2009,56,68,125,948,1162,2108,0,0,0,52,72,120,0,0,0,2673,2717,5386,23,31,57,87,97,182,27,26,51,3,5,10,40,53,95,0,3,4,15,15,27,60,59,119,173,168,341,4,6,12,17,13,28,306,443,749,179,192,372,0,0,4,4607,5069,9677,20,24,49,52,36,87,11,5,11,0,0,0,23,26,44,10,21,31,38,44,80,5495,5247,10739,39,29,71,16,24,40,5545,5305,10852,680,637,1322,11006,11198,22200
2010,35,50,86,585,813,1393,0,0,0,65,64,135,0,0,0,1139,1315,2455,105,135,243,28,19,48,4,10,18,6,7,12,549,643,1191,4,4,5,19,17,39,105,111,222,100,114,213,16,28,43,11,15,27,824,1057,1887,147,176,325,6,5,7,3706,4553,8260,77,79,154,42,29,73,0,6,5,0,0,0,22,20,37,14,17,31,32,34,64,3723,3452,7170,12,14,26,5,16,22,3739,3481,7220,586,542,1122,8217,8764,16985
2011,84559,105305,189862,115076,145124,260197,1818,1888,3707,28790,32820,61616,990,994,1982,472810,530323,1003131,2990,3770,6759,99323,105808,205127,4647,5964,10613,4565,4941,9510,5216,6637,11850,8985,9386,18368,8647,9946,18593,19710,22917,42627,24019,28525,52544,1835,2603,4433,3693,4353,8046,33218,46310,79524,60384,70413,130799,1541,1806,3348,898264,1034516,1932783,108220,94494,202708,133511,124310,257824,21866,23745,45611,94,101,202,45425,39240,84674,8210,9997,18206,53736,49337,103080,904736,859254,1763987,8053,6418,14468,3109,5199,8314,915899,870867,1786768,155229,143980,299211,2371285,2446560,4817843
2012,532,499,1034,2136,2616,4745,0,0,0,145,152,296,0,0,0,5001,5636,10636,81,125,211,268,251,514,72,97,168,40,46,89,231,297,531,20,15,31,86,110,195,280,331,612,399,502,901,42,69,109,175,198,372,966,1365,2330,560,625,1188,31,29,58,10521,12469,22992,197,154,353,617,516,1133,5,3,12,8,8,15,189,151,335,39,62,100,232,226,454,11471,10880,22350,56,41,95,33,42,76,11561,10969,22529,2599,2520,5117,26257,27360,53620
2013,39,60,101,1081,1307,2386,0,0,0,101,100,201,45,71,115,1870,2106,3974,5,4,15,103,101,207,89,116,203,37,34,70,21,26,51,0,0,3,14,21,30,92,118,218,233,308,546,28,46,77,17,29,46,189,291,476,187,209,399,11,7,19,4124,4913,9037,14,6,21,38,33,70,4,8,16,3,0,3,5,0,6,33,56,88,46,59,107,5482,5106,10589,39,26,66,6,24,34,5526,5168,10693,1005,958,1962,10799,11200,21997
2014,30,40,69,467,566,1033,0,0,0,94,95,188,0,0,0,681,798,1474,10,18,23,15,19,37,21,47,62,5,5,18,90,130,219,0,6,6,14,10,19,57,73,132,196,208,403,14,17,31,5,9,13,287,402,690,110,138,245,0,3,3,2081,2533,4610,25,27,54,10,6,15,4,5,7,0,0,0,8,7,12,8,17,22,13,22,37,2840,2613,5461,19,9,28,6,10,17,2873,2633,5508,502,430,933,5529,5700,11230
2015,52,76,131,921,1195,2120,0,0,0,112,140,250,26,34,62,1219,1578,2792,4,5,14,27,37,68,24,26,45,26,17,39,15,16,30,7,3,10,21,26,49,16,35,50,145,137,282,9,5,14,10,17,26,185,294,481,141,194,337,5,7,9,2911,3774,6680,86,70,151,44,38,86,0,0,9,0,0,0,22,24,49,17,37,53,41,64,104,3564,3359,6925,39,12,50,14,13,22,3614,3382,7004,573,563,1141,7328,7973,15301
2016,261,330,593,1980,2480,4459,0,0,0,231,247,479,61,56,116,5686,6316,12005,42,56,95,373,356,730,99,145,244,55,72,122,50,75,123,38,38,77,87,73,165,232,257,487,510,616,1129,30,53,86,27,35,58,931,1318,2248,634,729,1359,9,18,29,11077,12937,24013,487,429,917,2158,1979,4137,10,11,22,0,10,9,726,601,1330,75,99,178,807,702,1512,9280,8706,17991,50,29,78,32,48,76,9364,8783,18146,2263,2239,4499,26422,27417,53841
2017,54,70,121,417,596,1009,0,0,0,31,38,66,90,94,185,1140,1358,2496,40,52,89,0,9,7,4,14,24,0,3,3,9,11,21,0,0,3,11,13,25,25,38,62,120,149,272,3,8,15,0,4,6,265,416,682,99,144,245,0,0,0,2272,2940,5216,49,42,95,183,138,320,0,0,3,4,0,5,88,85,169,10,10,21,101,99,195,2236,2119,4358,3,6,12,8,4,9,2243,2129,4378,413,448,856,5324,5858,11186
2018,173,216,385,1811,2466,4282,0,0,0,168,205,372,0,3,8,4031,4734,8762,6,16,23,237,238,474,47,66,112,37,33,69,56,86,135,8,8,20,51,66,120,178,207,382,414,504,921,23,53,74,31,30,54,449,624,1076,380,459,836,9,3,15,7935,9805,17741,142,134,281,241,210,459,10,10,21,4,0,3,67,64,128,63,77,141,130,139,271,10300,9668,19971,55,57,110,21,43,68,10377,9768,20150,1986,1959,3946,21009,22253,43252
2019,67,95,161,996,1316,2314,0,0,0,79,91,170,51,38,91,2258,2690,4950,10,17,27,36,34,75,35,44,78,8,9,14,42,50,92,0,0,4,49,69,121,61,83,141,221,232,454,18,26,39,15,19,38,303,480,786,162,212,374,0,3,6,4344,5426,9768,92,88,177,36,27,65,3,4,13,0,0,0,26,32,57,15,35,52,42,66,103,4088,4065,8161,18,23,42,14,13,18,4118,4101,8219,688,683,1367,9395,10488,19882
2020,141,219,358,1927,2477,4405,0,0,0,283,301,588,64,69,138,3430,3880,7315,45,66,115,98,103,200,79,100,178,41,39,81,47,57,108,6,4,16,220,228,446,153,186,336,576,677,1253,42,55,95,42,66,107,620,843,1466,562,689,1258,13,15,28,8252,9865,18119,103,94,207,92,84,173,12,10,25,0,3,0,56,63,119,49,79,128,111,140,248,10302,10122,20425,64,65,131,18,49,69,10385,10235,20622,1526,1552,3074,20625,22199,42827
2021,150,175,322,1004,1350,2348,0,0,0,208,239,449,32,37,64,4383,5167,9547,61,51,116,52,39,94,17,34,50,10,11,23,115,152,262,11,10,11,22,24,45,107,122,235,644,846,1494,33,56,93,22,26,49,510,721,1227,359,444,801,10,4,15,7599,9321,16925,94,72,163,53,59,118,14,17,30,0,3,6,28,23,50,29,38,64,59,58,115,7882,7565,15448,42,36,77,11,28,38,7937,7631,15567,1300,1213,2511,17199,18547,35743
3000,1779,2847,4621,52827,56371,109200,5,5,8,4997,5341,10335,275,302,574,67591,70673,138263,710,831,1548,737,730,1463,1844,2448,4297,546,645,1187,6021,6416,12441,30,34,63,1498,1524,3021,4278,4934,9219,9680,9432,19114,760,928,1686,1489,1751,3243,17235,19768,36999,10044,10734,20775,937,988,1924,181507,193840,375352,1043,851,1898,990,783,1771,119,137,255,239,212,450,773,631,1406,1010,1571,2575,2023,2412,4436,142906,124989,267898,914,769,1679,578,904,1485,144398,126665,271061,52161,40308,92472,384027,367847,751871
3001,65,114,182,645,662,1308,0,0,0,67,66,130,0,0,0,1048,1165,2211,0,3,0,23,27,52,15,29,44,7,3,14,25,32,53,0,0,0,20,33,50,24,39,66,93,107,204,7,3,11,4,10,15,175,218,399,114,160,275,9,3,13,2289,2565,4857,34,32,64,24,16,46,3,10,11,0,4,4,21,24,50,18,22,36,42,49,91,3743,3370,7115,15,14,31,10,17,25,3774,3400,7172,1199,907,2103,7432,7093,14523
3002,19684,27437,47116,106839,128504,235341,22,37,55,23155,25872,49026,564,566,1133,213512,244787,458296,1255,1570,2827,11457,12053,23507,4597,5896,10492,6338,6903,13240,7759,9911,17668,1462,1476,2937,6294,7026,13319,15409,18352,33755,22189,25137,47322,1692,2297,3990,3912,4732,8644,33283,44649,77935,35843,41952,77800,2175,2460,4636,497755,584175,1081932,26181,24278,50467,23934,22550,46479,1117,1160,2280,120,155,277,10711,9374,20081,4384,5842,10227,15215,15374,30582,526123,488044,1014162,4610,3644,8253,1760,3036,4795,532493,494719,1027215,85767,75443,161201,1202144,1245137,2447280
3003,305,434,744,4741,5740,10484,0,4,3,615,736,1349,121,117,241,5240,6405,11645,75,89,166,54,61,116,201,285,480,131,140,271,623,762,1381,22,19,39,241,246,490,357,420,778,941,1009,1947,82,132,216,143,152,293,1832,2563,4395,1097,1255,2354,100,112,211,16609,20239,36850,208,175,382,209,184,397,21,7,30,8,4,20,39,26,68,77,157,229,119,191,311,15252,14102,29347,73,69,146,68,81,154,15385,14256,29642,2803,2585,5392,35669,38076,73747
3004,1025,1652,2672,6944,8054,14996,0,0,0,693,748,1443,7,6,9,13989,16207,30196,73,110,180,332,359,693,359,499,856,152,225,382,385,486,873,61,60,115,304,373,675,1031,1333,2365,1495,1681,3178,71,106,175,315,390,706,1740,2270,4013,1978,2306,4281,33,50,87,29948,35271,65216,761,759,1515,374,363,730,73,83,161,14,28,39,506,433,937,330,401,736,855,853,1708,33412,30934,64346,220,178,398,131,194,330,33772,31307,65077,8707,7628,16342,75504,77922,153425
3005,54,69,121,693,787,1477,0,0,0,85,93,174,8,9,14,1417,1606,3028,3,5,6,18,14,40,25,38,59,23,28,52,43,52,96,0,0,0,39,41,83,117,117,234,151,124,278,6,15,24,15,20,35,292,347,640,319,337,655,0,7,9,3281,3639,6915,66,53,115,45,27,69,0,0,0,0,0,0,26,29,51,14,25,40,38,53,97,2842,2450,5295,16,13,31,14,6,20,2871,2475,5348,838,585,1421,7183,6906,14089
3006,133,228,355,2459,2764,5220,0,0,0,379,388,767,0,0,0,3716,4007,7726,33,46,85,61,69,137,91,134,223,44,47,88,164,187,349,0,0,3,78,73,152,286,354,641,561,584,1142,36,54,92,24,34,55,689,886,1570,473,550,1023,33,24,57,9127,10205,19330,216,201,421,129,120,249,9,15,26,0,0,0,42,35,74,53,81,129,94,115,204,10908,9909,20821,65,53,118,40,48,89,11017,10014,21027,1934,1635,3571,22649,22531,45185
3007,3746,5987,9731,38250,46832,85085,15,9,20,3543,3982,7522,21,24,47,59028,69436,128467,388,490,872,3071,3356,6432,1560,1951,3504,1371,1413,2785,1560,1998,3557,357,316,678,1179,1379,2564,4080,4942,9015,6447,7614,14062,309,419,725,729,907,1631,8381,11196,19576,9527,11446,20971,406,407,813,140213,168116,308329,3728,3254,6980,3202,2947,6154,735,772,1507,37,33,65,1557,1266,2831,1021,1470,2487,2614,2766,5381,152468,145068,297534,1030,780,1811,682,1213,1889,154181,147058,301237,27437,26839,54273,335854,357741,693596
3008,42,76,123,1163,1488,2651,0,0,0,138,174,308,42,45,94,1414,1649,3068,15,41,56,9,13,28,106,133,246,49,51,106,109,137,245,4,3,10,108,150,260,148,168,315,218,272,487,40,55,94,24,29,52,611,904,1512,345,445,789,4,12,18,4557,5773,10327,25,27,52,29,29,58,5,8,15,0,5,7,16,21,42,30,62,93,45,89,134,5019,4871,9887,43,26,71,24,40,67,5088,4930,10018,888,821,1709,10678,11749,22424
3009,172,323,495,4121,4993,9115,0,0,0,548,703,1248,3,5,15,4089,5258,9341,39,44,82,75,69,146,139,205,344,46,65,107,297,387,685,12,17,26,109,135,245,293,392,682,738,848,1584,73,93,170,43,55,103,1082,1475,2558,655,773,1426,30,30,62,12385,15554,27936,129,153,279,109,105,217,15,18,34,10,0,7,46,37,82,64,144,209,112,183,298,12003,11604,23607,81,51,130,39,69,108,12121,11721,23847,2294,2323,4616,27335,30383,57722
3010,38,40,74,517,655,1175,0,0,0,86,107,191,0,0,0,678,769,1441,39,39,80,6,10,15,55,81,132,19,17,34,197,244,447,0,0,0,28,24,53,75,100,177,152,148,299,23,38,56,20,25,44,283,382,660,218,247,461,8,7,15,2402,2889,5292,18,19,34,12,11,20,0,0,0,0,0,0,4,4,9,20,26,49,21,29,57,2187,1994,4183,10,9,21,3,8,10,2205,2009,4212,452,399,850,5149,5400,10545
3011,225,340,573,4254,5107,9356,0,0,0,384,468,850,6,5,6,9440,10334,19774,57,60,121,62,81,144,174,238,413,62,65,127,283,351,634,8,7,24,191,174,363,483,604,1089,761,789,1551,33,51,87,224,310,531,2047,2543,4592,1082,1193,2277,98,110,206,19652,22495,42149,331,324,656,187,168,351,9,15,24,0,0,4,102,78,183,78,141,221,189,224,408,16631,14975,31608,98,70,172,52,60,115,16783,15110,31897,4690,3590,8273,42071,42264,84333
3012,43,107,148,1780,2103,3882,0,0,0,178,199,381,79,100,179,1786,2063,3851,42,46,86,9,16,24,120,140,254,8,16,21,151,211,358,5,4,4,147,161,311,182,204,380,338,364,702,41,53,98,16,27,40,641,863,1505,377,432,807,20,16,33,5927,6994,12923,33,26,60,10,11,22,6,0,5,0,0,0,10,9,20,43,67,113,58,77,128,5845,5308,11150,30,31,58,26,34,63,5902,5374,11274,1866,1057,2925,13843,13647,27489
3013,38,66,103,652,703,1359,0,0,0,198,227,434,16,25,41,1998,2226,4223,4,0,4,33,28,58,41,54,97,64,59,124,58,56,113,0,3,0,27,33,60,189,205,390,149,117,263,16,12,30,35,37,74,264,274,534,270,256,530,13,10,23,4031,4340,8368,64,56,119,48,34,81,3,0,7,13,8,17,25,20,41,14,32,48,47,58,106,4003,3426,7427,23,23,43,9,16,25,4033,3457,7493,1165,872,2034,9427,8892,18317
3014,277,355,634,4448,5337,9782,0,0,0,737,877,1616,8,6,15,8127,9407,17532,23,30,46,50,68,116,143,207,343,72,84,159,204,226,435,3,8,12,96,141,235,515,649,1168,1025,1114,2137,136,200,332,75,97,174,1642,2220,3862,941,1104,2045,27,28,50,18278,21781,40057,476,376,850,256,161,418,6,10,16,0,9,11,89,85,178,106,162,272,201,260,460,15442,13930,29375,111,58,168,31,62,95,15586,14048,29635,4448,2774,7221,39522,39772,79293
3015,1470,2279,3753,20821,26205,47030,3,0,9,3279,3686,6970,93,98,194,27675,33111,60784,224,284,506,584,637,1223,985,1226,2215,454,479,937,1565,2023,3587,49,49,100,605,682,1290,2505,3038,5545,3667,4358,8028,221,322,546,303,372,672,5760,8017,13781,5555,6765,12318,154,196,347,74515,91560,166072,1210,1180,2390,460,433,898,196,209,408,15,7,24,443,383,831,402,654,1061,865,1052,1915,90254,87283,177538,677,500,1172,377,760,1141,91309,88541,179848,14189,13424,27613,184225,198685,382903
3016,607,781,1386,8946,11272,20218,0,0,0,944,1102,2046,161,136,299,13264,15443,28709,523,676,1196,157,172,321,309,431,738,138,142,286,1693,2117,3811,44,63,103,255,312,560,1059,1213,2266,1636,1950,3587,97,157,251,287,335,621,2369,3253,5623,3330,3986,7317,102,137,242,35308,42888,78198,1095,1022,2121,752,688,1446,30,29,63,9,8,13,312,270,580,1251,1399,2647,1571,1674,3245,23854,22289,46146,191,139,330,94,114,206,24135,22541,46679,4714,4313,9031,68213,73944,142163
3017,580,829,1415,8958,10905,19865,3,0,4,1060,1234,2287,11,18,28,19039,21815,40853,39,51,92,532,557,1090,228,336,563,131,151,279,364,440,804,72,69,142,363,414,776,1107,1290,2390,1894,2067,3958,192,222,418,236,290,530,2734,3684,6412,2039,2461,4501,98,121,218,39091,46126,85218,722,627,1350,527,499,1030,43,44,90,20,32,51,195,191,383,296,408,707,512,632,1142,37388,33864,71244,282,226,509,91,141,231,37757,34232,71987,9781,7002,16779,89017,89995,179011
3018,20,45,61,1270,1610,2881,0,0,0,133,146,275,98,76,177,1548,1797,3347,14,15,26,8,10,13,37,58,96,27,28,51,45,64,106,0,0,0,25,20,51,58,62,117,195,206,397,13,21,32,27,33,56,392,500,896,195,214,414,4,5,8,4088,4862,8946,31,29,62,10,9,23,3,0,5,0,0,0,13,12,22,18,39,54,29,50,83,2568,2372,4942,16,14,27,16,15,25,2597,2396,4995,675,678,1352,7455,8067,15525
3019,55,78,134,1281,1609,2894,0,0,0,102,114,221,0,0,0,2206,2428,4635,9,14,20,15,18,32,49,58,111,9,9,16,44,70,118,0,0,0,42,48,93,75,80,149,256,262,524,13,28,43,17,20,47,373,574,949,259,299,557,9,13,24,4763,5650,10417,16,19,38,0,9,12,0,4,4,5,0,9,6,0,5,14,35,50,21,41,63,4182,3692,7880,16,20,44,11,26,39,4215,3746,7958,957,661,1613,10037,10206,20244
4000,666,933,1601,10115,11525,21637,0,0,0,1281,1383,2662,17,23,43,13746,15041,28788,351,473,819,1121,947,2062,353,486,840,157,173,327,8349,9251,17601,9,3,10,408,368,769,1301,1512,2813,1314,1247,2563,189,229,415,242,278,513,10509,12502,23011,3440,3570,7007,358,328,686,53271,59325,112587,342,237,581,727,425,1150,36,45,77,148,142,291,454,402,854,280,511,792,880,1055,1932,67789,59397,127185,403,285,687,216,326,543,68409,60006,128418,14306,11735,26041,138635,133752,272390
4001,13806,17601,31404,41987,53724,95714,8,3,12,9951,11462,21409,291,314,600,105653,122359,228013,1067,1575,2635,19360,20581,39945,1940,2520,4455,1045,1199,2241,9546,12426,21973,996,960,1957,2368,2771,5145,7088,8399,15485,3856,4557,8414,833,1210,2043,978,1167,2146,22033,31397,53434,16771,19917,36688,1428,1604,3028,247189,298133,545322,19653,17314,36966,20398,18185,38587,486,531,1014,66,54,124,8597,7442,16034,3097,3977,7069,11763,11472,23234,313891,294739,608630,2581,1883,4467,1033,1762,2796,317510,298389,615893,39874,35926,75798,670670,697543,1368209
4002,66,84,156,813,981,1795,0,0,0,346,399,746,43,48,87,1881,2408,4293,17,11,32,60,53,119,41,57,100,20,28,46,253,323,578,7,8,14,25,33,57,149,189,338,450,553,1003,56,60,116,27,34,60,518,769,1284,307,349,659,7,9,15,5027,6310,11330,64,53,122,64,56,111,3,7,7,0,0,0,26,27,51,55,86,138,77,114,191,7805,7455,15264,38,35,72,23,32,54,7870,7521,15393,1068,1071,2135,14233,15210,29446
4003,61,97,159,452,589,1042,0,0,0,65,82,144,0,0,0,970,1108,2078,32,34,69,18,13,29,76,112,188,19,12,28,485,612,1098,5,0,5,40,44,83,179,206,379,68,68,142,24,30,50,29,31,59,460,673,1135,276,326,604,19,26,43,3218,3972,7185,26,20,48,74,78,154,9,12,19,0,3,4,22,29,52,19,45,65,48,68,120,4400,4192,8593,24,10,37,20,20,42,4439,4232,8673,1185,704,1889,9058,9184,18243
4004,27,21,49,451,545,1004,0,0,0,38,34,76,14,29,38,805,953,1753,6,0,3,14,14,24,22,39,58,7,6,12,88,133,224,0,0,0,30,30,57,33,50,82,94,112,209,24,44,69,25,34,59,307,425,727,88,105,194,3,5,9,2044,2567,4604,50,48,98,34,16,50,0,0,0,9,7,17,73,58,124,15,12,26,93,74,169,3450,3190,6640,15,11,24,12,10,17,3470,3210,6681,1247,615,1855,6966,6548,13515
4005,30,47,75,516,670,1181,0,0,0,98,96,196,0,0,0,1074,1254,2324,8,15,19,34,28,71,20,36,62,5,4,10,250,305,554,4,0,4,15,8,26,123,163,287,42,32,76,7,20,36,19,16,31,440,617,1060,161,189,351,0,3,9,2815,3466,6281,31,21,53,11,9,23,4,6,4,6,0,5,18,19,37,15,19,32,35,42,72,4266,3914,8184,15,11,27,7,18,21,4293,3938,8228,916,638,1556,8136,8166,16307
4006,17,44,56,380,431,811,0,0,0,85,90,173,0,0,0,1369,1552,2920,4,10,14,64,75,139,16,18,36,15,18,36,105,166,270,0,0,0,24,21,42,47,76,128,35,39,69,18,28,44,5,6,10,363,562,927,100,115,214,0,3,8,2632,3216,5849,21,20,38,44,44,86,0,0,0,0,0,0,8,6,20,16,29,49,28,40,67,3513,3224,6738,16,12,30,7,7,19,3540,3243,6784,527,485,1011,6807,7087,13896
4007,60,116,178,1473,1895,3367,0,0,0,254,311,565,0,0,0,1088,1423,2508,71,117,191,45,51,101,76,131,211,23,26,51,308,395,704,0,0,4,46,45,88,213,257,473,142,159,302,45,48,88,13,25,37,1033,1353,2382,446,510,956,44,58,102,5314,6803,12116,34,16,48,15,16,36,3,4,14,0,0,0,20,12,31,43,75,117,61,85,147,6955,6754,13712,58,41,99,33,63,100,7041,6862,13904,932,993,1928,13471,14898,28363
4008,44,71,111,667,764,1429,0,0,0,107,145,250,0,3,3,1481,1695,3172,15,28,41,104,101,204,29,58,85,24,21,42,141,169,309,4,6,9,45,46,92,116,144,263,120,150,265,23,37,63,10,16,22,358,475,831,212,231,446,0,0,4,3455,4083,7536,89,67,149,58,45,105,6,4,12,0,0,0,32,30,66,30,45,70,62,71,132,5927,5289,11213,30,19,48,12,26,31,5969,5332,11302,941,856,1805,10617,10531,21154
5000,839,1266,2106,15730,17071,32803,0,0,0,1995,2111,4103,225,224,444,20012,20507,40520,510,570,1086,334,271,603,545,708,1256,201,199,402,477,561,1037,26,19,47,1044,1135,2177,690,795,1486,1619,1540,3157,164,207,370,598,689,1288,2896,3390,6281,4079,4357,8437,112,127,232,51258,54480,105734,354,253,607,785,586,1372,76,60,142,450,421,872,100,64,163,358,552,912,911,1039,1944,66931,57285,124219,355,236,595,199,285,480,67483,57809,125293,27679,18217,45896,149382,133713,283092
5001,95,173,268,1782,2375,4159,0,0,0,555,558,1109,51,53,100,1708,2033,3736,83,94,177,34,30,67,67,115,185,26,33,58,41,63,105,0,0,4,87,127,216,124,151,272,385,450,834,26,48,75,72,80,149,389,554,940,765,903,1665,12,17,26,6205,7675,13883,63,52,111,49,44,92,11,10,23,6,0,6,15,15,27,60,111,167,78,122,200,8897,8601,17497,61,37,98,24,58,84,8985,8701,17684,1600,1201,2799,17081,17975,35053
5002,49,132,178,381,434,814,0,0,0,57,61,119,0,0,0,1418,1720,3140,0,4,4,10,11,27,24,28,53,6,6,7,3,19,22,4,0,4,20,36,57,40,44,80,48,59,104,0,11,11,19,19,30,69,96,165,86,118,210,0,4,3,2183,2664,4848,33,24,58,47,38,83,4,3,3,8,15,29,5,10,12,19,18,36,35,46,79,3462,3434,6895,18,13,31,7,17,25,3482,3471,6957,1272,1180,2458,7108,7553,14660
5003,208,391,599,4076,5306,9384,0,0,0,768,799,1565,0,0,0,6066,7093,13158,71,119,192,111,140,255,209,317,528,157,190,348,88,104,188,17,14,26,143,174,314,261,307,573,417,476,891,56,88,142,100,113,212,571,826,1396,1180,1354,2530,58,61,120,14345,17494,31841,229,208,438,309,312,619,14,23,34,3,4,8,80,67,148,110,166,276,195,236,433,18693,17658,36351,112,82,192,58,80,137,18863,17815,36675,3428,2389,5817,37589,38869,76452
5004,135,246,379,2633,3324,5962,0,0,0,236,279,520,0,0,0,2671,3240,5906,102,111,208,37,47,84,124,174,300,24,25,49,41,53,102,0,0,0,64,79,142,95,111,206,211,242,451,10,30,42,66,64,129,428,631,1062,516,597,1107,17,16,30,7275,9032,16307,70,61,126,106,87,191,10,8,20,0,4,8,40,29,74,35,56,87,76,89,164,10268,9776,20043,62,35,92,23,55,77,10347,9869,20212,1671,1466,3140,19696,20852,40544
5005,28,58,87,610,686,1291,0,0,0,87,102,193,0,0,4,622,740,1365,15,28,44,3,6,12,53,73,119,4,7,5,51,71,122,0,6,4,34,43,79,40,32,74,66,82,148,3,9,11,26,29,57,143,200,341,271,291,560,9,4,17,2048,2409,4456,6,4,15,9,7,18,0,0,0,3,3,9,0,0,5,8,10,18,11,17,33,3079,2821,5905,14,6,24,6,10,17,3099,2840,5942,783,679,1459,5987,6019,12003
5006,113,234,343,2094,2514,4606,0,0,0,180,180,359,0,0,0,3936,4647,8586,27,27,59,39,24,64,103,148,247,22,22,40,50,88,143,0,0,3,72,95,168,251,313,561,154,154,302,30,45,73,95,92,182,315,444,759,456,562,1021,8,13,25,7831,9376,17212,92,73,169,268,294,565,3,10,12,0,3,10,20,9,31,45,71,117,67,85,151,8374,7523,15896,36,30,67,18,39,52,8429,7588,16014,2231,1887,4122,19039,19561,38595
5007,118,199,317,1012,1016,2028,0,0,0,244,266,518,5,6,14,2646,2635,5275,64,95,164,31,40,70,60,67,121,111,134,238,61,51,116,10,3,12,119,118,233,122,136,254,168,168,337,17,22,43,66,76,139,189,235,421,559,676,1233,23,36,58,5506,5777,11282,197,173,375,162,111,276,3,0,6,0,5,4,44,43,92,31,42,75,76,89,169,7039,5845,12886,34,29,59,16,27,42,7086,5896,12983,2111,1557,3667,15265,13805,29072
5008,115,179,301,506,497,1003,0,0,0,129,140,267,0,0,0,1403,1374,2780,13,11,24,38,40,79,27,26,53,26,23,54,24,14,40,0,0,0,39,36,75,38,32,69,53,49,101,3,10,15,19,25,44,74,101,173,172,207,375,14,11,27,2572,2603,5169,160,134,294,123,93,216,5,5,16,9,7,17,22,23,42,11,20,32,42,49,93,4360,3717,8085,26,15,38,4,10,13,4394,3744,8137,1566,1227,2798,8976,8036,17013
5009,22372,30469,52834,92107,114547,206659,20,14,34,15743,17905,33646,646,620,1267,192074,217686,409767,2316,2934,5255,11366,12327,23688,3553,4630,8181,2169,2498,4672,1935,2468,4406,1621,1598,3221,5864,6832,12697,10839,12865,23708,13254,14869,28120,903,1336,2239,2113,2605,4723,12808,18002,30805,33204,39131,72330,1146,1335,2478,403690,474212,877907,25564,24085,49648,32376,30479,62857,2602,2803,5410,66,58,126,9473,8494,17968,3739,5153,8892,13282,13703,26985,454257,421386,875644,3550,2604,6153,1430,2360,3791,459240,426351,885592,75587,61418,137003,1034714,1063528,2098239
