SUA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
1027,144,760,203,283,29,1655,480,181,1217,562,942,72,3455,3,3,26,20,36,0,89,20,9,77,85,405,16,610,10,7,48,33,166,68,335,1235,533,3827,2085,5677,383,13740
1028,164,900,255,318,33,1979,493,186,1433,639,1212,103,4068,14,3,41,29,72,0,165,22,12,69,106,409,11,626,16,3,61,59,188,77,400,1246,582,4066,2507,6241,468,15118
1029,36,163,55,109,8,410,33,32,159,123,275,21,635,0,0,5,3,22,0,31,3,6,21,25,197,5,260,5,0,13,14,113,27,174,215,117,895,718,3201,178,5323
1030,65,238,74,117,3,578,77,47,284,190,392,33,1009,3,6,13,8,17,0,58,3,0,17,37,161,4,226,5,0,26,14,86,18,148,311,175,996,842,2620,172,5125
1031,12652,70017,16944,15981,2530,167971,50005,13280,108959,37729,37647,6978,254598,3455,823,10471,4052,4926,589,24313,5121,1250,12822,8826,25239,1386,54648,12127,1449,26662,10719,15886,9298,76143,313243,63941,686229,250895,349160,51817,1715289
1032,150,711,239,308,22,1612,331,160,990,527,942,86,3035,3,0,27,16,66,8,113,13,10,45,83,444,20,610,14,3,31,41,207,57,347,836,470,2978,1923,5966,471,12635
1033,61,239,91,162,12,621,131,67,430,328,751,72,1781,0,0,4,7,26,3,46,8,4,23,38,240,12,319,5,0,14,27,98,43,180,252,162,986,877,3230,272,5781
1034,60,235,59,87,11,539,69,43,232,150,218,20,724,0,0,15,12,17,0,46,3,0,21,21,148,5,206,0,0,13,18,70,19,132,290,175,977,679,2163,175,4461
1035,250,1135,310,484,43,2656,481,264,1600,740,1161,112,4352,12,0,39,25,55,3,128,24,15,107,131,582,16,876,21,8,73,59,308,89,558,1450,785,4978,2658,7982,595,18455
1036,1263,5349,1446,1849,160,13260,2691,1073,6722,3613,5704,503,20312,105,51,400,221,391,38,1199,202,59,538,559,2622,69,4045,247,44,658,390,1382,396,3121,10667,3887,27490,16193,39248,2620,100116
2000,3222,9004,2872,3538,346,22197,3043,2883,10491,7885,10481,1208,35992,241,200,961,686,1226,101,3415,247,150,765,1156,5909,200,8425,240,149,1003,982,3645,1305,7328,12426,10205,46383,35843,94783,8761,208400
2001,157,447,142,178,14,1080,106,89,354,262,290,27,1127,8,0,34,23,54,3,119,13,3,38,62,247,4,370,9,0,36,43,159,54,305,557,365,1835,1492,3613,247,8112
2002,47,163,82,106,9,462,91,65,268,215,300,25,962,0,3,5,9,20,0,44,0,5,18,25,149,4,214,6,3,7,33,75,23,146,216,178,819,738,1978,155,4090
2003,654,2156,528,679,43,5015,1108,796,2985,1399,1959,196,8443,51,22,213,101,198,17,606,66,32,163,228,782,30,1292,49,13,181,147,411,135,945,3629,2184,10426,5673,13284,902,36096
2004,570,1682,408,560,55,3790,1009,737,2815,1434,1939,196,8130,24,22,121,77,151,17,405,61,33,168,226,850,22,1363,42,23,127,115,441,125,876,2478,1959,8871,5134,13001,921,32363
2005,87,174,36,39,0,505,137,85,244,119,118,17,724,24,19,60,20,11,3,127,13,3,29,23,54,0,125,13,6,30,12,18,11,105,555,310,1059,522,886,82,3426
2006,43,152,40,71,0,337,46,30,150,153,263,23,668,0,0,10,6,14,0,27,3,0,5,24,130,3,163,0,0,0,11,47,25,84,143,103,616,542,1837,144,3389
2007,97,341,64,105,12,699,128,125,420,258,414,50,1399,5,0,27,25,58,0,115,7,5,31,47,204,8,298,4,3,18,20,101,36,179,317,298,1520,1024,3088,223,6472
2008,1566,5459,1553,1468,144,12749,2518,1841,7712,3497,4677,466,20714,144,73,533,301,432,33,1525,178,90,554,715,2042,97,3680,240,68,737,484,1164,448,3139,10323,5586,31321,16849,33690,2633,100407
2009,167,445,121,131,16,1097,149,129,427,186,192,40,1124,16,16,54,29,33,6,145,16,10,42,58,174,3,301,20,6,53,35,113,31,260,794,556,2413,1402,2723,225,8117
2010,77,266,63,102,10,581,105,76,374,312,392,29,1290,0,0,11,13,23,0,51,10,4,20,34,177,5,258,0,0,17,15,66,26,128,315,220,1128,922,2436,159,5186
2011,22639,74387,19705,16697,2513,188432,51677,21860,113085,45911,45448,6968,284953,3658,1478,12712,5293,5953,622,29713,5474,1688,13156,11831,28336,1591,62084,10057,1740,23425,10988,18438,9570,74212,289959,91463,659642,277326,401473,50322,1770192
2012,238,798,257,338,31,1815,280,206,961,615,879,84,3025,4,4,34,30,67,3,144,8,3,49,106,445,21,630,15,10,63,74,263,115,539,728,641,3347,2555,6712,647,14623
2013,63,181,91,146,15,557,58,66,267,243,497,52,1182,3,0,5,14,29,0,51,4,0,13,27,199,4,247,0,0,22,21,133,49,228,185,181,850,890,3325,220,5647
2014,35,162,43,70,10,356,38,46,169,147,212,21,639,0,0,8,3,20,0,42,0,0,14,21,93,3,133,0,0,7,10,48,11,81,106,115,561,460,1521,120,2894
2015,77,230,69,88,3,545,130,71,320,186,269,19,993,4,0,17,11,3,0,36,3,6,19,36,110,3,174,7,4,18,25,59,21,132,350,232,1134,817,1833,128,4493
2016,291,691,233,317,19,1769,429,260,1133,754,935,108,3611,5,5,25,20,51,0,100,13,17,59,112,464,17,680,19,9,66,75,243,97,517,1056,778,3444,2648,6185,556,14665
2017,57,199,45,88,5,418,66,51,208,140,190,20,676,0,0,0,10,19,0,32,3,9,6,14,126,6,160,0,0,3,10,59,24,112,146,147,713,555,1516,113,3188
2018,132,467,141,208,20,1153,288,177,891,510,743,79,2678,3,0,23,24,42,8,101,11,4,36,75,336,17,479,9,3,41,42,216,58,366,729,475,2594,1922,5633,409,11765
2019,90,278,71,139,10,668,154,150,524,345,432,37,1643,4,3,10,10,32,0,52,13,3,23,49,170,0,256,9,3,15,19,88,43,175,365,330,1360,1029,2619,220,5925
2020,220,718,228,329,30,1803,242,199,770,537,725,84,2562,8,5,47,45,82,4,188,12,12,48,101,450,12,632,12,6,64,55,226,83,441,833,628,3018,2333,6193,455,13458
2021,172,633,151,236,20,1438,317,255,932,521,744,66,2840,8,3,38,30,64,4,144,11,8,39,63,315,13,455,7,6,35,38,163,52,309,819,608,2976,1876,4843,352,11477
3000,1983,8881,2887,5304,437,21560,1722,1472,8222,5980,10089,992,28476,76,35,346,297,901,87,1737,142,114,617,943,6284,182,8279,185,96,841,884,4266,1626,7884,7330,5712,37161,29431,103749,9303,192689
3001,35,160,40,54,7,320,42,24,166,98,95,15,441,0,0,12,18,23,4,58,0,3,18,50,131,11,214,3,3,20,34,81,30,175,234,112,1282,1038,2507,221,5387
3002,9730,38871,10906,14575,1264,96062,21677,10227,63174,27181,33448,3544,159246,1056,501,4574,2116,3694,280,12216,1932,849,6038,5901,19019,783,34514,3188,655,8326,4746,12191,4526,33635,102716,41339,288523,139462,277544,24297,873884
3003,204,1024,267,522,34,2257,392,260,1572,872,1837,129,5057,5,3,30,25,82,11,153,13,14,66,116,601,24,834,9,4,80,60,364,129,647,863,651,4288,2670,9507,678,18666
3004,623,2232,770,1104,106,5723,1200,745,4304,2134,2901,301,11582,51,20,203,138,278,27,709,151,60,435,368,1390,64,2460,62,29,268,240,768,291,1658,3701,2161,13757,9137,21005,1729,51483
3005,70,272,55,111,11,586,37,30,200,79,121,7,471,0,0,6,3,18,4,29,3,0,18,28,180,4,242,4,0,13,11,86,23,145,191,165,978,613,2599,173,4706
3006,149,731,134,367,15,1529,122,91,546,333,608,42,1752,6,0,18,12,36,0,71,11,6,37,69,436,8,578,6,5,60,62,399,82,602,580,430,2783,1822,7980,442,14039
3007,2460,10263,3519,3979,438,24791,5710,2508,15468,8529,9855,1253,43324,319,114,1642,1299,2287,182,5835,380,156,1411,2107,5910,318,10284,706,151,2365,1785,4005,1418,10417,19936,8585,65145,44781,87276,8133,233854
3008,69,276,88,178,13,666,64,49,264,228,460,24,1092,8,0,8,11,17,0,45,4,5,15,36,233,10,309,0,0,20,24,139,34,220,188,170,962,826,3194,203,5536
3009,166,726,201,324,17,1623,357,197,1264,692,1395,100,4011,4,7,12,26,63,7,117,13,6,46,106,446,18,631,9,5,48,61,230,84,439,749,490,3039,2231,6389,448,13348
3010,24,180,50,73,0,366,38,32,180,125,215,21,609,0,0,0,3,13,0,14,3,0,12,17,80,0,113,0,0,11,11,61,18,103,119,80,614,426,1488,93,2826
3011,275,1283,305,542,41,2681,489,271,1864,835,1405,158,5014,9,0,32,30,92,8,167,17,11,123,198,1124,41,1509,30,9,112,92,582,153,978,1235,871,5985,3667,14204,868,26829
3012,64,318,113,243,10,786,55,54,317,251,674,50,1408,0,0,3,9,22,0,33,12,0,22,22,243,5,300,4,0,20,25,141,31,224,166,166,967,913,3484,226,5925
