SUA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
2008,448,270,721,403,642,1047,35,5,40,4,4,16,153,147,302,44595,36381,80977,2529,2939,5469,574,15,587,238,31,276,660,232,890,291,173,455,1269,1495,2759,51198,42330,93527,32,47,79,0,4,4,20,21,43,158,82,234,10,17,26,40,9,50,259,178,442,5,0,5,0,0,0,24,23,51,34,62,101,28,29,58,90,116,206,429,245,675,782,544,1324,70,67,136,23,23,45,17,7,22,114,97,208,12183,15344,27525,5940,10743,16685,342,292,634,70550,69346,139894
2009,72,37,109,3,5,4,3,0,3,0,0,0,5,0,7,3330,2508,5837,175,204,375,89,0,89,9,4,8,10,3,12,12,21,30,67,82,151,3766,2860,6633,3,4,6,0,0,0,4,3,6,14,11,27,0,0,0,0,0,3,27,16,37,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,7,3,19,7,33,48,26,75,3,8,10,0,0,0,0,0,0,3,8,10,1332,1669,2999,535,857,1397,28,28,58,5725,5453,11174
2010,0,0,0,7,10,16,0,0,0,0,0,0,4,8,13,2953,2523,5473,200,189,390,36,0,36,14,3,22,77,11,92,19,13,32,132,159,295,3448,2924,6371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,9,0,9,51,11,65,58,13,71,0,0,0,0,0,0,0,0,3,0,4,3,254,407,655,289,558,841,26,16,44,4063,3924,7987
2011,25873,24098,49971,6372,8642,15017,293,119,416,8981,11422,20402,2820,2602,5415,654156,454648,1108805,31915,44580,76494,10821,235,11060,5105,592,5691,12537,5495,18034,6418,3878,10295,22142,25290,47431,787435,581597,1369030,4815,5963,10781,7,3,9,2639,3280,5919,4594,2907,7504,645,1335,1977,1174,670,1847,13875,14160,28039,22,0,24,637,817,1454,516,429,943,516,1063,1579,255,322,575,1942,2640,4579,7435,4903,12337,23256,21695,44951,4102,5043,9149,294,387,685,417,239,658,4817,5671,10490,325144,368914,694061,100351,167016,267367,5578,4185,9763,1246580,1149080,2395663
2012,5,3,6,52,41,92,4,0,4,0,0,0,14,19,38,8586,7523,16108,743,946,1691,152,3,151,63,15,75,66,34,111,47,29,80,365,356,723,10102,8981,19084,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,4,0,4,0,0,0,0,0,0,5,8,10,3,0,3,10,12,22,82,40,123,97,47,152,0,4,3,0,5,6,8,0,8,10,7,14,822,1222,2044,686,1233,1916,128,110,235,11844,11596,23438
2013,21,8,26,23,19,38,0,0,0,3,0,3,4,5,11,3265,2695,5957,226,228,450,59,0,59,19,3,22,13,3,14,8,9,23,66,72,135,3702,3038,6737,3,0,4,0,0,0,0,0,0,0,0,0,3,0,6,0,3,5,10,7,18,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,3,3,7,27,4,29,35,14,52,7,0,9,0,0,0,0,0,0,4,0,3,272,560,828,415,660,1073,38,37,77,4469,4305,8776
2014,0,0,0,6,4,3,0,0,0,0,0,0,3,0,8,1797,1530,3328,126,125,246,29,0,29,11,0,8,16,4,22,8,5,17,71,83,151,2062,1756,3815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,28,18,13,28,0,0,0,0,0,0,0,0,0,5,0,5,97,192,289,265,332,600,20,15,34,2465,2302,4769
2015,0,3,3,9,8,18,0,0,0,0,0,0,8,5,13,2289,2020,4310,151,179,334,24,0,24,8,0,9,62,27,92,30,15,48,143,144,288,2736,2409,5144,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,35,28,16,34,0,0,0,0,0,0,0,0,0,0,3,3,255,355,614,286,455,737,21,16,34,3315,3250,6565
2016,3,3,8,25,33,60,5,0,6,0,0,0,20,32,52,8904,7323,16220,650,858,1503,89,0,93,37,3,43,119,55,174,55,27,84,312,332,644,10223,8662,18887,0,0,4,0,0,0,4,0,3,3,6,7,0,0,0,0,0,0,3,11,15,0,0,0,0,0,0,5,0,5,4,3,7,6,6,8,10,12,22,82,55,135,101,76,172,0,0,0,0,0,0,0,3,13,9,8,16,716,1115,1832,742,1416,2164,79,64,145,11869,11338,23209
2017,0,0,0,0,9,8,0,0,0,0,0,0,10,5,19,2033,1647,3681,139,202,342,14,0,19,5,0,9,44,17,61,13,4,14,115,140,249,2387,2022,4408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,5,9,18,18,29,22,17,40,0,0,0,0,0,0,0,0,0,3,0,3,109,223,331,133,287,420,19,14,35,2675,2568,5241
2018,17,10,25,40,67,110,3,0,3,3,0,0,9,14,22,6484,5571,12058,481,479,958,80,0,82,25,0,24,49,9,60,45,29,70,164,164,330,7396,6346,13743,10,4,12,0,0,0,0,0,0,8,4,6,8,0,12,6,4,8,27,7,37,0,0,0,0,0,0,9,3,7,0,15,12,0,4,4,11,18,27,69,32,102,101,61,159,0,4,11,3,6,9,3,0,3,8,8,15,730,1240,1966,799,1340,2142,54,51,107,9092,9043,18132
2019,0,0,0,0,15,16,0,5,0,0,0,0,15,13,32,3081,2818,5899,250,294,542,50,0,49,18,0,23,106,45,154,26,11,38,132,195,332,3686,3405,7089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,7,31,22,50,39,28,67,0,0,0,0,0,0,4,0,4,4,0,4,266,457,721,366,640,1002,33,27,54,4376,4552,8934
2020,77,31,111,24,10,37,4,0,9,0,0,0,14,11,24,6799,5675,12474,404,449,845,139,4,148,41,6,45,27,11,36,39,20,57,203,161,366,7769,6378,14140,13,9,19,0,0,0,0,0,0,14,10,24,7,3,11,9,0,8,36,24,65,0,0,0,0,0,0,3,3,11,5,4,8,3,0,3,12,11,18,79,25,104,130,59,193,5,5,19,0,0,0,3,0,3,14,8,25,1236,1694,2934,792,1503,2297,66,55,117,9998,9700,19700
2021,4,3,8,35,25,68,6,0,6,0,0,3,19,22,42,6157,5499,11651,452,554,1003,66,0,66,18,5,29,110,36,146,43,13,59,324,307,629,7245,6467,13704,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,3,0,4,0,3,3,0,0,0,3,5,13,60,32,92,68,39,110,0,0,0,3,0,3,0,0,0,3,4,7,679,989,1665,682,1244,1926,44,41,82,8730,8771,17499
3000,84,68,149,2467,1080,3542,157,78,232,6,3,11,106,123,222,100581,89983,190561,7985,8535,16521,4036,160,4198,1314,213,1525,952,435,1388,2206,901,3109,8490,7960,16444,128368,109536,237913,18,7,29,0,0,0,0,0,0,68,96,168,8,4,14,14,4,18,106,122,227,88,61,146,0,0,0,225,86,307,70,50,123,77,25,100,458,222,681,1712,963,2676,2273,1307,3581,28,28,54,168,76,238,159,61,224,360,158,518,16658,19265,35929,14958,17842,32805,1901,1482,3389,164524,149604,314121
3001,0,0,0,109,107,222,59,38,95,0,0,0,21,19,39,2088,1789,3876,174,228,394,43,3,40,39,11,52,44,18,65,176,144,321,455,562,1018,3199,2926,6127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,3,7,13,0,4,3,9,15,25,100,47,147,111,60,169,0,0,0,3,3,11,11,0,7,11,10,21,198,374,572,501,539,1039,20,26,49,4039,3931,7967
3002,12278,12879,25156,13118,17599,30713,750,694,1448,42,40,80,1915,2006,3922,364872,302165,667038,20104,29350,49451,8159,209,8368,7895,922,8813,6782,2142,8923,4257,1975,6232,13022,13607,26632,453189,383588,836774,1919,2326,4250,8,5,20,26,18,49,2638,2699,5333,463,716,1178,646,286,931,5713,6055,11762,163,174,341,4,11,15,930,1233,2158,412,1028,1441,397,400,798,1906,2840,4752,4547,2589,7138,12167,11484,23652,1007,1214,2216,296,331,631,217,98,312,1518,1639,3156,98607,114453,213063,50854,81386,132237,2555,2148,4701,618879,594703,1213582
3003,3,0,5,81,57,141,8,3,8,3,0,3,22,36,62,10670,10591,21264,896,1076,1973,215,10,227,192,16,210,125,37,162,99,42,137,275,308,585,12589,12189,24778,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,14,6,17,0,3,7,3,4,9,19,8,33,107,55,164,133,68,200,0,0,0,4,3,8,0,0,0,9,0,13,546,858,1407,1175,1691,2864,82,63,144,14536,14871,29407
3004,4,7,11,362,383,740,22,16,35,6,0,3,103,108,210,21869,20546,42413,1545,2169,3709,367,11,375,406,66,469,615,254,872,541,201,737,864,881,1745,26686,24643,51325,0,0,0,0,0,0,0,0,0,14,6,18,0,0,0,0,0,0,14,4,19,0,3,7,0,0,0,10,9,17,24,70,94,33,18,48,75,98,167,315,220,533,401,322,717,0,3,5,22,24,50,30,9,32,51,37,87,3582,5063,8646,5222,6947,12168,190,155,345,36137,37158,73295
3005,0,0,0,281,34,313,0,0,0,0,0,0,14,13,30,2616,2400,5013,255,245,500,48,3,50,26,3,32,33,20,51,31,8,42,110,120,226,3416,2841,6251,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,40,0,36,0,0,0,4,0,4,39,0,40,34,23,58,76,25,102,0,0,0,0,0,0,0,0,0,0,0,0,88,200,290,417,405,830,15,13,31,4011,3494,7505
3006,5,0,9,75,15,91,43,6,48,0,0,0,20,28,51,7889,6857,14750,509,584,1090,79,3,86,191,6,199,95,22,115,66,25,92,205,213,425,9176,7775,16955,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,3,0,3,6,3,13,29,8,31,0,0,0,12,6,19,3,7,11,0,0,0,46,13,62,286,89,377,334,109,444,0,0,0,125,16,145,9,0,5,133,22,154,255,605,855,1275,1195,2466,46,28,76,11214,9732,20948
3007,883,771,1657,888,1222,2111,50,18,72,633,1012,1643,298,344,642,110595,98551,209145,5583,7565,13144,2139,42,2181,1636,217,1853,1567,704,2266,1231,568,1800,3189,3675,6862,128687,114690,243371,186,202,389,0,0,0,48,62,107,330,243,576,49,58,105,58,22,85,681,584,1266,15,0,11,176,293,473,62,45,108,56,131,180,51,46,100,348,518,867,1314,993,2307,2340,2097,4442,204,234,445,88,113,198,57,35,94,349,382,738,19940,26240,46181,14085,22713,36801,803,788,1590,166212,166905,333117
3008,0,0,0,31,18,53,0,5,7,0,0,0,12,18,28,3134,2965,6100,245,282,528,89,0,96,38,0,37,18,4,19,40,15,44,92,88,184,3709,3393,7098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,3,6,7,28,17,43,32,19,54,3,0,4,3,0,3,0,0,0,7,0,14,163,317,479,404,546,948,25,27,50,4336,4299,8638
3009,4,0,5,48,18,63,6,5,9,0,0,0,16,23,40,6490,7034,13520,473,673,1143,145,6,149,116,13,125,113,60,167,73,24,103,194,223,423,7678,8074,15750,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,3,0,3,0,0,0,3,0,4,7,6,12,0,0,0,9,7,18,92,70,161,111,77,183,0,0,0,0,3,4,6,3,6,10,4,17,540,810,1349,878,1285,2155,59,75,137,9270,10323,19593
3010,5,0,0,51,7,58,0,0,0,0,0,0,5,7,13,1574,1508,3082,139,182,322,38,0,38,30,6,30,34,11,41,13,9,22,90,68,158,1981,1788,3764,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,5,0,0,0,3,3,9,6,4,8,17,12,27,25,15,38,0,0,0,0,0,0,0,0,0,4,0,4,71,111,174,180,248,431,8,14,24,2271,2176,4444
3011,7,0,7,408,157,562,17,0,17,0,0,0,57,67,125,15613,14346,29965,1118,1211,2330,196,4,206,198,14,211,205,65,269,100,63,162,325,390,712,18249,16321,34573,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,3,5,9,0,0,0,0,0,0,40,3,45,12,13,21,0,4,9,49,21,77,154,90,241,211,113,325,3,5,3,7,3,15,15,5,21,26,15,38,588,1147,1734,2222,2381,4602,97,83,178,21392,20059,41452
3012,3,0,4,21,17,30,0,0,0,0,0,0,13,14,23,3205,3165,6370,256,308,561,86,3,86,84,5,87,86,19,103,22,12,31,147,152,299,3919,3684,7600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,4,9,36,24,59,42,27,73,0,0,0,0,0,0,0,0,0,0,0,0,172,295,468,434,602,1042,32,28,59,4600,4639,9243
3013,0,0,0,15,9,21,0,0,0,0,0,0,27,37,66,3414,3057,6472,318,389,705,51,0,50,104,0,108,62,14,78,26,18,45,192,193,386,4212,3717,7930,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,6,0,6,0,0,0,3,0,6,13,0,9,46,43,84,56,45,103,0,0,0,0,0,0,4,3,3,4,9,6,39,132,179,506,400,903,45,21,61,4853,4324,9178
3014,7,0,4,258,90,348,7,0,6,0,0,0,61,92,147,12936,12505,25448,1112,1276,2387,295,3,295,177,16,192,140,34,175,107,53,156,422,412,830,15512,14472,29987,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,4,5,10,0,0,0,0,0,0,48,10,56,8,8,18,4,4,4,62,20,79,148,99,250,216,124,333,0,0,0,6,4,15,11,0,11,19,4,24,577,968,1541,1922,2330,4250,84,63,146,18321,17966,36282
3015,178,123,298,639,655,1301,25,9,32,0,0,0,94,108,201,57228,53507,110736,3036,3917,6955,1342,32,1376,800,94,893,925,449,1375,822,301,1127,1655,1936,3595,66749,61134,127887,23,23,47,0,0,0,0,0,0,106,65,170,13,9,20,14,9,17,148,105,258,11,0,5,0,0,0,30,29,61,44,84,126,37,28,59,119,134,254,625,311,942,899,554,1450,21,19,40,47,18,65,31,15,48,103,59,157,11503,15130,26632,8388,12734,21121,452,424,875,88093,90032,178125
3016,7,6,11,101,99,201,3,3,6,0,0,4,148,179,334,24094,22399,46495,1657,2203,3860,477,13,492,324,26,351,279,88,366,208,103,307,863,709,1573,28170,25827,54000,0,3,5,0,0,0,0,0,0,9,4,13,0,0,0,0,0,0,15,6,21,5,0,5,0,0,0,21,7,30,6,18,21,15,14,30,44,40,84,269,169,442,329,221,547,5,3,7,9,9,21,12,4,16,28,20,47,1959,2777,4736,2492,4068,6554,111,130,243,33088,33035,66126
3017,10,0,12,468,303,767,26,5,37,0,0,3,114,133,244,31323,31117,62441,2022,2783,4805,491,15,513,770,88,857,666,229,894,587,181,770,1042,840,1887,37527,35696,73223,0,0,0,0,0,0,0,0,0,3,5,11,5,0,5,0,0,0,5,9,18,0,0,0,0,0,0,29,13,39,17,36,52,35,20,50,76,72,151,446,264,703,524,343,872,0,4,3,29,13,43,33,18,47,65,34,99,1671,2545,4217,3866,5263,9126,184,133,316,43837,44011,87845
3018,0,0,0,3,7,14,0,0,0,0,0,0,19,18,36,2297,2120,4419,199,228,427,90,0,89,32,0,31,29,7,37,19,12,27,109,108,221,2810,2495,5305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,10,38,31,12,42,0,0,0,0,0,0,3,0,0,3,0,0,112,222,335,261,382,644,23,22,46,3238,3136,6376
3019,0,0,0,96,50,144,4,5,5,0,0,4,7,14,12,3094,3136,6231,246,260,510,54,0,57,24,6,32,28,3,32,39,10,53,84,80,167,3673,3576,7250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,16,0,0,0,0,0,0,19,3,21,32,22,56,50,27,78,0,0,0,5,0,5,3,0,5,11,0,6,221,399,621,675,680,1353,18,36,54,4650,4716,9365
4000,25,17,41,606,217,823,15,3,22,4,3,6,23,34,60,42098,35764,77863,2307,2510,4820,1092,47,1133,305,36,341,288,86,376,919,232,1150,3460,2867,6329,51132,41827,92964,6,5,8,0,0,0,0,0,0,23,20,49,4,0,3,0,0,0,27,32,61,0,0,0,0,0,0,69,89,162,20,18,38,9,3,18,100,118,212,497,246,739,623,391,1017,4,12,20,8,3,12,37,11,52,54,28,86,6705,6956,13658,4869,7509,12383,701,535,1240,64095,57248,121338
4001,2601,2715,5316,10675,14442,25118,65,28,91,969,1315,2294,956,991,1949,229148,189230,418373,10942,17199,28141,2601,68,2669,2490,284,2772,4875,1738,6613,2681,841,3525,6277,6385,12662,274284,235240,509522,491,479,975,0,0,0,59,102,156,507,540,1044,61,126,188,84,45,130,1202,1284,2491,5,3,13,182,255,438,969,1231,2196,369,888,1250,279,299,581,1802,2679,4481,2596,2137,4725,5604,6098,11701,292,422,719,253,338,590,112,56,168,657,817,1475,30113,34079,64193,26465,44935,71398,1362,1191,2551,338477,322367,660848
4002,0,0,3,25,7,35,5,0,5,0,5,5,18,13,24,5288,4993,10280,415,352,769,71,0,72,34,10,43,54,9,61,38,6,51,159,127,282,6101,5531,11631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,5,63,25,88,74,20,94,0,0,0,0,0,0,0,0,3,0,0,3,231,378,610,507,885,1399,43,35,70,6957,6851,13803
4003,0,0,0,16,5,19,0,0,3,0,0,0,3,8,11,2645,2387,5032,222,306,525,43,0,48,28,6,26,9,7,17,31,8,43,99,99,195,3098,2821,5911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,0,0,4,0,0,0,8,3,9,43,21,66,47,29,73,0,0,0,0,0,0,6,0,6,6,0,6,141,184,325,265,448,712,25,17,41,3575,3494,7070
4004,0,0,0,52,37,87,0,0,0,0,0,0,14,14,27,1881,1912,3795,171,186,354,22,0,22,17,6,26,22,3,25,32,7,41,97,86,186,2313,2247,4567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,27,12,37,28,12,41,0,0,0,0,0,0,0,0,0,0,0,3,35,77,113,356,329,687,16,23,39,2751,2697,5450
4005,3,0,6,24,5,26,3,0,3,0,0,0,8,14,26,2653,2625,5274,243,174,412,26,0,26,26,0,25,24,3,28,38,13,54,115,97,214,3163,2934,6098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,5,0,3,24,11,33,24,13,42,0,0,0,0,0,0,0,0,3,8,0,3,117,215,327,381,460,846,28,25,48,3716,3649,7358
4006,0,0,0,11,10,19,0,0,0,0,0,0,9,3,12,1997,1985,3981,130,164,299,11,0,11,40,9,44,38,10,52,19,7,27,89,76,161,2349,2269,4613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,4,15,12,26,18,13,28,0,0,0,0,0,0,0,0,0,5,0,5,59,88,143,305,364,669,18,12,32,2748,2740,5486
4007,3,0,4,13,11,21,0,0,0,0,0,0,3,6,13,3034,2834,5867,175,241,413,58,3,62,23,3,24,38,14,53,52,14,65,139,154,296,3538,3283,6822,0,0,0,0,0,0,0,0,0,7,11,15,0,0,0,0,0,0,7,7,15,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,7,27,15,45,32,30,66,0,0,6,6,0,6,3,0,3,3,0,12,422,566,984,527,712,1241,43,50,89,4565,4639,9205
4008,0,0,0,148,27,173,0,0,0,0,0,0,36,37,79,3129,2921,6045,256,240,501,25,3,31,65,5,70,84,9,91,30,14,42,109,138,246,3889,3393,7287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,12,90,0,3,3,7,0,7,89,18,103,36,25,60,128,41,166,0,0,0,0,0,0,6,0,9,9,0,8,70,104,170,594,572,1164,32,19,51,4713,4127,8843
5000,67,38,104,3173,789,3960,20,8,28,5,6,8,85,49,131,36653,32058,68706,3307,2800,6106,1291,61,1352,272,64,337,486,330,817,2628,728,3360,4309,4161,8470,52294,41090,93384,17,12,28,0,0,0,0,0,0,61,72,127,7,10,15,0,0,0,83,93,181,0,0,0,0,0,0,130,59,191,30,18,47,137,22,163,295,102,399,751,329,1082,1137,530,1662,32,26,51,103,17,118,66,10,73,195,52,251,5889,6565,12451,7186,7139,14320,825,578,1395,67519,55946,123469
5001,0,0,0,94,24,119,0,0,0,0,0,0,18,13,36,5732,5448,11184,400,477,875,100,3,101,35,0,42,68,19,90,100,22,130,155,147,300,6707,6164,12871,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,6,7,11,3,0,5,6,0,3,9,9,22,58,44,106,73,50,126,0,0,0,6,0,6,4,0,4,7,0,10,301,496,801,817,1062,1880,43,30,70,7944,7810,15751
5002,0,3,3,39,19,57,0,0,0,0,0,0,5,6,15,2144,2385,4525,187,279,463,24,0,27,80,35,122,118,93,208,76,28,103,154,204,354,2827,3053,5877,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,3,4,5,27,19,49,34,24,60,0,0,0,0,0,0,0,0,0,0,0,0,124,227,344,357,450,802,50,42,87,3389,3794,7176
5003,10,8,17,471,133,603,0,0,3,0,0,0,34,37,75,12509,11981,24489,1069,1052,2119,166,8,179,62,10,70,156,42,194,306,75,383,276,276,549,15065,13628,28687,0,0,0,0,0,0,0,0,0,9,4,13,4,3,7,0,0,0,17,3,22,0,0,0,0,0,0,172,42,216,19,16,31,26,4,31,213,66,278,226,81,303,450,152,599,4,3,7,25,5,32,13,3,13,37,11,51,503,928,1425,2201,2535,4730,92,42,136,18347,17296,35640
5004,4,4,5,182,38,216,3,0,3,0,0,0,22,10,30,5930,5963,11890,456,471,930,95,5,101,16,0,16,149,60,207,229,48,274,239,218,454,7316,6809,14131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,10,21,5,4,7,19,3,18,37,13,47,93,22,114,130,40,171,0,0,0,17,0,21,4,0,10,22,0,26,677,1048,1727,1311,1426,2736,56,62,124,9519,9396,18915
5005,0,0,4,34,8,41,0,0,0,0,0,0,8,3,9,2088,1748,3840,120,131,247,51,0,51,24,6,33,35,26,63,20,15,35,76,83,160,2452,2028,4481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,3,0,0,0,6,5,10,26,10,39,32,14,50,0,0,0,0,0,0,0,0,0,0,0,0,98,216,310,292,315,612,27,17,45,2905,2598,5501
5006,4,0,4,161,37,204,0,0,4,0,0,0,13,16,30,6105,6151,12257,487,540,1018,147,5,151,80,10,95,108,47,159,173,39,217,184,157,337,7460,7009,14472,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,4,9,0,0,0,0,0,0,10,0,12,5,5,7,11,9,17,25,14,36,63,42,107,96,58,154,0,0,0,9,0,8,9,0,9,17,3,15,245,448,695,1065,1117,2177,40,26,66,8916,8663,17580
5007,4,0,4,251,86,333,8,4,14,0,0,0,44,49,94,5870,4791,10663,585,555,1144,114,11,128,54,6,63,66,15,80,71,39,105,217,235,454,7285,5798,13076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,55,10,68,8,0,10,5,0,5,67,16,82,76,52,130,141,73,211,0,0,0,9,0,14,7,0,3,14,3,20,101,266,372,754,668,1425,41,22,65,8334,6828,15164
5008,5,0,4,150,33,180,0,0,0,0,0,0,9,5,21,3473,2768,6241,339,254,592,62,0,61,52,4,54,30,14,49,67,27,90,107,162,270,4294,3257,7553,0,4,4,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,12,5,13,4,3,8,5,0,5,18,8,22,42,18,63,64,33,90,6,0,3,5,0,5,3,4,6,11,4,15,48,182,226,506,440,946,17,13,30,4935,3928,8866
