RA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
RA62,..,132,2467,4535,5860,7994,8234,4437,840,34499,..,779,2632,1898,1863,1716,963,253,29,10139,..,32,165,419,578,389,186,128,59,1946,15407,..,..,..,..,..,..,..,..,15407,..,3172,..,..,..,..,..,..,..,3172,..,3770,1670,675,556,239,38,0,0,6949,..,397,237,132,188,241,197,113,46,1544,..,283,339,133,107,80,58,19,5,1009,..,259,634,190,261,369,329,139,32,2214,..,299,928,1006,1710,2728,2755,1393,484,11311,268,411,370,251,247,302,302,107,14,2272,15672,9533,9439,9243,11372,14060,13067,6589,1502,90474,..,259,3292,5298,6635,8523,7522,3096,381,35004,..,1129,2923,1939,1926,1534,695,146,8,10297,..,274,1262,1789,1682,851,442,358,200,6846,14642,..,..,..,..,..,..,..,..,14642,..,3342,..,..,..,..,..,..,..,3342,..,2344,864,297,259,165,39,0,0,3964,..,281,96,55,126,352,315,249,111,1582,..,285,222,65,49,54,28,13,8,716
RA63,..,0,105,142,197,304,358,163,23,1291,..,23,100,86,76,72,44,9,0,418,..,3,5,12,21,16,4,5,3,72,492,..,..,..,..,..,..,..,..,492,..,55,..,..,..,..,..,..,..,55,..,97,50,27,24,6,3,0,0,200,..,12,15,0,10,10,4,0,0,44,..,12,19,8,0,0,5,3,0,43,..,13,27,16,19,21,15,4,0,119,..,25,67,72,129,218,207,78,24,821,9,16,25,23,8,38,29,23,0,172,496,266,413,382,495,680,659,284,56,3729,..,11,130,178,199,345,306,100,9,1273,..,45,126,86,71,87,32,6,0,449,..,13,52,37,44,25,16,13,9,212,488,..,..,..,..,..,..,..,..,488,..,61,..,..,..,..,..,..,..,61,..,50,25,5,9,4,0,0,0,97,..,6,5,6,4,11,9,13,0,52,..,9,10,4,5,0,0,0,0,25
RA64,..,6,23,46,48,76,111,61,11,387,..,11,36,31,35,26,23,8,0,168,..,0,0,4,0,4,4,0,0,20,172,..,..,..,..,..,..,..,..,172,..,19,..,..,..,..,..,..,..,19,..,20,17,7,6,0,0,0,0,51,..,4,3,0,0,0,3,0,0,18,..,0,5,0,0,0,0,0,0,6,..,6,12,7,4,3,3,0,0,40,..,0,8,30,34,56,53,33,9,220,6,3,5,5,4,3,8,7,0,45,178,71,117,136,132,179,199,114,15,1139,..,3,29,62,51,86,114,43,3,394,..,14,43,35,30,24,12,3,0,170,..,0,5,15,10,7,7,6,0,52,159,..,..,..,..,..,..,..,..,159,..,10,..,..,..,..,..,..,..,10,..,7,8,0,0,0,0,0,0,18,..,3,0,0,4,4,4,0,0,12,..,0,0,0,0,0,0,0,0,0
RA65,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA69,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,41,56,67,46,48,27,20,8,0,310,41,56,67,46,48,27,20,8,0,310,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA72,..,100,2986,5028,4262,3445,2361,963,140,19282,..,689,2543,1626,1225,814,343,85,3,7327,..,27,110,294,366,265,132,49,16,1262,13080,..,..,..,..,..,..,..,..,13080,..,2294,..,..,..,..,..,..,..,2294,..,2225,1103,425,211,71,3,0,0,4045,..,449,420,138,164,176,155,88,31,1626,..,310,667,187,134,115,61,13,4,1499,..,623,1345,433,354,318,207,65,7,3352,..,324,970,813,1031,1150,959,353,79,5676,202,184,256,172,147,130,82,21,8,1198,13287,7231,10400,9113,7899,6474,4301,1632,287,60634,..,272,4285,5579,4338,3201,1888,546,41,20161,..,983,2907,1780,1186,711,254,45,4,7856,..,162,764,1231,1128,580,279,151,67,4354,12554,..,..,..,..,..,..,..,..,12554,..,2360,..,..,..,..,..,..,..,2360,..,1438,587,208,109,65,9,0,0,2420,..,369,315,90,172,349,377,189,81,1949,..,316,512,138,74,62,20,11,0,1137
RA73,..,79,901,1360,1097,1116,663,222,21,5468,..,212,820,591,459,318,132,17,4,2557,..,14,43,89,114,83,50,11,5,413,4631,..,..,..,..,..,..,..,..,4631,..,577,..,..,..,..,..,..,..,577,..,834,363,133,59,18,0,0,0,1413,..,297,199,136,107,87,62,21,10,925,..,75,169,53,35,34,10,5,0,384,..,133,323,137,110,105,55,21,0,885,..,105,344,297,369,456,366,120,18,2075,93,99,114,71,57,53,46,15,0,545,4720,2420,3281,2872,2412,2254,1391,442,58,19859,..,143,1220,1418,1124,1021,511,139,11,5586,..,284,961,589,492,262,86,11,0,2691,..,107,366,452,402,197,105,48,10,1706,4257,..,..,..,..,..,..,..,..,4257,..,530,..,..,..,..,..,..,..,530,..,612,244,85,50,13,0,0,0,1009,..,258,152,97,135,181,143,63,12,1040,..,77,137,36,38,20,6,7,0,324
RA74,..,442,1187,1279,977,658,320,78,13,4946,..,138,435,319,248,131,46,12,0,1335,..,27,75,90,96,76,60,16,8,444,4943,..,..,..,..,..,..,..,..,4943,..,418,..,..,..,..,..,..,..,418,..,1256,527,183,75,22,0,0,0,2063,..,765,441,329,282,230,96,31,10,2191,..,74,30,23,17,16,4,0,0,161,..,31,62,31,43,25,15,0,0,212,..,62,220,173,212,188,116,32,5,1001,129,120,111,74,64,42,26,8,0,575,5069,3326,3089,2509,2010,1388,687,173,30,18281,..,567,1352,1319,965,537,209,31,3,4982,..,201,476,321,229,111,17,4,0,1353,..,181,493,472,340,239,124,51,10,1905,4487,..,..,..,..,..,..,..,..,4487,..,430,..,..,..,..,..,..,..,430,..,1002,410,146,83,17,0,0,0,1661,..,577,296,251,313,317,219,66,17,2056,..,43,28,16,12,10,6,0,0,119
RA75,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA79,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,47,24,47,34,30,26,23,8,0,239,47,24,47,34,30,26,23,8,0,239,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA80,..,283,10197,20094,16661,13194,10862,5850,1393,78520,..,1887,8650,4478,3000,1852,896,248,31,21046,..,22,241,879,1311,739,280,143,88,3713,40770,..,..,..,..,..,..,..,..,40770,..,10387,..,..,..,..,..,..,..,10387,..,6587,3855,1223,781,323,55,0,0,12826,..,1197,1311,389,314,341,275,153,87,4051,..,1103,2128,493,231,161,47,21,3,4193,..,3158,4880,1165,650,529,289,98,22,10789,..,895,3961,3250,3055,2997,2402,1353,628,18538,408,697,771,497,364,301,230,102,32,3405,41177,26216,35989,32478,26366,20433,15323,7960,2290,208229,..,679,13808,20973,16146,12639,9891,4294,659,79087,..,2772,8916,4223,2810,1586,670,172,19,21172,..,207,1527,3360,3936,2106,865,560,356,12918,38252,..,..,..,..,..,..,..,..,38252,..,10172,..,..,..,..,..,..,..,10172,..,4700,2357,660,388,211,65,0,0,8380,..,1024,966,298,282,694,829,607,268,4965,..,997,1391,257,112,74,36,10,7,2884
RA81,..,0,14,34,30,22,20,4,0,129,..,5,13,13,6,4,0,0,0,37,..,0,0,3,0,0,0,0,0,8,90,..,..,..,..,..,..,..,..,90,..,13,..,..,..,..,..,..,..,13,..,10,6,0,0,0,0,0,0,21,..,3,0,0,0,0,0,0,0,8,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,6,7,0,0,17,0,0,0,0,0,0,0,0,0,4,90,34,44,51,48,33,28,9,0,322,..,0,17,35,26,27,7,4,0,125,..,8,13,7,6,0,5,0,0,37,..,0,4,4,3,0,0,0,0,11,65,..,..,..,..,..,..,..,..,65,..,18,..,..,..,..,..,..,..,18,..,8,4,0,0,0,0,0,0,9,..,0,0,0,0,0,3,0,0,8,..,4,0,0,0,0,0,0,0,6
RA85,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA89,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,9,23,30,23,20,7,11,4,0,132,9,23,30,23,20,7,11,4,0,132,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA91,..,0,0,7,0,13,6,0,0,30,..,0,3,0,3,0,0,0,0,9,..,0,0,0,4,0,3,0,0,9,17,..,..,..,..,..,..,..,..,17,..,0,..,..,..,..,..,..,..,0,..,8,0,3,0,0,0,0,0,15,..,3,6,3,0,7,0,3,0,21,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,4,0,0,0,0,14,0,0,0,0,0,5,0,0,0,4,19,16,14,18,20,22,12,10,0,127,..,0,6,6,7,5,3,0,0,31,..,0,3,3,0,0,0,0,0,8,..,0,0,4,3,0,0,0,0,18,35,..,..,..,..,..,..,..,..,35,..,6,..,..,..,..,..,..,..,6,..,7,4,0,0,0,0,0,0,14,..,3,0,0,4,3,3,0,0,18,..,0,0,0,0,0,0,0,0,0
RA94,..,6,55,113,123,148,146,54,13,663,..,12,35,28,44,44,13,9,0,181,..,0,0,7,6,9,0,5,0,29,355,..,..,..,..,..,..,..,..,355,..,39,..,..,..,..,..,..,..,39,..,50,19,7,6,0,0,0,0,88,..,9,0,4,0,9,3,0,7,36,..,0,3,0,0,0,0,0,0,4,..,5,0,4,0,12,5,0,0,23,..,11,26,23,31,67,50,21,4,225,8,0,0,6,6,10,14,0,6,61,365,128,149,194,211,292,241,94,32,1698,..,9,67,136,120,173,106,46,0,662,..,16,41,38,39,34,11,0,0,183,..,4,12,19,36,11,6,0,0,82,283,..,..,..,..,..,..,..,..,283,..,52,..,..,..,..,..,..,..,52,..,38,10,9,3,4,0,0,0,61,..,5,0,0,3,9,7,9,3,37,..,3,0,0,0,0,0,0,0,9
RA95,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA99,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
