RA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
RA62,99008,100727,199732,4969,4688,9657,11670,11147,22817,5487,5043,10530,4810,4545,9351,10406,10706,21114,10161,11064,21225,12422,13309,25727,15457,16138,31591,14493,14030,28526,7260,7403,14657,1876,2663,4537,93107,95524,188628,5897,5205,11104,6511,6902,13415,262,266,527,264,284,546,7040,7451,14490,80966,82532,163502,10843,11354,22195,89425,91313,180745,3331,3681,7009,89090,91261,180351,1118,1076,2196,10723,10267,20989,3698,3674,7378,773,1052,1824,1913,3434,5348,26522,32451,58975,7228,8302,15531,29867,27480,57347,7979,7101,15080,4041,3187,7225,265,206,465,90233,92499,182735,7312,7191,14499
RA63,4397,4026,8423,180,195,375,387,362,750,167,134,297,181,153,332,520,534,1052,450,427,876,571,486,1052,793,766,1563,766,614,1385,317,260,583,77,85,160,3998,3684,7685,398,339,733,245,239,484,13,20,30,21,14,36,274,273,548,3279,3002,6280,630,583,1210,3687,3376,7061,262,256,515,3642,3324,6967,37,41,75,328,326,656,88,82,172,22,25,45,116,156,267,1242,1274,2513,335,349,682,1258,1039,2300,362,279,649,176,120,296,10,10,30,3666,3354,7020,1086,811,1896
RA64,1312,1219,2533,70,55,124,138,134,268,46,31,80,41,35,73,135,121,255,149,159,312,157,133,293,203,206,406,234,206,436,126,104,226,20,35,54,1185,1099,2280,134,117,252,96,88,180,0,0,0,0,0,0,97,87,178,1048,929,1975,143,163,305,1150,1035,2181,56,64,120,1154,1043,2197,18,9,26,123,121,245,26,19,48,9,6,16,19,34,56,366,463,834,113,92,206,365,281,647,99,51,147,45,28,75,4,0,5,1121,1023,2143,163,138,301
RA65,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,4,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,6,12,0,11,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,72,366
RA69,758,616,1377,21,19,42,50,36,92,43,48,95,71,53,119,135,92,228,99,97,198,130,78,203,104,98,199,90,72,163,18,13,31,0,4,3,0,0,0,758,616,1377,86,55,143,0,0,0,3,3,5,93,64,150,551,428,973,76,82,161,525,459,978,33,41,74,521,463,985,6,0,6,36,34,68,12,22,36,9,11,24,18,32,50,161,214,374,56,39,94,185,130,314,46,28,75,37,16,50,3,0,8,0,0,0,0,0,0
RA72,70739,69161,139902,4900,4653,9555,9532,9209,18738,3914,3735,7651,4903,4144,9046,12750,13199,25950,10821,11286,22108,9359,9043,18400,7494,7139,14637,4858,4513,9374,1830,1776,3608,370,465,833,66061,65841,131901,4678,3318,7997,6323,6315,12638,273,227,499,703,697,1400,7299,7243,14539,45999,43262,89266,18462,20422,38891,47425,45853,93277,15635,17339,32976,54925,53895,108818,1287,1244,2532,8591,8291,16884,2482,2616,5101,1092,1350,2440,3126,5390,8522,29484,33056,62538,6663,5664,12327,9931,7611,17542,2369,1981,4354,1672,1590,3263,396,468,868,61798,63473,125278,15258,12623,27875
RA73,23688,23355,47048,1733,1507,3241,3400,3179,6587,1445,1316,2768,1425,1332,2754,4123,4476,8596,3551,3508,7064,2961,3141,6102,2734,2726,5457,1670,1497,3171,557,515,1067,89,161,253,22124,21900,44024,1564,1451,3024,7145,7313,14462,44,45,95,111,132,241,7307,7491,14794,16977,16713,33691,4480,4609,9090,14155,13888,28042,6569,7190,13757,18392,18714,37106,402,366,773,2967,2777,5750,709,662,1373,137,185,316,713,1309,2024,7738,9139,16870,2239,2129,4375,3886,3071,6956,1138,1038,2175,1063,914,1972,266,287,559,20069,20605,40676,8222,7438,15656
RA74,21188,20863,42054,1718,1541,3259,3686,3385,7070,1921,1739,3664,1902,1894,3792,3749,3915,7666,2962,3092,6054,2402,2450,4860,1752,1790,3540,836,804,1634,222,206,433,33,41,76,20039,19556,39600,1147,1305,2454,14891,15318,30210,43,36,83,101,99,204,15042,15454,30493,18184,18270,36458,1120,1129,2246,5297,4973,10269,13759,14277,28043,18573,18759,37328,402,387,788,3181,2915,6092,598,596,1191,52,110,160,271,474,744,3840,4664,8503,2032,2238,4268,3459,3213,6674,1801,1617,3420,1964,1901,3869,452,468,922,18343,18749,37095,8448,5806,14260
RA75,83,15,99,0,0,0,0,0,0,4,0,4,6,3,6,16,4,23,22,0,22,18,3,19,17,0,17,0,0,0,0,0,0,0,0,0,84,15,95,0,0,0,11,0,8,0,0,0,0,0,0,10,0,9,45,8,56,23,0,22,53,5,63,10,0,11,48,8,61,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,26,3,29,9,0,8,19,6,21,5,0,5,0,0,0,0,0,0,8,0,12,407,65,470
RA79,1826,1675,3500,89,69,164,166,122,285,30,64,95,84,99,183,292,364,661,305,268,573,311,280,591,300,279,579,205,114,318,33,17,49,6,4,7,0,0,0,1826,1675,3500,637,606,1247,14,8,18,8,3,7,658,617,1276,1102,1001,2106,243,250,492,861,745,1605,253,298,551,1180,1078,2256,4,8,11,104,72,180,12,12,20,6,7,13,19,41,56,368,442,805,123,127,255,266,208,473,108,67,173,74,55,127,9,12,28,0,0,0,0,0,0
RA80,223663,229538,453198,13718,12882,26600,28948,27184,56132,13367,12876,26241,17024,17117,34143,38593,38948,77542,34219,34956,69181,27734,28295,56029,21826,23415,45239,16589,18999,35590,8775,10555,19328,2865,4316,7175,215706,221877,437589,7949,7661,15610,4246,4114,8367,114,106,223,137,159,298,4506,4380,8887,152072,153880,305954,62927,67547,130475,159905,162935,322837,53979,57581,111557,191643,197325,388971,4003,3852,7858,27712,25998,53710,10836,10729,21570,8272,8973,17246,12447,15731,28182,134465,140436,274899,8507,7967,16473,19768,21967,41731,5302,5783,11083,3548,4220,7773,818,1022,1840,208638,215140,423788,14180,13630,27811
RA81,361,332,690,32,22,55,60,48,105,18,21,40,22,18,40,44,49,92,54,51,105,51,45,95,45,50,94,30,21,52,4,7,12,0,5,4,347,319,662,13,9,26,12,8,18,0,3,4,0,0,0,15,10,21,298,275,574,28,32,60,320,292,618,8,11,18,324,302,626,7,9,15,58,43,97,19,12,30,3,9,10,13,20,26,156,177,335,8,10,18,60,43,96,16,4,16,6,4,12,0,0,0,330,300,630,38,35,74
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,336,273,605,18,9,19,13,13,25,23,37,58,44,40,82,60,53,108,62,33,104,53,30,77,38,35,78,21,10,34,6,8,10,0,0,4,0,0,0,336,273,605,20,20,41,0,0,0,0,0,0,26,20,44,201,176,384,56,62,121,201,196,400,35,43,81,219,199,417,3,0,7,4,10,19,12,28,42,16,14,29,7,12,21,106,143,253,20,19,44,58,41,94,13,7,23,7,6,11,0,0,0,0,0,0,0,0,0
RA91,149,158,310,7,14,14,18,29,46,9,11,22,12,15,21,17,19,32,18,15,35,22,29,47,25,16,37,16,10,27,10,10,16,0,0,0,141,156,294,4,7,14,83,99,183,0,0,0,0,0,5,85,105,186,95,110,203,8,3,15,95,102,200,3,9,13,95,114,211,6,3,7,9,20,28,6,3,3,0,0,5,7,5,6,44,44,94,4,4,11,17,11,23,12,9,22,4,9,15,0,0,0,125,145,267,121,53,178
RA94,2370,2106,4473,125,97,219,300,241,541,80,93,172,101,93,190,318,224,544,306,297,605,326,285,616,359,370,729,307,253,561,114,123,239,36,31,67,2233,1977,4209,134,128,265,8,17,27,5,4,0,0,0,0,12,19,30,1257,1208,2471,768,602,1367,872,878,1751,970,950,1926,1626,1589,3216,39,30,67,251,208,457,51,59,112,14,22,34,39,62,103,693,866,1562,126,131,259,393,337,733,67,50,117,88,50,141,56,63,119,1682,1698,3381,952,641,1593
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,6,4,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,0,0,0,3,0,4,0,0,0,3,0,4,10,4,12,0,0,0,5,0,5,3,3,5,10,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
