RA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
RA59,6,11,0,6,67,40,118,10,6,0,16,151,133,295,83,16,4,105,326,390,822,144,11,5,164,232,531,926,52,6,0,61,267,512,842,9,15,0,23,306,336,667,5,10,0,15,283,146,444,0,0,0,3,69,46,118,0,0,0,0,7,9,14,311,72,13,393,1708,2148,4247,4,14,0,18,66,59,147,17,8,0,27,123,105,256,101,24,6,130,299,265,692,163,11,17,189,141,281,613,29,19,8,49,199,227,468,0,33,3,38,279,161,477,0,15,0,15,210,90,316,0,0,0,0,27,14,38,0,0,0,0,5,12,16,310,126,30,469,1353,1213,3030,7,23,0,30,133,105,261,27,17,4,46,278,238,562,179,40,9,231,627,661,1512,308,23,23,352,379,805,1543,76,26,7,114,466,740,1313,9,51,3,64,586,495,1144,5,27,0,29,489,242,758,0,0,0,3,92,65,155,0,0,0,0
RA61,24,417,3,449,8804,526,9784,362,347,11,720,9371,619,10709,5584,681,171,6437,19085,1645,27164,10656,432,393,11490,8375,1167,21031,6277,593,214,7085,12015,958,20059,1222,1538,33,2795,16149,874,19813,190,2494,10,2692,13541,842,17070,31,629,4,666,8205,646,9519,3,30,0,30,2751,310,3088,24349,7162,842,32354,98294,7585,138231,65,808,7,880,7932,470,9282,714,667,45,1432,8478,534,10435,8253,1194,519,9964,15585,1292,26840,12719,758,887,14365,7027,917,22310,6241,1523,325,8092,12984,781,21859,533,4192,34,4755,16285,779,21817,123,4198,16,4348,14164,905,19414,37,749,3,783,10020,824,11632,4,39,0,43,4574,532,5148,28685,14131,1844,44660,97039,7037,148737,87,1223,10,1328,16739,1000,19066,1072,1014,56,2148,17843,1155,21147,13839,1873,687,16401,34671,2932,54006,23378,1191,1283,25853,15404,2083,43338,12519,2119,541,15179,24996,1744,41917,1750,5727,64,7552,32430,1655,41632,316,6692,23,7039,27699,1744,36485,69,1381,9,1451,18229,1469,21148,5,67,0,74
RA62,25,217,0,251,4747,490,5487,280,167,4,451,4063,295,4810,3206,301,121,3636,6068,711,10406,5152,241,207,5595,3863,702,10161,2975,445,95,3511,8131,782,12422,686,1160,21,1873,12609,972,15457,127,1127,9,1259,12224,1009,14493,27,216,0,241,6408,607,7260,0,0,0,0,1620,248,1876,12481,3874,453,16812,59730,5825,82365,41,410,7,459,4178,411,5043,582,368,25,976,3306,266,4545,4708,464,330,5505,4560,648,10706,6303,410,431,7149,3303,617,11064,2697,1202,129,4026,8585,698,13309,270,2843,39,3150,12132,847,16138,64,1720,6,1790,11371,867,14030,10,258,0,272,6407,722,7403,0,8,0,8,2324,321,2663,14679,7688,964,23333,56173,5390,84895,65,625,10,702,8920,902,10530,862,534,29,1427,7367,561,9351,7914,776,449,9135,10625,1354,21114,11454,652,635,12743,7158,1317,21225,5667,1644,220,7538,16712,1479,25727,957,4007,57,5025,24745,1822,31591,195,2841,13,3050,23601,1877,28526,39,468,0,511,12818,1329,14657,0,15,0,15
RA63,0,4,0,7,130,29,167,11,7,0,12,131,37,181,110,20,7,131,331,58,520,186,5,8,198,206,46,450,112,14,0,129,381,55,571,38,40,0,76,647,65,793,5,45,0,53,651,63,766,0,4,0,4,274,33,317,0,0,0,3,62,16,77,460,138,8,610,2817,401,3832,3,19,0,20,100,19,134,24,9,3,36,96,20,153,181,15,9,204,253,75,534,208,8,13,231,156,43,427,62,43,7,117,323,46,486,9,97,0,109,591,67,766,0,63,0,63,511,44,614,0,0,0,0,232,29,260,0,0,0,0,72,16,85,487,250,35,774,2337,356,3467,4,24,0,20,232,47,297,32,13,3,42,230,59,332,286,35,17,336,582,133,1052,391,15,18,425,360,88,876,177,57,11,244,709,102,1052,50,136,0,185,1238,136,1563,5,105,0,106,1161,106,1385,0,7,0,7,509,63,583,0,0,0,3
RA64,0,0,0,0,46,6,46,3,0,0,3,34,4,41,32,6,0,36,90,17,135,69,0,0,78,64,13,149,30,8,3,42,96,22,157,9,8,0,17,171,12,203,0,15,0,14,196,19,234,0,8,0,7,102,14,126,0,0,0,0,21,0,20,149,40,8,193,814,106,1112,0,3,0,3,28,0,31,5,4,0,6,23,0,35,47,5,0,59,48,10,121,75,0,9,90,49,20,159,34,15,0,50,81,5,133,4,27,0,31,160,15,206,0,27,0,27,165,10,206,0,3,0,3,83,14,104,0,0,0,0,35,0,35,166,80,13,260,671,93,1031,0,3,0,3,70,3,80,5,4,0,11,56,7,73,79,10,0,91,141,24,255,148,5,16,166,114,36,312,66,22,0,87,176,30,293,14,32,0,43,329,31,406,0,37,0,42,368,33,436,0,6,0,11,183,30,226,0,0,0,0
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,7,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,4,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,4,0,4,25,10,43,3,3,0,11,47,10,71,28,7,0,35,62,40,135,27,5,3,29,45,27,99,13,3,0,13,87,29,130,0,0,0,4,68,32,104,0,0,0,0,44,45,90,0,0,0,0,13,4,18,0,0,0,0,0,0,0,71,17,3,90,397,204,689,3,3,0,4,33,10,48,4,6,4,14,33,7,53,28,0,0,31,47,12,92,32,0,0,33,42,21,97,7,6,0,10,49,17,78,3,4,0,4,72,27,98,0,0,0,0,41,30,72,0,0,0,0,8,4,13,0,0,0,0,4,0,4,76,25,5,99,336,122,561,3,8,0,6,66,18,95,10,6,4,20,86,19,119,55,8,0,62,113,50,228,57,5,3,66,88,52,198,20,11,0,28,134,46,203,3,3,0,5,140,55,199,0,0,0,0,84,71,163,0,0,0,0,22,10,31,0,0,0,0
RA72,11,199,0,206,3300,407,3914,144,159,9,305,3882,708,4903,2357,294,72,2719,8312,1719,12750,4576,215,157,4940,4532,1345,10821,2539,259,58,2852,5365,1145,9359,511,476,11,998,5738,758,7494,122,502,0,624,3749,480,4858,14,106,3,121,1515,196,1830,0,11,0,8,311,54,370,10266,2218,309,12793,36704,6817,56309,34,350,5,395,2992,356,3735,326,260,18,609,3125,413,4144,3871,513,219,4597,7356,1244,13199,5592,376,346,6316,3976,993,11286,2240,591,122,2953,5322,769,9043,204,1133,10,1352,5209,583,7139,46,916,10,977,3158,383,4513,9,159,0,174,1419,192,1776,0,7,0,13,371,77,465,12318,4321,735,17377,32917,5012,55301,47,551,5,602,6290,766,7651,471,417,26,916,7009,1125,9046,6223,801,287,7317,15669,2963,25950,10166,589,499,11259,8510,2339,22108,4778,849,178,5805,10689,1910,18400,713,1613,21,2351,10947,1341,14637,169,1423,14,1602,6905,868,9374,22,271,3,292,2929,382,3608,9,17,0,22
RA73,31,120,0,157,1097,194,1445,101,115,14,228,963,229,1425,866,144,50,1066,2418,642,4123,1258,127,63,1451,1549,547,3551,617,152,33,798,1733,426,2961,148,159,8,318,2047,371,2734,41,115,0,158,1308,208,1670,4,30,0,39,424,94,557,0,0,0,0,75,14,89,3069,969,174,4210,11617,2722,18552,47,182,9,232,897,180,1316,187,143,33,364,831,127,1332,1326,249,128,1716,2306,449,4476,1533,184,133,1848,1286,374,3508,583,323,54,952,1832,356,3141,96,386,13,497,1931,297,2726,29,225,6,257,1071,171,1497,4,30,0,37,406,69,515,0,0,0,3,130,26,161,3807,1734,376,5917,10702,2055,18672,76,304,5,391,1997,375,2768,288,257,45,602,1797,361,2754,2196,397,179,2775,4728,1094,8596,2788,314,201,3297,2843,923,7064,1198,472,85,1754,3567,779,6102,242,547,26,810,3978,661,5457,73,335,6,412,2379,376,3171,4,65,3,73,827,162,1067,0,5,0,7
RA74,46,578,31,660,1034,232,1921,210,463,103,772,889,235,1902,855,590,293,1742,1472,532,3749,910,404,234,1552,1039,372,2962,386,468,120,972,1118,307,2402,98,316,49,465,1021,270,1752,26,141,21,185,528,117,836,3,23,0,32,167,25,222,0,8,0,7,30,0,33,2543,2993,850,6384,7296,2098,15786,100,559,58,722,825,195,1739,371,506,154,1032,679,184,1894,1265,660,457,2386,1122,412,3915,1080,586,355,2015,794,289,3092,371,729,171,1267,956,233,2450,61,523,81,668,930,193,1790,20,214,20,263,451,84,804,0,40,6,52,137,17,206,0,9,0,12,27,0,41,3270,3830,1313,8407,5926,1600,15942,146,1139,90,1380,1858,429,3664,576,964,258,1805,1575,416,3792,2123,1253,752,4127,2595,942,7666,1989,987,590,3562,1834,659,6054,754,1199,286,2243,2078,538,4860,155,840,132,1127,1952,461,3540,49,363,43,452,982,205,1634,6,68,11,80,306,43,433,3,15,0,23
RA75,0,0,0,0,5,0,4,0,0,0,0,6,0,6,5,0,0,0,9,4,16,0,0,0,0,13,4,22,0,0,0,6,7,4,18,0,0,0,0,11,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,56,21,83,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,8,0,11,0,0,0,0,5,0,4,0,0,0,3,6,0,6,5,0,0,0,9,4,23,0,0,0,0,13,4,22,0,4,0,5,14,4,19,0,0,0,0,14,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,16,15,30,3,0,0,4,36,48,84,30,0,0,31,159,103,292,62,0,0,64,110,132,305,27,7,0,31,133,151,311,0,3,0,3,181,119,300,4,0,0,0,147,52,205,0,0,0,0,24,11,33,0,0,0,0,4,0,6,125,14,3,140,793,635,1567,0,3,0,3,25,31,64,13,4,0,21,43,39,99,50,8,7,59,167,136,364,84,7,4,97,72,105,268,16,11,0,24,132,124,280,8,3,0,7,161,107,279,0,0,0,0,86,33,114,0,0,0,0,7,0,17,0,0,0,0,0,0,4,165,41,13,218,697,568,1486,0,11,0,11,37,49,95,14,9,0,26,80,82,183,76,5,6,91,325,243,661,146,7,3,155,177,236,573,39,14,0,56,265,270,591,9,10,0,9,341,225,579,4,3,0,9,229,81,318,0,0,0,0,36,16,49,0,0,0,0
RA80,36,615,4,648,12052,661,13367,189,395,10,591,15320,1113,17024,6333,780,131,7246,29100,2253,38593,17405,549,540,18496,14157,1571,34219,10189,582,287,11061,15561,1112,27734,1826,1650,52,3524,17436,856,21826,245,3138,15,3398,12534,663,16589,42,917,0,965,7307,502,8775,3,57,0,60,2547,258,2865,36274,8681,1039,45994,126014,8989,180997,41,933,3,985,11276,618,12876,492,781,24,1291,14832,985,17117,10059,1306,412,11781,25336,1826,38948,20379,891,1056,22330,11398,1223,34956,9288,1304,404,10995,16395,904,28295,803,4091,54,4949,17775,690,23415,175,5080,32,5284,12981,736,18999,47,1117,9,1177,8788,589,10555,4,45,0,46,3789,478,4316,41297,15541,2000,58835,122576,8058,189472,76,1546,5,1635,23333,1278,26241,679,1176,29,1886,30157,2099,34143,16392,2091,544,19024,54438,4079,77542,37785,1440,1594,40826,25559,2799,69181,19476,1880,693,22055,31957,2014,56029,2631,5736,107,8474,35211,1547,45239,423,8214,46,8683,25511,1396,35590,91,2036,14,2143,16090,1096,19328,9,103,0,107
RA81,0,0,0,0,14,3,18,0,0,0,0,21,0,22,14,0,0,16,26,3,44,28,0,0,32,17,0,54,19,3,0,18,27,4,51,3,5,0,5,34,7,45,0,0,0,0,25,6,30,0,3,0,3,4,0,4,0,0,0,0,0,0,0,60,9,0,74,164,29,269,0,0,0,0,19,5,21,0,0,0,0,19,0,18,22,0,0,26,22,3,49,35,0,0,35,12,3,51,14,9,0,20,21,5,45,3,14,0,15,24,4,50,0,6,0,6,13,4,21,0,0,0,0,0,0,7,0,0,0,0,5,0,5,76,32,0,109,135,22,263,0,0,0,0,37,4,40,0,0,0,0,35,4,40,38,7,0,40,49,4,92,69,0,0,71,28,6,105,27,9,0,41,51,9,95,7,16,0,20,58,10,94,0,11,0,11,32,11,52,0,3,0,3,8,0,12,0,0,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,20,4,23,5,0,0,7,28,7,44,9,3,0,10,38,11,60,11,0,0,10,23,30,62,9,0,0,9,28,19,53,0,7,0,7,23,16,38,0,4,0,4,14,10,21,0,0,0,0,3,0,6,0,0,0,0,0,0,0,28,17,0,42,176,97,315,0,0,0,5,36,0,37,3,0,0,6,30,4,40,8,0,0,13,36,7,53,8,6,0,15,13,7,33,8,4,0,6,12,8,30,0,4,0,5,24,8,35,0,5,0,3,0,4,10,0,0,0,0,4,0,8,0,0,0,0,0,0,0,35,20,0,52,159,31,249,0,4,0,5,49,4,58,7,3,0,11,65,7,82,13,9,0,20,70,17,108,22,8,0,26,38,35,104,13,4,0,13,40,27,77,0,11,0,5,47,22,78,0,7,0,3,17,11,34,0,0,0,0,12,0,10,0,0,0,0
RA91,0,0,0,0,5,0,9,0,0,0,0,10,0,12,0,0,0,0,10,10,17,7,0,0,7,9,3,18,0,0,0,5,16,6,22,0,0,0,0,15,5,25,0,0,0,0,7,4,16,0,0,0,0,3,3,10,0,0,0,0,0,0,0,11,4,0,11,71,37,125,0,0,0,0,10,4,11,0,5,0,5,9,4,15,8,3,0,10,7,3,19,6,0,0,4,3,9,15,4,0,0,4,16,6,29,0,4,0,4,6,8,16,0,0,0,0,3,4,10,0,0,0,0,6,6,10,0,0,0,0,0,0,0,18,11,0,32,57,41,122,0,0,0,0,17,4,22,0,5,0,5,19,3,21,5,3,0,7,13,12,32,8,3,0,15,7,11,35,7,4,0,4,31,11,47,0,7,0,7,19,8,37,0,0,0,0,15,14,27,0,0,0,0,6,9,16,0,0,0,0
RA94,0,0,0,5,59,14,80,0,5,0,5,58,38,101,48,5,5,49,111,151,318,107,5,5,120,90,95,306,79,11,5,89,157,82,326,24,26,0,48,257,53,359,8,25,0,33,236,41,307,0,8,0,8,94,19,114,0,0,0,0,32,0,36,259,79,17,351,1094,491,1948,0,7,0,7,67,12,93,9,14,0,23,56,17,93,64,10,4,87,97,44,224,146,13,10,169,83,46,297,73,15,6,90,166,28,285,15,49,0,67,260,45,370,0,29,0,28,203,22,253,0,11,0,11,96,19,123,0,0,0,0,26,3,31,311,144,23,471,1056,240,1768,0,14,0,11,130,33,172,9,12,0,28,114,54,190,113,14,4,138,208,199,544,248,18,21,288,173,140,605,149,21,13,179,318,112,616,40,73,0,108,524,95,729,4,50,0,58,439,61,561,0,14,0,14,191,36,239,0,0,0,0
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
