RA_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
RA59,265,174,316,288,197,188,143,14,4,1594,28,59,92,78,84,89,86,27,0,534,0,10,17,22,23,30,39,12,4,152,0,3,0,8,15,22,26,11,0,79,27,64,105,107,126,139,148,44,4,768,101,176,396,530,514,334,158,50,10,2281,389,414,822,926,842,667,444,118,14,4639,267,153,322,211,144,182,97,11,0,1386,15,68,82,84,61,80,74,7,5,488,0,11,17,26,23,35,37,4,5,163,0,0,0,9,15,16,20,0,0,67,15,81,108,118,102,133,130,12,5,713,93,172,267,281,223,162,87,14,12,1315,380,410,692,613,468,477,316,38,16,3416,538,328,636,499,341,374,233,27,4,2976,45,125,176,162,148,166,159,30,4,1018,0,19,36,45,48,66,72,18,6,318,0,3,4,17,32,39,41,10,0,147,44,145,211,229,224,271,282,63,13,1482,190,352,661,811,748,503,245,69,15,3591
RA61,24264,14874,20465,14437,12306,10177,6451,2577,614,106174,3164,3298,3886,3946,4433,5386,5343,3013,945,33414,263,518,678,804,1210,1853,2576,1853,657,10410,6,37,91,206,456,957,1634,1388,611,5382,3435,3847,4652,4954,6099,8197,9550,6254,2212,49205,2344,1768,2039,1635,1652,1441,1071,683,262,12894,30040,20490,27164,21031,20059,19813,17070,9519,3088,168271,23689,12591,18333,13849,12303,10674,7158,2916,891,102405,2385,4591,5292,5176,5431,5957,6162,3948,1650,40602,210,926,1386,1424,1855,2430,2974,2235,1155,14589,11,78,190,409,885,1440,1957,1700,1007,7672,2610,5595,6870,7013,8168,9822,11096,7880,3815,62863,2184,1536,1642,1453,1387,1317,1158,833,441,11947,28479,19718,26840,22310,21859,21817,19414,11632,5148,177214,47950,27463,38802,28286,24612,20849,13613,5497,1514,208578,5556,7887,9179,9120,9864,11343,11505,6959,2595,74020,472,1443,2061,2228,3057,4284,5552,4093,1811,25004,16,117,282,614,1342,2390,3593,3087,1616,13053,6044,9448,11527,11964,14266,18018,20649,14142,6024,112074,4528,3302,3681,3093,3040,2758,2230,1512,699,24834
RA62,12974,7373,7391,6616,7335,7675,5400,1957,378,57092,1941,1687,1759,1967,2718,4039,4357,2203,549,21217,129,238,311,445,848,1574,2115,1368,377,7412,3,21,44,120,375,872,1429,1149,329,4350,2078,1948,2116,2532,3938,6490,7899,4725,1259,32982,1588,976,903,1010,1149,1297,1194,581,237,8937,16635,10291,10406,10161,12422,15457,14493,7260,1876,99008,12746,6265,6654,6569,7217,7468,5025,1956,526,54418,1486,2026,2383,2604,3147,4348,4227,2405,820,23456,103,420,699,794,1271,1969,2211,1359,585,9402,6,34,129,236,653,1144,1508,1018,480,5211,1600,2474,3211,3638,5068,7457,7949,4782,1885,38066,1490,849,837,862,1034,1208,1054,657,256,8245,15832,9586,10706,11064,13309,16138,14030,7403,2663,100727,25714,13634,14047,13189,14549,15137,10426,3910,903,111507,3427,3706,4142,4572,5854,8385,8586,4612,1370,44669,240,657,1010,1234,2122,3544,4328,2725,958,16815,15,54,172,358,1025,2024,2938,2170,807,9560,3678,4416,5328,6169,9003,13949,15848,9509,3141,71043,3076,1831,1736,1870,2175,2502,2251,1239,491,17175
RA63,436,237,396,297,306,401,266,75,15,2424,58,49,46,72,131,177,233,111,17,890,4,0,9,19,46,78,99,55,15,323,0,0,4,4,23,51,80,41,13,214,59,49,60,98,193,309,414,203,44,1437,70,60,66,59,71,84,85,35,11,538,567,343,520,450,571,793,766,317,77,4397,435,172,346,240,249,338,232,64,12,2097,53,66,93,108,104,199,186,82,27,911,0,12,19,27,45,99,89,50,16,358,0,0,0,5,33,48,59,41,14,199,55,72,109,140,184,351,330,173,54,1473,58,36,74,46,51,81,52,21,18,452,558,285,534,427,486,766,614,260,85,4026,872,408,743,534,552,741,499,138,33,4526,108,114,134,185,233,377,425,191,39,1810,13,12,34,40,92,173,189,102,29,682,0,0,4,12,51,100,137,85,30,423,118,126,167,236,379,654,750,379,103,2913,128,98,143,105,121,168,137,59,29,989
RA64,162,68,106,109,101,112,101,40,0,788,15,9,9,22,26,52,67,43,7,249,0,0,0,3,6,24,30,18,3,85,0,0,0,0,5,11,16,13,7,47,14,9,10,26,35,76,112,74,20,383,23,8,18,14,18,16,25,15,0,148,205,87,135,149,157,203,234,126,20,1312,151,42,80,95,80,101,82,25,7,664,9,13,22,21,25,53,55,33,12,243,0,3,8,11,7,21,28,22,6,110,0,0,0,0,0,7,19,11,8,58,13,10,28,40,34,82,114,69,23,411,32,7,9,23,17,21,15,13,6,144,190,66,121,159,133,206,206,104,35,1219,308,114,187,207,179,212,179,60,9,1448,25,19,31,46,50,100,124,76,22,496,3,3,8,12,13,44,59,38,16,195,0,0,0,3,3,13,36,29,12,104,34,24,45,61,74,161,219,141,42,795,55,16,29,44,45,36,36,25,3,289
RA65,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,4,7,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
RA69,56,54,54,40,56,32,16,3,0,316,5,22,22,22,28,13,9,7,0,137,0,5,12,6,6,9,13,3,0,58,0,0,0,4,4,10,10,0,0,28,5,31,35,31,43,34,29,9,0,221,12,28,43,28,29,38,46,4,0,221,74,108,135,99,130,104,90,18,0,758,55,42,50,39,23,29,21,4,0,258,8,30,14,24,22,16,10,3,0,133,0,15,11,14,9,9,6,3,0,59,0,0,5,4,9,9,6,0,0,33,5,44,31,43,36,39,16,6,4,221,5,19,11,24,18,31,28,4,0,136,61,108,92,97,78,98,72,13,4,616,108,94,105,71,79,62,39,7,0,571,11,55,39,46,51,35,20,9,0,267,0,16,24,21,16,15,16,7,0,123,0,4,5,5,16,24,13,0,3,65,11,77,67,76,81,70,45,18,3,445,18,41,49,54,42,68,75,6,0,357
RA72,11880,6730,9516,7713,5957,4005,1988,569,85,48427,999,839,1212,1338,1601,1818,1422,560,112,9894,47,69,158,206,369,505,581,312,69,2319,0,6,19,53,120,268,359,217,48,1096,1050,916,1392,1594,2086,2594,2359,1092,228,13308,1502,1174,1848,1511,1321,904,514,178,55,9008,14429,8819,12750,10821,9359,7494,4858,1830,370,70739,11703,5740,9689,7885,5763,3784,1913,524,80,47081,681,1112,1783,1831,1732,1731,1281,551,136,10838,28,148,368,341,475,651,520,296,80,2919,3,12,38,81,163,268,363,219,91,1246,716,1274,2186,2258,2374,2648,2168,1070,318,15004,1444,872,1324,1145,911,704,424,179,66,7075,13861,7879,13199,11286,9043,7139,4513,1776,465,69161,23581,12465,19203,15605,11713,7785,3904,1091,169,95514,1685,1948,2999,3166,3332,3549,2703,1114,250,20739,76,218,523,548,844,1159,1097,613,151,5234,8,21,56,131,283,535,732,434,142,2337,1770,2187,3578,3850,4456,5245,4529,2159,546,28311,2947,2046,3166,2653,2232,1607,942,359,125,16079
RA73,4196,2170,3000,2398,1817,1404,674,157,19,15825,306,242,399,470,511,621,459,154,21,3197,14,17,50,73,123,201,190,78,14,755,0,9,9,11,35,100,125,75,22,386,325,261,460,549,673,927,775,312,58,4336,620,441,667,601,465,402,220,90,18,3524,5135,2876,4123,3551,2961,2734,1670,557,89,23688,3899,1930,3245,2378,1819,1319,563,139,21,15312,212,359,599,587,660,694,431,159,38,3749,12,48,118,110,194,232,186,80,37,1018,0,7,13,26,75,142,111,75,38,490,230,414,729,726,930,1069,730,313,119,5261,564,301,504,411,385,337,205,67,21,2783,4683,2650,4476,3508,3141,2726,1497,515,161,23355,8093,4101,6236,4776,3637,2724,1238,291,38,31139,517,602,1003,1050,1174,1318,895,311,65,6944,29,63,162,179,319,436,379,161,54,1775,0,8,26,46,114,241,237,145,57,879,553,676,1188,1278,1607,1995,1508,624,174,9598,1181,745,1169,1010,860,738,423,158,33,6309
RA74,4494,3087,2842,2066,1411,863,336,79,14,15183,298,312,304,441,521,412,242,72,13,2608,16,20,25,46,117,125,94,26,9,467,0,0,9,11,33,71,37,15,0,169,306,331,332,500,666,603,371,116,16,3244,602,410,572,398,329,283,132,31,0,2759,5404,3825,3749,2962,2402,1752,836,222,33,21188,4189,2923,2919,2071,1376,790,310,74,9,14669,191,342,482,579,609,544,254,67,17,3081,9,24,56,100,168,174,94,30,6,661,0,4,8,40,48,69,51,25,4,246,200,369,548,714,833,786,399,114,25,3991,539,338,448,313,251,213,86,17,0,2201,4923,3635,3915,3092,2450,1790,804,206,41,20863,8684,6006,5759,4134,2783,1651,649,155,27,29856,485,653,788,1018,1129,953,501,137,28,5691,18,46,79,149,284,296,182,59,11,1131,0,5,9,47,86,135,90,40,6,415,505,701,880,1213,1500,1389,769,227,49,7236,1136,750,1023,708,573,498,216,51,0,4965
RA75,0,9,14,15,10,9,0,0,0,52,0,0,4,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,14,0,0,4,4,5,3,0,0,0,23,0,12,16,22,18,17,0,0,0,83,0,0,3,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,15,0,9,20,15,15,8,0,0,0,56,0,4,4,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,6,0,0,0,14,0,0,6,4,5,3,0,0,0,24
RA79,207,59,184,154,120,104,67,13,4,899,10,15,18,39,60,67,58,3,0,277,0,0,4,8,18,25,21,6,0,76,0,0,0,5,4,16,15,0,0,44,10,15,24,47,86,104,89,14,0,390,42,41,88,101,109,93,46,13,0,531,260,113,292,305,311,300,205,33,6,1826,155,98,195,136,95,78,37,4,0,802,3,13,56,45,63,54,29,6,0,260,3,6,8,10,21,36,14,0,0,89,0,0,6,5,7,17,10,0,0,38,6,13,59,60,84,102,49,9,0,388,32,48,105,71,105,98,33,0,0,482,190,162,364,268,280,279,114,17,4,1675,359,152,374,295,213,182,102,18,3,1705,9,29,74,86,124,121,83,11,0,535,4,6,7,11,41,56,33,10,0,162,0,0,4,9,9,33,21,7,0,83,18,29,89,108,170,211,138,23,0,777,74,97,193,168,213,186,79,12,0,1017
RA80,35818,22611,29059,24951,18408,12142,6899,2593,580,153064,4126,4713,5863,5951,5807,5727,5126,2873,896,41081,243,610,909,1114,1420,1882,2389,1601,627,10803,15,36,93,194,397,786,1295,1201,554,4577,4383,5357,6868,7255,7625,8399,8811,5676,2075,56461,2459,2426,2668,2009,1704,1284,884,501,212,14134,42667,30390,38593,34219,27734,21826,16589,8775,2865,223663,34483,19846,26855,23748,17275,12141,7743,2975,788,145849,3080,6665,7789,7200,6712,6463,5935,3514,1383,48733,177,1238,1869,1828,2066,2470,2802,2013,1011,15468,10,98,265,415,771,1175,1497,1475,806,6529,3265,7998,9924,9440,9553,10109,10233,7002,3202,70725,2316,2154,2164,1775,1465,1165,1030,575,317,12963,40066,29993,38948,34956,28295,23415,18999,10555,4316,229538,70306,42450,55919,48700,35687,24282,14634,5573,1369,298921,7203,11377,13653,13146,12521,12190,11059,6386,2281,89811,423,1844,2782,2942,3486,4349,5192,3614,1636,26272,26,134,357,609,1177,1967,2795,2677,1358,11105,7649,13351,16791,16700,17178,18506,19048,12681,5282,127188,4773,4579,4830,3784,3164,2451,1906,1075,530,27093
RA81,76,27,33,34,30,20,12,5,0,233,7,4,4,7,10,16,9,0,0,62,4,4,0,3,0,0,4,0,0,18,0,0,0,0,0,3,0,0,0,8,8,5,4,13,14,19,17,3,0,84,3,4,3,0,9,10,3,0,0,42,93,42,44,54,51,45,30,4,0,361,60,31,36,32,26,16,5,0,0,203,5,5,12,14,8,11,4,0,0,66,0,0,3,3,6,6,4,0,0,19,0,0,0,3,0,3,0,0,0,6,8,4,11,15,18,20,11,0,5,96,3,3,0,6,5,9,3,0,0,31,69,38,49,51,45,50,21,7,5,332,136,53,68,69,58,39,15,6,0,442,14,10,13,19,20,26,15,4,0,125,3,4,3,8,6,11,11,0,0,40,0,0,0,3,0,4,0,0,0,12,15,16,20,30,23,38,25,9,5,182,8,6,3,3,13,16,9,3,0,71
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,19,31,33,18,18,6,8,0,0,137,4,20,13,13,10,14,0,0,0,73,0,0,0,6,3,5,0,0,0,19,0,0,0,0,4,0,0,3,0,6,4,21,12,20,17,14,6,3,0,98,3,15,11,30,19,15,10,0,0,105,23,66,60,62,53,38,21,6,0,336,15,45,29,19,15,8,0,0,0,138,0,24,10,3,9,15,0,3,0,64,0,8,5,3,0,9,0,0,0,24,0,0,0,0,0,5,4,0,0,13,0,28,11,12,10,22,8,4,0,97,0,3,7,7,4,6,4,0,0,40,21,74,53,33,30,35,10,8,0,273,33,78,67,41,36,17,8,0,0,272,4,40,22,18,18,23,0,3,0,134,0,7,7,11,6,11,3,0,0,39,0,0,0,0,4,0,4,0,4,20,6,47,25,26,22,38,14,12,4,194,7,21,17,35,22,22,11,0,0,138
RA91,13,12,10,8,10,9,0,3,0,61,0,0,0,0,3,8,4,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,12,0,0,0,6,6,6,7,0,0,31,10,6,10,7,6,5,4,6,0,53,27,18,17,18,22,25,16,10,0,149,21,16,10,6,9,7,6,0,0,68,5,3,0,3,8,3,0,0,0,24,0,0,0,0,0,3,0,0,0,8,0,0,0,0,4,3,0,5,0,12,5,4,0,3,9,6,3,4,0,38,11,8,3,3,6,8,4,5,0,47,36,21,19,15,29,16,10,10,0,158,33,31,19,13,17,12,6,3,0,136,3,3,3,5,8,7,6,0,0,40,0,0,0,0,3,3,0,0,0,10,0,0,0,0,7,3,6,3,0,19,3,4,3,11,17,16,15,4,0,67,24,14,12,15,14,8,14,7,0,106
RA94,338,117,141,162,192,221,148,42,17,1375,28,13,21,37,31,58,73,39,3,304,0,0,0,11,12,15,29,8,3,83,0,0,0,0,4,10,10,9,5,41,28,13,24,43,49,88,112,57,16,428,60,46,159,98,87,53,45,22,3,562,421,181,318,306,326,359,307,114,36,2370,273,121,149,203,185,239,138,53,8,1367,13,28,22,41,49,66,57,36,13,324,0,0,5,6,9,20,20,7,5,73,0,0,0,0,0,0,9,6,0,26,18,34,25,43,58,91,91,47,20,423,54,29,47,50,42,43,25,20,4,316,342,183,224,297,285,370,253,123,31,2106,614,236,290,365,382,455,287,92,24,2747,43,44,40,73,81,131,128,74,18,630,0,0,3,14,24,29,53,17,4,149,0,0,0,0,3,14,22,17,7,70,44,53,51,86,107,172,200,106,33,851,105,72,203,146,126,97,74,40,6,875
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8
