RA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
RA23,1107,1002,2109,102,93,194,49,42,94,169,157,327,11,11,18,24,21,47,3,5,7,0,0,0,0,3,4,3,9,11,0,0,0,264,249,516,17,16,33,10,8,18,391,368,762,169,137,310,1674,1506,3181
RA25,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,5,0,0,0,7,0,9,24,3,27,36,6,38
RA29,538,340,876,170,99,264,102,82,184,1346,1306,2654,96,103,199,42,26,62,34,37,70,21,13,34,14,15,30,6,8,17,0,0,0,1660,1586,3243,283,285,568,58,39,95,2171,2008,4180,2241,1381,3624,4945,3734,8678
RA30,724019,756309,1480330,79587,85589,165170,47537,51602,99139,22509,24271,46780,445138,478255,923395,5348,5763,11112,6162,6440,12607,2780,3040,5823,3771,3790,7557,3787,3929,7717,42,46,91,537082,577134,1114221,81556,90123,171682,18101,16271,34375,716328,769113,1485446,88223,84003,172235,1528573,1609429,3138000
RA31,240497,243818,484316,34053,37519,71568,10412,11328,21740,4841,5160,10004,114582,126319,240902,1254,1338,2591,1645,1692,3331,877,937,1806,1399,1457,2862,562,580,1141,17,15,28,135591,148811,284400,10515,11499,22012,4715,4395,9112,184870,202226,387097,40958,33282,74238,466331,479321,945650
RA32,162454,159455,321908,26337,27775,54113,6780,6784,13570,4552,4630,9177,69365,74995,144362,1321,1426,2753,1948,1966,3918,585,608,1197,1751,1794,3545,548,518,1070,3,7,7,86869,92732,179602,8757,9522,18279,3325,2970,6302,125288,132998,258285,39529,30758,70292,327270,323214,650478
RA33,17820,15841,33662,3839,3973,7810,587,538,1123,252,269,516,5352,5354,10702,119,126,245,195,156,348,47,46,95,165,142,309,17,24,39,0,0,0,6734,6643,13377,835,914,1746,323,255,575,11720,11795,23511,5461,3903,9366,35003,31534,66538
RA34,13372,12839,26217,2517,2672,5192,412,362,773,160,185,341,3670,3825,7497,75,84,160,138,134,273,32,30,68,159,136,291,17,22,42,0,0,0,4672,4775,9450,309,399,712,187,140,324,7685,7993,15678,3724,3043,6764,24781,23874,48657
RA35,17,3,20,0,0,0,4,0,4,0,0,0,8,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,18,4,17,0,0,0,26,3,30,111,24,135,149,28,183
RA39,948,648,1590,339,239,577,521,521,1039,320,345,666,2315,2263,4581,97,84,184,146,147,288,52,58,111,58,59,121,30,19,48,0,0,0,3532,3503,7033,482,644,1125,75,58,135,4429,4444,8873,2215,1492,3704,7588,6582,14167
RA40,356071,373299,729374,29701,31900,61605,6967,6691,13659,6627,6548,13175,4132,4243,8377,145149,155767,300922,2050,1969,4012,629,719,1350,1849,1900,3749,873,837,1709,22,19,37,168288,178699,346988,34915,36065,70976,4030,3569,7601,236940,250235,487170,28274,26862,55140,621285,650398,1271683
RA41,50144,50279,100423,7056,7752,14807,743,789,1534,806,873,1679,576,637,1210,15623,16728,32354,272,327,601,97,116,213,351,324,677,55,50,106,5,0,3,18538,19847,38382,939,1101,2044,389,353,741,26929,29048,55977,5738,5029,10762,82805,84364,167166
RA42,57868,56422,114293,11304,11914,23215,618,601,1213,1319,1353,2666,683,705,1384,12087,13079,25165,392,399,790,124,114,239,417,461,880,31,34,61,0,0,0,15665,16745,32414,1650,1594,3250,568,490,1059,29187,30739,59931,9401,7502,16900,96455,94670,191121
