RA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
RA41,0,3,4,3,4,7,0,0,0,26,0,21,23,60,47,46,26,12,0,240,0,6,0,32,7,0,4,0,0,46,0,0,0,11,0,0,0,0,0,15,4,16,13,24,4,0,0,0,0,60,0,0,0,6,4,7,10,3,0,25,5,23,9,39,30,30,48,17,0,208,0,15,7,66,37,29,14,4,0,180,0,0,4,13,16,23,32,23,12,123,0,0,7,17,15,17,9,3,0,55,0,30,49,220,106,171,202,134,41,957,163,490,467,1077,751,856,748,520,191,5260,4163,10500,9065,17067,11210,13132,12720,7104,1998,86964,0,0,0,0,0,0,0,0,0,4,3780,9163,7693,14624,9207,10006,9351,4871,1890,70587,0,3,0,10,0,0,0,0,0,14,0,0,0,6,0,0,0,5,0,12,0,0,0,15,0,3,0,0,0,20,0,0,0,26,12,5,3,0,0,45,0,0,10,42,13,20,24,5,3,112
RA42,0,0,0,9,7,3,3,0,0,15,3,37,29,93,75,43,23,14,0,300,3,3,3,52,14,6,3,4,0,90,0,0,0,20,0,0,0,0,0,16,0,38,53,36,4,0,0,0,0,136,0,0,0,3,10,3,3,0,0,27,4,4,12,35,13,20,26,7,7,123,0,4,7,44,28,12,6,4,0,107,0,0,0,6,11,26,18,12,9,81,0,3,6,32,20,8,11,0,0,88,17,31,86,346,107,171,201,125,48,1123,261,722,733,1632,1038,1207,1119,704,254,7669,5165,12146,10893,21938,12695,15160,14075,7314,2229,101624,0,4,16,40,14,0,0,0,0,76,4654,10464,8393,17410,10457,11526,10231,5772,2369,81276,0,3,0,13,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,11,6,0,0,0,0,18,0,0,3,26,0,3,0,0,0,42,0,0,3,26,13,15,15,0,5,76
RA43,0,0,0,0,0,0,0,0,0,4,0,5,17,31,22,13,6,4,0,100,0,3,0,5,3,0,0,0,0,11,0,0,0,5,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,9,0,0,0,6,0,0,0,0,0,3,0,3,0,5,6,7,8,8,0,35,0,3,0,3,0,0,0,0,0,18,0,0,0,7,3,4,8,4,0,24,0,0,7,5,6,3,0,0,0,23,3,5,4,55,21,27,29,19,5,172,75,191,180,480,306,321,243,150,58,2005,1258,2825,2128,5114,2845,3332,2881,1523,445,22358,0,0,0,0,0,0,0,0,0,0,1159,2350,1657,4002,2199,2463,2061,1081,471,17440,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,27
RA44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,11,0,0,0,30,0,0,0,0,0,32,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,3,15,6,11,30,29,5,99,17,75,80,212,127,114,109,63,27,827,369,882,794,1786,936,1053,841,398,106,7163,0,0,0,0,0,0,0,0,0,0,409,783,638,1386,707,678,497,191,87,5375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,0,4,3,0,0,49,15,24,31,108,56,70,42,0,0,340,77,128,182,613,299,311,214,40,7,1873,0,0,0,0,0,0,0,0,0,0,43,101,146,348,124,133,95,13,3,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,44,480,812,2124,1146,1022,887,335,86,6931,84,1028,2684,6041,3987,2733,1475,556,117,18704,21,252,483,1854,778,430,382,188,49,4444,20,65,58,803,96,46,49,11,0,1153,36,486,632,772,164,61,47,8,3,2218,7,36,44,302,149,118,51,27,6,737,117,471,551,1218,575,628,490,204,44,4305,46,326,523,2115,1635,1480,849,241,101,7316,9,92,206,709,544,553,486,314,89,3005,4,159,624,1725,1132,910,416,135,37,5144,235,2419,3663,14089,5536,4763,3526,2105,600,36931,2095,4637,5186,17893,7587,5994,3996,2835,1637,51859,65931,137636,128278,296829,133337,114846,89170,47410,15662,1029106,10,146,370,1185,309,167,83,35,0,2304,58458,108348,86037,156895,69879,58846,48719,25530,11591,624305,5,120,102,773,137,67,54,11,0,1264,0,8,24,521,254,388,206,75,28,1512,16,94,115,1822,244,106,57,24,4,2480,7,43,47,367,156,117,74,14,10,838,35,162,239,1233,496,421,239,84,35,2947
RA51,0,5,20,19,30,25,20,11,0,132,6,95,193,386,349,260,127,57,18,1489,0,9,4,51,14,12,5,3,0,99,0,5,5,88,0,0,0,0,0,100,7,26,25,19,3,0,0,0,0,86,0,0,0,6,4,0,0,0,0,11,4,25,26,57,58,79,74,26,6,360,3,8,12,78,48,28,11,3,0,188,0,0,8,40,33,63,59,24,6,236,0,15,35,101,113,102,71,14,3,453,13,62,101,550,262,289,262,156,35,1730,300,828,886,2255,1462,1299,972,545,225,8770,6351,15962,12683,27068,15915,15831,13931,6760,1810,116314,0,0,5,14,3,0,0,0,0,28,5576,13180,9479,19180,11130,10689,9094,4292,1691,84306,0,0,5,11,3,5,0,0,0,27,0,0,0,9,0,3,0,0,0,16,0,0,6,51,15,3,0,0,0,68,0,0,0,12,0,5,0,0,0,21,0,13,18,122,37,47,29,0,3,267
RA52,0,5,3,19,23,13,8,3,0,72,3,81,120,284,221,152,75,38,9,973,6,3,8,28,12,7,10,4,0,82,0,3,0,45,0,0,0,0,0,51,0,54,54,31,5,6,0,0,0,153,0,0,0,8,0,3,0,0,0,15,0,15,15,39,35,52,47,24,3,228,0,4,8,54,22,11,11,3,4,126,0,0,0,16,29,38,29,18,3,132,0,20,33,113,75,60,50,9,0,355,11,60,88,450,185,180,178,131,39,1325,408,1064,901,2258,1316,1348,1093,615,190,9188,5332,12286,10078,21248,12168,13319,11243,5682,1681,93046,0,0,17,36,8,0,0,0,0,64,4577,9918,7459,14758,8463,8730,7212,3604,1473,66208,0,0,0,11,0,0,0,0,0,12,0,0,0,3,0,0,5,0,0,9,0,3,0,29,9,7,4,0,0,54,0,0,4,14,4,0,0,0,0,23,5,12,8,61,27,46,18,10,3,198
RA53,0,11,0,17,10,4,9,8,0,51,8,21,40,173,105,58,22,8,0,428,0,10,4,43,18,6,0,0,0,86,0,0,0,21,0,0,0,0,0,22,0,15,22,13,0,5,0,0,0,63,0,0,0,6,0,3,0,0,0,15,0,3,6,31,14,16,10,0,0,76,0,10,6,23,4,3,0,0,0,44,0,0,5,9,5,12,4,3,0,38,0,6,15,55,45,35,9,0,0,158,4,24,35,244,93,97,51,19,5,577,362,861,672,2088,987,876,486,205,62,6601,3345,6635,4631,13564,6343,5758,3385,1405,368,45432,0,0,0,7,0,0,0,0,0,7,2768,5206,3050,8462,3612,3071,1916,878,309,29269,0,0,0,5,0,0,0,0,0,12,0,0,0,6,5,0,0,0,0,10,0,0,0,25,0,5,0,0,0,30,0,0,0,8,0,0,0,0,0,14,0,3,7,61,20,15,3,0,0,100
RA54,0,0,0,12,8,0,0,0,0,24,3,6,19,106,48,40,7,0,0,239,0,0,0,30,8,3,0,0,0,36,0,0,0,13,0,0,0,0,0,13,0,8,9,22,9,5,0,0,0,52,0,0,0,3,0,0,0,0,0,6,3,3,0,29,16,11,12,7,0,65,0,9,3,29,27,12,4,0,0,90,0,0,0,13,9,8,8,0,0,32,0,0,7,47,37,24,9,0,0,117,0,18,27,324,85,64,43,20,0,584,242,538,755,3016,1226,953,375,130,18,7253,2137,3994,3691,11971,5044,4137,2079,709,111,33874,0,0,0,0,0,0,0,0,0,0,1733,3096,2461,5664,2214,1848,986,379,91,18476,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,3,0,0,0,22,4,0,0,0,0,25,0,0,0,5,0,0,0,0,0,7,0,0,0,34,6,8,3,0,0,55
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,0,0,0,14,0,0,14,110,46,25,4,0,0,197,0,0,30,262,103,55,14,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,3,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,3,0,3,0,14,8,4,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,6,4,0,0,21,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,3,0,9,0,0,0,3,6,0,0,0,0,6,3,0,10,49,9,15,7,3,0,102,31,31,87,456,250,169,93,35,9,1156,149,244,414,1753,842,667,444,118,14,4639,5,0,0,0,0,0,0,0,0,13,119,194,247,755,298,267,167,20,4,2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,13
RA61,0,19,38,84,28,22,13,0,0,208,7,38,68,236,128,91,71,45,16,692,8,24,42,438,40,19,15,6,0,593,4,18,9,175,9,7,0,0,0,207,0,39,37,74,12,4,5,0,0,178,0,0,0,16,10,8,4,0,0,40,12,60,52,174,99,97,93,37,12,631,0,46,81,361,33,11,9,0,0,543,0,5,0,18,22,38,35,34,8,169,0,6,20,40,30,22,13,6,3,135,33,203,226,1213,427,352,325,239,93,3106,298,755,883,2080,917,963,931,660,263,7752,9285,20754,20490,48194,20059,19813,17070,9519,3088,168271,0,9,26,72,28,9,4,0,0,151,8297,17656,16446,33495,17769,17453,14855,8333,3651,137951,0,8,20,176,9,0,0,0,0,218,0,0,0,10,9,6,4,3,3,41,0,7,6,189,10,4,4,0,0,216,0,7,0,29,4,0,0,0,0,43,0,12,20,144,78,63,44,23,0,380
RA62,0,5,0,0,13,11,7,4,0,32,0,9,26,61,61,53,49,16,3,279,0,13,12,66,19,6,3,0,0,114,0,5,0,57,0,0,0,0,0,62,5,12,9,14,3,3,0,0,0,39,0,0,0,5,0,0,6,0,0,14,0,13,19,65,49,61,74,42,3,326,0,7,5,26,4,0,3,0,0,46,0,0,0,11,17,21,27,27,11,108,0,0,0,5,20,10,13,6,0,60,6,29,55,302,111,175,193,140,45,1056,263,638,573,1453,964,1200,1186,696,237,7202,4969,11670,10291,20572,12422,15457,14493,7260,1876,99008,0,0,0,0,0,0,0,0,0,0,4403,10280,8679,17787,10969,12732,10500,5196,1989,82532,0,4,4,7,0,0,0,0,0,14,0,0,0,5,0,0,0,0,0,7,0,0,0,12,0,0,3,0,0,20,0,0,0,5,0,0,0,0,0,9,0,6,8,44,26,33,33,12,4,170
RA63,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,3,0,0,23,0,3,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,9,0,0,0,4,0,0,0,0,0,3,0,0,0,12,6,9,17,12,3,59,13,40,55,102,67,80,89,39,13,488,180,387,343,967,571,793,766,317,77,4397,0,0,0,0,0,0,0,0,0,0,172,321,231,621,372,569,456,189,65,3002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6
RA64,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,11,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,12,0,14,4,30,19,24,27,8,0,133,70,138,87,287,157,203,234,126,20,1312,0,0,0,0,0,0,0,0,0,0,42,119,54,202,103,155,153,66,26,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,8,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,15,0,8,11,24,14,26,40,4,0,131,21,50,108,234,130,104,90,18,0,758,0,0,0,0,0,0,0,0,0,0,19,33,76,135,56,60,32,10,4,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,0,16,0,38,15,15,14,4,0,105,5,37,48,128,64,40,15,9,0,343,5,43,37,318,64,38,25,19,3,553,5,17,0,92,4,4,0,0,0,129,4,39,51,90,24,24,3,0,0,239,0,0,0,3,7,9,0,0,0,23,6,17,12,67,32,29,21,12,4,203,7,41,54,196,57,61,38,7,0,464,0,0,7,25,11,4,12,0,5,61,0,12,22,91,42,24,13,0,0,193,20,170,168,711,370,306,249,146,42,2190,318,744,752,2191,931,705,446,147,48,6271,4900,9532,8819,23575,9359,7494,4858,1830,370,70739,0,0,0,7,0,0,0,0,0,6,4187,7350,5523,12997,5386,4258,2506,862,195,43262,0,14,39,162,16,7,6,3,0,250,0,0,0,9,5,6,3,0,0,20,0,5,3,79,6,3,0,0,0,94,0,14,7,57,26,15,11,5,0,129,3,0,0,73,22,15,20,7,0,139
RA73,0,0,0,0,5,0,0,0,0,12,0,4,12,45,25,11,7,6,0,105,0,10,3,60,17,9,4,0,0,97,0,0,3,21,0,0,0,0,0,32,0,0,10,15,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,4,15,49,24,187,52,51,13,9,0,402,0,0,10,40,16,21,3,0,0,87,0,0,0,0,0,7,6,0,0,13,0,0,17,38,26,13,0,0,0,101,5,27,41,272,103,56,42,19,0,558,112,237,235,728,316,311,195,84,15,2231,1733,3400,2876,7672,2961,2734,1670,557,89,23688,0,0,0,4,0,0,0,0,0,4,1371,2708,2134,5036,2149,1842,1012,337,113,16713,0,0,0,19,0,0,0,0,0,18,0,0,0,4,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,17,0,0,0,9,0,0,0,0,0,8,0,0,4,24,10,3,3,0,0,43
RA74,0,0,0,0,0,5,0,0,0,4,0,0,3,13,11,8,6,0,0,44,0,0,0,15,4,0,0,0,0,23,0,0,0,8,0,0,0,0,0,8,0,5,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,7,5,0,0,31,4,4,10,75,30,10,9,3,0,150,98,161,280,703,262,239,111,27,0,1888,1718,3686,3825,6711,2402,1752,836,222,33,21188,0,0,0,0,0,0,0,0,0,0,1462,3186,3355,5876,2081,1445,656,181,38,18270,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,5,0,0,25
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,3,0,0,0,22,0,0,12,41,18,17,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,22,3,3,4,3,0,38,23,17,39,180,97,82,47,4,0,480,89,166,113,602,311,300,205,33,6,1826,0,0,0,0,0,0,0,0,0,0,64,97,90,349,161,167,67,14,4,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,6,62,78,180,108,49,44,13,3,537,3,81,183,343,249,122,95,32,10,1121,8,70,134,647,265,227,179,69,15,1612,0,18,24,194,27,18,12,3,0,297,5,53,111,232,49,29,20,5,0,504,0,5,14,75,35,20,13,4,0,162,55,209,237,510,227,165,120,64,11,1592,10,55,134,565,334,352,187,47,28,1704,0,4,12,45,41,41,42,33,15,235,0,12,33,143,80,49,14,9,0,333,64,545,684,3093,1190,974,736,502,183,7972,375,813,1422,2993,952,827,632,455,203,8662,13718,28948,30390,72819,27734,21826,16589,8775,2865,223663,0,20,36,142,44,30,14,3,0,287,12124,23286,22359,43012,18519,14725,11442,6026,2378,153880,3,39,78,584,124,74,27,11,0,933,0,0,3,58,37,47,35,23,16,212,0,15,15,214,47,17,15,3,5,327,3,9,29,100,41,32,25,10,3,254,8,46,46,277,157,107,65,26,11,746
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,3,3,0,0,27,32,60,42,94,51,45,30,4,0,361,0,0,0,0,0,0,0,0,0,0,25,41,35,84,42,31,12,0,5,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
