RA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
RA41,3,0,0,3,4910,4923,100,7,0,3,4037,4145,2402,136,104,12,5419,8073,5008,362,517,20,3084,8992,6532,554,1378,75,2668,11210,8102,588,2214,195,2036,13132,8922,480,1968,510,838,12720,5210,193,716,713,274,7104,1152,25,114,656,49,1998,37444,2343,7015,2183,23323,72302,13,0,0,0,4787,4796,167,16,0,0,3626,3800,3151,211,183,18,4598,8164,5605,514,759,50,2481,9408,7003,628,1712,215,2088,11646,8483,590,2536,624,1395,13633,8500,373,2068,1508,576,13027,3877,110,775,2221,199,7190,618,15,134,1984,70,2813,37411,2457,8162,6619,19826,74478,10,0,0,4,9692,9716,268,20,4,3,7656,7952,5556,346,287,24,10021,16241,10618,875,1277,70,5567,18405,13532,1185,3094,289,4749,22857,16583,1177,4749,823,3437,26765,17427,858,4040,2015,1416,25754,9086,304,1495,2934,476,14290,1769,40,242,2638,125,4816,74854,4804,15181,8801,43146,146780
RA42,9,0,0,3,5744,5756,146,10,3,7,4975,5138,3002,189,148,3,7856,11199,5433,497,585,40,4188,10741,6599,706,1475,97,3819,12695,8673,811,2566,286,2818,15160,9211,672,2351,742,1101,14075,5078,195,762,939,342,7314,1193,35,136,785,89,2229,39347,3114,8024,2897,30925,84306,11,0,0,0,5074,5085,235,24,8,4,4195,4463,3608,333,223,19,6489,10675,5881,604,805,59,3403,10754,7020,774,1841,288,2726,12654,9006,728,2592,791,1637,14754,8471,452,1923,1972,496,13313,3890,142,681,3174,169,8055,580,18,135,2561,61,3364,38712,3075,8213,8868,24255,83115,19,0,0,0,10822,10840,380,35,12,4,9169,9595,6612,518,373,22,14343,21873,11317,1099,1391,98,7591,21495,13623,1480,3317,385,6545,25351,17677,1542,5158,1080,4456,29912,17685,1120,4275,2717,1596,27394,8965,334,1441,4112,509,15370,1775,52,273,3345,147,5592,78059,6187,16236,11764,55175,167427
RA43,0,0,0,0,1147,1145,15,0,0,0,965,979,739,38,24,7,1722,2534,1402,93,132,9,954,2580,1601,140,298,24,791,2845,1901,178,547,70,644,3332,1887,127,505,134,230,2881,1065,43,163,193,68,1523,245,9,31,148,11,445,8856,621,1701,575,6525,18264,0,0,0,0,1002,1002,45,4,0,0,840,895,979,64,45,8,1401,2490,1466,121,157,10,694,2449,1599,166,349,55,539,2699,1905,147,595,152,325,3119,1728,83,398,367,109,2686,768,24,131,483,23,1429,121,3,39,449,12,622,8613,610,1705,1514,4953,17398,0,0,0,0,2145,2149,62,5,0,0,1802,1874,1723,98,63,7,3122,5027,2869,211,288,12,1649,5028,3201,298,644,75,1327,5550,3800,325,1143,218,969,6454,3605,211,905,504,340,5567,1836,62,289,678,89,2957,367,13,66,595,25,1066,17471,1232,3406,2091,11473,35664
RA44,15,0,0,0,383,403,62,0,0,0,332,393,283,10,19,0,655,966,427,31,40,3,315,817,438,36,111,10,337,936,496,65,180,23,288,1053,471,62,146,44,116,841,195,20,81,42,53,398,59,3,6,23,12,106,2457,241,585,152,2481,5914,23,0,0,0,334,357,67,0,5,0,284,354,368,27,13,7,562,972,436,36,28,16,268,783,444,48,82,28,273,881,484,48,125,71,154,874,392,19,88,131,48,669,137,0,23,101,13,277,22,0,0,93,3,120,2365,185,356,447,1937,5292,41,0,0,0,717,758,123,4,5,0,612,750,648,41,27,5,1207,1938,864,73,67,19,580,1601,882,84,194,46,613,1819,981,117,304,90,439,1932,865,81,231,176,162,1511,333,26,102,151,69,678,78,4,9,116,12,229,4820,427,940,604,4413,11208
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,12
RA49,0,0,0,0,74,74,0,0,0,0,111,108,28,6,9,0,273,320,48,30,29,0,178,289,49,38,54,6,152,299,79,44,88,8,89,311,96,31,58,16,18,214,19,4,13,0,0,40,3,0,0,3,0,7,328,153,260,30,892,1668,0,0,0,0,112,112,4,3,0,3,88,95,39,11,12,0,243,305,50,28,26,0,137,245,42,30,28,10,73,178,91,27,45,6,27,197,80,8,31,11,13,141,6,0,6,8,0,26,5,0,0,3,0,10,311,110,152,39,702,1306,0,0,0,0,186,186,7,3,0,3,199,206,66,19,23,0,523,627,100,65,50,3,313,534,87,71,82,10,225,478,168,69,136,15,117,513,170,39,93,24,32,359,30,4,21,14,0,64,9,0,0,11,0,11,637,261,406,75,1594,2975
RA50,70,14,16,18,62065,62185,1295,79,43,34,64642,66092,42370,1978,2117,122,100533,147123,90652,5505,7905,214,45443,149710,85084,6610,13983,743,26909,133337,75809,5107,16661,1718,15549,114846,62987,3355,13045,3464,6326,89170,34183,1318,5172,4771,1980,47410,9199,263,960,4761,482,15662,401653,24228,59883,15837,323933,825535,62,21,14,17,59232,59342,2916,209,79,34,61363,64600,59083,3715,3575,203,86709,153281,96076,7377,11280,837,37822,153391,84442,7901,19867,2228,22228,136666,73778,5917,23847,5773,11886,121194,57450,3372,19013,13203,4962,98001,25112,1042,7856,18694,1707,54408,4806,170,1787,17503,624,24896,403732,29728,87307,58496,286535,865795,135,33,28,35,121304,121530,4213,294,123,63,126004,130689,101458,5692,5690,326,187245,300403,186726,12880,19181,1053,83266,303100,169530,14513,33849,2979,49135,270009,149584,11027,40501,7493,27440,236044,120434,6728,32056,16664,11290,187175,59299,2357,13024,23457,3684,101828,14003,436,2743,22266,1109,40566,805384,53956,147186,74334,610468,1691327
RA51,7,0,0,4,6964,6974,165,12,0,5,5530,5707,3542,233,171,14,8639,12603,7871,655,826,28,5085,14470,9408,918,1772,81,3735,15915,10058,791,2569,251,2162,15831,9713,553,2258,588,831,13931,4899,193,755,706,205,6760,1061,23,122,542,59,1810,46719,3388,8468,2216,33208,93996,14,3,0,0,6539,6562,218,16,0,7,4574,4817,4509,357,311,32,7045,12248,8652,841,1147,106,4130,14876,9505,1028,2347,296,2952,16134,10220,775,3109,729,1539,16363,8762,447,2391,1635,524,13762,3531,113,824,2342,164,6973,537,17,178,1889,51,2676,45944,3589,10305,7035,27532,94409,17,3,4,3,13503,13537,375,33,0,10,10103,10528,8051,590,482,45,15687,24852,16524,1497,1975,128,9217,29343,18912,1946,4118,385,6694,32047,20278,1564,5675,977,3697,32193,18470,995,4647,2223,1360,27697,8429,306,1575,3047,368,13733,1599,45,294,2431,115,4482,92666,6974,18773,9245,60739,188402
RA52,16,0,9,0,5455,5476,149,12,0,3,4432,4600,3020,163,144,10,7145,10485,5768,457,541,29,3969,10765,6757,694,1307,85,3321,12168,7826,726,2098,286,2373,13319,7305,548,1857,542,997,11243,3805,204,696,664,308,5682,950,30,113,523,68,1681,35604,2841,6770,2141,28066,75423,8,3,0,0,5042,5050,253,34,5,9,3881,4175,3733,247,220,29,6011,10247,6285,608,802,101,3363,11148,6996,727,1635,241,2606,12213,7907,661,2296,633,1516,13017,6560,384,1747,1490,504,10676,2785,107,681,2019,135,5725,464,21,138,1613,40,2272,34992,2789,7520,6137,23084,74522,20,3,9,7,10492,10528,402,43,7,9,8307,8776,6751,415,370,39,13160,20730,12052,1069,1340,127,7329,21911,13760,1420,2939,332,5928,24378,15738,1387,4392,921,3897,26343,13864,932,3607,2026,1490,21921,6593,314,1380,2678,444,11411,1417,46,252,2132,104,3958,70593,5630,14298,8281,51155,149948
RA53,4,0,0,0,2354,2359,62,4,0,0,2203,2271,1817,99,85,5,4519,6525,3892,228,378,16,2526,7038,3556,350,651,40,1752,6343,3260,330,932,102,1134,5758,2064,223,570,183,349,3385,875,50,195,194,98,1405,208,14,27,103,15,368,15738,1295,2832,639,14939,35449,5,0,0,0,2038,2048,86,3,4,0,1915,2004,2393,137,139,14,4202,6881,3871,269,395,56,2073,6663,3241,297,634,86,1320,5574,2820,226,800,240,671,4755,1687,115,455,418,183,2853,632,39,145,458,41,1313,97,10,24,301,12,447,14830,1096,2595,1567,12445,32531,14,0,0,0,4389,4404,154,6,4,0,4114,4280,4204,234,227,23,8720,13402,7759,498,772,73,4592,13702,6800,653,1281,121,3067,11917,6082,556,1732,341,1804,10505,3746,333,1024,595,533,6236,1510,84,339,649,135,2719,302,23,55,404,33,815,30571,2391,5430,2209,27383,67980
RA54,35,0,0,3,1522,1561,169,13,6,4,1937,2125,1550,99,92,12,4568,6320,2609,268,323,16,2437,5656,2414,324,610,30,1667,5044,2085,290,723,94,943,4137,1034,113,454,113,360,2079,373,47,121,89,81,709,50,0,5,39,13,111,10307,1158,2323,407,13545,27745,48,0,0,0,1382,1425,163,14,7,0,1648,1834,1423,114,70,12,3396,5020,1917,197,221,30,1702,4069,1588,210,406,80,1155,3442,1455,203,523,211,626,3019,719,73,226,278,197,1496,244,13,69,211,43,577,27,0,6,110,13,147,7582,818,1531,941,10161,21036,79,0,3,3,2908,2991,335,25,16,7,3582,3963,2973,212,160,26,7963,11339,4525,465,541,45,4145,9719,4002,529,1008,114,2825,8486,3541,493,1246,308,1575,7161,1754,188,681,395,564,3574,616,60,190,304,121,1286,74,7,10,148,18,258,17892,1979,3855,1347,23702,48779
RA55,0,0,0,0,7,7,0,0,0,0,25,25,25,0,0,0,69,99,75,13,9,0,64,157,61,3,11,0,24,103,35,5,9,0,3,55,9,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,205,30,37,3,189,455,0,0,0,0,3,3,0,0,0,0,11,11,4,0,0,0,7,14,0,0,5,0,7,11,3,0,0,0,0,9,0,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,0,33,61,0,0,0,0,6,6,0,0,0,0,31,31,32,0,0,0,83,116,75,13,11,0,72,170,66,8,17,0,27,109,33,5,16,0,7,62,14,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,217,25,44,3,227,516
RA59,0,0,0,0,114,118,4,3,0,0,294,295,71,28,30,4,686,822,190,91,66,0,579,926,131,128,117,12,460,842,212,88,155,12,204,667,198,30,119,35,61,444,49,7,32,17,16,118,0,4,9,0,7,14,861,371,524,83,2408,4247,0,0,0,0,145,147,13,0,0,0,248,256,104,24,25,0,531,692,143,55,56,8,347,613,113,34,97,15,216,468,231,34,118,18,74,477,164,17,81,23,22,316,19,0,3,16,0,38,0,0,3,9,4,16,791,175,385,93,1589,3030,0,0,0,0,259,261,10,3,0,0,539,562,180,60,56,4,1220,1512,336,141,119,16,924,1543,241,166,211,24,673,1313,442,126,271,30,277,1144,371,48,199,57,83,758,65,8,33,33,15,155,0,4,5,14,3,30,1648,548,909,175,3998,7285
RA61,8,3,0,0,9774,9784,267,18,10,11,10400,10709,8089,345,359,25,18349,27164,11282,722,1169,39,7821,21031,11065,993,2447,135,5424,20059,11725,948,3287,402,3454,19813,11424,584,2649,811,1601,17070,6563,245,1093,1184,429,9519,1671,49,177,1091,103,3088,62097,3907,11190,3689,57358,138231,9,0,3,6,9262,9282,590,28,14,3,9806,10435,9703,590,550,36,15959,26840,11705,1094,1805,125,7577,22310,11612,1289,3546,393,5011,21859,12002,1129,4711,1094,2876,21817,10560,660,4085,2856,1252,19414,5001,193,1661,4340,436,11632,855,31,343,3750,169,5148,62040,5012,16727,12604,52357,148737,20,3,3,7,19034,19066,856,50,25,14,20205,21147,17792,937,908,58,34305,54006,22992,1814,2976,165,15398,43338,22676,2288,5994,524,10435,41917,23730,2080,7995,1494,6337,41632,21984,1243,6735,3671,2854,36485,11563,439,2753,5522,865,21148,2528,82,518,4836,272,8238,124139,8920,27911,16295,109710,286973
RA62,3,3,0,0,5478,5487,149,9,3,0,4645,4810,2869,163,173,9,7195,10406,5050,443,621,28,4019,10161,6507,701,1639,102,3474,12422,9017,773,2763,312,2601,15457,9425,652,2495,760,1162,14493,4937,204,857,949,313,7260,1038,24,116,625,74,1876,38991,2966,8661,2780,28968,82365,11,0,0,0,5032,5043,265,22,14,0,4247,4545,3637,322,275,16,6451,10706,5747,612,890,77,3727,11064,7231,775,2111,296,2895,13309,9577,759,3088,940,1771,16138,8501,455,2456,1937,675,14030,3447,118,837,2793,205,7403,491,14,168,1924,63,2663,38904,3086,9839,7990,25076,84895,14,5,0,0,10517,10530,410,27,13,3,8894,9351,6508,484,444,28,13648,21114,10795,1058,1517,105,7747,21225,13739,1480,3748,398,6371,25727,18594,1534,5849,1246,4371,31591,17925,1101,4955,2702,1840,28526,8380,318,1698,3740,517,14657,1527,36,283,2550,138,4537,77890,6052,18499,10771,54047,167262
RA63,0,0,0,0,167,167,6,0,0,0,171,181,148,7,5,0,359,520,186,19,28,0,221,450,228,19,94,4,217,571,391,59,175,24,145,793,438,41,181,28,81,766,199,10,37,44,28,317,35,0,5,30,0,77,1627,160,529,128,1388,3832,0,0,0,0,134,134,11,0,0,0,138,153,174,14,10,3,329,534,218,19,31,4,160,427,239,33,70,11,130,486,433,50,130,36,119,766,375,21,95,101,26,614,119,6,35,97,8,260,18,0,6,59,3,85,1585,135,377,315,1047,3467,0,0,0,0,297,297,18,0,0,0,312,332,322,20,17,3,687,1052,401,33,60,4,376,876,466,58,159,17,351,1052,824,110,307,63,269,1563,814,60,271,124,107,1385,314,18,77,143,37,583,51,0,10,94,10,160,3212,299,906,448,2433,7302
RA64,0,0,0,0,46,46,6,0,0,0,38,41,32,3,4,0,101,135,61,5,9,0,78,149,66,7,8,4,69,157,100,9,43,3,51,203,144,14,40,16,18,234,74,5,22,14,12,126,9,0,0,9,0,20,486,44,129,46,417,1112,0,0,0,0,31,31,3,0,0,0,27,35,33,5,4,0,82,121,74,9,5,0,69,159,68,7,16,0,46,133,109,12,34,14,40,206,134,10,33,28,10,206,45,0,15,37,0,104,4,0,3,25,0,35,468,37,114,102,299,1031,0,0,0,0,80,80,8,0,0,0,69,73,65,0,3,0,183,255,132,8,17,0,149,312,132,12,31,4,113,293,208,24,73,14,87,406,272,16,71,41,31,436,121,4,41,46,12,226,17,0,9,32,0,54,953,79,245,145,720,2138
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,19
RA69,0,0,0,0,43,43,3,0,0,0,61,71,10,8,4,0,116,135,13,8,9,4,62,99,17,16,26,0,74,130,25,21,26,0,24,104,24,13,27,0,22,90,4,3,0,6,7,18,0,0,0,0,0,0,99,69,103,11,405,689,0,0,0,0,48,48,0,0,0,0,50,53,13,5,0,0,76,92,21,13,9,0,57,97,21,15,13,0,36,78,29,12,35,0,19,98,16,7,26,15,10,72,0,3,3,6,0,13,0,0,0,0,0,4,99,53,89,27,291,561,0,0,0,0,95,95,5,0,0,0,118,119,26,6,7,0,187,228,35,27,19,6,116,198,29,30,37,0,104,203,61,29,62,5,44,199,43,20,53,16,29,163,4,3,6,10,7,31,0,0,0,0,0,3,206,125,191,35,696,1248
RA72,24,0,0,0,3893,3914,216,7,4,0,4662,4903,4028,146,185,8,8382,12750,6194,366,560,18,3686,10821,5231,475,1012,66,2580,9359,4138,417,1211,139,1595,7494,2769,290,948,205,646,4858,1120,95,256,201,163,1830,178,13,35,114,33,370,23901,1809,4210,753,25637,56309,16,0,0,0,3724,3735,346,24,5,4,3767,4144,5070,279,302,16,7531,13199,6321,541,807,74,3544,11286,4929,501,1222,186,2205,9043,3746,411,1333,476,1178,7139,2167,227,940,774,400,4513,634,48,309,712,70,1776,64,6,57,323,19,465,23300,2025,4970,2561,22447,55301,37,0,0,0,7614,7651,567,33,14,5,8430,9046,9098,424,485,22,15917,25950,12510,906,1364,89,7234,22108,10162,973,2233,248,4785,18400,7891,826,2537,613,2773,14637,4936,516,1887,984,1049,9374,1758,142,564,909,237,3608,242,11,93,436,49,833,47202,3836,9177,3308,48086,111611
RA73,27,6,0,0,1412,1445,152,7,4,3,1256,1425,1267,65,54,3,2729,4123,1818,108,135,13,1482,3551,1433,179,318,26,1000,2961,1464,170,360,64,674,2734,884,123,305,89,272,1670,288,37,100,65,67,557,44,3,6,21,15,89,7375,697,1279,293,8910,18552,44,0,0,0,1268,1316,188,12,0,5,1123,1332,1479,106,81,19,2792,4476,1667,157,187,30,1467,3508,1426,179,367,82,1095,3141,1304,142,436,203,644,2726,646,80,278,276,223,1497,166,21,93,184,58,515,22,5,13,100,18,161,6934,687,1448,904,8695,18672,68,3,3,5,2685,2768,341,18,8,10,2380,2754,2744,165,137,24,5525,8596,3481,265,318,39,2950,7064,2856,351,681,109,2100,6102,2770,308,788,268,1315,5457,1528,203,584,366,495,3171,449,56,186,248,122,1067,67,4,17,126,34,253,14305,1387,2730,1196,17604,37223
RA74,161,6,0,0,1757,1921,594,34,7,8,1260,1902,1670,71,59,22,1925,3749,1713,104,108,22,1013,2962,1354,106,188,63,684,2402,954,111,199,88,404,1752,453,60,115,88,121,836,107,6,27,52,25,222,14,0,3,13,0,33,7023,502,711,346,7199,15786,245,8,5,0,1483,1739,690,27,16,4,1161,1894,1871,121,73,60,1794,3915,1699,161,122,88,1020,3092,1272,130,184,185,685,2450,785,93,196,323,392,1790,280,43,82,271,123,804,46,9,10,118,29,206,3,0,0,21,10,41,6892,590,681,1077,6702,15942,402,12,5,0,3238,3664,1285,63,19,12,2422,3792,3543,192,130,80,3721,7666,3416,263,231,109,2041,6054,2629,239,371,247,1366,4860,1735,202,398,409,793,3540,733,100,201,357,249,1634,153,11,39,166,58,433,17,0,5,37,13,76,13917,1090,1394,1427,13896,31720
RA75,0,0,0,0,4,4,0,0,0,0,6,6,4,5,0,0,9,16,6,0,4,0,4,22,5,0,0,0,7,18,6,0,15,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,17,0,42,83,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,11,0,0,0,0,4,4,3,0,0,0,6,6,4,5,0,0,14,23,6,0,4,0,4,22,12,0,0,0,7,19,3,0,15,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,19,0,39,94
RA79,0,0,0,0,30,30,9,0,0,0,74,84,41,0,6,0,248,292,97,17,16,0,178,305,78,12,27,14,178,311,106,6,53,6,130,300,111,13,42,10,36,205,17,3,11,5,6,33,0,0,0,0,0,6,456,45,144,38,879,1567,0,0,0,0,64,64,9,0,0,0,91,99,62,6,5,3,288,364,86,13,15,6,152,268,85,10,26,13,146,280,113,8,34,24,100,279,70,0,15,10,16,114,8,0,4,0,4,17,0,0,0,0,0,4,429,44,99,56,859,1486,0,0,0,0,95,95,16,3,0,0,163,183,105,9,8,3,536,661,185,24,34,4,325,573,168,24,52,27,317,591,219,13,88,32,233,579,180,18,54,17,52,318,19,3,13,6,4,49,0,0,0,4,0,7,886,88,251,91,1736,3052
RA80,5,0,0,0,13354,13367,378,12,9,4,16625,17024,12097,408,541,24,25526,38593,21868,997,1771,58,9536,34219,17853,1174,2841,116,5743,27734,14450,887,2958,285,3244,21826,12008,496,2130,661,1293,16589,6488,213,820,929,331,8775,1690,37,159,895,79,2865,86838,4223,11229,2972,75728,180997,11,0,6,4,12862,12876,893,35,31,4,16154,17117,15559,640,812,33,21905,38948,22223,1318,2462,151,8803,34956,17212,1438,3986,415,5247,28295,13891,965,4521,1068,2972,23415,11003,604,3692,2487,1213,18999,4800,185,1528,3657,382,10555,832,29,370,2947,127,4316,86414,5216,17416,10775,69657,189472,15,0,8,0,26215,26241,1269,45,44,9,32777,34143,27655,1041,1357,55,47431,77542,44090,2312,4230,211,18331,69181,35067,2615,6827,534,10987,56029,28344,1849,7480,1352,6209,45239,23007,1096,5823,3152,2510,35590,11286,397,2348,4580,714,19328,2521,65,530,3845,207,7175,173256,9441,28647,13745,145384,370469
RA81,0,0,0,0,18,18,0,0,0,0,22,22,15,3,0,0,20,44,29,0,5,0,14,54,35,0,5,0,12,51,36,4,6,0,0,45,21,0,6,0,0,30,4,0,0,3,0,4,0,0,0,0,0,0,145,11,20,8,88,269,0,0,0,0,21,21,0,0,0,0,18,18,17,0,0,0,24,49,41,0,3,0,8,51,35,0,3,0,9,45,34,4,10,0,0,50,14,0,3,0,0,21,4,0,0,0,0,7,0,0,0,0,0,5,143,6,22,7,85,263,0,0,0,0,40,40,0,0,0,0,40,40,38,8,0,0,44,92,71,0,6,0,23,105,67,3,7,0,18,95,66,4,17,0,9,94,40,0,13,0,0,52,4,0,0,6,0,12,3,0,0,0,0,4,290,18,37,11,173,528
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,23,23,0,0,0,0,43,44,5,0,0,0,55,60,0,4,0,0,54,62,10,8,12,0,28,53,7,3,7,0,7,38,7,3,10,0,9,21,0,0,0,0,0,6,0,0,0,0,0,0,32,19,35,7,221,315,0,0,0,0,37,37,0,0,0,0,42,40,9,0,0,0,40,53,8,4,3,0,21,33,3,0,7,0,16,30,9,4,11,6,8,35,3,0,7,0,0,10,0,0,0,3,0,8,0,0,0,0,0,0,40,10,30,8,158,249,0,0,0,0,58,58,0,0,0,0,83,82,14,0,0,0,91,108,11,9,6,0,75,104,8,3,20,4,46,77,23,8,24,3,17,78,10,3,8,6,9,34,6,0,0,3,0,10,0,0,0,0,0,4,76,32,68,15,375,560
