RA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
RA50,389550,241438,281386,287341,254814,220872,175656,96991,38908,1986947,290,226,320,328,295,430,476,338,156,2859,66,209,288,245,219,224,207,67,11,1540,91,139,272,226,217,283,249,64,9,1554,42,75,156,188,211,251,156,30,3,1113,16,32,85,93,137,118,72,32,5,577,6117,7690,7994,6217,5617,5243,4214,2585,1405,47084,20,20,44,44,57,93,127,28,7,438,31,29,68,69,43,50,32,8,0,330,20,23,56,33,23,21,15,4,0,188,10,4,8,10,15,17,17,5,0,83,6409,8214,8967,7124,6543,6303,5085,2816,1441,52905,6701,8438,9293,7451,6839,6740,5560,3156,1592,55770,396249,249878,290682,294791,261655,227611,181210,100145,40499,2042711
RA51,41941,22278,22653,27129,29346,28825,24614,12609,4208,213593,62,56,70,66,79,104,132,97,25,692,9,20,49,31,16,31,29,4,0,185,20,18,42,28,28,42,62,5,4,244,15,11,33,21,23,59,67,10,0,238,12,6,4,10,39,21,6,13,0,122,962,1345,1588,1240,1283,1683,1343,517,209,10174,3,9,20,13,8,31,23,7,0,115,0,6,18,4,13,11,0,0,0,60,0,5,0,5,0,7,6,0,0,27,0,0,0,0,0,3,5,0,0,7,1030,1429,1743,1349,1413,1887,1543,551,211,11165,1090,1479,1815,1412,1488,1989,1680,648,235,11852,43030,23760,24468,28546,30835,30818,26293,13256,4443,225447
RA52,33180,17733,19188,20404,22286,23804,19444,10455,3686,170190,43,52,44,56,61,88,110,67,36,546,16,11,22,26,18,74,108,20,0,289,18,10,31,24,23,74,172,12,3,366,14,8,36,27,43,91,109,8,0,332,3,8,15,14,14,64,99,19,0,242,918,1535,1891,1687,1821,2144,1500,596,178,12262,0,9,13,9,12,33,39,6,0,110,6,0,0,11,12,12,9,6,0,53,0,0,3,5,4,4,7,0,0,22,0,4,0,0,0,0,0,0,0,4,972,1581,2012,1799,1936,2491,2039,669,178,13675,1011,1634,2052,1857,1992,2579,2152,731,212,14222,34196,19368,21244,22258,24285,26383,21591,11185,3903,184417
RA53,18705,7848,12381,12887,10833,9369,5519,2465,734,80745,52,43,39,28,48,61,48,17,8,335,89,42,76,107,137,188,222,33,3,896,129,22,86,126,116,299,406,73,5,1264,54,17,88,142,155,258,213,28,3,955,23,16,51,62,82,150,192,39,0,611,752,1162,2583,2440,2684,3220,3031,1070,122,17059,14,4,23,18,27,64,49,15,0,208,3,7,32,15,12,37,10,6,0,135,10,0,4,7,0,10,10,0,0,48,0,0,0,0,0,0,0,0,0,0,1080,1271,2945,2916,3209,4219,4142,1263,137,21172,1130,1309,2985,2951,3251,4274,4190,1279,140,21509,19832,9158,15363,15836,14085,13653,9712,3746,870,102253
RA54,11320,6463,10594,9098,7851,6500,3211,1155,245,56448,49,48,76,60,87,68,48,22,0,468,202,67,272,292,251,495,564,53,4,2196,374,72,208,349,361,691,781,90,4,2937,145,86,276,396,384,634,560,67,0,2549,86,55,138,166,198,342,383,63,0,1431,1123,2639,9022,8147,8623,7808,5282,1480,124,44245,36,19,34,58,75,131,93,7,0,456,38,23,89,70,69,77,39,3,0,407,32,8,9,29,21,27,27,0,0,142,0,0,0,0,0,0,0,0,0,0,2040,2964,10047,9509,9982,10211,7727,1767,126,54372,2087,3014,10124,9573,10068,10274,7778,1791,130,54837,13408,9478,20714,18673,17922,16781,10989,2952,374,111284
RA55,0,42,113,170,111,60,13,0,0,511,0,0,0,0,0,0,0,0,0,0,0,7,3,24,59,23,22,0,0,134,0,4,8,11,32,21,8,0,0,82,0,4,24,68,28,40,24,0,0,192,0,0,11,20,13,16,3,0,0,64,0,81,342,647,628,346,104,29,0,2175,0,0,4,3,18,18,5,0,0,42,0,0,17,10,8,6,0,0,0,47,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,93,403,785,784,472,161,32,0,2739,3,93,403,785,784,472,161,32,0,2739,3,137,518,957,896,533,176,32,0,3250
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,57283,38238,51749,41772,40147,39335,34147,20074,7877,330625,63,52,64,59,68,84,91,87,25,603,18,74,95,54,53,76,60,19,3,439,51,137,239,139,113,146,96,33,7,964,27,70,112,72,74,120,61,12,3,557,11,29,61,38,68,60,73,16,0,352,31,27,79,47,57,72,36,10,3,360,1029,1813,1645,1178,1258,1207,908,499,238,9777,8,10,18,11,15,11,8,0,0,80,8,15,36,30,13,28,4,4,0,130,0,0,0,0,0,0,0,0,0,0,1174,2174,2290,1569,1645,1718,1247,595,254,12669,1240,2227,2357,1629,1713,1800,1336,687,279,13276,58530,40463,54112,43402,41850,41136,35482,20757,8163,343899
RA62,31572,18496,19793,20157,24377,29475,26502,13906,4345,188628,55,51,57,42,58,112,119,68,42,607,19,24,29,17,32,62,66,11,4,272,32,36,93,64,84,97,79,14,4,503,42,27,55,43,85,104,65,16,5,429,19,17,44,24,26,27,29,3,0,196,9,14,63,26,39,72,29,0,0,251,731,1037,976,698,826,955,647,279,115,6274,6,0,14,3,0,9,0,0,0,30,0,0,6,7,8,7,3,0,0,41,0,0,0,0,0,0,0,0,0,3,860,1155,1274,890,1092,1342,921,327,126,7998,918,1209,1333,934,1156,1448,1036,403,167,8602,32487,19701,21122,21092,25530,30930,27542,14314,4513,197235
RA63,1076,543,976,816,966,1386,1234,529,152,7685,9,3,5,4,6,5,3,4,0,29,0,0,4,0,6,12,6,0,0,24,9,12,10,17,14,28,8,4,0,106,0,4,10,5,10,24,11,0,0,66,0,0,13,3,10,15,11,0,0,57,0,0,15,3,17,14,10,0,0,65,39,74,152,120,142,185,129,32,3,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,52,95,208,162,199,277,168,37,3,1204,57,95,213,165,205,277,168,44,3,1238,1135,641,1185,980,1171,1667,1407,574,158,8917
RA64,368,123,231,291,260,362,387,208,49,2280,4,0,0,0,5,0,4,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,4,3,0,0,15,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,8,6,9,24,16,20,19,27,4,4,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,31,14,27,27,30,7,0,156,6,13,31,14,26,25,34,7,0,167,376,132,266,306,293,386,420,221,56,2443
RA65,0,0,4,4,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7,9,10,0,0,0,0,30,0,3,17,28,18,16,7,0,0,90,0,0,9,11,8,9,4,0,0,41,0,0,3,0,0,3,0,0,0,8,0,0,0,5,0,0,0,0,0,9,5,9,20,17,47,48,21,4,0,175,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,14,63,71,82,75,33,7,0,347,5,19,63,71,82,75,33,7,0,350,5,21,62,80,90,75,33,3,0,366
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,27594,15639,24170,20785,17113,13570,8830,3417,783,131901,28,80,59,33,25,41,24,15,0,311,192,239,478,301,271,403,442,95,7,2424,397,212,625,520,554,1002,1148,229,19,4702,139,159,338,311,389,478,504,94,9,2420,172,173,310,283,336,598,683,221,27,2800,169,152,335,256,342,544,543,156,9,2511,13,15,24,43,66,100,86,26,0,365,672,687,1094,845,741,698,373,150,40,5307,37,41,69,62,70,75,59,6,0,415,0,0,0,0,0,0,0,0,0,0,1795,1682,3273,2609,2760,3891,3831,978,113,20940,1823,1763,3335,2642,2787,3939,3859,990,110,21248,29418,17406,27502,23427,19906,17510,12685,4411,895,153156
RA73,9534,5121,7964,6615,5647,4976,2933,999,242,44024,11,22,20,22,24,20,13,8,0,137,94,60,142,114,109,280,279,43,3,1111,213,118,333,266,312,750,912,152,3,3062,94,64,142,132,183,372,427,40,3,1461,98,69,202,131,203,486,487,108,4,1785,70,45,144,129,129,309,294,47,6,1181,17,27,21,18,25,76,92,9,0,290,364,339,610,526,524,484,185,36,11,3078,10,3,44,23,32,43,30,8,0,193,0,0,0,0,0,0,0,0,0,0,956,731,1644,1339,1516,2803,2700,448,32,12163,970,754,1667,1358,1539,2824,2708,450,32,12300,10502,5876,9628,7978,7184,7802,5639,1451,273,56326
RA74,9878,7064,7216,5705,4539,3209,1508,403,72,39600,77,69,89,43,31,25,5,3,0,345,71,109,124,82,97,266,303,67,0,1110,145,79,195,160,216,507,619,105,3,2022,79,137,351,292,378,527,417,63,4,2247,46,61,106,109,172,377,424,80,9,1379,24,42,131,117,132,238,223,31,0,932,17,18,33,22,25,77,66,14,0,257,322,362,771,587,603,447,197,35,4,3331,13,4,10,20,23,21,27,9,0,130,0,0,0,0,0,0,0,0,0,0,711,805,1723,1383,1641,2448,2275,402,16,11407,788,877,1813,1421,1678,2476,2285,402,13,11752,10665,7947,9032,7129,6216,5681,3791,805,85,51348
RA75,0,15,23,22,20,17,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,3,0,9,18,11,11,0,0,46,0,0,4,8,10,3,6,0,0,31,0,10,10,15,18,22,0,0,0,78,0,0,4,12,3,8,5,0,0,23,0,11,12,25,32,30,8,0,0,122,0,0,3,3,3,5,0,4,0,23,0,0,5,14,7,10,5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,88,103,82,35,6,0,384,0,24,33,88,103,82,35,6,0,384,0,37,58,105,120,106,42,10,0,482
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,81229,57997,74814,67310,54341,43059,33540,18417,6888,437589,37,54,58,33,46,32,64,46,19,393,272,1108,846,527,599,658,559,198,85,4857,29,187,204,114,97,136,81,24,4,870,30,132,136,119,111,135,95,9,3,771,3,38,25,13,24,41,38,12,0,188,13,47,49,32,32,41,34,5,3,248,4,30,23,11,30,29,33,9,0,159,11,12,16,13,13,7,3,0,0,70,814,1301,1361,893,671,519,385,310,189,6450,0,0,0,0,0,0,0,0,0,0,1173,2854,2658,1718,1583,1569,1213,567,287,13617,1210,2909,2713,1755,1623,1599,1279,617,307,14012,82445,60902,77520,69060,55968,44661,34821,19025,7196,451597
RA81,157,78,86,100,89,86,52,11,4,662,0,0,0,0,0,0,0,0,0,0,0,5,10,3,0,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,8,11,4,0,3,3,0,0,38,5,8,11,4,0,3,3,0,0,37,168,90,102,104,89,88,56,12,7,708
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,56,44,35,35,47,29,27,16,0,294,0,0,0,0,0,0,0,0,0,0,0,22,28,8,3,5,0,0,0,59,0,16,12,0,0,0,0,0,0,25,0,14,14,0,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,4,0,13,8,0,0,0,0,0,0,20,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,7,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,59,66,12,9,3,0,0,0,155,0,59,66,12,9,3,0,0,0,155,60,98,98,49,56,38,27,16,0,452
RA94,731,339,528,571,580,680,503,225,56,4209,8,11,6,7,8,3,8,0,0,44,0,3,12,20,12,7,16,0,0,63,0,8,8,0,8,0,5,0,0,27,4,4,24,7,36,42,37,14,0,170,0,0,4,0,7,0,0,0,0,10,12,27,54,43,51,109,65,26,0,382,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,4,0,0,0,0,14,8,11,5,0,9,6,7,0,4,54,26,45,109,72,123,167,133,46,4,723,34,52,115,76,127,173,136,45,4,764,759,390,640,645,706,856,643,271,63,4973
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
