RA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
RA62,18,62,187,438,1221,2687,3672,2176,588,11043,1578,1001,919,935,1008,1157,1087,521,119,8326,16,16,38,90,232,719,1324,993,270,3699,3,3,0,4,17,46,116,264,171,623,23,83,115,266,680,1468,2113,1316,285,6344,42,38,49,119,457,1307,2212,1764,515,6502,23,19,27,35,104,210,363,373,125,1280,21,16,34,83,282,693,1058,735,173,3099,489,993,1137,1271,1589,1704,1198,456,100,8941,4,4,8,29,112,237,518,447,149,1511,877,549,556,689,1135,1766,1539,673,218,7992,12358,7037,7085,6255,6826,6917,4844,1759,343,53425,1588,976,903,1010,1149,1297,1194,581,237,8937,16635,10291,10406,10161,12422,15457,14493,7260,1876,99008,34,83,297,667,1921,4029,5110,3178,1230,16554,1118,1082,1382,1472,1668,1854,1738,815,200,11328,17,10,49,139,445,896,1212,737,240,3743,5,0,0,4,13,41,82,266,329,739,34,54,154,271,684,1205,1514,964,302,5190,32,27,44,79,252,661,1143,1008,559,3799
RA63,0,4,3,12,53,136,173,99,27,517,46,20,26,29,43,60,47,21,6,301,0,0,4,7,16,21,76,44,9,167,0,0,0,0,0,0,4,8,18,33,0,6,10,11,35,80,117,52,7,315,3,3,0,5,29,61,125,66,16,314,0,0,0,0,8,7,23,10,5,57,0,0,0,6,14,30,55,27,7,140,21,22,27,54,92,90,70,19,7,397,0,0,0,0,5,7,17,15,7,55,22,15,20,28,52,98,90,29,7,354,411,226,382,282,282,366,231,72,15,2278,70,60,66,59,71,84,85,35,11,538,567,343,520,450,571,793,766,317,77,4397,0,4,5,17,75,196,206,120,37,660,44,35,42,43,62,80,70,35,9,426,0,0,0,9,22,39,54,29,3,156,0,0,0,0,0,3,7,11,12,35,0,3,0,4,34,59,58,36,6,208,5,0,0,8,18,32,52,44,20,166
RA64,0,0,0,4,11,25,51,34,8,132,14,8,4,4,4,17,20,3,0,80,0,0,0,0,3,9,15,21,10,58,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,11,30,22,0,72,0,0,0,3,9,17,31,22,10,88,0,0,0,0,0,0,5,7,7,22,0,0,0,0,3,7,12,9,3,37,0,0,4,16,17,17,13,6,4,76,0,0,0,0,4,0,9,5,0,22,4,0,0,5,11,26,24,14,3,102,155,62,103,100,91,91,92,33,0,729,23,8,18,14,18,16,25,15,0,148,205,87,135,149,157,203,234,126,20,1312,0,0,9,5,11,39,61,39,13,181,9,7,11,15,7,18,32,11,3,110,0,0,0,0,4,18,15,16,3,59,0,0,0,0,0,0,0,8,11,13,0,0,0,4,4,11,13,4,6,44,0,0,0,0,3,8,23,13,4,57
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,4,7,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,8,8,10,18,7,6,0,54,0,10,11,6,10,4,5,0,0,51,0,0,0,4,3,9,4,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,3,13,0,0,32,0,0,0,0,3,6,16,0,0,35,0,0,0,0,3,3,0,0,0,8,0,0,0,3,5,5,0,0,0,14,0,31,27,25,24,22,10,0,0,143,0,0,0,0,0,0,5,0,0,5,4,9,3,10,15,10,3,0,0,60,56,55,54,34,47,27,21,3,0,290,12,28,43,28,29,38,46,4,0,221,74,108,135,99,130,104,90,18,0,758,0,0,0,6,14,16,10,4,4,64,5,21,12,16,7,13,4,0,0,72,0,0,0,0,5,6,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,23,0,0,0,0,0,5,4,0,0,10
RA72,3,31,153,276,546,809,811,377,77,3090,768,445,635,541,483,382,268,89,12,3633,13,14,34,67,147,321,456,237,32,1328,0,0,0,7,6,23,51,98,51,244,13,45,88,235,501,770,771,351,52,2829,28,29,46,88,264,541,713,360,91,2160,18,21,24,58,67,96,137,87,24,540,40,16,26,41,90,227,257,163,27,883,210,405,580,599,598,470,254,90,19,3228,3,4,3,14,44,105,152,101,28,456,696,345,426,576,646,713,515,244,70,4232,11317,6469,9211,7330,5577,3629,1766,487,72,45855,1502,1174,1848,1511,1321,904,514,178,55,9008,14429,8819,12750,10821,9359,7494,4858,1830,370,70739,10,41,156,344,727,1118,1153,622,185,4356,485,490,973,858,728,643,438,171,42,4833,5,13,39,113,268,338,332,170,27,1307,0,5,3,4,5,20,49,88,81,245,14,45,135,247,391,623,580,259,68,2361,19,21,45,59,149,282,322,228,105,1239
RA73,5,9,33,69,107,232,248,97,20,819,210,110,182,180,150,169,99,41,14,1171,9,6,11,16,50,81,110,62,11,351,0,0,0,0,0,11,22,40,17,98,10,14,55,126,203,308,244,99,13,1067,42,22,28,46,107,224,258,118,17,863,8,3,10,16,51,57,60,38,4,248,16,12,7,19,32,76,91,36,11,297,52,104,198,171,171,161,93,27,5,981,0,0,0,9,21,42,47,33,7,161,213,107,124,163,184,237,172,75,21,1300,4006,2088,2906,2277,1703,1264,590,129,7,14976,620,441,667,601,465,402,220,90,18,3524,5135,2876,4123,3551,2961,2734,1670,557,89,23688,5,21,49,74,226,364,311,158,65,1272,139,155,295,277,271,291,152,48,12,1636,0,4,17,20,55,135,103,48,13,398,0,0,0,0,4,10,35,27,37,115,8,29,72,146,277,323,238,92,35,1219,30,46,46,63,110,152,121,83,35,683
RA74,3,7,13,37,50,99,63,28,0,287,117,48,71,94,139,104,52,18,3,652,0,0,0,4,21,39,36,15,0,126,0,0,0,0,7,12,23,10,0,47,19,33,47,144,249,233,145,53,9,923,102,147,90,102,197,191,119,23,4,973,18,13,16,34,61,73,37,11,6,265,21,3,8,28,35,49,31,12,0,186,39,96,116,134,90,55,24,8,0,570,0,0,3,4,21,36,18,8,0,92,158,100,108,120,171,160,89,36,8,956,4343,2999,2758,1976,1292,763,289,63,12,14492,602,410,572,398,329,283,132,31,0,2759,5404,3825,3749,2962,2402,1752,836,222,33,21188,0,13,18,48,89,109,73,31,5,380,71,81,131,171,200,193,95,30,9,966,0,0,8,9,23,46,27,7,0,117,0,0,0,3,3,14,25,14,7,74,12,50,128,298,400,375,206,53,4,1527,92,160,154,173,180,167,84,34,3,1043
RA75,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,15,9,9,0,0,0,51,0,0,4,4,5,3,0,0,0,23,0,12,16,22,18,17,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,4,10,23,38,4,0,80,6,5,14,16,16,10,14,0,0,77,0,0,0,3,4,13,17,5,0,49,0,0,0,0,0,0,5,0,0,7,0,0,0,6,13,30,26,0,0,77,0,3,7,4,20,36,28,4,0,96,0,0,0,0,13,12,4,0,0,37,0,0,0,3,9,11,8,0,0,32,3,9,16,24,26,29,14,0,0,129,0,0,0,0,5,8,6,0,0,14,8,7,7,18,31,25,19,4,0,117,200,53,174,143,101,91,60,10,4,837,42,41,88,101,109,93,46,13,0,531,260,113,292,305,311,300,205,33,6,1826,0,0,0,8,15,33,23,5,0,84,6,6,28,17,18,25,9,0,0,105,0,0,0,4,7,7,8,3,0,29,0,0,0,0,0,0,0,0,0,6,0,0,9,9,27,29,12,0,0,86,0,4,7,10,16,27,10,3,0,81
RA80,43,119,449,971,1714,2605,3159,2197,844,12103,3245,2638,3090,2921,2097,1610,1291,664,205,17756,35,66,151,274,517,1121,1719,1336,443,5646,6,0,0,12,19,54,184,419,425,1126,47,160,346,804,1476,2183,2528,1477,398,9424,76,91,131,306,768,1600,2605,2100,895,8577,47,41,83,138,228,324,552,457,232,2096,39,41,57,127,260,476,814,739,283,2840,1119,2869,3640,3213,2761,1943,1131,520,187,17380,7,14,29,63,145,268,465,473,246,1712,2301,1551,2043,2517,2866,3007,2535,1353,485,18664,34120,21628,27797,23363,16706,10565,5788,2163,484,142611,2459,2426,2668,2009,1704,1284,884,501,212,14134,42667,30390,38593,34219,27734,21826,16589,8775,2865,223663,41,248,729,1487,2979,4939,6064,4484,1932,22909,2218,2952,4213,3829,3178,2682,2285,1201,410,22961,32,61,190,474,945,1371,1785,1206,438,6502,0,4,0,10,14,44,160,540,727,1502,84,147,363,729,1213,1743,1958,1319,485,8032,49,77,114,201,375,764,1333,1557,1017,5486
RA81,0,0,0,4,3,6,11,0,0,23,9,6,3,6,4,3,4,0,0,35,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,6,0,0,13,0,0,0,0,0,8,4,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,5,5,6,4,3,5,0,0,26,0,0,0,0,0,0,0,0,0,0,5,5,0,6,9,0,4,0,0,27,73,26,33,36,27,20,6,5,0,223,3,4,3,0,9,10,3,0,0,42,93,42,44,54,51,45,30,4,0,361,0,0,0,0,5,10,7,3,0,31,7,0,6,10,4,3,0,0,0,30,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,0,13,0,0,0,0,0,0,3,0,0,10
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,3,0,4,4,0,0,21,0,6,0,4,5,0,0,0,0,24,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,0,0,0,0,3,4,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,4,12,14,13,6,7,0,3,0,55,0,0,0,0,3,0,0,0,0,6,0,4,7,3,9,4,5,0,0,34,17,31,29,18,11,5,4,0,0,125,3,15,11,30,19,15,10,0,0,105,23,66,60,62,53,38,21,6,0,336,0,0,0,0,0,12,4,3,0,24,0,8,5,3,3,3,3,0,0,32,0,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,4,4,0,0,5
RA91,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,9,0,0,11,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,4,0,0,4,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,8,0,0,0,0,5,0,0,0,0,7,11,10,10,8,8,9,0,3,0,60,10,6,10,7,6,5,4,6,0,53,27,18,17,18,22,25,16,10,0,149,0,0,0,0,4,0,0,4,0,10,5,4,0,0,3,0,0,0,0,12,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,4,0,4,4,0,3,0,22,0,0,0,0,5,4,0,0,0,10
RA94,0,0,5,8,13,29,29,19,8,108,19,8,11,19,13,18,12,4,3,116,0,0,0,7,6,5,13,15,5,47,0,0,0,0,0,0,0,5,0,11,0,0,4,3,15,19,39,13,3,93,0,0,0,0,9,20,39,18,7,101,0,0,0,0,5,6,4,10,6,23,0,0,0,0,0,10,13,4,0,32,0,10,9,18,16,14,5,3,0,74,0,0,0,0,0,0,9,3,0,18,5,4,0,10,21,27,21,14,7,118,328,114,139,160,178,208,140,38,12,1308,60,46,159,98,87,53,45,22,3,562,421,181,318,306,326,359,307,114,36,2370,0,0,0,0,13,36,42,22,8,123,10,17,11,20,24,22,19,13,3,138,0,0,0,3,8,14,14,6,4,49,0,0,0,0,0,0,4,4,6,14,0,0,0,5,8,21,21,8,0,64,4,0,0,0,5,3,23,4,7,45
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
