RA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
RA62,750,5294,4124,75571,1251,86991,35,295,156,12036,180,12696,884,42,78,271,14,1283,110,62,10,81,0,270,1761,553,411,1204,22,3950,12233,5106,3868,67637,1503,90351,706,17,233,60,12,1024,351,44,40,316,10,761,1596,541,302,4375,82,6901,158,69,23,162,5,417,194,67,31,74,5,370,616,43,36,76,10,779,2177,959,640,15768,229,19773,538,323,72,1071,23,2031,88,4,18,11,0,117,47,19,3,34,0,98,15,9,0,11,0,34,139,53,28,126,3,346,266,89,68,82,4,515,496,208,138,165,8,1012,418,118,67,293,5,904,171,28,22,67,0,294,48,12,3,13,0,74,2985,1231,909,13732,190,19040,48,22,4,23,3,96,315,28,45,20,6,417,206,11,17,106,3,354,91,5,13,21,0,135,121,3,32,0,3,156,525,119,81,405,6,1132,5153,934,766,2356,111,9324,255,82,71,1840,10312,12556,26583,9434,7092,143369,13244,199732
RA63,26,221,160,2813,46,3265,3,6,4,450,9,477,53,0,7,3,0,58,9,3,0,5,0,17,77,20,15,34,0,144,484,205,144,2632,85,3556,40,0,3,0,0,43,23,0,0,8,0,37,94,29,19,218,8,361,6,0,4,9,0,12,14,0,0,4,0,20,33,0,3,0,0,41,100,39,29,692,9,866,37,12,3,40,0,90,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,4,0,13,21,0,4,0,0,26,26,7,3,0,0,44,30,4,0,19,0,60,0,0,0,7,0,7,3,0,0,0,0,7,124,47,25,485,12,702,4,0,0,0,0,7,24,3,5,0,0,32,21,0,0,7,0,26,3,0,0,0,0,10,14,0,0,0,0,16,34,3,4,39,0,79,406,28,37,85,7,559,19,0,5,53,750,821,1404,362,285,5480,890,8423
RA64,13,64,57,859,20,1010,0,3,3,173,5,177,12,0,0,0,0,17,3,0,0,0,0,3,22,8,3,26,0,60,112,61,40,822,18,1049,25,0,3,0,0,28,0,0,0,7,0,10,38,11,5,70,0,117,0,5,0,0,0,10,0,0,0,0,0,4,12,0,0,0,0,13,28,7,7,190,0,232,16,3,8,26,0,53,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,10,0,5,3,0,18,12,4,0,4,0,11,0,0,0,5,0,6,0,0,0,0,0,0,32,18,14,199,3,257,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,10,92,7,9,20,5,133,3,0,0,12,193,215,374,109,96,1718,234,2533
RA65,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,9,3,19
RA69,8,28,22,380,11,438,0,0,3,113,0,121,12,0,0,0,0,13,0,0,0,5,0,5,9,0,0,6,0,16,70,27,23,313,9,443,0,0,0,0,0,3,0,0,0,3,0,11,7,4,0,38,3,57,0,0,0,0,0,6,0,0,0,0,0,3,4,0,0,0,0,4,14,5,0,81,0,110,6,0,0,11,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,9,3,0,0,0,0,3,4,0,0,11,0,14,0,0,0,0,0,3,0,0,0,0,0,0,24,0,6,57,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,0,6,57,15,0,18,4,90,0,3,0,18,317,333,187,53,37,756,337,1377
RA72,1488,4303,4480,29818,326,40417,69,691,385,11048,293,12488,4573,202,341,800,45,5952,106,49,26,102,0,277,707,313,215,631,13,1877,8284,3435,3210,23434,371,38733,5885,122,600,232,26,6864,417,58,73,215,0,769,1273,457,403,3570,36,5743,2018,624,294,1059,32,4038,145,33,18,54,3,264,3730,84,54,55,7,3939,2187,841,741,8089,74,11932,1042,389,178,1656,17,3283,337,6,35,6,3,382,65,7,11,48,3,131,32,11,3,24,0,65,83,55,22,185,3,353,631,117,144,106,3,1008,511,254,158,105,16,1038,313,95,55,250,6,716,152,22,33,85,0,289,126,25,12,34,3,201,2015,829,721,6809,59,10431,65,19,3,28,0,114,372,71,38,31,3,512,502,35,32,116,9,689,524,33,27,24,4,610,1292,36,98,26,5,1460,292,63,75,297,0,726,17146,1268,1628,3279,186,23511,702,58,52,561,12393,13770,47785,8402,8040,62044,13635,139902
RA73,325,1021,1006,8701,106,11157,13,218,122,13149,215,13722,540,19,46,131,10,743,23,4,7,11,0,43,253,74,65,154,4,547,2350,923,815,6653,141,10883,944,14,121,35,3,1110,133,12,21,45,3,215,519,131,129,1163,14,1951,47,32,7,47,0,132,27,10,0,20,0,61,1039,12,15,15,5,1085,670,266,193,2496,38,3651,281,93,53,398,9,834,77,5,16,0,0,96,11,3,0,19,0,34,0,0,0,3,0,4,15,20,9,31,0,69,386,68,59,50,8,569,219,63,36,26,3,342,87,18,15,69,0,192,41,4,4,12,0,61,166,14,3,7,3,197,592,243,198,1940,29,3009,14,5,0,7,0,26,112,13,7,7,0,143,108,5,0,25,0,135,99,7,0,9,0,115,204,10,5,12,8,231,61,29,18,89,0,189,3897,334,319,741,79,5373,211,15,12,231,4548,5017,10898,2077,1860,27124,5096,47048
RA74,98,336,307,3018,56,3807,12,94,47,29490,410,30048,125,3,3,68,3,208,16,3,0,13,0,35,65,28,17,49,0,159,649,296,225,2271,59,3509,206,3,36,6,4,264,52,3,0,16,3,73,121,39,31,351,0,547,19,14,8,45,0,90,3,6,3,3,0,18,147,3,0,0,0,153,180,71,68,791,8,1120,58,30,9,105,6,207,14,0,0,0,0,14,6,0,0,0,0,7,5,0,0,0,0,6,3,5,0,8,0,15,120,14,9,7,0,155,77,12,11,3,4,111,22,9,7,23,0,63,13,0,4,8,0,22,8,0,0,0,0,12,194,81,57,679,9,1015,7,0,0,0,0,7,48,9,10,0,0,67,35,0,0,3,0,44,15,5,0,0,0,18,25,0,0,0,0,27,15,9,8,29,0,57,921,87,104,421,16,1543,41,7,4,223,3166,3440,2629,680,551,34502,3690,42054
RA75,0,0,3,16,0,24,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,9,3,32,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,12,0,0,0,0,21,27,24,8,4,34,24,99
RA79,16,40,51,518,10,636,0,8,9,675,133,822,17,0,4,0,0,29,0,0,0,10,0,8,26,6,7,6,0,47,199,51,49,361,12,674,3,0,4,0,0,7,34,6,0,4,0,39,45,4,0,52,0,101,11,4,0,6,0,18,7,0,0,0,0,8,13,3,0,0,0,16,54,13,8,129,5,209,42,7,4,14,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,14,4,4,5,0,27,4,0,4,0,0,13,0,3,0,0,0,4,6,0,0,0,0,11,40,15,14,102,3,168,0,0,0,0,0,0,6,0,0,0,0,3,9,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,19,128,8,16,41,5,200,8,0,0,42,1026,1080,561,99,94,1565,1185,3500
RA80,4908,18154,15284,103888,620,142853,130,515,309,7552,68,8575,22712,669,1360,1170,108,26027,3179,545,282,1576,33,5615,2823,1274,831,2836,24,7793,25874,15612,12261,90480,645,144876,6054,181,792,226,26,7283,1474,357,276,994,10,3109,4992,1832,1426,10706,81,19036,2546,631,342,1981,23,5526,931,279,193,593,5,2013,19314,396,347,277,26,20365,5853,3964,3041,39449,202,52511,5409,1871,975,6884,68,15204,3101,58,255,62,3,3482,815,263,106,430,0,1620,904,176,85,289,8,1458,628,263,206,850,14,1963,754,245,185,199,8,1388,1269,702,521,372,11,2874,2560,529,490,1437,17,5031,1211,166,189,422,13,1995,767,169,71,39,13,1053,7001,4248,3412,30493,163,45310,1493,246,136,295,12,2180,1377,244,234,123,6,1987,2115,265,215,482,27,3100,1908,141,153,126,8,2335,5301,152,330,141,26,5957,1180,472,311,1656,5,3633,57704,5480,5447,7162,315,76108,2261,171,130,1327,16763,20648,167390,33751,27775,205537,18742,453198
RA81,3,24,27,270,5,319,0,0,0,17,0,17,0,0,3,3,0,8,0,3,0,0,0,5,4,0,0,15,0,25,34,17,28,183,4,267,0,0,0,0,0,0,4,0,0,0,0,0,10,5,3,19,0,30,0,0,0,6,0,3,0,0,0,4,0,6,3,0,0,0,0,3,9,7,6,77,5,96,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,9,78,0,98,0,0,0,4,0,4,5,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,3,3,5,6,46,0,0,0,3,52,53,82,35,44,466,60,690
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,24,7,143,0,181,0,0,0,28,0,35,12,3,4,0,0,18,0,0,0,0,0,4,4,0,0,3,0,11,34,13,13,87,0,153,3,4,0,0,0,10,5,0,0,0,0,5,4,4,0,25,0,32,0,0,0,0,0,0,3,0,0,0,0,4,17,0,0,0,0,19,15,0,4,35,0,51,3,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,32,0,48,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,56,10,5,12,4,79,5,0,0,4,132,141,143,42,27,262,137,605
RA91,0,5,3,52,0,59,0,0,0,123,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,24,0,35,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,3,0,7,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,0,18,0,0,0,0,91,92,19,7,10,185,91,310
RA94,40,135,114,759,4,1055,3,0,0,21,0,23,350,13,10,29,0,400,3,3,0,7,0,10,26,5,9,8,0,45,304,79,87,381,18,868,62,0,9,0,4,68,11,4,4,7,0,19,22,5,8,44,0,81,0,0,0,0,0,4,6,0,0,0,0,7,27,0,4,0,0,28,61,26,14,113,4,213,13,3,0,11,0,34,6,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,11,32,10,6,5,0,52,85,24,37,5,0,148,4,5,0,0,0,15,4,0,3,0,0,9,6,0,0,0,0,5,87,14,16,137,6,256,3,0,0,0,0,3,16,0,0,0,0,18,10,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,9,0,15,406,229,217,689,21,1560,17,7,6,23,759,811,1285,368,366,1643,808,4473
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,3,0,0,0,12,3,11
