UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL115007,8,6,11,0,13,14,5,4,0,57,5,3,8,0,16,9,0,8,12,63,144,234,162,97,303,311,82,185,21,1538
UCL115008,0,0,0,0,0,4,0,6,0,15,0,3,3,3,7,0,3,3,8,30,28,75,46,31,64,79,20,55,7,404
UCL115009,3,3,7,3,3,8,6,3,3,32,0,3,3,4,3,4,3,0,8,22,47,128,99,61,137,150,54,103,18,795
UCL115010,0,0,0,0,0,3,0,4,0,9,0,3,0,0,3,10,0,0,0,17,12,50,38,17,56,70,8,33,3,288
UCL115011,4,3,4,0,10,0,0,0,0,29,0,4,0,0,4,5,0,0,5,20,39,99,81,60,136,123,34,62,5,642
UCL115012,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,4,0,0,7,22,21,45,38,42,89,72,12,52,9,379
UCL115013,7,13,8,0,14,25,0,12,0,83,4,7,3,8,5,3,0,3,16,61,89,289,253,164,356,322,90,136,40,1740
UCL115014,0,6,0,6,5,8,0,3,0,34,0,9,5,6,9,5,0,3,4,43,60,291,234,140,230,171,56,96,17,1303
UCL115015,4,6,3,0,6,0,0,0,0,17,4,7,4,4,10,3,0,0,10,44,40,132,105,64,123,76,21,52,21,638
UCL115016,0,5,3,0,0,3,0,0,0,11,0,0,4,0,0,10,0,0,3,18,30,63,77,37,93,103,22,59,3,494
