UCL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL115163,23,141,208,112,120,601,13,618
UCL115164,15,206,202,63,51,531,13,542
UCL115165,10,128,149,72,38,394,9,403
UCL121001,9,140,114,52,28,349,10,354
UCL121002,14,103,72,24,11,215,10,225
UCL121003,3,85,129,34,27,281,5,283
UCL121004,5,73,139,59,29,310,3,310
UCL121005,0,28,49,32,57,162,3,170
UCL121006,4,97,83,42,20,248,4,253
UCL121007,27,169,129,53,22,400,6,407
UCL121008,25,61,31,11,3,132,9,138
UCL121009,10,128,123,40,21,318,14,331
UCL121010,3,117,106,31,7,268,5,273
UCL121011,39,152,110,26,10,345,17,360
UCL121012,4,27,112,52,78,272,0,273
UCL121013,52,107,60,15,10,238,17,252
UCL121014,8,92,65,32,15,208,9,217
UCL121015,18,110,107,37,23,288,0,294
UCL121016,3,46,92,30,21,188,3,195
UCL121017,0,54,143,40,24,253,0,257
UCL121018,7,85,133,62,30,318,5,323
UCL121019,0,23,99,53,38,217,0,219
UCL121020,0,59,85,39,20,205,3,204
UCL121021,10,100,87,29,10,242,7,246
UCL121022,17,112,106,29,22,278,9,283
UCL121023,12,137,94,28,5,279,8,283
UCL121024,4,66,87,28,15,196,4,197
UCL121025,9,57,88,29,21,202,0,202
UCL121026,19,187,155,47,22,421,13,433
UCL121027,3,60,85,47,16,204,3,214
UCL121028,5,140,137,56,12,340,5,347
UCL121029,0,60,93,41,17,215,5,221
UCL121030,14,132,124,48,26,343,6,350
UCL121031,0,115,164,65,24,375,5,379
UCL121032,28,130,100,35,21,301,5,310
UCL121033,0,55,87,18,6,164,0,169
UCL121034,7,65,123,50,44,291,3,300
UCL121035,3,90,143,62,59,364,3,367
UCL121036,5,87,210,75,60,433,0,439
UCL121037,6,99,148,36,28,316,10,320
UCL121038,0,78,97,29,20,218,4,222
UCL121039,3,49,97,41,32,227,4,226
UCL121040,0,16,71,42,34,166,0,166
UCL121041,8,93,83,44,4,242,7,248
UCL121042,6,85,98,22,14,218,9,230
UCL121043,5,50,96,38,32,218,0,218
UCL121044,3,52,72,32,17,176,7,180
UCL121045,3,69,103,30,9,215,9,221
UCL121046,3,32,73,38,21,162,3,167
UCL121047,4,69,102,36,19,224,6,229
UCL121048,0,28,80,37,26,174,4,174
UCL121049,4,58,67,33,26,190,0,193
UCL121050,25,212,75,11,4,320,11,330
UCL121051,27,151,135,61,17,388,5,398
UCL121052,25,166,126,24,24,359,3,365
UCL121053,21,129,107,33,12,296,11,308
UCL121054,0,10,74,55,80,215,0,217
UCL121055,3,75,128,37,17,259,5,258
UCL121056,3,115,139,43,33,330,0,332
UCL121057,0,22,83,53,58,217,0,216
UCL121058,4,87,248,146,119,602,5,609
UCL121059,8,66,116,32,23,239,0,238
UCL121060,0,31,148,73,68,316,3,324
UCL121061,0,38,77,33,29,173,3,171
UCL121062,0,52,163,62,37,330,4,327
UCL121063,8,149,113,22,10,300,10,306
UCL121064,4,110,112,30,23,274,6,279
UCL121065,7,123,172,50,26,370,6,380
UCL121066,7,34,70,36,23,176,4,182
UCL121067,34,141,128,32,23,356,9,363
UCL121068,14,296,377,121,54,854,11,865
UCL121069,0,11,102,56,58,225,0,225
UCL121070,5,66,87,22,23,195,4,201
UCL121071,9,51,88,28,23,200,4,203
UCL121072,4,91,107,45,28,276,6,284
UCL121073,18,122,102,36,13,295,8,304
UCL121074,15,111,89,20,12,251,0,248
UCL121075,21,129,59,18,21,243,3,245
UCL121076,6,78,147,60,38,332,8,334
UCL121077,9,80,107,40,19,263,0,263
UCL121078,5,52,100,47,28,233,0,234
UCL121079,8,38,90,24,26,192,0,190
UCL121080,13,116,177,55,23,383,5,386
UCL121081,0,22,79,41,33,173,4,176
UCL121082,3,154,170,59,31,430,9,433
UCL121083,27,200,135,27,26,420,6,422
UCL121084,0,27,97,56,56,248,0,248
UCL121085,0,116,204,40,27,378,0,386
UCL121086,29,156,114,45,22,362,8,374
UCL121087,6,77,101,38,16,237,4,243
UCL121088,3,61,92,35,21,217,5,224
UCL121089,3,79,189,39,29,336,6,341
UCL121090,4,34,82,52,86,259,5,262
UCL121091,0,52,103,50,33,241,0,240
UCL121092,8,76,166,69,58,379,9,391
UCL121093,5,110,147,74,46,382,8,387
UCL121094,34,126,95,31,20,302,13,318
UCL121095,4,31,120,42,31,231,7,235
UCL121096,4,133,134,39,22,326,5,333
UCL121097,0,64,124,41,23,256,7,260
UCL121098,6,60,155,56,52,321,0,321
UCL121099,14,116,94,34,19,276,5,283
UCL121100,9,112,186,56,31,390,3,392
UCL121101,5,79,124,87,71,366,6,376
UCL121102,11,154,167,49,19,405,4,406
UCL121103,18,127,148,50,24,362,12,373
UCL121104,8,90,108,42,18,272,8,277
UCL121105,18,153,95,30,4,301,13,314
UCL121106,0,145,202,46,18,416,0,414
UCL121107,14,103,143,47,32,343,11,355
UCL121108,6,104,135,44,19,308,5,317
UCL121109,0,39,66,31,30,171,3,168
UCL121110,14,170,154,39,15,393,8,401
UCL121111,28,123,93,36,16,299,5,301
UCL121112,13,71,117,53,22,275,3,280
UCL121113,7,75,65,31,22,200,4,208
UCL121114,0,103,149,36,18,303,3,304
UCL121115,8,144,126,21,6,301,9,311
UCL121116,4,38,109,70,70,293,5,292
UCL121117,8,84,104,37,14,240,6,246
UCL121118,7,48,61,27,25,167,0,168
UCL121119,0,75,128,59,43,303,3,308
UCL121120,45,66,17,3,3,136,6,142
UCL121121,0,53,63,39,26,180,8,186
UCL121122,7,42,102,39,22,205,3,206
UCL121123,3,78,96,41,14,232,9,237
UCL121124,5,113,87,26,4,239,4,242
UCL121125,9,126,149,52,27,367,9,378
UCL121126,0,55,90,41,20,203,8,211
UCL121127,4,51,67,48,45,212,8,218
UCL121128,3,70,135,61,56,330,3,332
UCL122001,0,16,32,11,17,81,0,81
UCL122002,12,31,40,9,5,91,0,97
UCL122003,7,33,47,25,30,139,0,144
UCL122004,0,27,49,3,3,81,0,81
UCL122005,12,67,52,20,7,158,5,161
UCL122006,8,41,39,12,11,114,6,121
UCL122007,14,83,63,32,10,198,7,207
UCL122008,4,32,34,18,13,89,4,91
UCL122009,0,41,50,16,12,121,5,122
UCL122010,3,33,37,21,20,118,0,118
UCL122011,0,19,50,27,20,116,0,114
UCL122012,11,55,42,11,10,120,3,129
UCL122013,4,45,25,8,0,83,3,90
UCL122014,4,47,48,19,15,126,6,134
UCL122015,0,33,49,17,0,99,0,105
UCL122016,0,27,34,17,7,89,0,86
UCL122017,0,53,43,12,11,126,0,126
UCL122018,9,83,53,20,11,175,10,180
UCL122019,4,40,36,14,8,110,0,114
UCL122020,13,79,34,11,0,137,4,146
UCL122021,0,15,34,11,13,71,0,71
UCL122022,3,52,63,32,19,170,0,169
UCL122023,0,22,54,29,25,132,0,132
UCL122024,0,22,39,22,14,103,5,104
UCL122025,3,24,32,18,14,95,3,93
UCL122026,0,24,38,17,10,82,3,84
UCL122027,7,49,33,7,12,101,8,107
UCL122028,0,47,55,30,17,143,0,144
UCL122029,0,34,44,17,9,100,0,100
UCL122030,0,56,67,15,9,152,4,158
UCL122031,0,19,63,31,14,125,0,125
UCL122032,0,79,69,18,9,185,6,186
UCL122033,4,22,30,18,4,83,0,83
UCL122034,0,7,36,16,14,73,0,73
UCL122035,11,71,61,17,11,176,0,175
UCL122036,31,60,27,9,4,128,3,127
UCL122037,0,19,41,9,15,86,0,89
UCL122038,0,47,42,15,6,115,6,117
UCL122039,5,50,63,19,14,151,6,156
UCL122040,0,31,44,7,6,91,0,85
UCL122041,3,34,59,30,12,134,3,136
UCL122042,0,14,36,9,23,92,0,91
UCL122043,6,41,48,25,14,134,4,137
UCL122044,0,13,19,5,5,43,0,43
UCL122045,3,41,41,19,5,113,3,116
UCL122046,0,73,99,20,9,213,0,214
UCL122047,32,72,28,0,0,134,6,136
UCL122048,29,52,45,11,13,142,14,160
UCL122049,11,61,42,17,5,139,3,143
UCL122050,3,44,34,13,0,88,3,97
