UCL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
UCL122014,5,4,12,46,13,4,57,182,21,265
UCL122015,3,0,6,31,17,0,50,148,23,218
UCL122016,0,0,4,33,15,0,54,126,30,210
UCL122017,3,0,8,39,12,5,53,163,29,246
UCL122018,6,0,6,31,7,0,43,257,45,344
UCL122019,0,0,0,20,17,3,40,168,24,239
UCL122020,11,0,10,14,8,3,19,210,14,251
UCL122021,0,0,0,30,10,0,41,120,3,157
UCL122022,8,0,8,71,34,3,107,276,17,401
UCL122023,8,0,8,61,29,0,89,250,13,354
UCL122024,0,0,0,42,24,0,71,158,15,238
UCL122025,4,0,4,36,15,0,51,135,18,200
UCL122026,0,0,0,39,13,5,61,111,10,182
UCL122027,17,5,16,20,11,0,38,167,13,215
UCL122028,11,0,10,41,19,0,59,222,35,318
UCL122029,4,0,4,34,9,0,46,167,22,233
UCL122030,0,0,0,55,12,4,73,216,34,326
UCL122031,0,0,0,108,22,4,130,180,10,315
UCL122032,6,3,7,74,20,0,93,251,30,372
UCL122033,3,0,3,48,10,4,61,97,15,176
UCL122034,3,0,3,37,16,0,53,140,0,190
UCL122035,7,0,7,59,18,0,75,248,25,351
UCL122036,4,0,4,26,13,0,36,203,98,333
UCL122037,3,0,3,61,8,0,68,111,10,193
UCL122038,12,5,9,44,17,0,57,172,16,245
UCL122039,5,0,10,58,24,3,83,233,32,347
UCL122040,3,0,3,24,17,3,47,121,14,188
UCL122041,0,4,4,76,17,0,98,186,28,314
UCL122042,0,0,0,45,19,3,68,147,15,231
UCL122043,4,0,7,50,16,5,67,177,16,259
UCL122044,0,0,0,9,8,0,18,73,12,102
UCL122045,7,0,7,40,11,0,47,151,13,216
UCL122046,20,3,22,44,31,4,75,337,26,437
UCL122047,0,0,0,47,22,0,65,195,9,269
UCL122048,9,0,10,26,19,7,51,239,98,384
UCL122049,5,0,7,18,10,0,30,239,28,296
UCL122050,10,0,14,14,10,0,20,145,9,176
UCL122051,4,3,0,34,8,0,47,135,41,224
UCL122052,0,0,0,45,16,0,62,134,22,221
UCL122053,18,0,24,29,11,0,35,208,23,268
UCL122054,3,4,6,53,21,5,71,216,110,399
