UCL_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
UCL121020,7,29,17,158,0,207,0,3,0,9,0,9,8,4,0,3,0,17,0,0,0,0,0,0,9,4,3,4,0,18,41,31,16,171,6,258,4,0,0,0,0,8,0,0,0,0,0,7,9,3,4,15,0,27,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,9,3,81,0,116,7,3,0,12,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,5,4,3,0,0,0,8,0,0,0,0,0,0,9,8,0,34,0,53,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,6,3,6,0,23,0,0,0,4,31,36,94,54,31,347,34,564
UCL121021,0,13,8,240,3,259,0,0,0,26,0,26,3,0,0,0,0,3,0,0,0,4,0,4,0,0,0,0,0,3,18,8,9,188,4,228,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,63,0,68,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,65,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,9,0,19,0,0,0,4,47,53,41,19,14,438,50,566
UCL121022,3,12,11,270,3,299,0,0,0,70,3,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,5,10,255,10,325,3,0,0,0,3,3,0,0,0,0,0,0,10,0,0,18,0,23,0,0,0,4,0,4,0,0,0,0,0,0,5,0,0,0,0,5,7,0,5,49,0,67,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,37,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,6,0,22,0,0,0,11,64,76,68,18,19,533,81,722
UCL121023,4,20,12,175,0,214,0,9,0,42,0,51,0,0,0,6,0,4,0,0,0,0,0,0,5,3,0,0,0,9,50,23,9,163,4,247,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,12,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,61,5,77,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,6,4,0,0,0,0,4,3,0,4,0,0,3,0,0,0,0,0,0,18,8,5,50,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,4,0,0,0,6,17,3,10,9,0,43,0,0,0,6,31,42,115,46,24,367,40,587
UCL121024,5,13,7,227,0,256,0,6,0,39,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,9,21,11,15,208,4,259,0,0,0,0,0,3,0,0,0,0,0,6,7,0,0,27,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45,0,52,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,5,4,7,56,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,10,0,0,0,9,28,39,42,18,20,445,28,553
UCL121025,3,25,42,179,0,251,0,0,0,6,0,6,9,0,0,0,0,9,0,0,0,0,0,3,6,0,3,8,0,19,48,24,36,163,5,272,8,0,0,0,0,4,0,0,0,0,0,3,8,0,3,22,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,11,3,6,48,0,70,10,7,3,3,0,22,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,8,0,0,0,0,0,0,9,8,3,59,0,83,0,0,0,0,0,0,5,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,4,0,0,0,0,7,40,6,5,3,0,58,0,0,0,10,8,14,130,42,63,352,11,599
UCL121026,3,36,23,319,6,387,0,3,4,57,0,67,0,0,0,6,0,9,4,0,0,0,0,4,7,5,0,3,0,15,57,40,28,309,12,434,4,0,0,0,0,10,5,0,4,4,0,12,11,5,5,15,0,37,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0,100,0,128,0,0,0,11,0,17,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,5,0,10,0,4,0,0,0,4,6,5,0,0,0,15,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,5,13,4,7,79,3,109,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,26,0,7,7,0,41,0,0,0,0,59,65,125,75,48,654,76,978
UCL121027,4,23,21,201,3,251,0,0,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,46,22,11,172,4,249,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,9,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,78,0,95,0,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,8,55,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,31,6,0,20,0,60,0,0,0,8,30,38,87,45,31,414,33,616
UCL121028,10,30,18,262,0,319,0,0,0,23,0,21,0,0,0,9,0,19,0,0,0,0,0,0,9,3,0,3,0,15,41,19,15,234,5,313,3,0,0,3,0,3,0,0,0,3,0,6,16,0,6,23,0,44,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,9,5,101,0,121,3,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,6,5,3,0,0,0,7,6,0,0,4,0,5,4,0,0,0,0,4,0,0,0,0,0,0,13,8,3,81,0,113,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,5,0,13,27,3,4,17,0,50,0,0,0,3,36,44,128,51,35,519,45,785
UCL121029,4,7,3,264,0,281,0,3,0,139,3,148,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,5,0,0,15,9,5,206,5,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,3,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,42,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,17,0,0,0,5,25,27,32,17,12,505,34,605
UCL121030,0,7,11,357,4,380,0,0,0,146,0,149,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,14,12,12,263,12,309,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,26,0,33,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,71,0,81,8,0,0,20,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,0,25,0,0,0,9,92,103,54,19,20,667,109,868
UCL121031,10,31,16,360,0,421,0,0,0,64,5,65,4,0,0,0,0,8,0,0,0,3,0,4,8,0,3,0,0,12,52,26,14,315,6,415,0,0,3,0,0,3,3,0,0,0,0,3,8,7,0,31,3,53,0,0,0,3,0,3,3,0,0,0,0,9,4,0,0,0,0,0,13,9,4,111,0,142,7,3,0,19,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,4,3,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,14,12,6,82,0,110,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,6,34,8,0,27,3,79,3,0,0,9,58,73,143,67,35,692,73,1012
UCL121032,0,17,3,281,3,312,0,0,0,49,0,53,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,8,25,16,5,248,3,299,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,19,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,78,0,82,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,8,0,17,0,0,0,12,60,72,57,21,10,561,69,725
UCL121033,0,29,18,192,3,241,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,22,12,150,0,212,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,20,0,23,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,9,0,0,51,0,64,0,4,4,21,0,29,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,46,0,58,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,6,10,0,26,0,0,0,6,59,61,44,43,32,335,65,513
UCL121034,5,45,25,278,4,350,0,3,0,21,0,23,8,0,0,0,0,9,0,3,0,0,0,3,4,0,0,9,0,16,71,49,28,278,4,432,0,0,0,0,0,5,7,0,0,0,0,7,17,7,0,18,0,46,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,16,12,7,67,0,103,9,4,0,10,0,20,0,0,0,0,0,0,3,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,19,8,6,77,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,10,35,12,5,18,0,67,0,0,0,9,63,73,158,86,47,544,66,907
UCL121035,3,41,29,469,4,545,0,0,8,94,0,100,4,0,0,0,0,5,0,4,0,0,0,4,4,0,0,3,0,12,57,49,24,390,4,518,3,3,0,3,0,6,3,0,4,6,0,4,5,3,0,39,0,56,0,0,0,6,0,3,0,0,0,0,0,6,0,0,0,0,0,0,13,5,7,89,0,107,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,8,5,0,0,8,0,15,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,9,5,117,3,149,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,8,11,8,3,6,0,35,0,0,0,10,50,68,106,77,53,842,62,1125
UCL121036,10,62,32,477,3,579,0,0,0,71,0,74,15,0,3,6,0,18,0,0,0,0,0,0,5,0,10,13,0,35,104,53,49,440,3,654,5,0,8,0,0,13,4,0,0,4,0,10,18,7,8,46,0,74,7,0,0,11,0,16,3,0,0,0,0,7,6,0,0,0,0,0,15,10,3,145,0,176,4,7,0,17,0,35,0,0,0,0,0,0,0,4,0,4,0,7,0,0,0,0,0,0,4,0,0,9,0,14,13,0,0,0,0,16,5,0,3,0,0,6,4,0,0,5,0,9,4,0,0,6,0,4,0,0,0,0,0,0,33,17,5,127,0,182,0,0,0,0,0,0,13,0,0,0,0,11,4,0,0,0,0,5,0,3,0,0,0,3,0,0,0,0,0,0,5,8,0,5,0,12,53,11,4,18,0,84,0,0,0,0,47,46,238,102,72,961,57,1427
UCL121037,8,19,18,240,0,283,0,0,5,69,0,74,0,0,0,9,0,7,0,0,0,0,0,7,8,0,4,0,0,20,49,28,22,245,3,346,3,0,0,0,0,4,5,0,0,7,0,12,9,0,4,22,0,33,7,0,0,8,0,24,0,0,0,0,0,0,0,4,0,0,0,7,10,9,6,67,0,92,5,7,0,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,3,8,72,0,91,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,10,20,3,6,9,0,41,0,0,0,0,29,28,122,56,41,534,36,791
UCL121038,0,22,14,211,3,248,0,0,4,50,4,57,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,18,9,193,8,241,0,0,0,0,0,6,0,0,0,0,0,6,4,0,0,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,68,0,78,0,0,6,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,29,0,42,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,17,0,0,0,8,82,94,36,31,20,417,91,601
UCL121039,8,37,28,134,0,201,0,0,0,5,0,5,4,0,0,0,0,4,0,0,0,0,0,0,8,4,0,0,0,9,73,30,15,180,4,300,0,0,0,0,0,0,8,6,0,4,0,18,23,0,4,15,0,43,4,0,0,3,0,12,3,0,0,0,0,3,0,0,0,5,0,9,24,13,7,81,0,120,10,3,0,13,0,26,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,3,0,7,3,0,0,0,0,6,0,0,0,0,0,0,17,4,0,61,0,89,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,54,11,11,14,0,98,0,0,0,0,86,86,197,62,41,337,98,733
UCL121040,0,18,9,239,6,271,0,0,0,39,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,11,8,7,188,0,211,3,0,0,0,0,5,0,0,0,4,0,4,3,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,44,0,48,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,52,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,8,0,18,0,0,0,0,19,19,32,21,18,420,26,511
UCL121041,0,14,6,202,8,235,0,0,0,49,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,27,8,13,202,5,258,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,15,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,95,0,111,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,8,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,50,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,4,16,0,32,0,0,0,4,31,36,54,23,18,453,49,592
UCL121042,0,23,10,164,0,205,0,4,0,9,0,9,7,0,0,4,0,10,0,0,0,0,0,3,0,3,0,0,0,3,51,16,4,162,0,237,3,0,0,5,0,5,0,0,0,0,0,0,12,0,0,10,0,25,4,0,0,0,0,3,0,0,0,0,0,7,4,0,0,0,0,4,14,8,0,73,0,94,13,0,7,12,0,26,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,5,0,5,0,0,0,0,0,0,5,4,0,0,0,5,4,0,0,0,0,4,0,0,0,8,0,4,0,0,0,0,0,0,10,5,7,43,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,17,0,3,13,0,38,0,0,0,6,27,32,120,41,24,334,35,553
UCL121043,4,36,20,155,0,219,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,9,0,5,7,0,17,55,30,13,179,0,276,5,0,0,0,0,4,0,0,0,0,0,4,10,3,4,16,0,38,0,0,0,3,0,7,4,0,0,0,0,0,13,0,0,0,0,13,11,8,0,47,0,70,30,0,0,19,0,56,0,0,0,0,0,0,18,16,7,6,0,49,0,0,0,0,0,0,6,3,0,4,0,9,0,0,0,0,0,3,9,0,4,0,0,13,3,0,0,5,0,6,0,0,0,0,0,4,0,0,0,0,0,0,8,12,7,48,0,71,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,36,11,8,12,0,72,0,0,0,3,7,18,183,82,40,366,7,684
UCL121044,0,15,11,207,0,236,0,0,0,41,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,31,14,12,158,0,210,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,12,0,25,0,0,0,10,0,10,0,4,0,0,0,4,0,3,0,0,0,3,4,0,0,42,0,52,3,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,37,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,6,0,9,0,25,0,0,0,8,86,90,53,31,14,375,83,562
UCL121045,0,23,7,171,7,209,0,0,0,34,0,38,0,0,0,0,0,4,0,0,0,0,0,0,4,5,0,3,0,6,54,29,11,179,7,271,5,0,4,0,0,10,0,0,0,0,0,3,6,7,0,12,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,34,0,48,3,3,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,3,4,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,41,0,58,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,22,0,0,0,0,18,24,93,44,14,341,29,522
UCL121046,3,33,19,196,0,250,0,0,0,6,0,6,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,7,0,12,30,32,21,128,0,213,0,0,0,0,0,0,0,0,0,0,0,4,9,3,0,10,0,25,0,4,3,0,0,9,0,0,4,0,0,5,0,0,0,0,0,0,3,3,4,52,0,69,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,6,8,43,0,63,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,17,3,12,10,0,38,0,0,0,0,15,13,74,51,42,328,13,503
UCL121047,0,16,19,251,3,285,0,5,0,25,0,30,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,9,0,14,21,14,29,191,3,264,4,0,0,0,0,4,3,0,0,0,0,4,11,5,3,14,0,30,3,3,0,5,0,10,0,0,0,0,0,3,0,0,0,0,0,0,5,3,9,78,0,95,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,44,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,12,3,3,9,0,26,0,0,0,4,28,30,59,41,42,431,32,604
