UCL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL114038,21,99,33,41,0,225,32,7,94,74,153,14,370,0,0,0,3,6,0,6,4,0,0,12,70,6,91,4,0,3,9,29,16,53,104,43,355,277,957,75,1809
UCL115001,9,17,5,12,5,42,5,0,13,13,29,0,61,0,0,0,6,0,0,3,0,0,0,0,28,0,34,0,0,3,0,9,0,12,9,16,51,52,339,10,472
UCL115002,20,65,25,34,0,166,20,11,72,48,75,3,224,0,0,6,0,11,0,17,0,3,6,12,40,4,65,3,0,3,5,26,6,44,88,40,278,257,716,45,1418
UCL115003,10,69,17,27,0,138,10,3,34,26,37,6,124,0,0,0,0,0,0,3,0,0,3,4,33,0,39,0,0,3,5,24,5,33,36,20,189,160,512,26,941
UCL115004,3,37,12,12,0,76,7,5,37,13,24,3,88,0,0,0,3,3,0,3,0,0,0,4,10,0,12,0,0,8,0,9,0,13,26,19,157,86,187,33,514
UCL115005,0,21,4,8,0,33,3,0,16,13,10,3,45,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,3,0,0,8,11,4,45,38,121,15,233
UCL115006,15,38,8,8,3,101,29,23,49,18,19,0,135,0,0,10,0,0,0,21,5,0,6,10,12,0,30,5,0,15,8,6,8,45,85,59,305,130,193,33,800
UCL115007,8,48,9,21,3,108,8,11,34,38,66,7,165,0,0,5,0,3,0,7,0,0,0,0,36,0,40,0,0,0,4,30,0,37,37,28,154,165,585,36,999
UCL115008,4,26,0,6,0,38,3,0,15,3,10,0,36,0,0,0,0,0,0,3,0,0,0,0,11,0,10,0,0,0,0,7,4,10,7,6,54,37,116,13,238
UCL115009,13,27,4,4,4,47,3,3,17,19,35,7,84,0,0,0,0,3,0,3,0,0,0,3,11,0,22,0,0,4,0,7,4,14,9,26,92,89,238,17,475
UCL115010,0,13,6,3,0,24,3,0,12,7,25,0,49,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,4,5,3,5,40,22,85,10,168
UCL115011,5,15,5,14,0,38,7,0,31,17,44,0,105,0,0,0,0,0,0,0,0,0,0,3,15,0,17,0,0,0,0,12,5,12,14,11,69,73,253,10,439
UCL115012,3,3,6,4,0,17,0,0,8,8,22,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,11,5,4,38,37,112,9,199
UCL115013,7,39,7,24,0,100,32,16,94,32,109,14,295,0,0,0,0,0,0,3,6,0,5,10,46,0,60,5,0,9,0,16,6,37,84,37,250,122,526,42,1062
UCL115014,28,66,16,11,0,143,24,18,108,59,60,8,282,5,0,9,0,0,0,20,0,0,4,8,10,0,29,0,0,9,4,9,0,28,100,58,320,167,311,26,984
