UCL_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
UCL313005,44,65,40,37,29,5,0,222,8,23,11,0,5,0,0,49,7,6,4,0,0,0,0,20,91,155,113,87,73,9,0,523,9,16,7,4,0,4,0,39,6,16,7,3,3,0,0,36,14,34,11,12,9,4,0,78,109,189,121,99,72,13,0,600,125,103,57,30,29,3,0,357,4,0,0,6,0,0,0,15,241,292,183,137,99,16,0,972
UCL313006,44,107,95,68,67,19,4,403,6,9,7,0,3,0,0,32,3,5,3,6,3,0,0,19,83,173,148,125,145,23,9,708,8,4,0,7,5,0,0,25,6,15,8,8,4,0,0,43,12,19,16,11,11,0,0,67,90,194,162,139,159,21,9,769,157,155,128,72,64,9,0,580,6,0,0,0,0,0,0,7,248,346,291,205,223,34,10,1359
UCL313007,7,21,22,12,23,0,0,92,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,23,58,50,36,65,7,0,245,0,5,0,0,0,0,0,7,0,3,0,0,0,0,0,4,0,7,0,0,0,0,0,13,25,62,52,37,66,7,0,252,24,14,6,16,7,0,0,72,0,0,0,0,0,0,0,0,48,75,58,55,73,11,6,330
UCL313008,30,63,41,23,31,4,0,198,4,6,5,0,3,0,0,19,4,4,0,4,0,0,0,11,47,102,69,59,72,9,0,357,0,0,3,3,0,0,0,10,12,3,8,5,0,0,0,16,8,8,4,3,4,0,0,26,60,104,76,60,72,9,0,379,90,94,42,38,31,0,0,299,0,0,0,0,0,0,0,0,148,201,120,102,104,6,0,680
UCL313009,28,70,38,27,19,0,0,185,7,3,3,5,0,0,0,25,3,5,3,6,0,0,0,13,98,181,126,103,78,3,0,598,9,17,9,4,3,0,0,39,17,18,3,7,3,0,0,47,27,33,12,7,7,0,0,86,122,215,143,115,81,3,0,682,184,138,67,29,18,0,0,431,0,10,0,0,0,0,0,9,308,357,206,142,102,3,0,1125
UCL313010,38,76,50,44,35,3,0,253,13,3,4,0,3,0,0,20,4,6,7,0,5,0,0,21,69,132,102,79,101,8,0,504,6,6,5,7,9,0,0,31,10,10,10,4,0,0,0,33,15,20,17,12,10,0,0,65,88,155,118,94,103,11,0,563,114,100,70,37,24,7,0,359,0,0,0,4,0,0,0,9,206,252,193,132,124,17,4,928
UCL313011,51,70,68,28,21,6,5,250,22,32,17,13,0,3,0,86,9,3,4,4,0,0,0,16,117,179,140,87,50,16,7,607,9,25,8,4,0,0,0,44,11,26,10,5,0,0,0,53,29,44,18,10,0,0,0,100,141,227,158,100,53,16,7,705,191,206,99,43,43,3,4,598,0,3,0,0,0,0,0,6,335,437,254,142,99,20,7,1305
UCL313012,44,73,48,39,39,3,3,251,8,7,7,0,5,0,0,25,5,6,0,3,7,0,0,18,87,146,111,96,127,24,5,582,0,0,5,4,0,0,0,10,3,6,0,6,3,0,0,18,3,11,3,12,3,0,0,28,83,151,115,104,130,24,5,613,48,64,28,19,23,5,0,184,0,0,0,3,0,0,0,3,137,216,148,127,146,21,5,805
UCL314001,13,34,26,21,32,0,0,127,4,4,3,0,0,0,0,9,0,7,4,0,0,0,0,18,21,69,58,45,75,5,0,278,0,9,0,3,0,0,0,16,5,4,0,0,0,0,0,6,5,12,5,3,0,0,0,27,28,82,58,48,76,5,0,299,40,44,32,25,16,0,0,165,0,7,0,0,0,0,0,5,71,126,95,78,92,6,0,471
UCL314002,12,35,14,15,5,5,0,83,4,0,0,3,0,0,0,10,3,7,0,0,0,0,0,8,23,70,44,47,33,5,0,210,0,0,3,0,0,0,0,5,5,7,3,6,0,0,0,19,3,9,5,5,0,0,0,24,28,76,48,47,36,5,0,238,42,42,26,5,17,0,0,134,0,0,0,0,0,0,0,0,65,122,79,52,48,5,0,372
UCL314003,18,49,41,33,29,8,0,178,3,8,11,11,0,0,0,36,0,0,0,3,0,0,0,5,29,75,78,64,61,10,3,317,0,6,0,4,4,0,0,17,10,7,5,7,0,0,0,35,14,13,8,7,8,0,0,50,39,89,85,78,69,10,3,372,96,80,50,36,38,4,0,304,3,0,9,3,0,0,0,12,137,169,142,116,102,15,5,687
UCL314004,17,27,24,13,24,0,0,113,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,24,53,36,31,49,7,0,196,0,5,3,0,0,5,0,9,4,5,0,0,0,0,0,19,4,11,6,0,3,5,0,31,23,68,40,28,46,11,0,223,28,39,24,14,13,3,0,123,0,3,4,0,0,0,0,6,50,105,71,44,64,11,6,350
UCL314005,7,13,17,11,9,0,0,48,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,13,36,35,25,30,0,0,143,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,13,41,35,28,29,0,0,147,23,19,15,3,3,0,0,64,0,0,0,0,0,0,0,0,33,58,54,34,32,0,0,212
UCL314006,26,37,20,18,20,0,0,124,5,5,0,5,0,0,0,9,0,0,4,0,0,0,0,4,37,67,55,43,44,5,0,243,3,10,7,5,0,0,0,27,5,10,6,0,5,0,0,22,9,15,13,13,5,0,0,52,45,81,68,52,47,5,0,298,42,59,31,19,14,0,0,168,0,0,0,0,0,0,0,0,90,140,94,68,64,5,0,464
UCL314007,17,32,31,13,19,0,0,112,0,5,6,0,4,0,0,15,0,3,0,4,0,0,0,12,37,76,69,56,59,10,0,312,3,4,0,0,0,0,0,12,5,8,8,5,6,0,0,29,7,12,11,10,3,0,0,41,43,90,78,66,64,10,0,347,47,41,24,16,7,4,0,144,4,10,0,0,0,0,0,9,94,137,107,83,69,11,0,502
UCL314008,9,31,18,9,9,3,0,82,5,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,30,41,36,33,27,3,0,170,0,7,0,3,3,0,0,13,0,5,0,0,0,0,0,4,0,12,0,3,5,0,0,20,34,52,37,34,31,3,0,190,69,66,23,24,8,0,0,180,4,7,0,0,0,0,0,4,101,123,55,60,36,3,0,378
UCL314009,17,39,24,18,19,4,0,119,4,14,3,0,0,0,0,27,0,0,0,0,0,0,0,4,38,94,58,34,47,9,0,294,8,4,4,0,7,0,0,14,5,5,3,0,3,0,0,19,8,7,9,0,9,0,0,31,49,106,67,35,54,9,0,320,51,45,28,13,18,0,0,152,0,0,0,0,0,0,0,0,102,153,95,52,71,9,0,475
UCL314010,21,29,22,15,16,4,0,108,0,0,0,3,4,0,0,13,0,3,3,0,4,0,0,14,25,57,32,37,39,11,5,202,6,5,4,0,3,0,0,16,6,4,3,0,0,0,0,13,8,10,3,0,9,0,0,28,38,63,39,34,42,11,5,237,46,41,19,20,26,0,0,145,0,3,0,0,0,0,0,4,85,111,58,51,69,11,5,391
UCL314011,12,22,20,20,6,0,0,82,5,3,3,0,0,0,0,14,0,0,0,0,0,0,0,3,32,49,47,33,18,0,0,184,0,3,0,0,4,0,0,13,0,0,0,0,0,0,0,3,0,3,5,4,4,0,0,15,29,55,53,34,17,0,0,199,38,19,9,8,9,0,0,89,0,0,0,0,0,0,0,0,72,74,62,47,31,0,0,284
UCL314012,23,25,23,17,11,3,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,59,51,26,40,3,0,232,0,4,0,0,0,0,0,6,5,0,3,7,4,0,0,20,7,3,3,7,0,0,0,28,44,70,58,35,44,3,0,256,29,35,18,13,18,0,0,121,0,0,0,0,0,0,0,0,79,106,73,48,60,7,0,376
UCL314013,22,36,40,29,24,0,0,154,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,6,31,56,52,51,44,3,0,241,4,11,8,13,6,0,0,38,6,13,6,3,4,0,0,31,13,26,14,19,5,0,0,75,40,79,67,63,47,4,0,311,71,72,33,20,15,6,0,220,0,0,5,0,0,0,0,8,106,148,104,90,69,12,3,532
UCL314014,4,9,9,9,9,0,0,42,3,0,0,3,0,0,0,10,0,4,0,0,0,0,0,3,15,27,34,23,14,3,0,113,6,5,0,5,3,0,0,15,0,4,0,0,0,0,0,9,4,5,6,0,0,0,0,21,23,31,31,25,16,3,0,134,26,16,9,9,11,0,0,66,4,3,0,0,0,0,0,10,55,54,47,35,31,3,0,214
UCL314015,4,26,19,15,17,0,0,79,4,3,0,0,0,0,0,5,0,4,0,0,0,0,0,5,19,49,36,25,28,3,3,166,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,11,17,54,39,24,31,4,3,179,26,23,28,8,13,0,0,99,0,0,0,0,0,0,0,3,49,75,67,34,41,7,7,278
UCL314016,7,43,22,13,24,4,0,110,0,7,3,3,4,0,0,19,0,12,0,0,0,0,0,9,28,90,50,39,58,5,0,267,4,6,6,6,0,0,0,25,4,3,3,0,0,0,0,14,13,14,6,3,0,0,0,41,40,100,62,42,59,5,0,303,79,80,43,35,13,0,0,251,3,0,4,0,0,0,0,12,121,183,104,75,74,9,0,567
UCL314017,10,31,10,5,5,0,0,60,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,50,97,49,22,36,0,0,251,0,3,4,7,0,0,0,5,0,5,5,0,0,0,0,20,0,8,7,6,0,0,0,22,53,104,60,25,39,0,0,278,26,14,8,10,0,0,0,62,0,0,0,0,0,0,0,3,75,121,70,30,42,0,0,343
UCL314018,10,25,12,5,8,0,0,61,0,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,19,53,28,16,26,4,3,152,4,6,0,3,0,0,0,11,0,0,0,0,0,0,0,5,4,10,0,3,0,0,0,19,25,59,32,20,23,3,3,167,4,8,7,4,4,0,0,25,0,0,0,0,0,0,0,0,27,66,42,18,30,8,3,193
UCL314019,6,20,14,5,19,0,0,65,4,0,0,3,6,0,0,17,0,0,7,0,0,0,0,7,17,36,33,25,47,10,6,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,5,17,42,35,25,47,10,6,177,7,25,9,9,10,0,3,63,0,0,0,0,0,0,0,0,21,64,50,32,58,12,3,245
UCL314020,13,34,14,16,9,0,0,83,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,5,27,75,33,36,31,6,0,211,5,0,4,4,0,0,0,11,6,0,0,0,4,0,0,12,9,3,7,6,5,0,0,29,38,77,42,40,36,6,0,237,29,36,11,15,9,0,0,100,0,0,0,0,0,0,0,0,60,119,50,51,44,6,0,333
UCL314021,27,36,32,28,27,6,5,156,6,10,4,0,4,0,0,30,0,3,0,0,6,0,0,7,46,75,59,42,57,16,7,301,0,0,0,0,0,0,0,7,6,0,0,0,4,0,0,8,9,0,3,0,3,0,0,16,51,76,65,41,62,18,7,314,39,46,29,20,21,3,0,162,3,0,0,0,0,0,0,10,91,126,97,61,88,21,7,489
UCL314022,5,33,24,20,16,5,4,99,3,4,7,3,3,0,0,25,0,0,0,0,0,0,0,0,13,52,43,35,27,9,7,186,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,4,0,0,4,0,0,6,13,51,45,40,29,9,7,199,21,25,5,6,6,6,0,66,0,0,3,0,0,0,0,4,37,76,51,42,38,13,7,270
UCL314023,17,34,28,25,17,7,0,130,5,0,0,0,4,0,0,6,0,3,7,0,0,0,0,14,35,70,60,44,64,17,0,291,4,5,4,0,0,0,0,20,8,13,0,4,4,0,0,27,11,20,10,3,0,0,0,47,46,91,72,51,63,17,0,336,49,53,21,18,9,3,0,154,0,0,0,0,0,0,0,0,93,145,89,73,76,17,0,495
UCL315001,0,7,0,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,0,6,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,0,6,0,0,30,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,14,8,0,6,0,0,44
UCL315002,8,13,5,3,7,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,17,13,17,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25,17,13,17,0,0,83,4,0,0,0,0,0,3,10,4,0,0,0,0,0,0,4,15,26,17,13,13,0,5,88
UCL315003,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,3,3,0,0,29,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,8,8,7,3,3,0,0,28,3,6,4,3,0,0,0,18,0,3,0,0,0,0,0,5,10,12,8,6,9,0,0,48
UCL315004,3,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,6,3,0,0,0,0,11,30,32,11,8,0,0,0,85,0,6,0,0,0,0,0,4,35,36,22,11,0,0,0,105
UCL315005,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,7,0,0,23,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,6,0,3,5,0,0,0,0,10,3,9,8,7,9,0,0,41,3,9,4,0,3,0,0,28,0,0,0,0,0,0,0,0,8,20,7,9,8,0,0,63
UCL315006,5,8,0,0,4,0,0,20,0,6,0,0,0,0,0,6,6,0,0,0,0,0,0,6,19,27,14,4,14,0,0,79,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,5,3,0,3,0,0,14,18,35,14,7,16,0,0,91,16,9,3,6,0,0,0,35,0,0,0,0,0,0,0,0,31,45,22,10,15,0,0,127
UCL315007,8,13,6,5,3,0,0,39,3,0,3,3,3,0,0,12,0,0,0,0,0,0,0,0,14,22,18,18,14,0,0,82,0,0,3,3,0,0,0,12,0,0,4,0,0,0,0,5,0,0,5,3,0,0,0,11,14,21,24,23,14,0,0,96,22,29,13,12,8,0,0,79,4,0,0,0,0,0,0,10,44,47,40,37,15,0,0,183
UCL315008,0,4,0,3,9,0,0,17,0,0,0,3,0,0,0,6,0,4,0,0,0,0,0,4,20,39,20,24,42,0,0,140,0,9,4,0,0,0,0,16,0,5,0,0,0,0,0,6,3,7,4,0,0,0,0,17,20,47,27,25,40,0,0,156,26,17,17,7,4,0,0,70,0,0,0,0,0,0,0,0,44,66,41,33,47,4,0,230
UCL315009,9,5,8,3,13,0,0,36,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,5,6,10,17,12,24,0,0,80,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,14,16,12,22,0,0,84,5,5,12,10,0,0,0,34,0,0,0,0,0,0,0,0,19,22,34,24,29,0,0,124
UCL315010,9,12,10,3,8,0,6,51,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,8,15,24,28,12,9,4,6,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,20,28,11,9,4,6,92,15,11,8,4,4,0,0,49,0,4,0,0,0,0,0,4,30,37,40,18,14,4,3,142
UCL315011,0,8,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,15,0,0,3,0,0,0,0,5,5,0,0,0,0,0,0,5,5,0,3,0,0,0,0,4,5,8,10,0,0,0,0,21,4,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,9,11,0,0,0,0,28
UCL315012,7,22,23,5,8,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,33,19,19,3,0,133,3,4,5,0,3,0,0,16,3,8,3,0,0,0,0,15,9,13,7,5,3,0,0,33,31,54,40,28,18,3,0,166,49,44,17,16,3,0,0,134,0,3,3,8,0,0,0,9,78,98,56,46,27,3,0,313
UCL315013,7,17,9,4,0,0,0,38,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,31,19,10,8,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,19,10,13,0,0,88,15,25,0,0,0,0,0,39,0,0,0,0,0,0,0,0,31,52,26,10,13,0,0,128
UCL315014,0,9,3,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,4,12,10,4,0,0,0,29,3,7,9,0,3,0,0,26,0,0,0,6,0,0,0,4,16,16,19,8,3,0,0,59
UCL315015,4,6,0,0,0,0,0,22,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,14,9,6,3,5,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,5,13,12,6,3,5,0,49,3,12,0,5,8,0,0,32,0,0,0,0,0,0,0,0,15,28,11,14,13,4,0,83
UCL315016,6,4,9,3,6,0,0,23,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,14,11,13,9,18,0,0,65,0,4,6,0,4,0,0,3,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,11,12,15,9,9,20,0,0,79,11,11,5,0,5,0,0,30,0,0,0,0,0,0,0,0,25,27,20,12,23,0,0,107
UCL315017,0,12,7,4,4,0,0,35,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,3,6,25,22,17,13,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,6,23,23,19,13,0,0,96,17,17,10,5,6,0,0,45,0,0,0,0,0,0,0,0,22,40,37,20,24,0,0,143
UCL315018,5,8,5,0,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,11,7,5,3,0,53,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,3,5,9,0,0,0,0,0,12,12,23,14,7,6,3,0,62,55,83,40,26,4,0,0,213,0,0,0,0,0,0,0,0,68,108,51,30,11,3,0,278
UCL315019,0,3,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,6,3,10,7,0,9,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,14,8,9,9,0,0,33,10,12,5,6,5,0,0,38,0,0,0,0,0,0,0,0,17,18,14,8,10,0,0,77
UCL315020,10,12,8,5,0,0,0,34,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12,29,13,8,3,0,0,76,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,4,5,0,0,0,0,0,6,18,31,13,8,3,0,0,79,8,14,0,0,0,0,0,26,0,0,0,0,0,0,0,0,27,44,18,13,6,0,0,101
UCL315021,0,8,7,7,5,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,11,11,9,0,0,37,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,10,0,5,3,5,0,0,0,13,0,8,14,11,10,0,0,48,19,23,11,3,4,0,0,54,0,0,0,0,0,0,0,0,20,32,20,14,16,0,0,104
UCL315022,6,11,3,0,5,0,0,14,7,0,0,0,0,0,0,3,4,5,0,0,0,0,0,6,18,25,10,7,11,0,0,72,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,7,13,30,14,12,11,3,0,78,27,14,4,0,12,0,0,57,0,3,0,4,0,0,0,7,38,40,21,16,20,0,0,139
UCL315023,5,9,4,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,9,9,0,0,0,24,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,14,9,0,0,0,27,11,3,4,0,0,0,0,20,0,0,0,0,0,0,0,0,16,9,16,9,5,0,0,46
UCL315024,6,8,8,0,4,0,0,19,0,3,0,0,0,0,0,4,0,0,0,5,0,0,0,4,11,15,9,5,5,0,0,39,0,0,0,0,0,0,0,7,0,7,3,0,0,0,0,4,0,7,5,0,0,0,0,13,10,22,14,7,9,0,0,58,6,10,11,6,5,0,0,38,0,5,0,0,0,0,0,5,14,36,24,20,9,0,0,101
UCL315025,5,5,7,7,5,0,0,30,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,7,8,6,8,0,0,38,3,0,0,0,0,0,0,5,0,4,3,5,0,0,0,13,4,4,0,3,0,0,0,13,11,14,10,10,8,0,0,54,8,7,11,5,4,0,0,38,0,0,0,0,0,0,0,0,23,26,20,17,11,4,0,92
UCL315026,7,12,9,7,16,3,0,51,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,23,23,15,31,3,0,98,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,6,0,0,0,0,3,9,29,18,15,31,3,0,105,15,17,12,3,7,0,0,54,0,0,0,3,0,0,0,5,17,43,35,19,36,3,0,168
UCL315027,10,10,10,0,5,0,0,33,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,16,9,3,15,0,0,54,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,4,0,0,0,0,5,8,18,12,3,14,0,0,61,15,21,12,0,4,0,0,57,0,0,0,0,0,0,0,0,25,41,22,8,21,0,0,120
UCL315028,0,0,5,3,0,0,0,15,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,3,8,7,4,4,0,29,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,3,6,3,8,5,12,4,0,33,4,7,3,4,0,0,0,22,0,0,0,0,0,0,0,0,8,8,14,12,13,4,0,58
UCL315029,0,6,3,3,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,20,4,0,0,0,0,31,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,4,17,12,0,3,0,0,38,6,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,7,20,14,8,3,0,0,48
UCL315030,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,3,7,0,3,0,0,21,4,0,0,0,0,0,0,9,0,5,0,0,0,0,0,6,8,4,0,0,0,0,0,8,7,5,10,0,5,0,0,27,36,20,15,12,5,0,0,86,0,0,0,0,0,0,0,0,41,28,25,15,9,0,0,121
UCL315031,4,9,9,4,6,0,0,34,0,3,6,0,0,0,0,5,0,0,0,0,0,0,0,0,12,23,22,10,9,0,0,79,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,14,28,22,10,9,0,0,83,9,11,3,5,0,0,0,21,0,0,0,0,0,0,0,0,18,34,22,13,10,0,0,106
UCL315032,14,27,19,11,9,0,0,79,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,23,49,41,27,22,7,0,169,0,0,3,4,0,0,0,12,5,0,0,0,0,0,0,3,6,5,4,4,0,0,0,18,30,59,44,27,23,7,0,184,17,25,7,8,10,0,0,73,3,0,0,0,0,0,0,5,52,80,48,36,39,6,0,265
UCL315033,4,9,3,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,7,3,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,9,5,4,0,0,29,7,7,4,4,3,0,0,25,0,3,0,0,0,0,0,7,11,21,15,7,6,0,0,58
UCL315034,0,4,6,7,7,0,0,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,12,12,12,9,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,7,3,12,15,12,8,0,0,55,7,5,5,3,0,0,0,12,0,0,0,0,0,0,0,0,9,15,16,11,12,0,0,68
UCL315035,7,17,8,14,8,0,0,56,3,9,3,4,0,0,0,18,0,0,0,0,0,0,0,0,12,40,21,23,19,0,0,119,0,0,0,0,0,0,0,4,0,4,3,3,0,0,0,10,0,7,3,0,0,0,0,12,13,48,26,25,17,3,0,128,25,33,12,9,3,0,0,74,0,0,0,0,0,0,0,4,36,81,37,30,24,3,0,208
UCL315036,5,6,3,7,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,8,6,11,0,0,42,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,8,13,5,11,8,13,0,0,58,15,9,7,0,5,0,0,30,0,0,0,0,0,0,0,0,23,13,19,8,13,0,0,90
