UCL_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
UCL115163,9,6,4,0,4,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,0,5,3,0,3,0,0,0,10,3,3,0,0,0,0,11,4,3,3,3,0,0,11,4,8,5,0,0,0,23,7,6,5,4,3,0,18,5,17,0,4,4,0,26,4,15,6,0,0,0,25,12,17,5,0,0,0,31,6,11,6,0,0,0,19,0,7,0,0,0,0,9,13,11,7,3,0,0,34,0,20,5,5,0,0,29,0,0,0,3,0,0,13,0,0,0,0,0,0,0,9,3,4,0,0,0,14,79,114,63,16,21,0,294
UCL115164,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,3,0,0,0,8,0,0,0,0,0,0,5,4,0,0,0,0,0,6,0,4,4,0,7,0,15,6,4,0,0,0,0,8,6,12,9,0,4,0,27,0,3,4,0,0,0,9,0,3,0,0,0,0,8,7,3,3,0,0,0,14,0,5,5,0,6,0,21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,12,40,50,39,11,15,0,155
UCL115165,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,5,6,4,0,3,0,14,5,10,3,0,0,0,24,5,14,6,0,0,0,22,5,4,3,0,3,0,15,10,5,4,0,0,0,20,3,3,5,0,0,0,8,0,4,3,0,0,0,6,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,59,34,8,5,0,141
UCL121001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,3,3,5,3,0,0,0,4,5,5,0,3,0,0,13,0,12,0,0,0,0,11,10,3,4,0,0,0,13,9,4,0,0,0,0,12,0,6,0,0,0,0,3,3,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,31,34,17,0,5,0,90
UCL121002,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,3,0,0,0,0,4,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,3,6,0,0,31
UCL121003,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,5,0,7,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,7,5,0,0,0,0,0,5,0,4,0,0,0,0,4,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,24,26,7,0,3,0,55
UCL121004,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,3,3,0,3,0,0,0,3,0,4,4,0,0,0,10,0,3,0,0,0,0,3,4,6,0,4,0,0,12,0,10,0,0,0,0,11,8,10,0,0,4,0,24,4,6,0,0,0,0,9,0,0,0,0,0,0,0,8,6,0,0,0,0,10,7,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,39,62,12,8,9,0,131
UCL121005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,0,0,0,4,0,3,0,0,0,0,3,0,0,4,0,0,0,3,3,10,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,0,0,0,0,11,3,9,4,0,4,0,19,0,5,4,0,0,0,4,0,0,0,0,0,0,8,4,5,0,0,0,0,7,27,39,22,4,7,0,97
UCL121006,5,0,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,6,4,6,0,0,0,0,3,0,3,0,0,0,0,3,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,25,11,0,6,0,62
UCL121007,3,0,0,0,0,0,3,3,0,0,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,7,6,3,0,0,0,0,15,0,7,4,4,0,0,15,4,0,0,0,0,0,8,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,24,9,11,5,0,79
UCL121008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12
UCL121009,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,9,0,0,0,0,10,4,7,0,0,0,0,9,8,4,0,0,0,0,14,0,4,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,3,6,6,0,66
UCL121010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,4,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,0,0,0,0,7,20,22,8,4,0,0,53
UCL121011,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,9,4,9,0,3,0,0,12,0,3,0,0,0,0,5,3,3,0,4,0,0,10,0,0,0,0,0,0,6,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,25,10,17,5,0,69
UCL121012,0,0,4,0,0,0,11,3,0,0,0,0,0,3,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,4,0,0,0,0,0,8,3,0,0,0,0,0,8,0,0,0,0,0,0,3,5,0,4,0,0,0,8,0,0,0,0,0,0,4,0,4,8,0,0,0,14,0,0,4,0,0,0,3,0,0,0,0,0,0,7,6,10,0,0,0,0,14,6,18,0,0,0,0,25,6,3,0,0,0,0,9,0,4,0,0,0,0,7,6,3,9,0,0,0,12,40,48,31,3,4,0,132
UCL121013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,0,5,5,0,21
UCL121014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,6,5,5,0,0,0,0,5,0,0,5,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,3,0,0,0,0,4,0,0,0,0,0,0,5,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,6,4,0,0,58
UCL121015,3,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,5,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,14,5,7,7,0,3,0,26,0,5,3,0,0,0,12,0,3,0,0,0,0,5,4,6,6,0,0,0,8,21,38,31,0,9,0,99
UCL121016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,5,0,3,0,0,0,0,3,5,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,3,0,5,0,0,0,0,3,0,0,0,0,0,0,6,0,3,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,5,0,0,0,0,8,24,31,10,4,4,0,76
UCL121017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,4,0,0,0,0,5,0,4,0,0,0,0,8,0,7,0,0,0,0,9,0,0,0,0,0,0,8,0,3,0,0,0,0,3,6,14,3,6,0,0,23,10,28,0,0,0,0,38,3,13,0,0,0,0,19,4,5,0,0,0,0,6,3,5,3,0,0,0,11,39,89,14,7,0,0,155
UCL121018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,3,3,3,0,0,0,14,0,9,4,0,0,0,15,7,0,0,0,0,0,15,3,6,0,0,0,0,20,0,3,0,0,0,0,12,5,8,3,0,0,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,9,36,63,23,4,0,0,129
UCL121019,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,3,0,0,0,0,0,11,0,0,0,0,0,0,5,0,7,5,0,0,0,6,0,4,0,0,0,0,5,0,6,0,0,0,0,12,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,7,5,0,0,0,14,4,10,0,0,0,0,18,0,0,3,0,0,0,8,0,0,0,0,0,0,0,4,4,0,0,0,0,6,21,48,24,0,0,0,97
UCL121020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,5,0,0,0,0,0,4,5,0,0,4,0,0,3,0,5,0,0,0,0,5,0,0,0,0,0,0,5,3,0,0,0,0,0,9,0,3,0,0,0,0,6,0,3,0,0,0,0,5,4,0,0,0,0,0,3,0,10,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,31,12,8,3,0,75
UCL121021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,9,4,4,0,3,0,0,13,4,0,0,0,0,0,4,0,5,0,0,0,0,8,0,0,3,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,10,9,3,0,48
UCL121022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,3,3,0,0,0,9,0,0,3,0,0,0,4,0,5,0,0,0,0,6,4,3,0,0,0,0,10,4,8,0,0,0,0,10,0,5,0,0,0,0,5,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,21,9,0,0,0,50
UCL121023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,7,6,0,0,0,0,0,9,7,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,20,5,5,6,7,0,45
UCL121024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,9,6,4,0,0,0,0,6,0,6,3,0,0,0,12,0,6,0,0,0,0,7,0,0,0,6,0,0,9,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,6,23,30,7,14,4,0,67
UCL121025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,3,0,0,5,0,6,0,0,0,0,0,0,9,3,3,0,0,0,0,10,0,0,3,0,0,0,10,0,0,0,0,0,0,4,0,9,6,0,0,0,13,6,11,0,3,0,0,15,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,5,0,0,3,0,5,18,48,22,3,14,0,96
UCL121026,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,6,3,0,0,0,0,0,8,5,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,7,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,20,9,5,6,0,69
UCL121027,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,0,0,3,5,9,0,0,0,0,14,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,3,0,0,0,6,5,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,0,0,7,8,32,16,9,3,0,75
UCL121028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,8,4,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,0,0,0,3,0,7,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,4,0,0,0,4,23,15,0,3,3,0,48
UCL121029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,6,0,6,0,0,0,0,11,3,5,0,0,0,0,13,3,3,0,0,0,0,10,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,24,24,7,4,8,0,68
UCL121030,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,3,3,0,5,0,0,10,0,3,0,0,0,0,8,6,9,0,0,3,0,14,4,4,3,0,0,0,7,3,0,0,0,0,0,9,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,24,6,11,6,0,77
UCL121031,4,4,0,0,0,0,9,4,0,0,0,0,0,4,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,5,0,0,0,0,8,0,0,0,4,0,0,3,8,5,0,0,0,0,9,5,0,3,0,0,0,8,0,3,0,0,0,0,5,5,7,0,0,0,0,15,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,12,42,34,7,7,5,0,99
UCL121032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,6,5,0,0,0,0,0,9,3,4,0,0,0,0,10,0,0,0,0,0,0,3,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,5,3,0,0,43
UCL121033,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,5,0,0,0,0,5,0,9,0,0,0,0,4,4,4,0,0,0,0,7,0,7,0,0,0,0,10,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,41,4,10,5,0,70
UCL121034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,5,0,0,0,0,7,0,3,4,0,0,0,7,0,0,0,0,0,0,5,4,4,3,0,3,0,18,0,4,0,0,0,0,5,0,3,0,0,0,0,3,4,4,0,0,0,0,9,3,7,0,0,0,0,11,0,7,0,0,0,0,3,0,0,0,0,0,0,3,0,5,3,0,0,0,8,23,52,13,6,8,0,103
UCL121035,3,0,0,0,3,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,7,0,0,0,14,0,11,0,3,3,0,20,7,0,0,0,5,0,11,4,9,8,0,0,0,20,0,5,8,0,0,0,14,11,13,0,0,3,0,22,0,5,0,0,0,0,8,0,6,0,0,0,0,10,0,8,5,3,0,0,14,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,43,63,27,16,19,4,169
UCL121036,4,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,12,4,0,5,0,5,0,11,3,6,7,0,0,0,17,3,5,3,0,0,0,10,0,0,0,0,0,0,5,3,14,0,0,0,0,19,0,3,0,0,0,0,4,7,20,9,0,0,0,36,4,10,0,0,0,0,12,0,8,0,0,0,0,8,5,13,4,5,0,0,23,3,17,0,0,0,0,24,0,0,0,0,0,0,0,4,3,0,0,0,0,4,0,0,3,0,0,0,8,49,103,31,10,7,0,203
UCL121037,0,0,4,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,5,3,5,0,0,0,0,8,0,0,0,0,0,0,4,0,3,0,0,0,0,14,4,4,0,0,0,0,7,0,6,0,0,0,0,5,0,0,3,0,3,0,9,3,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,9,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,32,17,3,3,0,81
UCL121038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,6,7,5,0,0,0,0,8,0,7,0,0,0,0,8,3,10,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,20,21,8,0,5,0,52
UCL121039,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,6,6,0,0,0,17,7,0,0,0,0,0,10,3,15,0,0,0,0,20,3,4,0,0,0,0,10,21,37,9,5,4,0,81
