UCL_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
UCL113003,134,0,0,0,0,136,176,6,0,0,0,180,174,0,0,0,0,178,331,0,0,0,0,334,319,3,0,0,0,321,471,0,0,0,0,475,223,0,0,0,0,229,110,0,0,0,0,110,38,0,0,0,0,38,25,0,0,0,0,22,23,0,0,0,0,23,142,0,0,0,0,142,2165,8,0,0,4,2182
UCL113004,47,11,0,0,0,59,19,6,0,0,0,24,8,0,0,0,0,14,9,5,4,0,0,17,13,8,0,0,0,19,48,15,4,4,0,70,59,35,7,0,0,102,98,34,12,0,0,145,65,37,3,0,0,105,100,27,7,0,0,135,138,17,8,0,0,162,55,14,0,0,0,75,658,217,53,3,0,925
UCL113005,62,0,0,0,0,68,36,0,0,0,0,39,52,5,6,0,0,58,120,3,0,4,0,123,174,7,0,3,0,182,521,8,11,0,0,548,381,12,6,6,0,396,217,3,0,3,0,228,51,0,0,0,0,46,36,0,0,0,0,37,28,0,0,0,0,34,78,0,0,3,0,86,1753,37,24,20,0,1838
UCL113006,38,0,0,0,0,36,39,0,0,0,0,44,25,0,0,0,0,27,71,0,0,0,0,71,97,0,0,0,0,102,306,0,0,0,0,305,170,4,0,0,0,174,91,0,0,0,0,91,23,0,0,0,0,23,14,0,0,0,0,14,11,0,0,0,0,11,56,5,0,0,0,61,946,9,10,3,0,966
UCL113007,83,11,7,0,0,104,16,0,7,0,0,25,14,4,0,0,0,16,31,8,0,0,0,42,36,6,0,0,0,40,122,16,9,0,0,145,133,41,7,0,0,178,279,56,10,0,0,348,240,37,7,0,0,277,262,25,9,0,0,293,143,9,3,0,0,157,77,15,6,0,0,100,1438,229,60,0,0,1727
UCL113008,53,7,0,0,0,63,28,0,0,0,0,30,31,4,0,0,0,35,63,3,0,0,0,59,86,5,0,0,0,94,279,6,0,0,0,292,246,5,0,0,0,251,174,0,3,0,0,179,81,0,0,0,0,85,48,0,0,0,0,48,22,0,0,0,0,22,50,3,0,0,0,58,1167,37,6,3,4,1217
UCL113009,53,0,0,0,0,54,24,0,0,0,0,24,19,0,0,0,0,15,40,0,0,0,0,40,56,0,0,0,0,61,202,5,0,0,0,208,262,4,0,0,0,264,401,0,0,0,0,397,209,0,0,0,0,209,148,0,0,0,0,148,53,0,0,0,0,53,80,0,0,0,0,79,1545,12,3,0,0,1562
UCL113010,39,9,0,0,0,46,27,0,0,0,0,30,21,0,0,0,0,21,36,4,0,0,0,37,60,6,0,0,0,65,208,12,0,0,0,220,295,12,0,0,0,300,380,6,0,0,0,381,119,0,0,0,0,120,53,4,0,0,0,64,39,0,0,0,0,39,61,3,0,0,0,64,1343,43,0,3,0,1390
UCL113011,46,4,0,0,0,47,27,0,0,0,0,27,24,0,0,0,0,22,66,4,0,0,0,75,93,0,0,0,0,93,306,8,0,0,0,312,343,5,0,0,0,345,242,0,0,0,0,241,66,0,0,0,0,70,64,0,0,0,0,64,38,0,0,0,0,38,82,0,0,0,0,82,1389,25,3,0,0,1415
UCL113012,84,20,3,0,0,108,25,8,6,0,0,35,20,8,0,0,0,26,29,10,4,0,0,49,36,14,5,0,0,57,126,39,8,0,0,180,142,49,13,0,0,203,270,68,9,0,0,346,150,12,3,0,0,171,116,7,5,0,0,127,70,7,0,0,0,77,68,9,5,0,0,90,1151,250,54,0,0,1464
UCL113013,47,6,0,0,0,56,28,6,0,0,0,31,24,6,0,0,0,33,72,3,0,0,0,77,76,12,0,0,0,90,329,51,0,0,0,385,414,14,0,0,0,425,325,11,0,0,0,331,81,0,0,0,0,83,32,0,0,0,0,32,22,0,0,0,0,26,75,0,0,0,0,79,1527,112,5,3,0,1652
UCL113014,69,0,0,0,0,71,15,0,3,0,0,23,23,3,0,0,0,25,40,4,0,0,0,50,71,13,4,0,0,80,280,23,3,0,0,303,471,13,5,0,0,490,513,16,3,0,0,530,179,4,0,0,0,187,96,6,4,0,0,110,54,0,0,0,0,54,112,9,0,0,0,123,1919,94,20,0,0,2041
UCL113015,81,0,0,0,0,80,30,0,0,0,0,30,35,3,0,0,0,37,45,0,0,0,0,42,81,0,0,0,0,84,193,4,5,0,0,199,236,5,0,0,0,243,270,4,0,0,0,278,79,4,0,0,0,84,53,0,0,0,0,54,28,0,0,0,0,28,76,0,0,0,0,74,1205,20,9,0,0,1238
UCL113016,73,7,6,0,0,80,40,0,5,0,0,50,51,3,0,0,0,55,104,0,9,0,0,114,133,11,3,0,0,149,432,24,3,0,0,454,326,6,0,0,0,333,204,0,0,0,0,204,74,0,0,0,0,72,36,0,0,0,0,38,26,4,0,0,0,28,84,4,0,0,0,90,1573,58,25,0,0,1655
UCL113017,95,8,3,0,0,103,35,0,0,0,0,35,32,6,0,0,0,35,51,0,0,0,0,50,79,5,3,0,0,85,206,12,0,0,0,220,214,12,0,0,0,227,256,8,5,0,0,274,140,0,0,0,0,144,91,0,0,0,0,93,56,0,0,0,0,58,74,5,0,0,0,81,1338,47,16,5,3,1410
UCL113018,8,0,0,0,0,11,8,0,0,0,0,9,7,0,0,0,0,5,11,0,0,0,0,14,27,0,0,0,0,31,57,0,0,0,0,57,56,0,0,0,0,57,54,0,0,0,0,51,19,0,0,0,0,19,9,0,0,0,0,9,4,0,0,0,0,4,22,0,0,0,0,16,280,9,5,0,0,292
UCL114001,23,4,0,0,0,26,4,0,0,0,0,9,13,8,0,0,0,17,12,8,0,0,0,24,31,0,0,0,0,36,77,20,0,0,0,98,85,20,0,0,0,103,112,9,0,0,0,121,47,4,0,0,0,55,29,0,0,0,0,28,13,0,0,0,0,10,40,4,0,0,0,47,485,82,0,0,0,568
