UCL_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL121037,305,732,3,12,0,0,3,12,0,4,0,0,0,0,0,0,5,0,6,9,0,0,0,0,0,0,0,0,0,0,0,4,320,753,173,..,493,753
UCL121038,220,490,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,496,23,..,248,496
UCL121039,215,629,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,7,10,0,3,226,653,15,..,243,653
UCL121040,166,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,485,6,..,175,485
UCL121041,239,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,248,554,49,..,290,554
UCL121042,183,415,4,17,14,26,20,47,7,16,0,0,0,0,0,0,0,0,7,16,0,0,14,19,0,0,0,0,14,19,0,0,230,499,244,..,468,499
UCL121043,215,632,0,4,0,0,0,4,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,8,218,648,7,..,227,648
UCL121044,174,456,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,4,180,465,4,..,183,465
UCL121045,218,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,0,0,221,493,56,..,277,493
UCL121046,166,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,478,7,..,170,478
UCL121047,216,553,3,3,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,9,229,573,39,..,267,573
UCL121048,164,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,0,0,0,0,18,24,0,0,174,481,6,..,186,481
UCL121049,195,550,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,193,559,17,..,210,559
UCL121050,176,323,18,23,10,12,23,35,25,36,85,128,0,0,0,0,0,0,106,168,4,16,18,23,0,0,0,4,23,42,0,0,330,563,80,..,416,563
UCL121051,377,826,16,14,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,398,855,53,..,451,855
UCL121052,199,469,63,92,28,45,93,134,43,64,6,9,9,23,0,0,0,0,61,91,0,0,4,19,0,0,0,0,4,19,3,21,365,734,294,..,663,734
UCL121053,280,603,16,15,0,0,15,14,10,11,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,5,0,5,0,0,308,630,57,..,361,630
UCL121054,217,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,217,751,6,..,223,751
UCL121055,239,571,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20,31,0,3,0,0,0,0,18,29,0,0,258,615,14,..,277,615
UCL121056,330,868,4,9,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,881,41,..,379,881
