UCL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL315050,63,70,174,505,698,380,345,952,360,3241
UCL315051,33,10,70,739,1122,531,410,824,166,3795
UCL315052,27,0,42,499,853,401,265,664,174,2860
UCL315053,44,12,79,435,633,203,171,493,289,2221
UCL315054,19,22,59,535,688,346,370,837,264,3036
UCL315055,38,12,82,402,698,444,358,796,254,2946
UCL315056,31,32,77,233,383,215,146,281,132,1391
UCL315057,85,15,168,420,804,462,315,501,143,2637
UCL315058,8,0,9,534,708,288,251,562,244,2595
UCL315059,31,0,40,283,351,143,111,252,62,1203
UCL315060,0,0,11,344,573,238,195,295,41,1683
UCL315061,0,0,0,183,307,112,87,219,597,1515
UCL315062,21,22,58,184,240,111,67,328,165,1105
UCL315063,20,3,34,176,242,148,110,328,115,1114
UCL315064,32,3,39,173,261,118,128,270,197,1147
UCL315065,49,6,79,110,201,117,97,285,88,891
UCL315066,16,0,32,464,761,398,262,469,192,2538
UCL315067,19,5,31,312,457,297,242,482,122,1924
UCL315068,22,3,47,256,346,148,126,324,163,1375
UCL315069,38,17,66,271,388,242,232,660,351,2146
UCL315070,5,3,18,206,317,151,129,328,267,1386
UCL315071,3,6,6,148,250,96,82,184,58,813
UCL315072,22,10,44,147,166,78,81,309,134,917
UCL315073,56,10,94,249,338,179,173,473,175,1590
UCL315074,64,13,102,429,643,332,325,861,320,2915
UCL315075,5,3,28,159,323,155,111,199,124,1069
UCL315076,63,6,114,554,853,384,313,1109,224,3431
UCL315077,0,0,0,451,208,101,48,519,120,1444
UCL315078,138,7,197,413,539,265,242,677,167,2301
UCL315079,7,0,23,260,458,244,177,235,81,1452
UCL315080,32,16,64,830,1074,372,238,1019,625,4153
UCL315081,74,6,128,515,672,305,252,834,201,2785
UCL315082,4,4,10,177,293,160,94,200,124,1043
UCL315083,3,0,9,170,297,130,87,163,52,886
UCL315084,12,4,23,305,477,280,203,451,69,1783
UCL315085,16,52,84,371,635,293,235,626,288,2449
UCL315086,25,7,49,442,757,485,410,895,354,3349
UCL315087,11,0,23,498,681,402,265,297,24,2158
UCL315088,41,11,85,441,628,283,269,785,358,2761
UCL315089,18,16,45,358,483,184,154,562,239,1968
UCL315090,109,13,213,657,1054,607,429,1010,347,4111
UCL315091,10,0,12,448,427,144,125,698,205,2044
UCL315092,43,22,102,282,476,330,282,567,194,2133
UCL315093,27,0,48,148,181,97,109,268,43,835
UCL315094,14,5,28,309,511,285,257,502,105,1968
UCL315095,40,12,74,341,369,173,131,606,268,1886
UCL315096,21,8,46,512,726,314,257,650,291,2747
UCL315097,10,0,14,330,426,182,125,327,87,1477
UCL315098,4,0,10,587,832,289,205,690,436,3044
UCL315099,7,0,13,685,835,387,245,589,100,2836
UCL315100,6,4,9,205,246,128,110,270,93,1045
UCL315101,5,0,12,273,417,246,139,249,36,1363
UCL315102,48,12,87,249,350,191,187,414,136,1531
UCL315103,11,0,13,171,314,150,97,235,144,1107
UCL315104,61,4,81,317,480,248,228,538,1522,3336
UCL315105,15,0,30,196,289,211,181,303,95,1272
UCL315106,4,0,8,266,444,154,147,297,57,1371
UCL315107,13,5,30,366,605,266,200,487,123,2039
UCL315108,0,0,5,583,61,39,44,113,39,876
UCL315109,13,0,30,161,254,175,112,150,57,901
UCL321001,0,0,9,72,100,66,74,162,35,499
UCL321002,38,4,55,105,164,88,83,212,57,706
UCL321003,0,0,4,74,115,75,58,108,67,493
UCL321004,5,7,20,71,104,56,56,88,59,448
UCL321005,0,0,3,97,169,68,69,109,79,587
UCL321006,0,0,0,66,105,51,64,136,39,461
UCL321007,0,0,3,194,300,118,105,344,190,1256
UCL321008,0,0,9,120,196,133,133,193,104,881
UCL321009,10,6,40,179,290,107,80,241,130,1021
UCL321010,5,0,9,116,155,81,58,201,50,676
UCL321011,0,0,0,116,162,90,81,106,32,594
UCL321012,19,3,28,86,112,64,51,183,74,578
UCL321013,0,0,0,117,193,126,87,102,45,673
UCL321014,0,0,0,65,111,52,55,82,23,391
UCL321015,19,20,50,144,220,79,93,276,87,905
UCL321016,7,6,19,73,102,64,75,157,59,532
UCL321017,4,0,6,160,255,167,98,88,37,802
UCL321018,4,0,4,84,149,71,73,129,41,544
UCL321019,0,0,4,132,226,125,81,170,34,765
UCL321020,7,0,10,121,202,107,70,174,36,710
UCL321021,8,0,9,94,151,94,83,101,101,621
UCL321022,3,0,6,103,128,99,64,80,51,525
UCL321023,8,5,14,107,153,81,59,160,63,620
UCL321024,0,0,8,81,115,56,46,116,23,438
UCL321025,5,0,10,90,147,76,70,96,29,505
UCL321026,0,0,5,70,130,51,56,80,34,417
UCL321027,3,0,9,141,198,103,54,102,48,646
UCL321028,4,0,9,124,152,77,94,149,122,721
UCL321029,9,4,25,113,224,136,94,149,58,785
UCL321030,5,3,4,78,114,54,62,116,25,440
UCL321031,5,0,9,114,255,121,105,155,70,822
UCL321032,3,0,6,293,440,282,183,306,97,1598
UCL321033,0,0,0,125,261,125,86,154,68,822
UCL321034,17,0,31,123,181,86,46,355,60,856
UCL321035,7,0,14,236,390,252,207,406,96,1596
UCL321036,4,0,9,152,226,130,95,185,56,844
UCL321037,3,0,15,94,175,87,55,156,74,644
UCL321038,10,0,13,131,222,117,89,167,40,773
UCL321039,18,0,45,138,238,189,135,158,41,892
UCL321040,4,0,10,106,159,89,76,80,31,542
UCL321041,17,7,40,112,136,103,99,237,95,783
UCL321042,0,0,9,106,154,59,49,138,27,538
UCL321043,0,0,4,136,164,92,70,113,26,603
UCL321044,6,0,18,242,363,244,242,453,222,1768
UCL321045,0,0,3,175,273,112,100,113,50,826
UCL321046,4,0,8,113,137,71,58,102,7,493
UCL321047,7,0,8,124,155,76,71,144,42,619
UCL321048,5,0,14,65,96,63,46,118,42,434
UCL321049,0,0,0,79,123,39,62,70,40,420
UCL321050,8,0,9,118,161,67,66,141,91,638
UCL321051,27,4,36,111,172,110,88,207,106,801
UCL321052,3,0,3,123,107,57,113,162,55,624
UCL321053,0,0,0,78,103,24,36,119,32,397
UCL321054,3,0,8,79,178,87,47,112,35,544
UCL321055,15,7,29,128,181,82,67,248,106,810
UCL321056,10,3,26,96,147,67,60,193,60,617
UCL321057,28,11,46,73,123,65,91,178,81,612
UCL321058,9,3,20,138,185,124,86,178,73,787
UCL321059,8,0,10,177,292,170,106,140,44,926
UCL321060,25,5,36,91,135,68,76,184,51,604
UCL321061,5,0,13,93,146,80,58,143,67,587
UCL321062,0,0,0,275,58,50,138,97,175,795
UCL321063,3,3,11,150,236,131,118,118,56,812
UCL321064,5,3,15,79,125,64,61,146,98,571
UCL321065,6,0,15,185,269,141,125,270,60,1046
UCL321066,8,0,21,77,125,63,61,112,46,481
UCL321067,6,0,6,129,78,69,32,82,55,447
UCL321068,6,0,12,125,203,119,68,107,36,654
UCL321069,9,0,22,142,248,173,112,140,69,887
UCL321070,3,5,8,91,181,93,60,83,36,544
UCL321071,0,0,3,89,143,82,69,87,38,498
UCL321072,3,0,10,123,181,100,95,118,32,645
UCL321073,6,0,8,152,202,107,68,132,80,751
UCL321074,13,3,23,98,163,68,66,200,76,676
UCL321075,4,0,4,185,275,137,110,166,38,905
UCL321076,0,0,0,87,169,18,19,127,207,631
UCL321077,0,0,0,57,85,27,36,99,204,509
UCL321078,0,0,0,78,112,53,51,114,28,445
UCL321079,0,4,3,199,203,59,66,302,140,963
UCL321080,6,0,14,256,385,195,167,260,772,2028
UCL321081,4,0,10,80,143,59,65,70,22,439
UCL321082,6,0,8,90,121,76,78,105,18,492
UCL321083,9,0,10,241,337,144,153,287,74,1236
UCL321084,4,0,14,133,208,123,62,95,75,694
UCL321085,9,0,13,47,143,112,86,121,40,554
UCL321086,0,0,0,49,89,102,111,35,81,468
UCL321087,4,0,5,113,152,83,46,56,42,499
UCL321088,11,3,27,83,164,66,73,186,84,665
UCL321089,9,4,12,38,114,65,51,117,93,473
UCL321090,12,4,28,125,200,128,68,108,27,652
UCL321091,3,0,13,63,80,49,55,128,85,458
UCL321092,4,0,9,52,99,69,67,106,67,454
UCL321093,8,3,13,103,143,73,80,141,31,578
UCL321094,5,3,16,101,165,86,53,127,18,540
UCL321095,11,0,17,149,243,110,81,146,78,799
UCL321096,17,8,29,124,125,68,52,141,86,603
UCL321097,7,5,6,145,234,114,89,192,38,806
UCL321098,6,0,9,91,100,61,50,101,7,409
UCL321099,16,0,23,91,113,74,64,177,77,588
UCL321100,16,0,23,79,100,36,49,148,59,472
UCL321101,19,3,40,80,132,71,69,195,54,595
UCL321102,0,0,0,133,188,82,61,139,25,623
UCL321103,10,4,16,141,259,117,98,208,60,877
UCL321104,0,0,0,114,141,50,63,115,52,528
UCL321105,11,0,19,220,336,181,148,182,85,1152
UCL321106,20,4,35,197,242,129,106,265,103,1038
UCL321107,10,5,18,140,154,68,79,128,45,615
UCL321108,5,5,14,87,109,44,40,110,61,450
UCL321109,8,0,21,131,184,55,43,174,119,706
UCL321110,13,0,22,156,211,125,124,111,43,774
UCL321111,0,0,10,108,178,112,79,138,73,686
UCL321112,0,0,0,313,102,24,11,164,49,663
UCL321113,4,0,4,96,94,58,42,165,77,533
UCL321114,14,6,29,125,135,96,95,245,88,782
UCL322001,0,0,0,40,89,54,35,41,20,286
UCL322002,3,3,7,35,58,19,22,63,23,226
UCL322003,0,0,5,15,40,23,14,42,22,155
UCL322004,0,0,7,56,113,57,29,73,61,384
UCL322005,0,0,0,22,52,27,20,54,10,184
UCL322006,0,0,8,39,71,41,17,46,21,230
UCL322007,3,0,9,52,51,25,33,75,25,267
UCL322008,0,0,0,24,43,41,23,26,18,176
UCL322009,3,4,12,41,35,34,19,59,33,228
UCL322010,4,0,3,50,64,62,43,98,47,366
UCL322011,0,0,3,65,125,72,39,64,16,389
UCL322012,8,0,13,52,80,40,32,73,38,319
UCL322013,0,0,3,69,120,59,47,56,28,382
UCL322014,4,4,9,25,57,30,17,59,11,202
UCL322015,0,0,9,45,81,49,37,54,32,298
UCL322016,0,0,0,38,60,15,27,44,16,199
UCL322017,0,0,0,56,17,4,0,50,10,140
UCL322018,0,0,3,53,112,73,73,96,45,452
UCL322019,6,5,13,38,90,67,33,54,28,318
UCL322020,0,0,0,26,43,12,13,52,25,170
UCL322021,0,0,5,27,28,28,22,24,12,138
UCL322022,0,0,3,12,24,8,12,57,20,141
UCL322023,0,0,5,51,105,65,63,80,19,382
UCL322024,0,0,6,64,125,68,38,98,14,416
UCL322025,0,0,0,19,20,5,6,37,22,109
UCL322026,0,0,0,29,42,26,12,63,28,192
UCL322027,5,0,5,17,28,17,16,35,16,123
UCL322028,5,0,10,29,45,32,16,48,19,190
UCL322029,0,0,0,71,40,8,7,48,30,204
UCL322030,4,0,8,36,63,54,35,79,42,306
UCL322031,0,0,5,40,79,48,42,41,17,266
UCL322032,0,0,0,11,28,19,5,22,3,82
UCL322033,0,0,0,22,17,0,3,22,6,76
UCL322034,0,3,10,42,84,32,24,68,46,295
UCL322035,3,0,8,39,68,25,35,111,30,304
UCL322036,0,3,3,80,105,73,52,129,24,463
UCL322037,0,0,9,15,44,8,23,48,13,153
UCL322038,4,3,8,52,65,32,37,106,46,342
UCL322039,3,0,7,36,54,21,21,55,22,207
UCL322040,0,0,0,70,106,31,35,47,36,325
UCL322041,4,0,5,104,38,7,17,54,19,239
UCL322042,0,0,0,39,70,32,27,43,13,218
UCL322043,3,0,3,41,81,31,13,39,28,243
UCL322044,0,0,3,23,46,30,25,35,43,194
UCL322045,0,0,8,53,94,36,43,77,26,337
UCL322046,0,0,5,73,97,36,24,79,34,343
UCL322047,0,0,0,17,8,0,0,25,11,67
UCL322048,0,0,6,24,43,16,17,45,24,176
UCL322049,3,0,0,31,58,26,15,84,19,242
UCL322050,0,0,0,84,99,29,21,64,71,370
UCL322051,0,3,3,37,61,29,14,33,15,188
UCL322052,0,0,3,30,29,33,14,63,8,170
UCL322053,0,0,6,52,98,56,29,68,38,343
UCL322054,3,0,3,50,76,54,40,57,48,309
UCL322055,0,0,5,61,72,42,42,107,20,346
UCL322056,0,0,0,35,32,48,27,35,0,170
UCL322057,0,0,0,78,97,51,58,75,14,385
UCL322058,4,5,15,44,101,77,41,80,20,359
UCL322059,0,0,0,39,84,36,0,18,13,196
UCL322060,0,3,11,74,88,61,46,92,36,394
UCL322061,0,0,0,94,48,16,14,76,37,278
UCL322062,4,0,10,43,58,16,23,72,25,239
UCL322063,0,0,5,57,68,19,22,78,56,304
UCL322064,0,0,0,48,58,37,30,28,27,228
UCL322065,3,0,3,27,43,19,16,35,38,182
UCL322066,0,0,0,24,58,40,36,46,24,226
UCL322067,5,0,6,70,112,42,28,147,53,447
UCL322068,0,0,5,34,67,42,33,52,8,223
UCL322069,4,0,8,47,93,44,36,66,31,323
UCL322070,8,4,14,60,86,39,42,92,33,358
UCL322071,0,0,0,18,24,4,0,22,13,86
UCL322072,0,0,3,30,60,24,21,59,10,207
UCL322073,8,0,15,55,99,42,59,93,24,373
UCL322074,0,3,7,25,47,43,27,76,20,245
UCL322075,0,0,0,93,19,3,3,39,5,166
UCL322076,0,0,0,104,36,29,40,32,58,298
UCL322077,0,0,0,98,67,5,3,111,25,304
UCL322078,5,0,3,24,37,21,22,58,27,185
UCL322079,0,0,0,51,63,42,26,39,4,229
UCL322080,0,0,3,26,50,35,33,35,10,192
UCL322081,9,4,12,49,61,39,31,57,42,269
UCL322082,4,0,7,53,87,46,41,66,40,328
UCL322083,0,0,4,34,38,17,27,33,20,167
UCL322084,4,0,4,17,33,9,14,75,56,203
UCL322085,4,0,6,64,107,59,37,83,52,401
UCL322086,0,0,3,30,39,30,17,57,29,197
UCL322087,0,0,0,63,132,66,51,39,22,369
UCL322088,0,0,4,40,35,22,33,63,26,204
UCL322089,7,4,11,46,94,33,26,83,33,325
UCL322090,0,0,3,35,61,35,14,34,12,188
UCL322091,0,0,4,30,52,28,27,25,13,182
UCL322092,0,0,0,50,47,8,9,121,39,262
UCL322093,0,0,4,41,80,45,30,50,39,278
UCL322094,0,0,5,21,50,47,16,28,15,180
UCL322095,3,0,11,48,78,30,50,108,17,327
UCL322096,4,0,4,66,117,49,45,72,13,363
UCL322097,7,5,9,48,94,58,25,80,51,356
UCL322098,4,0,4,66,86,45,26,56,17,296
UCL322099,0,0,0,34,36,31,44,71,32,237
UCL322100,3,0,6,76,103,28,28,98,17,357
UCL322101,3,4,6,41,80,48,29,75,71,352
UCL322102,5,0,5,100,26,19,12,41,13,209
UCL322103,3,0,10,59,67,35,44,71,35,312
UCL322104,3,0,7,71,84,34,31,85,18,324
UCL322105,5,0,6,28,33,23,31,65,25,203
UCL322106,0,0,0,42,48,17,10,63,37,220
UCL322107,0,0,0,15,26,21,9,26,15,111
UCL322108,3,0,3,24,42,25,17,57,12,181
UCL322109,0,0,0,67,89,44,35,73,22,326
UCL322110,0,0,5,73,98,35,34,73,57,368
UCL322111,0,0,0,47,66,28,31,38,30,245
UCL322112,0,0,4,31,84,31,40,35,26,243
UCL322113,0,0,0,37,58,8,9,66,31,202
UCL322114,6,0,9,46,82,44,27,95,31,319
UCL322115,5,0,3,45,62,22,24,62,19,233
UCL322116,0,0,3,32,47,39,28,26,38,198
UCL322117,4,0,11,43,93,43,26,63,22,284
UCL322118,0,0,4,40,45,26,14,53,23,212
UCL322119,0,0,0,43,49,15,7,34,5,154
UCL322120,7,8,15,47,89,37,48,113,41,367
UCL322121,6,0,8,51,90,59,60,100,44,399
UCL322122,3,0,6,35,85,44,27,58,27,280
UCL322123,0,0,6,13,54,27,21,43,22,182
UCL322124,3,0,0,28,44,14,18,36,23,170
UCL322125,0,0,4,49,61,57,42,88,35,333
UCL322126,26,12,42,35,40,15,18,86,31,224
UCL322127,4,0,12,63,99,76,49,110,25,428
UCL322128,0,0,0,61,29,23,32,45,41,235
UCL322129,3,0,0,33,33,31,20,46,7,179
UCL322130,4,0,8,44,60,35,40,106,22,313
UCL322131,0,0,4,21,46,21,15,45,14,162
UCL322132,0,0,5,49,58,46,45,79,38,319
UCL322133,0,0,4,47,52,47,11,23,6,187
UCL322134,3,0,5,18,16,21,6,22,11,92
UCL322135,0,0,0,70,15,0,0,107,9,199
UCL322136,0,0,0,53,96,49,30,35,22,293
UCL322137,0,0,3,23,47,27,17,29,3,151
UCL322138,0,0,4,29,46,17,20,56,13,184
UCL322139,0,0,0,30,23,3,43,73,14,184
UCL331001,2090,646,5145,65401,96411,51736,44695,71866,40453,370559
UCL379997,0,0,0,6,6,3,0,34,135,183
UCL399994,24,11,44,2216,2411,933,689,3525,3463,13234
UCL401001,17612,2780,33293,217673,296726,127078,81365,265306,45398,1033551
UCL412001,391,126,838,4718,6850,3057,2095,5599,1087,23401
UCL412002,224,23,415,3852,5622,2326,1599,3180,647,17222
UCL412003,376,125,804,4317,6142,2766,1956,5321,1370,21872
UCL412004,237,57,447,2807,4390,2081,1624,4947,1269,17111
UCL413001,116,18,275,2732,4496,2248,1275,1605,375,12727
UCL413002,277,57,549,2549,3522,1760,1264,3990,1433,14520
UCL413003,118,27,243,1584,2372,1152,848,3054,1436,10445
UCL413004,225,43,432,2150,3265,1555,1041,2942,844,11810
UCL413005,233,35,437,1806,2818,1419,1124,3432,767,11364
UCL413006,538,97,1056,2511,4048,2459,1645,3436,680,14769
UCL414001,200,44,435,1283,2262,1282,897,1751,424,7903
UCL414002,7,4,31,872,1396,605,354,555,172,3945
UCL414003,94,28,191,827,1098,498,372,1147,326,4270
UCL414004,130,16,234,1093,1540,783,492,1159,158,5226
UCL414005,124,18,209,1025,1557,792,566,1123,258,5324
UCL415001,19,5,47,370,510,273,180,353,88,1771
UCL415002,31,7,62,700,942,445,272,700,114,3169
UCL415003,65,8,108,305,388,239,180,390,90,1601
UCL415004,8,7,44,304,453,211,129,190,80,1373
UCL415005,78,10,127,255,423,203,141,508,110,1628
UCL415006,83,20,166,647,887,427,322,971,230,3482
UCL415007,64,0,109,445,654,243,195,646,168,2349
UCL415008,29,7,45,324,487,269,134,439,169,1827
UCL415009,76,13,131,542,856,377,273,599,184,2829
UCL415010,4,14,29,174,261,104,85,364,272,1261
UCL415011,32,11,67,167,287,141,147,250,79,1064
UCL415012,31,3,37,406,536,270,213,404,65,1890
UCL415013,137,9,184,376,582,285,176,453,84,1952
UCL415014,38,11,68,236,317,152,133,266,50,1159
UCL415015,92,28,180,697,974,548,423,968,278,3883
UCL415016,36,10,77,432,612,310,248,477,110,2192
UCL415017,30,21,80,268,482,244,167,290,191,1633
UCL415018,48,12,79,219,384,209,159,365,99,1430
UCL415019,10,0,26,368,507,257,187,429,72,1814
UCL415020,46,3,72,339,526,265,200,317,106,1753
UCL415021,108,15,194,591,861,438,307,842,220,3256
UCL415022,9,3,26,335,550,214,150,211,76,1532
UCL415023,32,12,63,151,217,110,95,230,127,924
UCL415024,65,11,114,322,501,299,270,630,179,2203
UCL415025,4,0,6,187,305,130,90,117,44,870
UCL415026,79,27,187,503,843,434,267,614,174,2842
UCL415027,4,0,11,196,271,133,77,115,62,848
UCL415028,9,0,15,185,309,150,68,140,35,895
UCL415029,123,17,210,679,1061,583,416,1035,273,4054
UCL415030,85,38,198,599,1047,601,499,1003,334,4087
UCL415031,0,0,5,194,327,125,113,147,56,956
UCL415032,23,8,67,292,602,356,259,366,117,1995
UCL415033,0,5,13,174,226,125,70,170,74,839
UCL415034,20,4,35,208,324,177,108,251,79,1147
UCL415035,18,13,41,161,267,132,125,366,194,1249
UCL415036,56,6,85,140,242,126,122,294,70,997
UCL415037,112,21,200,711,965,493,323,1227,242,3972
UCL415038,10,0,29,189,282,164,118,199,56,1008
UCL415039,5,0,3,511,780,301,235,547,273,2647
UCL415040,27,5,44,207,272,147,127,296,158,1208
UCL415041,124,11,210,721,1126,565,407,732,136,3689
UCL415042,50,11,104,218,381,201,145,296,83,1329
UCL415043,11,4,35,474,631,293,235,528,158,2325
UCL415044,3,0,17,287,387,139,106,286,52,1254
UCL415045,78,9,121,234,334,172,151,423,112,1427
UCL415046,85,15,140,571,926,495,417,976,316,3699
UCL415047,40,0,52,350,581,258,176,344,62,1778
UCL415048,19,0,39,420,631,346,179,232,74,1875
UCL415049,62,5,83,324,518,232,161,325,47,1604
UCL421001,40,7,79,159,243,163,124,289,88,1063
UCL421002,0,3,15,72,124,80,46,84,60,465
UCL421003,6,0,18,146,260,110,73,116,38,742
UCL421004,16,7,29,131,210,102,86,174,85,783
UCL421005,20,10,46,101,171,87,96,143,71,660
UCL421006,0,0,7,98,191,97,66,72,16,546
UCL421007,5,0,7,114,171,95,78,92,28,583
UCL421008,14,4,35,147,215,124,112,183,94,868
UCL421009,26,3,43,104,176,82,73,132,24,603
UCL421010,0,0,8,124,154,68,46,64,27,489
UCL421011,25,0,32,91,135,56,61,134,49,532
UCL421012,3,0,8,81,142,72,66,97,68,523
UCL421013,3,3,16,172,266,134,80,94,87,843
UCL421014,14,30,58,124,180,89,67,86,56,609
UCL421015,20,0,33,81,121,68,62,137,35,510
UCL421016,0,0,0,114,149,67,60,44,14,447
UCL421017,0,0,0,85,111,64,39,54,23,378
UCL421018,23,7,43,193,267,140,87,174,77,935
UCL421019,20,7,35,83,139,83,55,102,52,506
UCL421020,19,6,30,93,110,56,47,118,40,465
UCL421021,12,0,27,57,105,64,57,100,30,424
UCL421022,0,4,9,179,283,145,79,92,31,821
UCL421023,8,0,18,167,197,78,79,140,67,723
UCL421024,22,7,41,111,197,82,69,168,98,728
UCL421025,10,0,15,139,184,95,86,175,60,735
UCL421026,29,17,63,109,157,85,84,152,70,658
UCL421027,6,9,21,108,138,65,52,100,44,512
UCL421028,0,0,5,100,138,92,29,64,22,453
UCL421029,26,11,47,79,122,56,48,107,39,449
UCL421030,22,0,24,88,136,69,41,134,40,502
UCL421031,9,0,25,103,158,85,57,150,30,581
UCL421032,5,0,8,84,117,44,41,171,32,494
UCL421033,0,0,0,104,96,44,34,78,37,389
UCL421034,22,0,38,141,256,124,109,251,111,988
UCL421035,43,6,55,93,162,89,89,197,60,691
UCL421036,6,0,11,168,250,105,89,134,34,780
UCL421037,29,11,52,137,214,115,86,189,66,800
UCL421038,0,0,20,160,302,119,73,77,27,767
UCL421039,3,0,0,101,136,71,53,104,34,501
UCL421040,3,0,7,112,147,94,63,94,28,539
UCL421041,15,10,29,86,100,51,56,84,35,423
UCL421042,48,0,68,102,180,117,90,180,34,711
UCL421043,13,4,28,89,132,93,63,143,59,584
UCL422001,0,0,4,41,44,31,35,34,19,203
UCL422002,0,0,0,48,78,46,31,46,51,293
UCL422003,0,0,7,38,85,43,30,39,22,257
UCL422004,0,0,10,36,64,22,28,64,20,233
UCL422005,0,0,4,27,50,20,27,36,19,178
UCL422006,7,0,8,71,108,46,22,66,13,330
UCL422007,4,5,10,32,58,33,18,55,28,225
UCL422008,3,0,3,76,101,42,30,90,23,365
UCL422009,26,0,33,45,58,26,24,85,7,243
UCL422010,3,0,5,59,92,52,50,33,30,307
UCL422011,4,0,5,31,40,26,22,67,17,200
UCL422012,0,0,0,86,108,74,31,72,26,399
UCL422013,0,0,0,58,92,45,24,28,12,257
UCL422014,0,0,0,29,63,29,15,21,10,167
UCL422015,5,3,12,59,89,66,53,64,31,354
UCL422016,0,0,7,34,51,26,10,29,14,166
UCL422017,5,0,14,30,62,26,17,54,14,198
UCL422018,0,0,3,21,38,26,21,49,14,177
UCL422019,3,0,14,57,114,63,69,113,41,459
UCL422020,0,3,8,40,78,49,27,48,21,267
UCL422021,4,0,10,27,63,30,18,51,14,192
UCL422022,0,0,6,115,81,9,4,25,23,253
UCL422023,0,0,0,43,50,30,24,57,40,237
UCL422024,0,0,0,44,92,31,4,32,11,207
UCL422025,17,0,31,48,66,41,34,83,14,289
UCL422026,0,3,3,68,102,54,39,37,15,322
UCL422027,0,0,0,15,12,3,6,18,25,81
UCL422028,0,0,9,37,67,39,14,46,45,254
UCL422029,0,0,0,57,70,43,7,22,11,209
UCL422030,6,0,5,50,66,35,20,83,24,272
UCL422031,0,0,9,43,55,51,33,71,37,279
UCL422032,0,0,3,57,84,36,32,30,22,259
UCL422033,0,0,5,43,75,29,12,45,49,246
UCL422034,0,0,7,70,72,40,35,34,28,281
UCL422035,0,0,3,76,97,45,29,62,33,339
UCL422036,3,0,3,52,77,50,54,112,19,371
UCL422037,0,0,0,34,50,31,43,48,14,224
UCL422038,0,0,3,38,71,21,29,34,8,206
UCL422039,0,0,0,33,35,25,24,59,25,198
UCL422040,0,3,10,37,73,34,23,39,21,235
UCL422041,4,0,0,63,73,53,39,50,11,287
UCL422042,0,0,5,34,57,33,33,81,18,265
UCL422043,3,0,4,29,39,18,8,35,14,143
UCL422044,3,0,10,36,63,43,35,76,28,281
UCL422045,12,0,33,51,147,64,77,113,23,470
UCL422046,5,0,11,54,82,51,49,63,35,347
UCL422047,0,0,8,29,47,26,21,25,7,144
UCL422048,7,0,18,32,69,46,40,88,26,295
UCL422049,3,0,8,46,82,28,25,38,17,243
UCL422050,0,0,0,29,47,25,21,32,8,162
UCL422051,3,0,3,43,99,36,38,72,22,317
UCL422052,7,4,12,61,123,88,54,77,32,438
UCL422053,5,0,10,26,36,17,16,64,106,256
UCL422054,0,0,7,35,61,37,13,34,20,206
UCL422055,0,0,5,39,73,40,22,91,24,286
UCL422056,5,5,18,49,64,35,15,41,20,227
UCL422057,0,0,4,80,95,42,40,39,29,331
UCL422058,0,0,8,26,35,23,25,43,4,160
UCL422059,6,0,7,59,88,53,55,70,54,384
UCL422060,6,0,10,30,53,25,25,44,18,188
UCL422061,0,0,0,21,36,9,12,23,12,116
UCL422062,0,0,0,21,42,33,21,28,3,153
UCL422063,0,0,0,45,58,13,26,18,78,237
UCL431001,638,220,1738,22983,34105,18496,13839,20751,10254,120427
UCL479997,0,0,0,0,0,0,0,4,5,12
UCL499994,4,0,11,491,536,178,137,868,763,2975
UCL501001,18854,5466,39936,355602,455374,186237,138256,424023,96390,1655875
UCL511001,657,272,1523,11637,16627,7491,5931,14220,4323,60227
UCL512001,484,115,1066,4995,7225,3310,2482,5849,1828,25694
UCL512002,430,88,884,4385,6244,3061,2245,5035,1372,22335
UCL512003,338,141,762,4731,6897,3016,2433,6424,2734,26236
UCL512004,115,35,202,4298,5694,2162,1752,5981,2703,22594
UCL513001,31,18,63,2251,3052,1049,643,2317,1920,11236
UCL513002,108,26,255,1696,2205,991,741,1770,863,8258
UCL513003,6,4,11,2411,3417,1134,978,2559,2013,12514
UCL513004,13,7,25,2141,2757,910,773,2970,1966,11520
UCL513005,78,31,151,1555,2106,888,855,2244,604,8253
UCL514001,47,55,162,912,1388,706,758,1558,571,5884
UCL514002,37,8,101,1165,1723,792,584,895,463,5629
UCL514003,53,14,117,1225,1703,759,521,1139,443,5783
UCL514004,90,31,182,883,1265,598,529,1496,619,5392
UCL515001,41,16,96,170,282,190,131,247,88,1102
UCL515002,11,0,10,186,345,157,105,192,64,1054
UCL515003,31,7,68,320,525,321,264,365,146,1947
UCL515004,9,0,19,343,405,200,172,423,128,1671
UCL515005,15,5,36,362,498,255,215,438,138,1905
UCL515006,28,11,67,504,838,348,254,784,641,3366
UCL515007,10,0,20,295,457,211,190,204,149,1512
UCL515008,0,0,0,199,268,126,93,119,113,928
UCL515009,38,9,102,437,721,361,285,421,226,2457
UCL515010,13,4,24,368,532,193,152,491,621,2362
UCL515011,50,6,88,382,547,326,317,556,153,2273
UCL515012,6,0,14,341,516,187,175,327,106,1644
UCL515013,3,3,17,531,655,251,198,426,220,2291
UCL515014,0,0,3,281,191,47,50,164,88,828
