UCL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL121032,19,3,39,92,141,71,62,187,65,622
UCL121033,3,0,3,59,128,69,32,48,48,378
UCL121034,7,0,11,200,233,95,38,111,62,735
UCL121035,4,0,11,149,232,100,113,217,42,852
UCL121036,3,4,9,193,313,169,135,210,38,1055
UCL121037,0,0,9,150,187,102,69,138,25,669
UCL121038,18,5,25,60,107,53,50,159,68,495
UCL121039,0,3,8,110,175,82,59,96,79,594
UCL121040,0,0,0,104,123,71,43,49,28,409
UCL121041,6,0,17,71,130,75,52,125,37,502
UCL121042,6,0,15,111,144,70,51,96,34,499
UCL121043,0,0,7,101,168,80,71,80,9,511
UCL121044,0,3,11,74,108,44,48,84,73,436
UCL121045,0,0,8,72,145,66,63,93,17,453
UCL121046,0,0,4,78,169,65,28,22,13,377
UCL121047,3,0,9,91,156,76,39,72,32,464
UCL121048,0,0,3,68,113,85,63,73,12,415
UCL121049,0,0,3,98,119,63,44,121,71,506
UCL121050,22,7,47,90,131,88,53,195,63,622
UCL121051,29,9,54,125,172,108,100,215,61,792
UCL121052,12,4,24,131,206,110,46,174,68,731
UCL121053,9,9,29,98,131,74,76,162,74,620
UCL121054,3,0,4,140,193,102,77,110,15,642
UCL121055,5,0,7,87,179,91,57,91,32,535
UCL121056,6,0,15,117,217,111,86,150,34,713
UCL121057,3,0,3,109,180,78,43,139,9,564
UCL121058,13,0,19,306,458,252,191,266,47,1511
UCL121059,4,0,15,103,148,80,46,100,30,508
UCL121060,0,0,3,160,237,133,93,146,26,789
UCL121061,5,0,8,79,123,52,54,85,19,420
UCL121062,0,0,7,156,249,104,88,115,21,733
UCL121063,16,3,29,75,182,111,69,145,40,615
UCL121064,18,3,27,93,178,88,55,125,38,572
UCL121065,9,6,26,126,195,131,114,178,55,792
UCL121066,4,0,13,71,120,50,52,95,29,409
UCL121067,37,3,58,111,174,88,82,194,53,705
UCL121068,20,0,40,304,510,311,196,441,90,1856
UCL121069,3,0,3,121,181,100,76,99,3,582
UCL121070,3,0,5,93,150,86,46,53,25,443
UCL121071,6,0,19,85,101,72,37,95,28,419
UCL121072,0,10,15,112,159,71,65,134,82,625
UCL121073,7,6,25,78,137,65,77,175,72,600
UCL121074,9,0,15,78,166,86,50,103,20,507
UCL121075,22,67,115,86,119,72,51,137,127,602
UCL121076,9,0,14,149,233,107,97,176,73,833
UCL121077,8,0,12,101,184,79,51,98,51,569
UCL121078,0,0,7,95,156,82,33,159,8,536
UCL121079,3,3,13,84,152,76,45,63,18,437
UCL121080,5,0,18,150,253,119,95,145,21,782
UCL121081,4,0,4,91,139,68,53,82,15,449
UCL121082,12,5,22,192,288,152,89,123,118,955
UCL121083,5,0,12,147,249,142,94,129,25,786
UCL121084,3,0,10,161,195,103,73,98,30,658
UCL121085,0,0,6,137,263,158,109,108,23,804
UCL121086,26,3,38,127,173,97,80,194,44,715
UCL121087,7,0,14,104,133,82,65,116,23,528
UCL121088,0,0,4,94,118,78,54,102,39,477
UCL121089,7,0,20,134,192,122,94,144,20,712
UCL121090,0,0,8,122,190,110,95,162,13,701
UCL121091,4,3,18,120,186,100,72,87,42,597
UCL121092,5,0,11,173,246,123,110,195,58,891
UCL121093,8,0,13,162,235,125,83,226,40,864
UCL121094,5,5,24,71,125,71,59,204,93,627
UCL121095,10,0,9,122,145,92,67,84,18,530
UCL121096,0,0,14,117,215,145,71,113,34,691
