UCL_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL122023,3,0,0,0,0,0,10,0,0,3,0,3,4,0,0,13,6,8,15,13,15,14,8,0,74,0,0,5,7,9,9,3,0,36,9,8,6,11,12,16,5,0,66,3,0,0,0,0,0,0,0,9,3,0,0,0,5,4,0,0,16,13,8,10,12,22,19,6,0,91,0,0,0,0,0,5,6,0,6,0,0,5,6,3,6,7,0,18,13,19,39,42,49,55,26,8,248
UCL122024,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,3,0,6,4,0,0,0,21,0,4,7,3,6,3,0,0,18,5,7,7,6,5,9,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,8,9,10,9,0,0,53,0,0,0,0,0,0,0,0,0,0,6,0,8,0,3,0,0,18,7,19,21,26,21,19,3,0,116
UCL122025,0,3,0,0,0,0,7,0,0,0,5,0,0,0,0,3,0,5,0,0,0,0,0,0,9,0,0,5,0,10,0,0,0,22,0,13,5,12,20,3,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,13,4,12,18,3,0,0,56,0,0,0,0,0,0,0,0,0,5,0,0,9,4,0,5,0,25,3,24,13,33,33,10,5,0,123
UCL122026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,4,4,0,0,0,12,6,8,13,18,7,3,4,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,14,18,6,4,4,0,58,0,0,0,0,0,0,0,0,0,3,0,0,6,0,3,0,0,11,8,10,19,29,15,5,4,0,91
UCL122027,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,3,0,5,14,6,6,0,26,0,0,0,3,0,0,5,0,22,5,0,0,7,0,16,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,7,4,20,0,0,40,0,0,0,0,0,0,0,0,5,0,0,3,0,0,5,12,10,23,5,11,5,21,26,29,20,6,124
UCL122028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,11,0,0,0,4,3,0,0,0,16,4,17,9,17,15,8,9,0,76,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,9,4,15,9,26,14,10,9,0,83,0,0,0,0,0,0,0,0,0,5,0,8,11,12,6,3,0,41,12,21,15,39,32,20,14,3,159
UCL122029,0,3,0,3,0,0,11,0,0,3,0,0,4,0,0,9,0,6,12,11,14,12,0,0,56,0,3,0,3,15,11,7,0,38,3,0,4,5,8,4,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,7,4,3,0,30,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,10,0,28,8,17,22,29,32,46,19,0,173
UCL122030,4,0,3,3,0,0,14,0,3,6,3,4,0,0,0,10,0,10,7,14,19,9,0,0,53,0,6,0,6,13,8,0,0,29,3,10,15,10,16,9,0,0,55,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,9,3,13,15,11,15,14,0,0,69,0,0,0,0,0,0,0,0,4,7,4,5,6,9,7,3,0,43,9,27,36,36,63,40,6,0,218
UCL122031,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,3,0,8,26,6,0,6,0,0,49,0,6,7,18,6,6,0,0,36,11,15,24,14,9,3,0,0,73,4,3,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,3,11,12,27,17,12,9,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,15,35,62,42,20,18,4,0,201
UCL122032,5,0,5,3,0,0,7,0,0,0,0,3,0,0,0,3,0,11,3,8,3,0,0,0,29,0,6,5,3,3,5,0,0,26,8,30,18,10,13,11,8,0,90,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,8,31,19,13,10,16,8,0,99,0,0,0,0,0,0,0,0,8,3,4,7,9,4,8,0,3,37,13,50,37,35,31,24,9,0,211
UCL122033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,6,0,0,5,0,5,0,0,0,6,0,17,14,15,7,0,0,0,58,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,22,12,17,9,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,18,7,25,19,22,18,4,4,0,101
UCL122034,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,5,0,3,4,3,4,0,0,0,24,0,0,0,11,3,0,4,0,22,7,8,5,8,10,13,3,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,5,8,5,8,11,12,3,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,17,16,26,22,14,4,5,116
UCL122035,0,3,6,3,0,0,10,0,0,3,0,0,0,0,0,7,0,0,4,8,7,10,3,0,34,0,6,8,4,11,6,0,0,29,4,6,11,6,19,18,3,0,76,0,0,0,0,0,0,0,0,5,0,0,0,3,3,0,0,0,4,5,7,11,10,24,18,4,0,86,0,0,0,0,0,0,0,0,3,4,0,3,3,11,9,5,0,32,12,17,32,28,50,44,18,0,205
UCL122036,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,6,3,4,0,0,0,0,19,0,0,0,4,5,0,0,0,14,5,0,0,5,12,3,0,0,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,4,5,0,0,7,12,8,0,0,34,0,0,0,0,0,0,0,0,0,16,20,14,22,13,13,3,0,98,27,27,20,36,31,23,5,0,171
UCL122037,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,6,0,3,12,10,6,0,0,0,32,0,0,11,7,0,0,5,0,21,0,4,7,12,16,0,0,0,47,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,7,6,18,16,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9,5,25,45,37,21,5,4,0,135
UCL122038,3,0,4,5,0,0,13,0,3,0,0,0,0,0,0,7,0,8,3,4,8,8,0,0,31,0,0,7,4,0,3,0,0,16,4,13,7,9,13,16,3,0,68,0,0,0,0,0,0,0,0,5,0,0,0,3,3,4,0,0,13,4,13,7,18,19,15,10,4,83,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,3,0,19,4,28,20,33,35,31,7,3,161
UCL122039,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,8,0,0,15,0,7,6,11,4,8,0,0,27,7,8,11,14,24,16,0,0,85,0,0,0,0,4,0,0,0,0,0,0,0,3,3,4,0,0,9,7,8,11,20,27,19,0,0,95,0,0,0,0,0,0,0,0,5,9,0,9,9,4,4,7,4,39,11,19,33,32,44,35,12,3,188
UCL122040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,9,9,0,0,22,0,7,6,10,14,3,0,0,42,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,5,11,6,13,11,4,0,0,55,0,0,0,0,0,0,0,0,0,0,0,4,3,11,3,0,0,26,10,17,15,14,29,21,0,0,105
UCL122041,0,0,0,7,0,0,6,0,0,0,0,0,5,0,0,3,0,12,6,3,5,7,0,0,34,0,5,5,0,14,9,0,0,42,9,16,15,11,21,10,0,0,85,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,8,15,17,11,27,10,4,0,93,0,0,0,0,0,0,0,0,0,3,5,3,5,5,6,0,4,33,18,32,31,30,52,38,8,4,216
UCL122042,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,4,0,4,9,0,0,18,0,0,7,7,3,0,0,0,20,15,13,11,24,6,5,8,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,13,13,21,6,5,8,0,81,0,0,0,0,0,0,0,0,5,5,4,4,0,0,5,0,0,17,20,26,23,37,17,18,8,0,150
UCL122043,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,3,0,0,0,0,9,0,0,7,3,3,0,0,0,18,6,13,16,8,13,11,0,0,70,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,9,11,13,20,8,15,16,0,0,77,0,0,0,0,0,0,0,0,3,5,5,0,0,0,4,6,0,19,15,16,27,21,23,21,4,4,136
UCL122044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,0,0,0,11,3,3,0,0,8,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,5,6,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,13,6,9,3,4,13,8,0,0,51
UCL122045,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,4,0,7,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,5,0,9,3,8,12,9,5,0,43,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,10,4,10,6,12,12,8,6,0,56,0,0,0,0,0,0,0,0,0,7,4,0,0,4,0,5,0,28,9,17,7,16,22,16,12,0,98
UCL122046,3,4,3,8,4,0,23,0,0,0,0,3,11,0,0,20,0,0,3,7,20,16,6,0,55,0,0,4,0,18,5,5,0,39,3,15,16,8,36,18,11,4,115,0,0,0,0,0,0,0,0,7,0,0,0,0,9,3,0,0,18,10,15,15,8,44,27,13,4,136,0,0,0,0,0,0,0,0,0,0,0,5,4,10,0,4,5,25,6,26,25,26,100,75,27,9,300
UCL122047,11,13,19,11,5,0,62,0,0,0,0,4,4,3,0,14,0,0,10,13,27,14,8,0,67,0,0,0,0,7,9,5,0,22,0,0,4,7,4,4,3,0,20,0,0,0,0,0,3,0,0,9,0,0,0,3,0,4,0,0,5,0,0,4,11,5,7,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,0,12,0,3,17,36,66,54,25,0,216
UCL122048,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,3,0,0,5,0,0,17,0,0,5,6,3,0,3,0,22,0,5,0,8,10,10,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,5,0,10,15,10,0,0,45,0,0,0,0,0,0,0,0,0,16,19,19,11,19,10,10,6,111,16,29,31,32,42,21,21,3,202
UCL122049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,9,0,0,0,15,0,0,3,3,4,0,0,0,17,5,6,11,13,3,14,0,0,57,0,0,0,0,5,3,0,0,8,0,3,0,0,0,0,0,0,5,5,8,12,13,9,19,3,0,71,0,0,0,0,0,0,0,0,0,5,0,0,5,7,20,7,5,53,12,10,13,30,22,44,14,8,148
UCL122050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,0,15,0,0,0,3,3,0,0,0,6,0,0,7,5,9,4,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,9,6,0,0,32,0,0,0,0,0,0,0,0,0,0,5,3,0,4,0,6,0,18,5,9,13,12,22,10,5,0,75
UCL122051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,8,0,0,6,3,0,4,0,0,11,8,3,9,5,12,9,4,0,48,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,7,3,9,6,11,9,4,0,56,0,0,0,0,0,0,0,0,0,3,9,8,8,6,3,0,0,45,11,13,24,22,20,14,7,7,115
UCL122052,0,0,4,4,0,0,10,0,0,0,0,3,0,0,0,6,0,0,11,10,4,6,5,0,35,0,0,0,4,5,6,0,0,16,4,3,4,10,11,9,0,0,43,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,3,3,8,4,14,11,0,0,51,0,0,0,0,0,0,0,0,4,0,4,4,3,4,9,3,0,25,3,11,23,29,31,38,10,0,145
UCL122053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,4,3,0,13,0,0,0,0,5,3,0,0,8,0,8,6,14,18,11,7,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,14,20,11,7,0,54,0,0,0,0,0,0,0,0,3,4,4,3,0,7,4,13,12,35,4,13,11,15,33,20,18,12,125
UCL122054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,15,0,9,6,0,0,0,0,0,18,8,24,9,7,12,11,0,0,72,0,4,3,0,0,0,0,0,9,0,3,0,3,0,6,0,0,9,7,28,14,13,11,14,0,0,80,0,0,0,0,0,0,0,0,0,19,17,13,14,14,19,7,4,113,30,58,32,35,24,34,11,4,232
UCL122055,0,3,8,10,3,0,26,0,0,0,4,9,6,5,0,16,0,5,13,18,19,16,17,0,81,0,0,3,7,8,19,3,0,45,0,3,3,7,10,17,6,0,52,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,3,3,9,15,22,12,0,62,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,3,0,18,0,15,24,45,59,68,49,6,250
UCL122056,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,8,0,0,9,3,0,0,0,0,18,0,0,0,3,4,7,3,0,22,6,6,13,11,6,12,4,0,59,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,6,6,11,11,10,17,6,0,66,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,10,7,11,30,23,17,35,10,0,122
UCL122057,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,3,6,8,0,6,0,0,20,0,3,4,6,3,3,0,0,22,0,12,13,7,8,14,0,0,56,0,5,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,0,17,16,13,11,14,0,0,70,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,11,4,21,23,31,21,22,3,0,127
UCL122058,0,0,3,0,0,0,8,0,5,3,0,4,4,0,0,10,0,3,3,5,4,4,0,0,19,0,3,0,3,15,5,0,0,34,5,17,19,13,13,25,11,0,104,0,3,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,10,3,26,24,15,22,31,11,0,125,0,0,0,0,0,0,0,0,0,0,3,0,5,10,12,10,0,40,8,43,36,32,45,51,24,0,239
UCL122059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,6,5,6,0,0,0,26,0,0,5,11,6,10,3,0,32,9,27,23,17,12,13,4,4,104,0,0,0,0,3,6,0,0,7,0,0,0,6,0,0,0,0,5,11,27,23,18,22,19,3,4,115,0,0,0,0,0,0,0,0,0,3,8,0,6,3,9,7,0,42,19,38,33,44,38,38,13,0,226
UCL122060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,0,3,0,0,13,0,3,9,3,3,0,0,0,16,3,12,8,12,14,14,5,0,79,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,7,3,14,17,15,20,21,5,0,93,0,0,0,0,0,0,0,0,0,3,4,7,11,11,10,6,0,56,15,21,29,33,37,33,12,4,183
UCL122061,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,10,3,8,5,0,3,0,40,15,15,12,6,12,4,0,0,65
UCL122062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,4,0,0,0,0,12,0,0,5,3,0,0,0,0,11,3,15,8,12,9,4,0,0,53,3,0,4,0,3,0,0,0,8,0,0,0,0,0,0,0,0,4,9,17,14,16,11,4,0,0,61,0,0,0,0,0,0,0,0,0,11,4,5,8,9,3,4,0,41,12,31,21,32,24,15,4,0,130
UCL122063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,12,0,0,4,7,0,5,0,0,18,0,20,11,3,14,9,7,0,64,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,20,12,3,13,6,7,0,64,0,0,0,0,0,0,0,0,0,4,4,4,8,5,3,0,4,26,10,28,19,16,20,12,7,4,123
UCL122064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,3,0,0,11,0,0,0,4,3,0,0,0,13,4,4,10,7,9,5,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,4,10,6,10,5,3,0,45,0,0,0,0,0,0,0,0,6,6,6,6,4,10,3,7,3,47,12,14,18,18,27,14,8,3,114
UCL122065,0,0,0,7,0,0,13,0,0,0,0,0,0,0,0,10,4,9,3,8,16,12,4,0,50,0,0,0,0,11,9,4,0,19,0,9,8,10,21,14,5,0,79,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,3,0,9,8,10,26,21,5,0,82,0,0,0,0,3,0,0,0,3,7,0,0,7,8,13,6,0,36,7,22,22,29,66,53,23,0,215
UCL122066,0,7,3,0,0,0,8,0,0,0,5,0,0,0,0,6,0,4,4,8,5,4,0,0,35,3,9,4,6,8,4,0,0,35,8,9,19,10,27,7,4,0,78,0,0,0,3,0,0,0,0,3,5,0,0,3,3,4,0,0,11,12,9,19,16,26,13,4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,14,16,24,35,45,43,20,4,0,191
UCL122067,3,6,0,4,3,0,19,0,0,0,0,6,0,0,0,4,0,0,6,9,9,11,0,0,44,5,0,5,14,12,10,3,0,44,4,13,10,24,22,19,6,0,94,0,0,0,0,0,0,0,0,10,0,0,0,3,4,7,4,0,12,5,13,13,24,30,20,12,0,109,0,0,0,0,0,0,0,0,4,4,4,4,3,0,4,0,0,27,14,22,31,62,52,48,18,0,239
UCL122068,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,9,0,6,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,4,4,3,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,8,3,7,0,12,0,0,0,40,8,15,13,12,18,11,0,0,77
UCL122069,0,0,6,3,0,0,15,0,0,6,9,5,0,0,0,13,0,5,14,16,16,6,0,0,53,0,4,5,4,4,6,5,0,25,0,6,3,6,12,6,6,0,36,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,6,6,6,14,14,6,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,16,5,18,21,35,47,30,10,5,174
UCL122070,5,0,3,5,0,0,22,0,0,0,4,3,4,0,0,9,0,8,15,8,13,5,5,0,55,0,7,3,8,12,15,4,0,52,5,4,15,18,11,8,9,0,65,5,0,0,0,0,0,0,0,3,0,0,0,4,3,6,4,0,14,12,4,17,16,12,11,8,0,85,0,0,0,0,0,3,0,0,4,0,0,0,5,0,0,0,0,10,20,26,46,47,41,36,21,7,237
UCL122071,0,0,0,3,0,0,7,0,0,0,0,0,5,0,0,9,0,6,3,5,7,7,0,0,28,0,4,5,3,0,5,3,0,19,0,27,9,17,7,10,7,0,77,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,9,27,15,17,11,16,4,0,94,0,0,0,0,0,0,3,0,4,4,0,0,3,3,4,3,0,15,11,36,23,27,18,33,16,4,166
UCL122072,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,5,4,0,0,3,0,19,0,0,0,3,6,0,0,0,17,3,6,8,3,12,7,5,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,8,3,13,6,4,0,50,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,4,0,15,13,15,18,15,22,17,19,0,119
UCL122073,0,0,5,3,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,16,0,0,5,5,9,10,0,0,25,0,6,9,3,23,14,3,0,55,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,4,0,6,11,3,23,10,3,0,61,0,0,0,0,0,0,0,0,0,0,5,0,6,3,9,3,0,34,0,12,17,19,41,35,15,0,149
UCL122074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,3,3,4,0,0,0,15,4,4,3,4,12,9,0,0,38,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,4,4,7,3,6,13,9,0,0,47,0,0,0,0,0,0,0,0,3,0,0,0,0,5,5,3,0,28,8,12,10,19,28,25,7,0,99
UCL122075,0,0,5,0,0,0,7,0,0,0,0,6,0,0,0,11,3,3,7,3,9,0,0,0,27,0,0,4,11,3,0,0,0,24,0,13,3,13,3,6,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,8,10,3,6,0,0,51,0,0,0,0,0,0,0,0,5,3,0,4,5,0,3,0,0,17,11,24,33,33,26,10,4,0,137
UCL122076,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,3,0,5,8,0,5,3,0,0,22,0,0,0,5,4,4,4,0,14,3,4,15,9,8,5,0,0,37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,15,9,8,5,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,9,11,9,23,16,24,15,9,0,99
UCL122077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,3,0,0,0,11,0,0,3,6,3,5,0,0,19,3,13,7,10,14,8,0,0,49,0,0,0,0,0,0,0,0,4,0,0,0,0,8,6,0,0,11,7,11,7,8,24,11,0,0,69,0,0,0,0,0,0,0,0,0,10,0,4,0,6,8,5,0,37,20,19,18,22,33,20,8,0,141
UCL122078,0,0,7,3,0,0,10,0,0,0,3,6,6,0,0,11,0,12,9,10,4,8,5,0,42,0,3,0,4,9,4,0,0,23,0,0,0,0,12,4,3,3,31,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,12,13,3,0,41,0,0,0,0,0,0,0,0,3,0,5,5,0,4,4,3,3,24,0,20,16,21,39,31,19,5,159
UCL122079,3,5,0,3,0,0,16,0,0,0,0,3,4,0,0,13,3,6,12,7,13,3,5,0,50,0,5,3,9,6,0,5,0,29,5,10,8,11,3,7,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,7,8,11,4,11,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,6,19,29,35,31,28,13,3,168
UCL122080,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,4,8,13,3,0,5,0,4,0,30,0,8,12,8,5,6,6,0,42,9,12,17,14,23,16,3,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,16,12,14,24,15,6,0,93,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,17,15,44,41,31,34,19,15,0,206
UCL122081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,3,5,5,0,0,0,11,0,9,7,6,7,10,3,0,52,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,9,12,11,10,9,3,0,62,0,0,0,0,0,0,0,0,0,0,0,3,7,8,5,7,6,34,3,11,20,22,23,20,14,6,120
UCL122082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,5,0,0,9,0,0,0,0,3,7,6,0,12,0,6,5,7,14,12,5,0,54,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,3,4,7,14,12,5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,17,0,5,9,16,25,29,16,0,101
UCL122083,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,4,5,4,4,4,0,0,20,0,0,6,4,10,6,0,0,22,7,10,4,21,13,7,0,0,73,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,7,7,16,7,27,20,8,0,0,87,0,0,0,0,0,0,0,0,0,4,3,0,4,3,6,4,0,21,12,20,20,46,34,16,3,0,160
UCL122084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,9,0,0,6,0,5,0,0,0,6,3,7,9,5,11,0,4,0,35,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,10,7,4,11,0,4,0,36,0,0,0,0,0,0,0,0,0,3,0,3,4,0,5,0,0,28,6,19,17,14,17,7,3,0,86
