UCL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL115060,..,152,152,214,14,230,131,0,135,150,0,157,46,0,46,33,0,33,580,170,745
UCL115061,..,125,125,146,5,156,67,4,70,42,0,42,19,0,19,17,0,17,292,136,427
UCL115062,..,73,73,139,16,155,69,3,76,84,0,84,45,0,45,18,0,18,362,90,453
UCL115063,..,79,79,129,3,133,59,3,58,105,0,105,31,0,31,13,0,13,328,86,415
UCL115064,..,373,373,598,34,631,202,4,208,236,0,236,141,0,141,39,0,39,1218,405,1635
UCL115065,..,336,336,329,20,350,120,0,122,81,0,83,44,0,44,17,0,17,593,356,947
UCL115066,..,111,111,250,7,256,159,0,160,181,0,181,77,0,77,41,0,41,708,121,827
UCL115067,..,413,413,396,30,424,106,0,113,90,0,91,44,0,44,14,0,14,655,443,1103
UCL115068,..,190,190,228,16,244,52,0,57,46,0,46,18,0,18,6,0,6,352,202,557
UCL115069,..,358,358,335,22,356,95,0,97,60,0,60,21,0,21,21,0,21,531,382,912
UCL115070,..,245,245,313,24,338,187,5,189,210,0,214,93,0,93,49,0,49,853,273,1124
UCL115071,..,266,266,261,12,274,100,0,100,98,0,98,47,0,47,24,0,24,523,273,800
UCL115072,..,62,62,337,12,352,70,0,70,86,0,86,49,0,49,35,0,35,584,79,662
UCL115073,..,264,264,248,16,267,82,6,82,74,5,81,49,0,49,16,0,16,468,289,758
UCL115074,..,277,277,227,23,248,83,8,97,67,9,76,35,0,34,26,0,26,440,311,746
UCL115075,..,161,161,245,9,252,35,0,35,40,0,40,14,0,14,9,0,9,343,170,510
UCL115076,..,280,280,276,15,292,74,0,74,68,0,68,35,0,35,16,0,16,466,301,764
UCL115077,..,455,455,792,25,816,131,0,130,68,0,68,34,0,34,16,0,16,1037,478,1517
UCL115078,..,212,212,280,10,288,52,0,52,40,0,39,11,0,11,4,0,4,387,223,609
UCL115079,..,332,332,316,11,329,110,7,113,77,0,77,32,0,32,17,0,17,553,353,899
UCL115080,..,159,159,228,22,247,152,0,149,136,0,136,67,0,67,33,0,33,612,188,802
UCL115081,..,121,121,143,15,158,52,7,58,46,4,49,13,0,21,0,0,0,261,147,409
UCL115082,..,212,212,194,15,210,43,0,46,42,0,42,20,0,20,8,0,8,309,223,529
UCL115083,..,291,291,445,24,469,122,5,134,122,6,127,50,0,54,16,0,16,761,322,1080
UCL115084,..,308,308,368,39,403,72,0,75,57,0,57,9,0,9,5,0,5,506,341,852
UCL115085,..,78,78,179,5,184,66,0,66,83,0,83,28,0,28,9,0,9,354,81,439
UCL115086,..,239,239,189,71,263,122,32,157,86,24,108,39,4,37,4,10,16,440,382,825
UCL115087,..,87,87,135,13,140,60,0,60,77,0,80,37,0,37,20,0,20,333,98,434
UCL115088,..,123,123,255,13,270,79,0,90,77,0,79,25,0,25,15,0,15,456,141,595
UCL115089,..,471,471,492,35,530,196,5,205,199,5,204,94,3,93,42,5,46,1024,523,1547
UCL115090,..,294,294,179,12,191,40,0,40,26,0,26,20,0,20,8,0,8,274,300,575
UCL115091,..,170,170,235,17,251,60,0,61,50,0,50,26,0,26,17,0,17,387,187,572
UCL115092,..,200,200,231,12,247,108,0,112,94,0,94,29,0,29,20,0,20,485,218,697
UCL115093,..,101,101,164,4,174,56,0,56,63,0,63,26,0,26,16,0,16,328,105,434
UCL115094,..,423,423,376,41,419,126,9,134,88,0,88,63,0,63,24,0,24,679,470,1147
UCL115095,..,148,148,132,7,141,55,0,55,31,0,31,38,0,38,17,0,17,269,156,426
UCL115096,..,388,388,725,18,753,187,0,187,193,0,193,84,0,84,32,0,32,1229,405,1636
UCL115097,..,318,318,443,36,478,138,5,140,89,0,89,41,0,41,34,0,34,747,358,1101
UCL115098,..,184,184,136,14,155,55,0,58,32,0,32,24,0,24,16,0,16,263,201,470
UCL115099,..,381,381,395,32,425,156,8,160,117,0,120,66,0,66,32,0,32,771,420,1188
UCL115100,..,379,379,423,27,447,119,0,123,91,0,91,36,0,36,24,0,24,691,411,1103
UCL115101,..,238,238,452,18,470,96,3,96,106,4,110,36,0,36,12,0,12,704,257,963
UCL115102,..,307,307,260,17,274,101,3,104,89,0,93,33,0,33,18,0,18,494,326,823
UCL115103,..,135,135,127,11,139,45,0,43,44,0,44,22,0,22,15,0,15,249,146,393
UCL115104,..,150,150,243,16,253,65,0,64,59,0,59,31,0,31,12,0,12,412,157,570
UCL115105,..,211,211,204,10,215,92,0,92,60,0,60,38,0,38,18,0,18,414,220,628
UCL115106,..,375,375,392,36,423,120,4,122,124,0,125,48,0,48,17,0,17,700,415,1119
UCL115107,..,377,377,385,65,456,212,27,243,171,0,174,65,5,67,37,0,37,874,478,1354
UCL115108,..,70,70,210,3,212,107,0,106,150,0,150,89,0,89,35,0,35,592,71,660
UCL115109,..,586,586,610,29,644,134,3,133,96,0,96,49,0,49,26,0,26,917,622,1539
UCL115110,..,521,521,482,35,517,197,0,199,128,3,126,71,0,71,39,0,39,911,561,1478
UCL115111,..,396,396,412,29,444,172,5,176,130,0,130,85,0,85,46,0,46,835,436,1275
UCL115112,..,128,128,245,11,253,148,0,148,164,0,164,65,0,65,28,0,28,639,142,789
UCL115113,..,241,241,217,17,230,91,0,96,88,0,88,35,0,35,19,0,19,451,256,711
UCL115114,..,346,346,341,21,358,118,4,118,102,0,102,36,0,36,29,0,29,623,366,994
UCL115115,..,508,508,550,117,667,281,32,316,242,9,247,75,4,80,39,0,38,1182,670,1855
UCL115116,..,597,597,695,53,748,222,9,229,191,0,191,79,3,82,37,7,41,1225,668,1890
UCL115117,..,247,247,322,21,344,49,0,49,54,0,54,28,0,28,11,0,11,464,269,739
UCL115118,..,213,213,236,21,252,83,0,80,75,0,75,27,0,27,5,0,5,420,233,654
UCL115119,..,333,333,436,18,454,225,0,230,227,0,227,102,0,102,61,0,61,1048,354,1406
UCL115120,..,104,104,287,4,290,162,5,170,283,0,283,136,0,136,47,0,47,919,110,1024
UCL115121,..,268,268,252,15,264,98,0,98,74,0,74,38,0,38,11,0,11,477,282,754
UCL115122,..,354,354,336,28,364,118,0,118,94,0,94,55,0,55,19,0,19,621,384,1007
