UCL_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
UCL221083,3,31,4,0,0,0,0,0,0,46,0,31,0,4,0,0,0,0,0,39,9,6,0,4,15,0,0,0,0,38,6,12,0,6,4,3,6,0,0,30,0,8,4,0,5,0,0,0,0,25,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,20,103,17,16,32,7,6,14,3,210,0,8,0,0,0,0,0,0,0,13,3,5,0,0,0,0,0,0,0,13,6,10,23,0,0,0,5,7,0,49,3,0,6,0,3,0,0,0,0,21,0,7,0,6,3,0,0,0,0,16,4,36,4,7,0,0,0,0,0,62,11,43,0,7,0,0,0,0,0,64,15,13,0,0,15,6,0,0,0,51,3,17,0,4,4,3,3,0,0,45,0,12,5,3,5,0,0,0,0,31
UCL221084,4,16,4,9,4,0,0,0,0,30,3,17,0,10,3,0,0,0,0,42,0,0,0,0,10,3,0,0,0,16,6,6,0,9,5,4,0,0,0,21,0,0,0,0,6,0,0,0,0,3,0,0,0,9,5,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,14,43,4,32,21,9,0,0,3,138,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,29,3,3,0,9,4,0,49,0,0,18,0,0,0,4,0,0,21,0,0,0,0,0,0,0,3,0,10,5,15,5,10,4,0,0,0,0,32,9,27,0,19,3,0,0,0,0,49,6,0,3,0,10,0,0,0,0,32,6,10,0,11,5,4,0,0,0,36,0,4,0,0,6,0,3,0,0,11
UCL222001,0,8,0,6,0,0,0,0,0,14,0,10,0,0,0,0,0,0,0,8,0,3,0,0,9,0,0,0,4,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,7,10,3,0,0,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,0,0,0,0,0,23,9,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,10,0,9,0,0,0,0,0,18,4,6,0,0,0,0,0,0,0,12,3,8,0,0,9,0,0,0,4,25,0,7,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
UCL222002,0,9,0,0,4,0,0,0,0,9,4,9,0,0,0,0,0,0,0,12,0,7,0,0,7,0,0,0,0,14,3,9,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,33,0,8,20,0,0,0,0,78,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,0,5,3,3,12,5,5,4,0,0,0,27,8,5,12,0,0,0,0,4,0,24,6,0,0,0,4,0,0,0,0,7,0,6,0,5,3,0,0,0,0,20,4,19,0,0,0,0,0,0,0,20,8,13,0,0,7,0,0,0,0,28,7,7,3,5,0,0,0,0,0,23,0,10,0,0,0,0,0,0,0,8
UCL222003,0,5,0,4,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,6,0,0,0,5,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,3,15,11,5,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,12,0,0,0,6,0,0,18,0,0,9,0,0,0,3,3,0,16,0,0,5,3,0,0,0,0,0,10,0,6,3,4,0,0,0,0,0,20,0,11,0,0,0,0,0,0,0,11,6,4,0,0,3,0,0,0,0,13,5,0,0,9,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
UCL222004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL222005,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,3,3,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,11,0,0,3,0,0,0,3,4,0,8,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,8,0,0,0,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
UCL222006,0,14,0,0,0,0,0,0,0,19,0,6,0,4,0,0,0,0,0,6,0,0,0,0,7,7,0,0,0,19,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,3,14,9,5,0,3,0,65,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,4,4,16,0,0,0,0,0,0,22,0,0,9,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,13,0,4,0,0,0,0,0,16,0,10,0,4,0,0,0,0,0,12,4,5,0,0,7,7,0,0,0,27,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
UCL222007,0,3,0,0,3,0,0,0,0,9,0,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,6,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,3,0,5,0,0,20,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,9,0,5,0,0,0,0,0,0,0,8,6,0,0,0,3,0,0,0,0,12,0,3,0,0,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3
UCL222008,0,9,0,3,3,0,0,0,0,15,0,3,0,3,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,5,0,3,0,4,6,0,0,0,0,14,0,7,0,3,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,29,4,13,9,0,0,0,0,65,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,3,0,0,0,11,0,0,10,0,0,0,0,5,0,16,0,0,0,0,0,0,0,0,0,4,0,9,0,4,0,0,0,3,0,16,0,11,0,3,0,0,0,0,0,10,7,5,0,0,0,0,0,0,0,13,5,9,0,5,6,0,0,3,0,24,0,12,0,3,0,0,0,0,0,18
UCL222009,0,3,0,0,0,0,0,0,0,14,0,7,0,0,0,0,0,0,0,6,4,4,0,0,5,0,0,0,0,12,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,4,8,11,7,0,0,0,47,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,6,3,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,8,0,7,0,3,0,0,0,0,0,10,7,0,0,0,5,0,4,0,0,17,0,0,0,4,0,4,0,0,0,8,0,0,0,0,0,0,0,4,0,0
UCL222010,0,8,0,0,4,0,0,0,0,12,4,5,0,4,4,0,0,0,0,10,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,4,3,18,0,5,0,0,55,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,6,0,0,26,4,0,14,0,0,0,0,0,0,17,0,0,4,0,0,0,0,0,0,4,0,8,0,0,4,0,0,0,0,12,4,5,0,4,4,0,0,0,0,14,8,0,0,0,5,0,0,0,0,16,0,3,0,3,3,0,0,0,0,10,0,3,0,0,0,0,0,0,0,8
UCL222011,0,14,0,0,0,0,0,0,0,18,0,8,0,0,0,0,0,0,0,12,5,0,0,0,3,0,0,0,0,8,0,3,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,5,13,8,4,0,0,0,61,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,6,0,20,3,0,8,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,16,0,10,0,0,0,0,0,24,0,6,0,0,0,0,0,0,0,11,5,5,0,0,3,0,0,0,0,19,0,4,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7
UCL222012,4,9,0,3,5,0,0,0,0,22,0,7,0,0,0,0,0,0,0,11,5,5,0,0,8,0,0,0,0,16,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,22,0,11,13,4,0,4,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,4,0,0,0,3,0,28,0,0,10,0,0,0,0,7,0,16,0,0,4,0,0,0,0,0,0,5,5,11,0,3,5,0,0,0,0,24,3,7,0,0,0,0,0,0,0,8,12,5,0,0,8,0,0,0,0,27,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
UCL222013,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,7,0,4,0,9,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,3,0,0,22,4,0,5,0,0,0,0,0,0,5,0,3,0,0,0,0,0,5,0,7,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0
UCL222014,0,6,6,0,6,3,0,0,0,15,0,10,0,0,4,0,0,0,0,11,3,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,4,11,0,0,0,4,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,21,6,9,10,8,0,0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,5,0,0,29,5,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,11,3,0,6,3,0,0,0,17,0,10,0,0,4,0,0,0,0,15,4,4,0,0,0,5,0,0,0,15,0,9,0,5,0,0,0,0,4,22,0,0,0,4,0,0,0,0,0,4
UCL222015,0,9,0,0,0,0,0,0,0,11,0,7,0,5,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,10,0,4,0,12,3,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,0,13,14,3,0,7,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,12,0,0,0,0,5,0,26,5,0,8,0,0,0,6,0,0,15,3,4,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,10,0,7,0,5,0,0,0,0,0,10,3,3,0,0,10,0,0,0,0,18,0,5,0,9,3,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0
UCL222016,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,7,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,3,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,9,0,0,0,8,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
UCL222017,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL222018,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,4,6,3,0,0,0,27,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0
UCL222019,0,5,0,10,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,8,0,6,0,0,7,0,0,0,0,13,0,0,0,5,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,22,9,3,0,4,0,61,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,4,0,0,21,5,0,9,0,0,0,5,0,0,19,0,6,3,0,0,0,0,0,0,6,0,5,0,6,0,0,0,0,0,20,0,3,0,5,0,0,0,0,0,13,0,6,0,0,11,0,0,0,0,19,5,0,0,6,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6
UCL222020,0,4,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,3,7,3,0,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,12,3,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,7,0,4,0,3,0,0,0,0,0,15,0,4,0,0,0,0,0,0,0,0
UCL222021,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,6,4,0,0,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,5,7,7,6,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,0,0,0,3,3,0,25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,9,5,0,0,9,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
UCL222022,4,0,0,0,6,0,0,0,0,6,0,4,0,0,0,0,0,0,0,8,0,3,0,0,6,0,0,0,0,8,5,5,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,4,8,6,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,5,0,0,0,0,18,0,0,6,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,4,4,4,5,0,6,0,0,0,0,10,0,3,0,6,0,0,0,0,0,8,3,3,0,0,6,0,0,0,0,9,5,4,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5
UCL222023,0,9,0,10,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,0,4,0,3,5,0,0,0,0,7,0,8,0,11,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,26,13,5,0,10,0,78,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,0,19,0,0,0,7,6,0,30,5,0,10,0,0,0,3,3,0,21,0,0,0,0,0,3,0,0,0,5,0,10,0,10,0,0,0,0,0,15,0,10,0,0,5,0,0,0,0,14,5,8,0,0,9,0,0,4,0,21,0,13,3,11,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,9
UCL222024,6,0,0,0,0,0,0,6,0,11,5,0,0,0,0,0,0,0,0,11,9,0,0,0,0,4,0,3,0,20,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,5,6,4,0,13,0,62,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0,5,0,0,0,0,4,0,19,3,0,5,0,0,0,5,6,3,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,13,6,0,0,5,0,0,0,0,0,15,14,0,0,0,0,4,0,5,0,26,9,4,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5
