UCL_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL321045,281,280,561,29,31,59,10,5,16,0,0,3,132,147,282,0,4,9,3,0,6,0,0,0,6,4,9,0,0,0,0,0,0,153,166,321,5,10,14,0,6,9,192,206,401,31,28,59,499,520,1023
UCL321046,197,184,380,9,6,14,0,0,6,0,0,0,63,71,129,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,65,80,141,0,0,0,0,0,0,71,80,158,6,3,12,276,272,549
UCL321047,198,199,400,38,42,81,11,9,24,0,5,5,73,93,171,0,0,0,0,0,3,4,0,5,0,0,0,0,0,0,0,0,0,92,106,201,0,0,0,0,0,0,133,148,286,24,29,54,359,378,735
UCL321048,125,116,236,21,23,48,6,0,3,0,0,0,60,66,127,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,72,140,6,5,7,5,0,9,98,105,201,31,31,58,249,248,500
UCL321049,134,119,255,22,16,37,4,7,8,0,0,0,72,79,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,85,160,0,0,0,0,5,7,106,109,215,27,22,49,267,251,518
UCL321050,178,173,350,47,53,101,11,11,17,0,0,0,73,94,163,0,0,0,0,0,3,0,0,0,0,7,7,0,0,0,0,0,0,86,108,185,3,3,4,7,5,12,138,168,304,60,57,115,376,401,771
UCL321051,203,231,436,27,38,63,0,4,7,4,5,8,117,140,252,0,0,0,0,0,0,0,0,0,10,13,17,0,0,0,0,0,0,131,155,282,0,3,11,11,14,25,166,214,380,72,80,154,445,524,965
UCL321052,316,279,592,26,34,58,0,0,0,0,0,4,14,16,27,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,12,18,37,0,0,0,0,0,0,43,53,94,58,54,111,413,387,798
UCL321053,144,139,280,31,29,54,0,0,3,3,8,11,39,38,79,0,0,3,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,58,41,101,6,9,20,0,0,0,97,80,176,20,15,37,255,234,488
UCL321054,151,139,294,28,24,53,17,23,41,25,22,51,44,30,76,0,3,3,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,91,88,178,10,12,23,0,0,0,133,120,256,26,26,49,309,287,600
UCL321055,247,235,483,48,75,127,6,3,12,3,5,3,69,93,164,0,0,6,0,4,4,0,0,0,0,3,4,0,0,0,0,0,0,76,109,187,8,3,9,5,3,12,146,190,336,58,60,121,444,490,938
UCL321056,209,202,412,48,39,87,10,10,17,0,0,4,47,49,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,65,118,7,3,11,7,4,8,121,103,221,39,41,82,367,350,718
