UCL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL222065,21,13,0,3,86
UCL222066,27,16,6,5,109
UCL222067,24,19,11,6,133
UCL222068,34,12,8,0,116
UCL222069,49,37,13,8,183
UCL222070,30,29,15,0,120
UCL222071,24,26,13,5,186
UCL222072,40,51,20,5,197
UCL222073,20,17,6,0,126
UCL222074,17,14,5,0,95
UCL222075,29,27,11,8,232
UCL222076,35,30,13,7,202
UCL222077,40,48,20,21,220
UCL222078,21,16,7,0,110
UCL222079,60,45,11,0,249
UCL222080,43,30,23,10,187
UCL222081,38,38,13,6,149
UCL222082,30,22,10,0,146
UCL222083,13,7,6,0,91
UCL222084,49,37,17,9,216
UCL222085,65,23,8,0,188
UCL222086,36,42,9,0,220
UCL222087,34,39,14,7,200
UCL222088,44,33,14,6,133
UCL222089,21,17,11,0,101
UCL222090,32,16,7,0,130
UCL222091,40,17,10,3,176
UCL222092,24,18,0,0,165
UCL222093,43,37,24,6,196
UCL222094,29,21,13,0,141
UCL222095,16,15,5,0,89
UCL222096,33,32,3,0,211
UCL222097,30,9,5,3,159
UCL222098,49,27,17,4,205
UCL222099,12,5,0,0,90
UCL222100,27,28,15,4,125
UCL222101,25,17,6,0,143
UCL222102,51,30,11,4,211
UCL222103,16,21,9,0,116
UCL222104,18,22,7,0,111
UCL222105,23,12,4,0,95
UCL231001,46120,34103,12488,2418,217392
UCL279997,15,4,0,0,40
UCL299994,779,411,85,18,5907
UCL301001,156683,101834,47963,16933,1198103
UCL302001,45683,33555,17231,6018,323363
UCL302002,25732,20895,11009,4024,154607
UCL303001,12741,8209,3411,975,80379
UCL303002,7372,5680,3153,1132,52553
UCL303003,12081,7252,3180,942,84242
UCL311001,3449,2758,1796,613,22576
UCL311002,5075,5174,2908,882,27864
UCL311003,6041,3328,1502,578,38512
UCL311004,4184,2563,1328,598,28551
UCL312001,2230,2780,1605,455,10530
UCL312002,2354,1203,504,176,15867
UCL312003,1754,1661,844,271,9647
UCL312004,1614,1113,660,287,10444
UCL313001,832,583,182,14,5831
UCL313002,1222,1234,669,157,6610
UCL313003,665,378,176,64,5091
UCL313004,843,327,104,41,6452
UCL313005,582,323,122,54,4565
UCL313006,1396,1126,579,224,8555
UCL313007,885,705,317,72,5181
UCL313008,655,506,250,95,4413
UCL313009,1111,391,178,37,8129
UCL313010,947,858,528,189,6017
UCL313011,230,113,36,5,3924
UCL313012,1724,1118,543,166,9284
UCL314001,551,534,310,141,3586
UCL314002,533,431,226,82,3525
UCL314003,496,408,244,119,3338
UCL314004,385,350,157,65,2860
UCL314005,336,201,100,54,2617
UCL314006,732,502,250,60,4162
UCL314007,489,397,218,63,3324
UCL314008,368,223,103,51,2868
UCL314009,386,217,58,8,3355
UCL314010,298,232,140,51,2920
UCL314011,325,219,118,41,2329
UCL314012,442,295,119,52,2776
UCL314013,525,367,195,90,2999
UCL314014,329,178,86,29,2479
UCL314015,365,238,79,8,2446
UCL314016,504,407,289,86,3696
UCL314017,435,99,19,3,4529
UCL314018,390,177,55,7,3367
UCL314019,435,317,183,78,2637
UCL314020,390,208,102,57,3078
UCL314021,814,923,466,83,4679
UCL314022,977,856,436,114,4775
UCL314023,861,428,170,47,4669
UCL315001,149,126,35,5,699
UCL315002,199,120,28,5,1226
UCL315003,154,128,62,10,630
UCL315004,28,9,0,0,197
UCL315005,104,87,37,9,522
UCL315006,78,26,4,0,544
UCL315007,310,301,132,52,1573
UCL315008,202,67,15,3,2093
UCL315009,201,205,113,66,1172
UCL315010,326,320,111,19,1379
UCL315011,200,256,99,22,729
UCL315012,201,118,29,3,1669
UCL315013,95,54,25,0,823
UCL315014,143,159,75,26,597
UCL315015,185,84,39,8,975
UCL315016,175,81,25,7,1346
UCL315017,223,126,30,18,1086
UCL315018,43,6,0,0,238
UCL315019,97,93,77,30,588
UCL315020,119,52,29,11,869
UCL315021,75,90,56,23,521
UCL315022,170,78,23,4,1088
UCL315023,111,69,27,6,565
UCL315024,172,148,56,8,939
UCL315025,278,395,153,30,1314
UCL315026,270,263,147,99,1766
UCL315027,154,191,158,98,953
UCL315028,79,64,22,0,600
UCL315029,193,131,31,6,1158
UCL315030,46,13,6,0,283
UCL315031,163,65,14,0,1373
UCL315032,474,416,172,65,2277
UCL315033,121,158,82,13,599
UCL315034,111,68,19,3,598
UCL315035,201,116,35,8,1390
UCL315036,117,118,45,17,733
UCL315037,350,258,108,19,2023
UCL315038,165,68,20,0,969
UCL315039,37,15,7,0,240
UCL315040,112,65,16,0,1306
UCL315041,109,78,24,0,619
UCL315042,190,153,89,27,1123
UCL315043,78,93,42,12,417
UCL315044,352,215,154,64,1818
UCL315045,269,151,44,3,1410
UCL315046,138,112,47,19,1062
UCL315047,133,68,23,3,906
UCL315048,191,165,65,15,805
UCL315049,328,222,126,22,1424
UCL315050,231,208,128,63,1577
UCL315051,364,258,114,27,2278
UCL315052,227,215,111,15,1656
UCL315053,251,135,57,38,1409
UCL315054,281,199,93,26,1576
UCL315055,432,520,207,38,1766
UCL315056,172,161,101,50,870
UCL315057,351,446,226,87,1784
UCL315058,158,69,20,3,1592
UCL315059,95,70,80,32,804
UCL315060,154,61,17,3,1104
UCL315061,126,22,0,0,1148
UCL315062,80,60,34,26,625
UCL315063,81,67,32,13,567
UCL315064,60,50,21,4,649
UCL315065,81,71,38,23,451
UCL315066,291,197,76,16,1726
UCL315067,249,220,83,13,1060
UCL315068,131,113,49,15,801
UCL315069,233,202,95,26,1059
UCL315070,87,65,33,6,800
UCL315071,96,54,11,0,474
UCL315072,63,34,33,12,454
UCL315073,133,128,49,17,793
UCL315074,260,294,144,36,1432
UCL315075,185,165,72,19,727
UCL315076,239,172,92,35,1574
UCL315077,74,26,3,0,409
UCL315078,149,137,111,110,1245
UCL315079,228,158,66,3,993
UCL315080,492,400,176,36,2936
UCL315081,224,166,110,29,1434
UCL315082,174,138,61,9,679
UCL315083,152,57,12,0,553
UCL315084,294,234,70,10,1080
UCL315085,214,150,97,52,1362
UCL315086,513,499,222,19,1931
UCL315087,343,210,57,8,1507
UCL315088,226,155,67,38,1410
UCL315089,148,93,51,27,1009
UCL315090,346,390,219,64,2170
UCL315091,191,71,19,0,1274
UCL315092,253,352,176,38,1105
UCL315093,84,83,48,6,394
UCL315094,239,254,112,9,1114
UCL315095,125,101,57,24,949
UCL315096,235,117,38,13,1569
UCL315097,124,89,28,5,859
UCL315098,246,54,11,5,2157
UCL315099,218,99,31,3,1706
UCL315100,96,73,33,9,622
UCL315101,168,84,24,5,867
UCL315102,141,132,91,24,770
UCL315103,149,127,45,3,702
UCL315104,191,162,57,34,1233
UCL315105,199,241,91,11,715
UCL315106,87,37,15,3,833
UCL315107,173,129,60,16,1258
UCL315108,43,18,0,0,364
UCL315109,124,125,54,12,583
UCL321001,48,40,16,3,239
UCL321002,68,71,33,12,364
UCL321003,61,46,27,0,285
UCL321004,55,30,21,8,249
UCL321005,51,45,19,0,369
UCL321006,29,7,5,0,200
UCL321007,95,50,24,0,751
UCL321008,121,125,51,4,492
UCL321009,92,56,47,11,592
UCL321010,57,43,19,10,360
UCL321011,77,36,15,0,359
UCL321012,39,49,58,4,261
UCL321013,72,87,37,4,443
UCL321014,30,15,8,0,234
UCL321015,75,67,34,26,419
UCL321016,44,69,33,9,248
UCL321017,154,91,46,4,578
UCL321018,51,47,9,3,324
UCL321019,76,42,11,0,467
UCL321020,96,64,32,5,422
UCL321021,74,37,25,0,334
UCL321022,55,40,12,0,373
UCL321023,63,56,8,0,314
UCL321024,28,32,11,0,255
UCL321025,105,83,15,0,305
UCL321026,49,38,13,0,228
UCL321027,71,41,26,5,402
UCL321028,53,33,15,8,408
UCL321029,149,161,62,22,537
UCL321030,48,26,8,0,209
UCL321031,120,79,29,0,550
UCL321032,213,158,52,3,1034
UCL321033,100,58,16,0,490
UCL321034,73,43,12,10,373
UCL321035,180,138,47,3,858
UCL321036,73,58,14,0,526
UCL321037,82,72,30,5,394
UCL321038,132,99,35,7,473
UCL321039,144,150,62,21,623
UCL321040,106,41,17,3,373
UCL321041,56,66,29,12,358
UCL321042,49,28,16,0,277
UCL321043,97,49,17,0,397
UCL321044,275,229,67,6,978
UCL321045,101,42,12,0,591
UCL321046,63,61,21,0,300
UCL321047,72,34,22,7,338
UCL321048,44,40,27,4,214
UCL321049,43,26,13,0,288
UCL321050,54,40,11,0,352
UCL321051,107,89,64,12,474
UCL321052,35,18,5,0,314
UCL321053,30,14,6,0,244
UCL321054,120,88,26,0,367
UCL321055,66,51,20,11,401
UCL321056,36,31,27,7,250
UCL321057,62,46,25,11,278
UCL321058,67,63,21,5,444
UCL321059,124,72,20,0,611
UCL321060,61,56,32,19,303
UCL321061,81,73,33,6,336
UCL321062,51,17,7,0,354
UCL321063,120,77,35,7,536
UCL321064,91,63,37,9,319
UCL321065,128,78,43,11,545
UCL321066,89,83,34,9,304
UCL321067,20,8,9,0,144
UCL321068,76,49,20,9,473
UCL321069,129,152,92,8,597
UCL321070,55,44,18,0,342
UCL321071,61,39,11,0,298
UCL321072,51,51,13,4,397
UCL321073,125,61,25,5,500
UCL321074,52,43,17,6,306
UCL321075,87,50,12,4,566
UCL321076,47,24,0,0,295
UCL321077,65,23,0,0,366
UCL321078,62,36,10,0,250
UCL321079,62,37,21,4,438
UCL321080,159,98,35,7,875
UCL321081,61,33,14,3,294
UCL321082,56,47,8,3,283
UCL321083,111,60,28,4,667
UCL321084,116,114,50,7,503
UCL321085,103,135,31,0,323
UCL321086,28,5,0,0,217
UCL321087,81,61,31,4,371
UCL321088,78,77,26,9,341
UCL321089,75,67,32,8,258
UCL321090,60,74,45,16,426
UCL321091,56,55,26,5,227
UCL321092,76,50,36,6,258
UCL321093,64,54,18,3,314
UCL321094,65,54,22,9,322
UCL321095,116,107,44,7,516
UCL321096,51,29,19,8,335
UCL321097,107,50,22,3,501
UCL321098,41,25,12,0,238
UCL321099,50,32,8,5,284
UCL321100,22,23,16,5,210
UCL321101,46,46,25,11,247
UCL321102,66,31,18,0,365
UCL321103,121,83,31,4,532
UCL321104,48,6,0,0,312
UCL321105,150,132,57,6,759
UCL321106,80,87,28,11,562
UCL321107,89,59,29,8,332
UCL321108,40,35,6,5,232
UCL321109,50,44,30,3,384
UCL321110,102,124,61,14,516
UCL321111,77,79,31,3,403
UCL321112,30,8,0,0,228
UCL321113,54,40,11,0,280
UCL321114,76,86,58,10,389
UCL322001,44,25,8,0,197
UCL322002,26,14,8,7,121
UCL322003,24,13,7,6,80
UCL322004,57,57,27,5,229
UCL322005,21,12,0,0,75
UCL322006,45,54,23,4,165
UCL322007,24,15,6,6,125
UCL322008,19,16,6,0,111
UCL322009,14,7,16,4,108
UCL322010,53,64,14,0,202
UCL322011,71,51,11,4,291
UCL322012,38,35,31,7,187
UCL322013,46,27,14,4,270
UCL322014,23,18,13,4,93
UCL322015,52,43,13,4,206
UCL322016,10,9,0,0,78
UCL322017,14,0,0,0,51
UCL322018,75,97,16,3,261
UCL322019,71,66,23,11,228
UCL322020,13,9,3,0,80
UCL322021,25,25,5,5,78
UCL322022,10,12,4,0,66
UCL322023,67,47,15,0,228
UCL322024,44,55,12,3,249
UCL322025,12,3,0,0,57
UCL322026,15,9,5,0,89
UCL322027,9,11,5,0,62
UCL322028,28,22,15,5,114
UCL322029,13,7,0,0,115
UCL322030,32,24,15,3,152
UCL322031,41,35,13,0,138
UCL322032,0,10,3,0,39
UCL322033,8,0,0,0,36
UCL322034,26,16,16,6,130
UCL322035,22,17,6,0,120
UCL322036,52,47,32,3,239
UCL322037,14,12,8,0,75
UCL322038,28,33,17,4,167
UCL322039,22,11,4,3,103
UCL322040,38,13,6,0,222
UCL322041,25,20,0,0,147
UCL322042,16,10,3,0,113
UCL322043,31,10,4,5,141
UCL322044,14,22,11,0,121
UCL322045,44,30,11,3,180
UCL322046,29,22,4,0,179
UCL322047,6,0,0,0,50
UCL322048,16,4,6,0,96
UCL322049,23,21,9,0,111
UCL322050,27,4,0,0,261
UCL322051,16,27,0,0,120
UCL322052,11,3,11,0,47
UCL322053,60,19,12,5,213
UCL322054,56,26,10,0,178
UCL322055,35,44,18,3,160
UCL322056,10,11,0,0,93
UCL322057,36,17,6,0,193
UCL322058,61,51,18,14,196
UCL322059,23,6,0,0,137
UCL322060,53,39,22,0,206
UCL322061,20,13,3,0,160
UCL322062,27,16,5,0,126
UCL322063,30,15,7,4,170
UCL322064,23,14,3,0,126
UCL322065,23,11,6,0,111
UCL322066,50,58,18,0,160
UCL322067,52,39,16,4,236
UCL322068,25,26,10,0,122
UCL322069,33,33,31,0,171
UCL322070,38,36,16,3,177
UCL322071,9,9,4,0,39
UCL322072,24,10,6,0,113
UCL322073,42,45,16,4,181
UCL322074,35,48,16,4,125
UCL322075,14,4,0,0,98
UCL322076,25,16,0,0,192
UCL322077,13,5,5,0,123
UCL322078,22,12,3,0,101
UCL322079,26,12,0,0,145
UCL322080,20,20,10,0,91
UCL322081,32,33,8,5,135
UCL322082,34,23,16,5,157
UCL322083,11,8,4,0,78
UCL322084,21,29,5,0,115
UCL322085,47,34,13,0,247
UCL322086,21,19,4,3,103
UCL322087,69,43,11,0,291
UCL322088,19,26,7,0,105
UCL322089,27,15,9,4,157
UCL322090,23,4,6,0,118
UCL322091,30,20,4,5,107
UCL322092,25,4,0,0,166
UCL322093,55,28,15,3,201
UCL322094,49,21,9,0,129
UCL322095,29,44,21,3,168
UCL322096,28,16,8,0,218
UCL322097,72,62,9,3,241
UCL322098,36,12,3,3,158
UCL322099,21,20,12,0,112
UCL322100,30,18,12,3,196
UCL322101,27,29,12,3,198
UCL322102,19,13,5,0,118
UCL322103,39,31,17,0,185
UCL322104,55,21,9,0,182
UCL322105,25,11,9,0,97
UCL322106,25,16,4,0,150
UCL322107,17,9,8,0,69
UCL322108,24,14,4,0,103
UCL322109,43,29,9,0,175
UCL322110,52,30,10,4,209
UCL322111,22,11,10,0,122
UCL322112,31,24,10,0,175
UCL322113,24,13,7,0,109
UCL322114,28,16,7,0,143
UCL322115,29,11,8,0,107
UCL322116,39,28,8,0,130
UCL322117,45,44,20,8,154
UCL322118,14,11,6,0,89
UCL322119,13,6,0,0,80
UCL322120,24,21,18,12,195
UCL322121,46,49,21,3,200
UCL322122,42,33,24,0,165
UCL322123,21,15,11,0,116
UCL322124,19,17,18,0,89
UCL322125,35,36,12,0,188
UCL322126,20,15,17,31,133
UCL322127,53,49,35,8,215
UCL322128,21,0,0,0,125
UCL322129,21,14,17,0,97
UCL322130,43,30,4,0,142
UCL322131,13,8,3,0,71
UCL322132,23,15,6,4,151
UCL322133,13,0,0,0,100
UCL322134,6,9,7,4,39
UCL322135,12,7,0,0,100
UCL322136,38,31,8,0,182
UCL322137,20,13,7,0,83
UCL322138,7,8,12,0,62
UCL322139,14,3,0,0,96
UCL331001,44653,30398,11198,1929,218368
UCL379997,5,3,0,0,170
UCL399994,1684,1277,239,26,9143
UCL401001,90336,68250,33383,12419,629121
UCL412001,2155,1440,791,337,13100
UCL412002,1425,1224,568,175,10921
UCL412003,1669,1381,715,273,11340
UCL412004,1539,956,566,194,8964
UCL413001,1742,1541,593,151,9288
UCL413002,1085,865,501,185,6850
UCL413003,865,566,264,51,5110
UCL413004,1019,753,356,140,6339
UCL413005,884,636,340,101,5222
UCL413006,1492,2151,1310,415,8371
UCL414001,861,1250,709,186,4473
UCL414002,378,265,79,11,2540
UCL414003,271,221,139,59,2021
UCL414004,405,377,225,77,2756
UCL414005,528,500,303,93,3103
UCL415001,185,149,73,22,1029
UCL415002,234,145,81,19,1771
UCL415003,110,122,71,40,764
UCL415004,161,124,59,23,905
UCL415005,115,117,76,30,783
UCL415006,246,218,94,58,1738
UCL415007,148,120,78,28,1194
UCL415008,150,97,48,14,961
UCL415009,249,233,95,41,1583
UCL415010,125,137,74,21,760
UCL415011,96,92,53,25,571
UCL415012,152,98,25,14,1024
UCL415013,196,192,142,84,1260
UCL415014,113,70,26,20,582
UCL415015,340,265,133,78,1963
UCL415016,209,176,118,48,1189
UCL415017,180,166,96,38,958
UCL415018,116,146,73,22,666
UCL415019,201,75,30,9,912
UCL415020,202,95,70,20,1039
UCL415021,228,214,137,40,1591
UCL415022,162,140,48,4,929
UCL415023,115,70,43,21,489
UCL415024,192,242,136,38,1091
UCL415025,72,52,19,0,547
UCL415026,319,296,220,87,1715
UCL415027,75,31,13,5,569
UCL415028,126,132,41,11,602
UCL415029,352,279,142,65,1948
UCL415030,385,525,256,95,2078
UCL415031,95,68,24,0,576
UCL415032,268,373,137,32,1193
UCL415033,72,58,23,9,439
UCL415034,113,89,36,11,600
UCL415035,130,122,43,15,593
UCL415036,98,108,64,21,466
UCL415037,219,252,132,48,1797
UCL415038,122,106,46,14,581
UCL415039,174,21,3,3,1680
UCL415040,112,79,59,18,586
UCL415041,368,330,158,58,2141
UCL415042,116,142,72,33,656
UCL415043,144,101,38,5,1241
UCL415044,52,42,6,0,710
UCL415045,94,110,75,32,662
UCL415046,393,363,200,46,1806
UCL415047,192,115,36,13,1061
UCL415048,256,231,82,19,1249
UCL415049,158,144,99,45,985
UCL421001,92,117,63,17,485
UCL421002,52,66,18,3,255
UCL421003,96,66,23,4,489
UCL421004,97,100,51,14,421
UCL421005,72,44,30,22,354
UCL421006,69,31,5,6,350
UCL421007,72,57,33,4,317
UCL421008,82,105,33,15,479
UCL421009,35,32,20,8,307
UCL421010,50,27,8,0,330
UCL421011,49,49,31,9,254
UCL421012,51,45,27,0,269
UCL421013,125,72,13,10,561
UCL421014,70,42,21,47,393
UCL421015,46,33,12,13,252
UCL421016,75,47,15,0,296
UCL421017,40,22,5,0,240
UCL421018,80,53,22,12,450
UCL421019,37,22,25,9,236
UCL421020,31,24,22,11,239
UCL421021,35,42,23,9,230
UCL421022,123,96,25,8,554
UCL421023,52,32,18,5,339
UCL421024,59,69,34,8,371
UCL421025,94,100,29,3,410
UCL421026,40,63,53,28,317
UCL421027,45,38,21,18,291
UCL421028,80,29,10,0,284
UCL421029,58,37,17,14,247
UCL421030,54,32,20,10,258
UCL421031,65,61,22,3,285
UCL421032,32,30,18,3,227
UCL421033,16,6,3,0,129
UCL421034,108,104,49,14,537
UCL421035,61,68,45,22,338
UCL421036,78,28,12,3,473
UCL421037,73,72,25,19,432
UCL421038,108,76,25,6,510
UCL421039,58,21,6,0,284
UCL421040,48,47,16,0,315
UCL421041,34,30,14,11,196
UCL421042,74,96,50,18,382
UCL421043,49,55,20,10,254
UCL422001,22,11,0,4,113
UCL422002,14,3,0,0,119
UCL422003,36,43,19,0,133
UCL422004,26,26,16,0,122
UCL422005,13,29,8,5,98
UCL422006,37,62,15,8,205
UCL422007,29,26,14,0,103
UCL422008,44,21,10,0,173
UCL422009,24,11,9,9,107
UCL422010,41,39,17,0,195
UCL422011,17,24,16,0,94
UCL422012,49,33,12,0,230
UCL422013,29,18,7,0,168
UCL422014,35,13,5,0,111
UCL422015,67,64,26,5,223
UCL422016,22,6,8,3,75
UCL422017,19,24,15,3,103
UCL422018,17,17,9,0,78
UCL422019,53,81,28,6,236
UCL422020,31,28,6,0,153
UCL422021,22,21,6,0,113
UCL422022,7,3,0,0,54
UCL422023,23,25,10,0,122
UCL422024,10,0,0,0,40
UCL422025,22,24,17,3,124
UCL422026,23,24,3,3,205
UCL422027,17,4,0,0,58
UCL422028,33,26,10,3,128
UCL422029,8,0,0,0,60
UCL422030,26,27,13,0,126
UCL422031,28,24,10,0,120
UCL422032,43,17,0,0,174
UCL422033,47,18,3,5,153
UCL422034,37,22,0,0,149
UCL422035,36,13,6,0,179
UCL422036,21,22,4,0,128
UCL422037,10,20,11,0,115
UCL422038,17,21,8,0,92
UCL422039,22,21,6,0,102
UCL422040,28,31,17,6,159
UCL422041,34,51,18,0,159
UCL422042,40,30,16,0,131
UCL422043,20,11,3,0,75
UCL422044,35,35,18,6,148
UCL422045,54,79,30,13,248
UCL422046,46,30,11,0,180
UCL422047,17,10,0,0,58
UCL422048,36,19,13,6,127
UCL422049,34,9,11,6,125
UCL422050,14,13,3,0,81
UCL422051,47,38,4,0,205
UCL422052,52,56,41,6,232
UCL422053,35,40,20,10,160
UCL422054,26,13,7,0,104
UCL422055,26,21,15,0,142
UCL422056,12,8,3,3,118
UCL422057,35,31,0,0,182
UCL422058,14,12,4,0,64
UCL422059,45,40,22,0,218
UCL422060,27,30,7,0,91
UCL422061,26,4,0,0,86
UCL422062,17,8,3,0,93
UCL422063,14,6,0,0,118
UCL431001,14326,10278,3691,656,68611
UCL479997,0,0,0,0,9
UCL499994,345,212,26,9,1909
UCL501001,149336,103359,49960,18246,1070039
UCL511001,5734,4004,1804,634,35809
UCL512001,2566,2053,1113,452,14913
UCL512002,2179,1927,1028,345,13148
UCL512003,2450,1587,775,346,15286
UCL512004,1869,867,284,92,13413
UCL513001,1073,512,122,30,7887
UCL513002,708,473,348,91,4577
UCL513003,907,237,41,3,8921
UCL513004,980,252,55,11,7678
UCL513005,714,465,282,89,5073
UCL514001,468,402,213,75,2989
UCL514002,587,554,287,62,3981
UCL514003,506,391,146,75,3928
UCL514004,501,375,184,70,2831
UCL515001,117,173,106,36,650
UCL515002,129,100,29,4,650
UCL515003,232,265,115,27,1201
UCL515004,96,57,17,11,940
UCL515005,163,135,43,10,1017
UCL515006,332,211,86,24,1983
UCL515007,149,82,33,6,1097
UCL515008,105,18,7,0,678
UCL515009,290,312,169,51,1624
UCL515010,247,177,41,6,1483
UCL515011,204,178,112,31,1189
UCL515012,128,67,18,4,1056
UCL515013,209,119,44,9,1555
UCL515014,61,15,0,0,392
UCL515015,147,124,102,48,1174
UCL515016,154,158,58,14,786
UCL515017,132,133,50,11,642
UCL515018,113,47,22,6,704
UCL515019,201,143,82,33,1361
UCL515020,308,124,39,14,2301
UCL515021,178,154,67,22,882
UCL515022,245,207,104,32,1639
UCL515023,160,106,50,19,1016
UCL515024,116,96,41,19,653
UCL515025,144,119,72,49,837
UCL515026,140,70,27,6,1027
UCL515027,263,217,108,69,1732
UCL515028,219,48,5,0,2041
UCL515029,85,13,4,0,671
UCL515030,267,239,142,77,1680
UCL515031,251,250,139,25,1283
UCL515032,103,60,9,4,698
UCL515033,149,32,9,0,1412
UCL515034,245,162,72,11,1332
UCL515035,110,93,42,7,521
UCL515036,176,134,76,41,1009
UCL515037,96,20,3,0,1008
UCL515038,216,280,150,39,1144
UCL521001,60,27,4,0,250
UCL521002,63,90,20,0,375
UCL521003,59,86,48,22,374
UCL521004,23,4,3,0,152
UCL521005,98,59,29,3,491
UCL521006,106,73,36,4,436
UCL521007,38,28,23,8,239
UCL521008,37,28,15,4,194
UCL521009,44,38,26,9,229
UCL521010,60,40,12,5,338
UCL521011,38,18,4,0,263
UCL521012,61,36,4,5,251
UCL521013,79,54,13,3,422
UCL521014,75,52,9,4,346
UCL521015,36,51,18,16,264
UCL521016,35,22,13,5,248
UCL521017,29,17,15,4,268
UCL521018,35,23,9,0,250
UCL521019,71,69,28,5,397
UCL521020,66,75,29,9,335
UCL521021,58,46,32,0,381
UCL521022,89,77,11,4,466
UCL521023,51,31,8,6,215
UCL521024,79,37,18,3,547
UCL521025,56,46,23,3,370
UCL521026,68,29,21,0,381
UCL521027,57,37,11,4,396
UCL521028,60,38,33,15,292
UCL521029,56,41,36,27,355
UCL521030,75,58,40,7,372
UCL521031,51,20,9,0,284
UCL521032,66,19,5,0,271
UCL521033,74,42,12,4,351
UCL521034,63,37,19,5,336
UCL521035,65,51,41,7,280
UCL521036,48,30,16,0,216
UCL521037,56,43,23,6,362
UCL521038,63,72,37,8,320
UCL521039,122,73,48,12,484
UCL521040,66,20,4,0,429
UCL521041,24,6,0,0,315
UCL521042,40,30,10,12,253
UCL521043,75,51,21,0,319
UCL521044,65,55,29,8,294
UCL521045,61,68,34,15,287
UCL521046,42,19,9,0,187
UCL521047,40,17,8,5,195
UCL521048,101,109,47,19,456
UCL521049,16,4,0,0,103
UCL521050,47,50,14,8,304
UCL521051,64,48,23,3,331
UCL521052,52,23,9,4,294
UCL522001,12,11,0,0,92
UCL522002,32,41,19,0,174
UCL522003,6,3,0,0,77
UCL522004,3,0,0,0,44
UCL522005,10,4,0,0,75
UCL522006,56,41,11,5,271
UCL522007,22,17,12,3,97
UCL522008,24,18,10,0,90
UCL522009,24,11,8,0,166
UCL522010,37,49,23,10,216
UCL522011,19,28,8,0,158
UCL522012,42,44,20,5,219
UCL522013,43,25,9,5,202
UCL522014,18,6,3,0,70
UCL522015,15,8,0,0,132
UCL522016,22,12,12,5,113
UCL522017,47,29,18,5,168
UCL522018,8,31,3,0,76
UCL522019,24,8,4,4,88
UCL522020,19,3,4,0,70
UCL522021,12,36,13,5,132
UCL522022,22,22,7,0,108
UCL522023,39,27,6,4,147
UCL522024,50,61,21,3,183
UCL522025,44,40,12,4,191
UCL522026,28,46,27,5,138
UCL522027,38,30,14,0,153
UCL522028,24,22,17,5,79
UCL522029,16,14,11,4,147
UCL522030,24,3,5,0,117
UCL522031,5,0,0,0,38
UCL522032,23,7,3,0,61
UCL522033,43,54,27,3,183
UCL522034,0,0,0,0,20
UCL522035,13,12,8,0,82
UCL522036,14,14,8,0,84
UCL522037,22,12,6,4,126
UCL522038,20,8,11,6,187
UCL522039,45,16,3,0,173
UCL522040,25,34,11,0,116
UCL522041,46,38,10,5,159
UCL522042,16,8,0,0,180
UCL522043,13,5,0,0,122
UCL522044,13,11,7,0,57
UCL522045,12,3,0,0,46
UCL522046,25,26,9,4,112
UCL522047,30,44,15,7,203
UCL522048,16,13,8,4,115
UCL522049,22,30,8,0,144
UCL522050,35,19,23,20,171
UCL522051,29,9,3,0,118
UCL522052,6,6,5,0,42
UCL522053,8,0,0,0,36
UCL522054,8,5,4,5,68
UCL522055,33,17,4,0,144
UCL522056,32,10,6,0,162
UCL522057,14,3,0,0,109
UCL522058,19,10,7,0,103
UCL522059,23,26,17,0,155
UCL522060,5,5,0,0,17
UCL522061,40,48,32,3,178
UCL522062,0,0,0,0,36
UCL522063,9,0,0,0,37
UCL522064,7,3,9,0,128
UCL522065,28,15,12,7,111
UCL522066,21,13,11,4,184
UCL522067,7,12,0,0,123
UCL522068,47,25,12,6,225
UCL522069,16,23,14,0,125
UCL522070,25,24,7,3,134
UCL522071,11,0,0,0,61
UCL531001,16365,10962,3884,637,82455
UCL579997,48,15,0,0,428
UCL599994,876,505,105,20,5668
UCL603001,14618,11829,6080,2207,106100
UCL611001,5743,4382,2438,857,39376
UCL612001,1490,1009,598,204,8937
UCL612002,1774,1535,795,288,11085
UCL613001,1066,877,496,152,5782
UCL614001,555,382,106,22,2723
UCL614002,360,259,157,41,2362
UCL614003,459,404,245,68,2361
UCL615001,84,51,38,7,420
UCL615002,139,158,60,11,595
UCL615003,159,148,64,25,722
UCL615004,72,83,36,4,467
UCL615005,176,187,126,36,1134
UCL615006,116,125,68,14,552
UCL615007,124,111,50,16,557
UCL615008,296,289,141,32,1689
UCL615009,158,113,57,8,1013
UCL615010,147,99,71,21,949
UCL615011,264,257,143,56,1924
UCL615012,337,247,168,81,2156
UCL615013,257,285,146,50,1638
UCL615014,149,110,73,19,1229
UCL615015,239,187,85,24,1686
UCL615016,295,234,122,38,1656
UCL615017,243,163,86,14,1425
UCL615018,381,424,218,50,1925
UCL615019,175,132,33,0,639
UCL615020,153,107,55,18,775
UCL615021,111,110,94,68,790
UCL615022,86,100,58,18,513
UCL615023,203,158,85,30,1324
UCL615024,134,116,68,31,920
UCL615025,180,160,118,36,1433
UCL615026,147,145,80,22,707
UCL615027,141,157,51,10,745
UCL621001,32,13,10,0,199
UCL621002,96,73,33,10,413
UCL621003,45,15,20,0,284
UCL621004,58,73,30,11,315
