UCL_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL114008,0,3,0,71,16,0,0,9,0,3,0,0,0,0,19,53,0,0,0,0,0,0,0,0,0,0,0,3,131,17,3,159,23,54,5,32,9,60,26,515
UCL114009,0,0,0,121,14,0,0,6,0,4,0,0,0,0,43,71,0,0,0,0,0,0,0,0,0,0,0,0,272,21,11,315,67,102,7,22,3,12,50,874
UCL114010,0,0,0,73,9,0,0,13,0,7,0,3,0,4,29,59,0,0,0,0,0,0,0,0,3,0,0,3,148,14,11,196,20,75,0,26,6,41,28,555
UCL114011,0,0,0,14,0,0,0,6,0,0,0,0,0,0,20,32,0,0,0,0,0,0,0,0,0,0,3,3,72,18,0,82,18,49,3,30,6,42,29,348
UCL114012,0,0,0,421,16,0,0,10,0,3,0,0,0,0,27,55,0,0,0,0,3,0,0,0,0,0,3,4,461,24,18,317,104,121,10,17,0,9,27,1111
UCL114013,0,7,0,126,11,0,0,7,0,5,0,0,0,0,38,61,0,0,0,0,0,0,0,0,3,0,4,9,214,28,6,235,44,118,15,16,11,52,39,778
UCL114014,0,0,0,270,10,4,3,16,0,6,3,0,0,5,19,58,0,0,0,6,0,0,0,0,0,0,3,10,197,66,16,344,105,125,49,45,18,52,24,1042
UCL114015,0,0,0,47,11,0,0,4,0,5,0,0,0,0,32,61,0,0,0,0,0,0,0,0,0,0,0,3,195,31,3,208,26,124,5,49,4,75,43,769
UCL114016,0,0,0,77,8,0,0,13,0,4,0,0,0,4,25,56,0,0,0,0,0,0,0,0,0,0,3,3,213,27,10,192,31,106,3,31,7,55,32,696
UCL114017,0,4,0,223,8,3,0,19,4,3,0,4,0,4,27,68,0,0,4,0,0,0,0,0,0,0,8,5,180,85,16,325,43,112,15,56,10,41,30,923
UCL114018,0,3,0,83,10,3,0,11,0,0,0,0,0,4,27,63,0,0,0,0,0,0,0,0,0,0,0,0,159,47,6,205,14,56,9,28,8,63,29,630
UCL114019,0,0,0,74,22,5,0,8,5,5,0,0,0,0,19,56,0,0,0,0,0,0,0,0,0,0,3,13,175,15,3,143,36,62,5,14,4,39,30,528
UCL114020,3,7,0,200,10,3,0,7,4,8,0,3,0,10,34,73,0,0,0,0,0,0,0,0,0,0,4,7,235,55,11,294,55,114,13,42,16,63,43,948
UCL114021,0,0,0,60,7,3,6,15,5,3,4,0,0,5,43,85,0,0,0,0,0,0,0,0,0,0,4,11,172,79,6,290,28,129,19,69,8,83,45,921
UCL114022,0,0,0,22,0,4,3,3,4,0,0,6,0,5,9,33,0,0,0,0,0,0,0,0,0,0,0,4,61,35,3,102,12,51,11,29,4,77,15,403
UCL114023,0,0,0,71,5,0,0,0,0,0,0,0,0,5,19,40,0,0,0,0,0,0,0,0,0,0,0,9,166,11,8,141,27,48,0,11,3,34,26,483
UCL114024,0,0,0,131,14,0,0,13,0,3,0,4,0,6,42,77,0,0,0,0,0,0,0,0,0,5,6,8,250,21,6,293,47,112,15,43,17,70,49,920
UCL114025,0,0,0,121,10,6,0,12,3,3,0,0,0,0,46,81,0,0,0,0,0,0,0,0,0,0,9,9,164,78,7,326,41,99,20,42,11,54,52,887
UCL114026,0,0,0,137,3,0,0,4,0,3,0,0,0,0,18,39,0,0,0,0,0,0,0,0,0,0,3,3,138,24,13,169,61,95,18,30,18,37,25,631
UCL114027,0,0,0,58,10,3,0,9,3,4,0,0,3,0,12,44,0,0,0,0,0,0,0,0,0,0,0,6,86,26,3,138,19,71,7,24,11,41,17,443
UCL114028,0,0,0,90,14,0,0,7,0,5,0,0,0,3,30,51,0,0,0,0,0,0,0,0,0,0,0,0,154,20,8,182,19,65,9,13,3,29,26,524
UCL114029,0,4,0,191,11,0,0,8,0,0,0,5,0,4,11,51,0,0,5,0,0,0,0,0,0,4,6,12,203,48,19,218,87,97,32,31,18,55,15,822
UCL114030,0,0,0,32,0,0,0,4,3,3,0,3,0,4,9,24,0,0,0,0,0,0,0,0,0,0,0,0,81,24,5,95,34,49,7,33,4,48,11,384
UCL114031,0,0,0,69,9,4,6,5,6,4,4,3,0,4,28,57,0,0,0,0,0,0,0,0,0,0,0,4,132,40,19,195,55,88,30,42,12,58,27,698
UCL114032,0,0,0,82,3,0,0,3,0,4,0,0,3,0,13,32,0,0,0,0,0,0,0,0,0,0,0,4,122,32,9,163,52,94,25,33,14,39,15,593
