UCL_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
UCL122107,44,1343,770,300,1931,0.8,1670,2.4
UCL122108,66,2200,703,390,1437,0.6,1109,1.8
UCL122109,31,0,936,403,5249,2,5249,4
UCL122110,41,1833,843,330,2053,0.7,1759,2.5
UCL122111,43,2969,1145,350,3349,0.8,3386,3.3
UCL122112,60,1569,554,350,1341,0.7,1079,2
UCL122113,54,1767,654,250,1446,0.7,1292,2.3
UCL122114,60,1350,539,310,1317,0.8,991,1.9
UCL122115,53,1647,730,415,1625,0.7,1442,2.5
UCL122116,57,1700,746,345,1781,0.8,1487,2.4
UCL122117,36,2115,853,300,2381,0.8,2250,3.1
UCL122118,37,1647,818,403,1774,0.8,1625,2.7
UCL122119,57,1633,788,320,1476,0.7,1398,2.1
UCL122120,41,1625,787,370,1807,0.8,1669,2.8
UCL122121,36,1279,733,348,1562,0.8,1402,2.7
UCL122122,37,2625,964,630,2771,0.8,2619,3
UCL122123,58,867,445,183,944,0.7,808,2.1
UCL122124,36,2529,1534,495,3714,0.8,3424,3.1
UCL122125,62,1224,550,190,1325,0.6,959,1.9
UCL122126,47,2329,971,520,2562,0.7,2452,3
UCL122127,54,1300,685,228,1699,0.8,1100,2.1
UCL122128,44,780,575,200,1375,0.7,1024,2.3
UCL122129,50,1738,770,335,2125,0.7,1642,2.4
UCL122130,48,1603,606,350,1375,0.9,1192,2.5
UCL122131,37,2659,1031,400,2388,1.1,1666,2
UCL122132,47,704,436,180,980,0.8,828,2.4
UCL122133,60,2297,561,250,1107,1,788,1.7
UCL122134,43,1820,866,320,2283,0.7,2016,2.6
UCL122135,38,867,730,210,1833,0.8,1354,2.4
UCL122136,27,0,407,150,1036,0.9,1071,3.5
UCL122137,58,715,467,120,1125,0.6,770,1.8
UCL122138,55,672,510,168,1196,0.7,866,1.9
UCL122139,55,854,613,320,1562,0.7,1015,2.2
UCL122140,41,433,507,100,1333,0.8,739,2.2
UCL122141,42,1950,848,443,2299,0.9,2031,2.6
UCL122142,49,1300,591,400,1213,0.8,1096,2.2
UCL122143,48,1647,563,400,1333,0.8,1192,2.4
UCL122144,52,1127,482,260,1205,0.7,933,2.2
UCL122145,59,510,471,100,1375,0.7,754,1.9
UCL122146,60,516,453,110,1281,0.7,770,2.1
UCL122147,58,576,432,220,1042,0.7,732,1.9
UCL122148,58,900,504,204,1274,0.7,919,1.9
UCL122149,46,665,594,200,1421,0.8,1132,2.3
UCL122150,38,1460,732,400,1569,0.8,1429,2.6
UCL122151,57,859,483,200,1142,0.7,823,1.9
UCL122152,59,769,432,185,949,0.7,737,2
UCL122153,51,1900,719,320,1962,0.8,1708,2.5
UCL122154,49,1517,824,403,2143,0.8,1674,2.4
UCL122155,45,971,733,225,1607,0.7,1359,2.2
UCL122156,44,1083,632,200,1382,0.8,1069,2.4
UCL122157,40,2383,1016,800,3091,0.8,3200,3.4
UCL122158,53,672,546,205,1174,0.7,929,2.1
UCL131001,46,1900,753,300,1996,0.8,1704,2.7
UCL179997,56,0,1649,0,0,0,0,0
UCL199994,39,0,487,0,0,0,0,0
UCL201001,37,2000,844,391,2255,0.9,1906,2.6
UCL203001,38,1430,736,300,1834,0.7,1401,2.3
UCL203002,39,1408,744,295,1849,0.7,1428,2.4
UCL203003,37,1701,770,330,2052,0.8,1570,2.4
UCL211001,38,1408,780,290,1872,0.7,1441,2.4
UCL211002,32,1625,706,331,1717,0.8,1529,2.9
UCL212001,37,1733,817,340,2125,0.8,1745,2.6
UCL212002,45,1414,705,285,1673,0.7,1300,2.3
UCL212003,39,1300,685,280,1633,0.8,1296,2.4
UCL212004,44,2000,886,425,2366,0.7,1929,2.5
UCL212005,38,1300,705,270,1713,0.8,1371,2.5
UCL212006,38,1733,858,361,2243,0.7,1926,2.6
UCL212007,40,2167,1005,500,2621,0.8,2275,2.7
UCL212008,39,1300,770,275,1969,0.7,1499,2.3
UCL212009,42,1408,753,295,1869,0.7,1396,2.3
UCL213001,45,1225,637,280,1465,0.7,1139,2.2
UCL213002,50,1408,683,310,1667,0.7,1196,2.1
UCL213003,42,1300,696,260,1686,0.7,1236,2.3
UCL213004,39,1640,693,330,1768,0.7,1422,2.5
UCL213005,45,1637,702,380,1753,0.7,1405,2.4
UCL213006,39,2100,948,432,2645,0.8,2288,2.9
UCL213007,40,1200,758,245,1803,0.7,1329,2.3
UCL213008,36,1733,848,365,2222,0.8,1939,2.7
UCL213009,40,1625,768,376,1969,0.7,1625,2.5
UCL213010,45,1083,566,210,1382,0.7,969,2.1
UCL213011,43,953,520,215,1257,0.7,935,2.2
UCL213012,47,1083,621,250,1498,0.7,1159,2.2
UCL213013,42,1300,698,280,1765,0.7,1319,2.3
UCL213014,38,1300,753,235,1790,0.8,1380,2.3
UCL213015,33,1733,847,360,2053,0.8,1917,3
UCL213016,44,1300,707,260,1726,0.7,1236,2.2
UCL213017,40,1625,750,321,1972,0.7,1540,2.5
UCL213018,52,1430,625,290,1440,0.7,1141,2.3
UCL214001,45,1083,673,250,1555,0.7,1183,2.2
UCL214002,35,1863,849,390,2246,0.8,2063,3
UCL214003,51,1200,636,255,1485,0.7,1107,2.1
UCL214004,47,1224,606,250,1454,0.7,1039,2.2
UCL214005,49,1420,680,233,1607,0.7,1258,2.3
UCL214006,56,1550,590,331,1350,0.7,1029,2.1
UCL214007,32,1800,996,396,2240,0.7,2016,2.6
UCL214008,45,1083,680,235,1605,0.7,1213,2.2
UCL214009,46,1683,689,350,1857,0.8,1439,2.4
UCL214010,55,1690,693,350,1671,0.7,1253,2.2
UCL214011,39,1625,734,340,1918,0.7,1528,2.5
UCL214012,47,1148,624,220,1480,0.7,1097,2.2
UCL214013,46,1733,728,360,1988,0.7,1486,2.3
UCL214014,55,1230,522,260,1222,0.7,886,2.1
UCL214015,45,1421,640,270,1637,0.7,1170,2.3
UCL214016,51,1000,510,240,1209,0.7,864,2
UCL214017,61,2000,824,400,1958,0.6,1525,2.1
UCL214018,60,1660,597,340,1413,0.6,1120,2.1
UCL214019,45,1274,622,250,1440,0.7,1120,2.2
UCL214020,48,953,644,214,1465,0.7,1089,2.1
UCL214021,40,1809,699,346,2006,0.8,1573,2.6
UCL214022,51,1216,526,280,1270,0.7,917,2.1
UCL215001,57,2115,958,350,2194,0.7,1765,2.1
UCL215002,52,1300,616,240,1455,0.7,1039,2.1
UCL215003,54,2167,853,405,2159,0.7,1699,2.2
UCL215004,51,1517,690,300,1513,0.7,1130,2
UCL215005,51,999,496,213,1258,0.7,890,2.1
UCL215006,42,1562,723,330,1893,0.7,1464,2.3
UCL215007,48,2000,855,462,2218,0.7,1736,2.5
UCL215008,35,1677,975,350,2335,0.8,2197,3
UCL215009,54,1083,509,200,1280,0.7,927,2.2
UCL215010,41,2167,996,400,2881,0.9,2787,3.2
UCL215011,53,1023,558,250,1470,0.7,901,2
UCL215012,50,1517,748,300,1827,0.7,1318,2.2
UCL215013,31,2058,1017,400,2360,0.8,2290,3.2
UCL215014,38,1740,810,355,2129,0.8,1912,2.7
UCL215015,49,1647,771,300,1743,0.7,1343,2.2
UCL215016,38,1500,719,315,1843,0.7,1501,2.5
UCL215017,37,1950,792,320,2210,0.8,1922,2.8
UCL215018,52,1094,610,240,1482,0.7,1091,2.1
UCL215019,43,1500,732,340,1949,0.8,1471,2.4
UCL215020,59,684,506,160,1222,0.7,845,1.9
UCL215021,49,1192,654,260,1699,0.7,1238,2.2
UCL215022,38,945,574,230,1322,0.7,1087,2.3
UCL215023,51,1083,618,220,1491,0.7,1134,2.2
UCL215024,56,949,554,180,1358,0.7,1003,2
UCL215025,55,1473,598,321,1350,0.7,1141,2.2
UCL215026,51,1300,542,281,1353,0.7,952,2
UCL215027,52,867,566,200,1369,0.6,960,2
UCL215028,51,1300,589,275,1491,0.7,1072,2.1
UCL215029,54,1517,718,340,1738,0.7,1205,2
UCL215030,54,768,547,170,1343,0.7,986,2
UCL215031,53,798,592,180,1447,0.7,1016,2.1
UCL215032,53,1121,586,250,1402,0.7,1030,2.1
UCL215033,35,1939,1135,380,2737,0.8,2615,3.1
UCL215034,62,1213,529,240,1327,0.7,846,1.8
UCL215035,38,1733,725,345,1981,0.8,1647,2.8
UCL215036,41,1764,766,370,2137,0.8,1951,2.8
UCL215037,51,1408,608,300,1397,0.7,1027,2
UCL215038,58,1127,483,250,1203,0.7,847,1.9
UCL215039,47,997,496,210,1261,0.7,912,2.2
UCL215040,50,910,581,180,1368,0.7,966,2.1
UCL215041,51,1000,571,200,1406,0.7,1004,2.1
UCL215042,42,0,752,0,2079,0.8,1738,2.6
UCL215043,33,1800,827,318,2082,0.8,1763,2.7
UCL215044,40,1347,738,280,1711,0.8,1409,2.5
UCL215045,47,1291,592,280,1475,0.7,1125,2.3
UCL215046,39,1716,749,365,1975,0.8,1656,2.5
UCL215047,32,1745,830,320,2020,0.8,1792,2.7
UCL215048,33,1418,708,330,1730,0.7,1403,2.5
UCL215049,56,2167,881,375,1937,0.7,1482,2.1
UCL215050,45,2492,1003,380,2868,0.8,2458,2.7
UCL215051,42,1200,634,250,1582,0.7,1179,2.3
UCL215052,59,1285,607,270,1493,0.7,1040,1.9
UCL215053,45,1600,749,331,1756,0.7,1259,2.2
UCL215054,45,953,580,210,1458,0.8,1072,2.2
UCL215055,60,1322,629,350,1390,0.7,1240,2.1
UCL215056,40,0,600,0,1455,0.8,1186,2.2
UCL215057,46,1300,646,270,1783,0.7,1255,2.4
UCL215058,52,867,527,220,1270,0.7,926,2.1
UCL215059,49,1235,683,280,1716,0.7,1252,2.1
UCL215060,49,1300,637,260,1503,0.7,1114,2.2
UCL215061,51,1430,643,293,1525,0.7,1088,2.1
UCL215062,47,1083,608,190,1631,0.7,1096,2.2
UCL215063,44,1515,675,288,1508,0.8,1344,2.5
UCL215064,46,766,673,200,1562,0.8,1202,2.2
UCL215065,50,1083,591,210,1401,0.7,1038,2.1
UCL215066,53,867,484,190,1109,0.7,770,2
UCL215067,52,0,601,0,1456,0.7,1037,2
UCL215068,64,1202,554,300,1276,0.7,975,2
UCL215069,52,1733,737,310,1934,0.7,1424,2.3
UCL215070,41,1062,616,250,1419,0.8,1081,2.3
UCL215071,42,1985,907,400,2436,0.8,2163,2.8
UCL215072,36,1006,576,220,1334,1,1196,2.9
UCL215073,54,1083,569,220,1424,0.7,1028,2.1
UCL215074,36,1900,853,380,2256,0.8,2024,2.7
UCL215075,42,1083,600,250,1455,0.7,1170,2.3
UCL215076,48,1300,711,250,1770,0.7,1268,2.3
UCL215077,52,1780,725,306,1735,0.7,1337,2.2
UCL215078,35,1832,897,374,2213,0.8,2078,2.9
UCL215079,52,867,553,188,1303,0.7,893,2
UCL215080,38,1300,708,290,1651,0.7,1362,2.4
UCL215081,45,1300,722,250,1805,0.7,1347,2.3
UCL215082,37,1950,832,420,2313,0.8,2187,3.1
UCL215083,49,1040,633,230,1481,0.7,1108,2.2
UCL215084,42,997,624,200,1455,0.8,1122,2.3
UCL215085,38,2000,838,350,2231,0.8,1981,2.9
UCL215086,41,1408,727,303,1867,0.7,1427,2.4
UCL215087,40,1800,783,305,2198,0.8,2048,2.9
UCL215088,50,1387,597,290,1488,0.8,1143,2.1
UCL215089,51,736,629,180,1503,0.7,1047,2
UCL215090,41,1560,731,290,1781,0.7,1399,2.3
UCL215091,46,2523,991,559,3198,0.8,3107,3.1
UCL215092,45,1900,821,396,2391,0.8,1887,2.5
UCL215093,34,1733,759,350,1892,0.8,1617,2.7
UCL215094,42,1522,743,250,1850,0.8,1455,2.6
UCL215095,40,867,629,220,1601,0.8,1154,2.3
UCL215096,39,1950,830,380,2033,0.8,1741,2.6
UCL215097,41,1757,634,335,1731,0.8,1365,2.5
UCL215098,41,1435,710,330,1695,0.7,1257,2.3
UCL215099,53,1083,494,220,1165,0.7,822,2
UCL215100,56,1320,549,300,1328,0.7,957,2
UCL221001,38,0,856,0,2029,0.8,1669,2.7
UCL221002,49,1443,718,310,1643,0.7,1357,2.3
UCL221003,38,1257,761,293,1888,0.8,1603,2.5
UCL221004,39,2268,956,350,2881,0.8,2851,3.3
UCL221005,48,758,740,155,1638,0.7,1152,2.2
UCL221006,42,1356,809,300,1952,0.8,1510,2.4
UCL221007,44,980,592,223,1478,0.7,1088,2.2
UCL221008,58,897,542,180,1385,0.7,960,2.1
UCL221009,37,1109,678,250,1579,0.7,1276,2.4
UCL221010,41,1040,647,250,1521,0.8,1180,2.3
UCL221011,43,1517,852,300,2262,0.8,2152,3
UCL221012,43,1550,930,250,2390,0.8,2312,2.9
UCL221013,41,1717,778,300,1889,0.8,1607,2.6
UCL221014,54,1517,664,300,1651,0.6,1253,2.1
UCL221015,54,1950,993,336,2304,0.7,2176,2.4
UCL221016,32,1923,942,300,2297,0.9,2200,3.3
UCL221017,46,1083,591,220,1463,0.7,1121,2.4
UCL221018,57,750,516,200,1230,0.7,922,2
UCL221019,53,1000,497,240,1272,0.7,1009,2
UCL221020,58,641,492,140,1309,0.7,790,1.9
UCL221021,39,1419,698,280,1544,0.7,1294,2.2
UCL221022,50,1083,687,220,1854,0.7,1171,2.1
UCL221023,59,704,460,192,959,0.7,707,1.8
UCL221024,59,1387,590,300,1370,0.7,1225,2.1
UCL221025,56,867,523,165,1490,0.7,871,1.9
UCL221026,55,1082,549,256,1171,0.7,816,1.8
UCL221027,53,1083,511,220,1271,0.7,869,2
UCL221028,64,2167,1057,481,2548,0.6,1977,2.1
UCL221029,37,1500,806,273,2336,0.8,2045,2.8
UCL221030,60,847,451,200,1009,0.7,720,1.7
UCL221031,37,1654,870,315,2250,0.8,2008,2.7
UCL221032,45,1452,655,300,1632,0.8,1307,2.4
UCL221033,58,650,529,158,1309,0.6,1030,1.9
UCL221034,38,2167,808,375,2491,0.8,2562,3.5
UCL221035,55,879,485,200,1196,0.7,839,2.1
UCL221036,41,1614,762,340,2143,0.8,1884,2.8
UCL221037,52,650,601,135,1468,0.7,1045,2
UCL221038,39,1997,832,310,2187,0.9,2040,2.9
UCL221039,46,975,745,200,1821,0.7,1375,2.3
UCL221040,52,1300,648,275,1474,0.7,1138,2.2
UCL221041,37,1668,781,340,1982,0.8,1809,2.8
UCL221042,44,1181,701,255,1491,0.7,1302,2.4
UCL221043,63,700,433,180,848,0.6,675,1.7
UCL221044,60,1127,583,221,1365,0.7,1017,2
UCL221045,44,1300,759,360,1833,0.8,1633,2.3
UCL221046,30,1560,959,360,2205,0.8,2076,3
UCL221047,39,2167,870,96,2442,0.9,2352,3.1
UCL221048,42,1300,696,250,1682,0.8,1323,2.4
UCL221049,39,2003,970,398,2476,0.8,2399,3.1
UCL221050,51,1083,509,231,1362,0.8,956,2.1
UCL221051,49,650,592,178,1401,0.7,942,2.2
UCL221052,41,1810,781,300,2144,0.8,1625,2.6
UCL221053,61,1300,519,340,1244,0.7,1111,2.2
UCL221054,51,1300,612,300,1687,0.7,1034,2.1
UCL221055,36,2000,1164,390,2874,0.8,2739,3.2
UCL221056,44,570,478,200,1213,0.8,986,2.3
UCL221057,38,1517,795,320,1965,0.8,1805,3
UCL221058,40,1600,907,310,2180,0.8,1946,2.6
UCL221059,45,1625,814,385,1861,0.8,1522,2.4
UCL221060,68,969,544,280,1170,0.7,921,1.8
UCL221061,61,1539,697,303,1488,0.6,1198,2
UCL221062,58,901,478,190,1098,0.7,773,1.9
UCL221063,52,605,502,140,1218,0.7,843,2
UCL221064,34,1831,846,365,2135,0.9,1927,2.9
UCL221065,60,1954,900,460,2353,0.7,2013,2.2
UCL221066,36,1361,695,310,1837,0.8,1596,2.7
UCL221067,38,1083,652,218,1602,0.8,1307,2.5
UCL221068,37,1430,630,340,1426,0.7,1029,2.4
UCL221069,44,1365,753,316,1704,0.7,1375,2.3
UCL221070,49,1083,605,240,1409,0.7,1092,2.2
UCL221071,50,1148,659,260,1453,0.7,1160,2.2
UCL221072,37,1300,784,270,1852,0.7,1569,2.4
UCL221073,39,1733,789,300,2588,0.8,2465,3.1
UCL221074,58,1517,723,400,1838,0.7,1395,2.1
UCL221075,59,1645,679,328,1625,0.6,1206,2.1
UCL221076,58,1083,530,280,1168,0.6,922,1.8
UCL221077,58,1076,540,250,1331,0.7,921,1.9
UCL221078,41,1707,821,336,2010,0.8,1533,2.4
UCL221079,57,654,477,164,1281,0.8,870,2
UCL221080,54,1850,661,360,1642,0.8,1309,2.1
UCL221081,55,650,599,150,1375,0.7,967,2
UCL221082,36,2300,1036,351,2469,0.8,1782,2.3
UCL221083,52,1502,754,307,1898,0.8,1446,2.3
UCL221084,37,1300,750,260,1949,0.7,1603,2.5
UCL222001,51,1517,963,323,2482,0.7,2437,2.9
UCL222002,48,2184,952,435,2312,0.7,2015,2.5
UCL222003,34,1527,789,280,2062,0.8,1702,2.8
UCL222004,30,0,880,0,0,0,0,0
UCL222005,50,1083,626,220,1859,0.7,1156,2.1
UCL222006,50,1500,767,308,1906,0.7,1413,2.5
UCL222007,52,1083,704,200,1713,0.7,1583,2.2
UCL222008,47,1300,762,310,1833,0.8,1416,2.1
UCL222009,50,1083,609,215,1366,0.7,1242,2.2
UCL222010,44,1800,749,289,2192,0.7,1850,2.8
UCL222011,40,1608,829,300,2457,0.8,2125,3
UCL222012,52,1517,708,360,1656,0.7,1449,2.4
UCL222013,55,1390,619,350,1531,0.6,1240,2
UCL222014,40,1733,917,271,2269,0.8,1966,2.7
UCL222015,38,1408,721,322,1906,0.8,1739,2.8
UCL222016,53,620,518,203,1328,0.7,1052,2.1
UCL222017,60,823,456,185,1083,0.6,725,1.7
UCL222018,37,1452,1031,269,3187,1,2291,2.3
UCL222019,46,1800,591,270,1733,0.8,1805,2.8
UCL222020,48,1083,675,220,1458,0.7,1224,2.3
UCL222021,45,1544,705,315,1521,0.8,1224,2.3
UCL222022,53,1062,625,240,1674,0.7,1239,2.2
UCL222023,37,1300,790,285,2092,0.8,1933,2.8
UCL222024,28,670,916,539,1833,1.2,1312,2.3
UCL222025,51,1192,626,250,1562,0.7,955,2.1
UCL222026,41,1509,877,315,2150,0.7,1899,2.7
UCL222027,43,1127,623,225,1531,0.8,1312,2.4
UCL222028,37,1185,697,260,2013,0.8,1557,2.6
UCL222029,54,672,497,100,1142,0.7,773,1.9
UCL222030,43,1470,593,270,1478,0.8,1050,2.3
UCL222031,48,823,550,180,1302,0.8,941,2.2
UCL222032,43,1300,793,250,1600,0.7,1204,1.9
UCL222033,44,1387,920,273,1910,0.9,1611,2.3
UCL222034,45,1250,536,258,1362,0.8,1104,2.2
UCL222035,59,433,428,135,949,0.7,706,1.9
UCL222036,47,856,590,180,1265,0.8,1024,2.4
UCL222037,43,1064,769,220,1895,0.8,1625,2.6
UCL222038,40,1712,825,350,2225,0.8,2194,3
UCL222039,44,1517,922,300,2312,0.8,2083,2.7
UCL222040,53,1650,690,315,1759,0.7,1341,2.3
UCL222041,46,1300,752,200,2069,0.8,1531,2.4
UCL222042,55,650,529,160,1145,0.7,850,2.1
UCL222043,47,1184,601,300,1422,0.7,1117,2.2
UCL222044,55,650,480,129,1199,0.7,758,1.8
UCL222045,44,1900,775,420,2166,0.8,2062,2.9
UCL222046,52,840,510,200,1330,0.7,976,2.1
UCL222047,57,737,463,120,929,0.7,782,2
UCL222048,58,546,527,120,1375,0.7,979,2
UCL222049,59,2000,706,282,1600,0.7,1292,2.1
UCL222050,56,1511,725,250,1704,0.7,1397,2.1
UCL222051,59,1300,588,300,1375,0.7,1017,2
UCL222052,41,1387,633,300,1843,0.8,1525,2.6
UCL222053,48,867,510,188,1262,0.8,966,2.2
UCL222054,49,1452,749,335,1916,0.7,1517,2.5
UCL222055,60,542,446,163,1048,0.7,793,2
UCL222056,27,1000,868,241,1916,0.9,1774,2
UCL222057,42,1500,774,270,2229,0.8,1613,2.4
UCL222058,30,834,963,470,2437,1.1,2107,2.3
UCL222059,47,1083,666,190,1452,0.8,1350,2.4
UCL222060,50,693,615,110,1699,0.7,1021,2
UCL222061,42,1517,847,355,2285,0.8,2125,2.8
UCL222062,55,780,743,150,1770,0.7,1222,1.9
UCL222063,58,1517,663,300,1671,0.7,1261,2.2
UCL222064,37,1647,674,301,2035,0.8,1392,3
UCL222065,51,1175,675,235,1666,0.7,1274,2.3
UCL222066,53,800,546,263,1333,0.8,1016,2.1
UCL222067,54,1127,669,231,1531,0.7,1100,1.9
UCL222068,43,1612,861,265,2437,0.8,2225,2.8
UCL222069,54,787,493,180,1218,0.7,855,2.1
UCL222070,56,1473,810,265,1770,0.6,1365,2
UCL222071,39,1530,709,350,1768,0.8,1416,2.4
UCL222072,59,1138,503,255,1212,0.7,1023,1.9
UCL222073,39,1517,850,240,2531,0.7,1775,2.4
UCL222074,47,1235,596,300,1800,0.9,1125,2.4
UCL222075,42,1414,681,290,1672,0.8,1476,2.7
UCL222076,47,743,550,150,1187,0.8,946,2.2
UCL222077,57,510,562,100,1312,0.7,887,2
UCL222078,46,867,511,210,1270,0.7,822,2.1
UCL222079,47,2000,905,481,2352,0.8,2033,2.6
UCL222080,56,563,465,178,991,0.7,833,2.1
UCL222081,59,1582,738,275,1488,0.7,1336,2
UCL222082,46,1225,886,320,1718,0.7,1437,2.1
UCL222083,40,1517,868,250,1737,0.7,1656,2.7
UCL222084,54,867,472,200,1216,0.7,764,1.9
UCL222085,51,1600,635,330,1625,0.6,1181,2.1
UCL222086,44,2167,790,416,2272,0.8,2023,2.8
UCL222087,50,802,566,190,1295,0.7,1024,2.1
UCL222088,61,753,457,160,1292,0.7,733,1.8
UCL222089,50,1376,661,250,1611,0.7,1416,2.3
UCL222090,43,1192,807,285,2203,0.8,1910,2.6
UCL222091,42,1200,745,250,1771,0.8,1465,2.5
UCL222092,38,1344,900,300,2312,0.8,2018,2.9
UCL222093,55,882,479,203,1091,0.7,825,1.9
UCL222094,52,873,537,150,1266,0.8,966,2.2
UCL222095,43,1324,756,290,2091,0.7,1521,2.3
UCL222096,40,1700,900,395,2202,0.8,2016,2.7
UCL222097,36,1602,769,335,2134,0.9,2033,3
UCL222098,45,1498,797,250,1968,0.9,1680,2.7
UCL222099,37,1273,766,285,1728,0.8,1571,2.6
UCL222100,59,557,458,180,961,0.6,809,1.8
UCL222101,38,1495,818,280,1946,0.7,1578,2.5
UCL222102,45,1400,641,330,1525,0.7,1196,2.3
UCL222103,45,2400,971,352,3175,0.8,3050,3.1
UCL222104,43,820,591,175,1265,0.8,1097,2.4
UCL222105,50,1083,618,250,1812,0.7,1357,2.2
UCL231001,47,1603,752,250,1978,0.8,1659,2.6
UCL279997,50,0,2200,0,0,0,0,0
UCL299994,37,0,464,0,0,0,0,0
UCL301001,36,1889,860,380,2214,0.8,1885,2.6
UCL302001,39,1950,786,450,2005,0.8,1684,2.5
UCL302002,44,1950,773,450,1951,0.8,1596,2.4
UCL303001,39,1590,811,340,1949,0.8,1574,2.5
UCL303002,38,1457,740,304,1808,0.7,1404,2.4
UCL303003,35,1517,869,310,2086,0.8,1701,2.5
UCL311001,42,1300,605,280,1440,0.8,1134,2.3
UCL311002,51,1408,552,335,1312,0.7,1083,2.3
UCL311003,37,1716,883,345,2207,0.8,1810,2.5
UCL311004,37,1387,776,270,1954,0.8,1487,2.5
UCL312001,63,1647,529,335,1229,0.7,961,2
UCL312002,35,1517,780,265,2054,0.7,1622,2.5
UCL312003,49,1083,503,255,1226,0.8,968,2.2
UCL312004,40,1650,673,360,1690,0.8,1354,2.5
UCL313001,37,1733,876,365,1918,0.8,1604,2.3
UCL313002,51,1560,671,340,1632,0.7,1356,2.3
UCL313003,35,1300,752,255,1811,0.7,1451,2.5
UCL313004,32,1600,1033,300,2510,0.8,2190,2.7
UCL313005,32,1517,780,340,1848,0.8,1709,2.8
UCL313006,42,1300,576,295,1366,0.7,1082,2.3
UCL313007,42,1896,843,410,2253,0.7,2061,2.8
UCL313008,38,1200,663,260,1528,0.7,1238,2.4
UCL313009,31,1517,1152,275,2629,0.9,2224,2.6
UCL313010,43,1200,607,265,1389,0.7,1082,2.3
UCL313011,25,1700,819,375,1631,0.8,1585,3.1
UCL313012,43,1733,784,340,2052,0.7,1612,2.4
UCL314001,46,1300,642,280,1491,0.7,1089,2.2
UCL314002,45,1200,695,230,1710,0.8,1225,2.2
UCL314003,41,1517,592,315,1398,0.7,1118,2.4
UCL314004,37,1733,706,395,1725,0.8,1512,2.6
UCL314005,36,1300,890,260,2242,0.8,1883,2.5
UCL314006,41,1500,713,270,1782,0.8,1319,2.4
UCL314007,40,1127,642,220,1656,0.8,1282,2.3
UCL314008,33,1209,792,250,1842,0.7,1496,2.5
UCL314009,31,1842,863,400,2116,0.8,2096,3.3
UCL314010,33,1300,674,290,1458,0.8,1235,2.6
UCL314011,37,1422,831,291,1920,0.8,1560,2.5
UCL314012,38,1517,789,320,1933,0.8,1619,2.7
UCL314013,41,1127,596,240,1365,0.8,1042,2.3
UCL314014,35,2100,827,380,2254,0.8,2205,3.2
UCL314015,37,1625,747,363,1950,0.8,1840,3
UCL314016,40,1380,660,286,1470,0.8,1150,2.4
UCL314017,31,1300,1547,110,3332,0.8,3085,2.8
UCL314018,34,2100,1140,475,2740,0.8,2656,3.2
UCL314019,42,1800,749,430,1958,0.7,1649,2.6
UCL314020,35,1300,951,250,2157,0.7,1680,2.4
UCL314021,50,1733,569,385,1414,0.7,1204,2.4
UCL314022,50,1800,681,420,1822,0.8,1505,2.5
UCL314023,39,1733,853,300,2274,0.7,1922,2.6
UCL315001,50,1509,617,335,1442,0.8,1166,2.2
UCL315002,38,2000,1000,415,2443,0.8,2467,3.1
UCL315003,57,1192,553,250,1211,0.7,960,2.1
UCL315004,29,0,331,125,785,1.2,1069,3.9
UCL315005,49,1019,535,230,1403,0.8,1005,2.3
UCL315006,25,0,747,120,1522,1.3,1625,3.4
UCL315007,51,1517,567,340,1405,0.7,1115,2.3
UCL315008,31,1083,1273,220,2801,0.8,2356,2.6
UCL315009,50,1245,560,300,1351,0.7,1067,2.3
UCL315010,55,1300,538,290,1269,0.7,1053,2.2
UCL315011,66,1300,438,290,934,0.7,768,1.9
UCL315012,30,1733,809,300,2110,0.8,1840,2.9
UCL315013,29,1326,844,291,1773,0.8,1544,2.6
UCL315014,60,1250,508,250,1177,0.8,847,1.9
UCL315015,38,1950,856,430,2188,0.8,2053,3
UCL315016,34,2000,892,460,2331,0.8,2393,3.4
UCL315017,41,867,798,173,1762,0.7,1286,2.1
UCL315018,23,0,375,100,803,1,793,3.4
UCL315019,50,1083,542,265,1176,0.7,778,1.9
UCL315020,34,1286,989,220,2410,0.7,1855,2.3
UCL315021,49,1006,503,245,1205,0.7,858,2.2
UCL315022,32,1188,1052,240,2367,0.8,1985,2.5
UCL315023,43,1083,630,204,1794,0.7,1268,2.2
UCL315024,43,1200,697,220,1567,0.9,1252,2.3
UCL315025,62,1172,433,300,919,0.7,808,2.1
UCL315026,47,1699,644,450,1581,0.7,1324,2.4
UCL315027,58,1083,484,265,1095,0.7,897,2.1
UCL315028,36,1799,786,380,1958,0.8,1861,2.9
UCL315029,40,2095,926,420,2493,0.8,2258,2.9
UCL315030,25,737,354,120,882,1.5,1223,4.2
UCL315031,32,695,1457,100,2977,0.7,2450,2.5
UCL315032,48,1540,628,350,1482,0.7,1263,2.4
UCL315033,59,1101,473,260,1087,0.7,847,2
UCL315034,41,1950,774,480,1929,0.8,1721,2.8
UCL315035,34,1625,792,350,1869,0.8,1759,3
UCL315036,47,906,552,236,1272,0.8,988,2.2
UCL315037,41,1842,733,420,1861,0.8,1740,2.8
UCL315038,36,1733,886,400,2334,0.8,2228,3.1
UCL315039,29,0,283,104,624,1.2,855,3.5
