UCL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
UCL422049,15,17,24,11,17,4,8,33,0,131
UCL422050,5,8,6,6,4,0,15,15,0,72
UCL422051,24,22,32,27,15,11,21,34,3,179
UCL422052,18,18,30,21,15,9,11,18,0,151
UCL422053,9,9,3,6,3,4,5,11,0,50
UCL422054,9,3,18,21,8,8,12,17,0,94
UCL422055,10,8,23,19,8,11,27,27,4,130
UCL422056,34,13,19,8,11,6,9,28,6,145
UCL422057,26,17,47,24,22,16,27,42,0,216
UCL422058,8,9,6,8,7,9,7,13,0,60
UCL422059,30,25,28,25,19,7,17,25,3,180
UCL422060,15,13,14,7,9,0,9,3,0,67
UCL422061,11,5,16,16,16,0,3,13,0,88
UCL422062,15,11,21,15,7,15,17,6,0,108
UCL422063,10,18,0,21,9,0,0,3,5,59
UCL431001,18693,10107,9399,6799,7246,4527,4628,9308,1434,72129
UCL479997,0,0,0,0,0,0,0,0,0,8
UCL499994,66,123,106,76,64,57,66,141,27,724
UCL501001,120974,246123,148990,123372,127920,81572,70332,88524,16875,1024680
UCL511001,3023,5683,6448,4208,3979,3131,3555,4415,553,34998
UCL512001,1446,2383,2162,2050,1475,1383,955,1782,189,13823
UCL512002,1296,1895,2182,1643,1266,1250,948,1581,190,12258
UCL512003,1423,2536,2445,2018,1650,1392,1328,1732,217,14735
UCL512004,1376,2233,3366,1416,1681,990,2499,1341,267,15164
UCL513001,977,1675,918,1031,916,519,353,630,158,7176
UCL513002,545,662,756,477,537,439,568,560,107,4639
UCL513003,977,1348,2203,833,1020,530,875,879,198,8866
UCL513004,705,999,1915,644,851,421,1133,763,202,7643
UCL513005,444,596,912,685,599,380,504,545,101,4766
UCL514001,151,216,593,325,221,211,434,438,58,2645
UCL514002,494,676,713,394,325,322,139,372,64,3494
UCL514003,482,653,695,512,294,337,243,567,47,3819
UCL514004,277,344,397,344,344,269,248,385,47,2652
UCL515001,70,39,76,44,36,45,23,65,7,402
UCL515002,57,96,121,75,80,41,71,72,10,627
UCL515003,96,148,158,122,88,83,93,112,20,921
UCL515004,93,136,230,125,132,69,145,119,16,1065
UCL515005,86,124,201,142,91,94,141,170,15,1066
UCL515006,208,239,225,210,209,159,146,206,37,1649
UCL515007,119,213,190,114,121,80,75,115,12,1037
UCL515008,82,117,191,48,89,20,70,66,9,692
UCL515009,125,249,175,134,102,84,64,144,13,1094
UCL515010,114,239,97,239,128,49,58,89,18,1028
UCL515011,127,125,187,124,118,79,153,192,17,1128
UCL515012,109,205,208,200,140,91,107,80,19,1160
UCL515013,199,242,300,222,186,121,71,220,39,1596
UCL515014,57,103,33,91,39,20,11,29,5,393
UCL515015,89,86,211,97,88,63,133,383,37,1199
UCL515016,87,108,124,73,78,45,71,100,8,695
UCL515017,79,60,76,55,41,48,45,111,14,529
UCL515018,35,66,166,59,66,44,208,63,17,719
UCL515019,127,174,240,166,159,132,102,424,33,1563
UCL515020,269,444,264,319,266,115,123,219,57,2064
UCL515021,92,160,157,103,89,60,54,83,8,801
UCL515022,196,196,286,226,178,178,193,364,30,1847
UCL515023,124,128,186,130,119,93,139,113,26,1057
UCL515024,69,77,110,75,84,50,82,98,8,648
UCL515025,63,78,94,83,71,62,69,151,24,700
UCL515026,96,111,253,130,154,65,142,148,26,1126
UCL515027,176,266,267,212,154,130,130,238,23,1603
UCL515028,175,229,613,190,194,123,524,202,59,2314
UCL515029,29,35,145,34,44,24,259,57,20,662
UCL515030,101,167,293,191,126,137,219,194,20,1445
UCL515031,136,127,202,115,102,92,113,163,33,1077
UCL515032,80,86,185,74,107,54,92,60,35,775
UCL515033,113,172,351,123,137,62,360,107,34,1466
UCL515034,110,133,243,151,106,80,148,159,17,1137
UCL515035,59,48,87,61,48,39,65,97,14,521
UCL515036,47,67,230,90,81,52,170,137,20,894
UCL515037,69,84,326,76,93,41,179,96,24,981
UCL515038,97,115,148,119,95,68,91,123,15,875
UCL521001,12,29,75,21,27,19,48,35,6,264
UCL521002,31,46,67,49,31,21,34,25,11,322
UCL521003,34,28,40,32,25,22,34,31,5,257
UCL521004,9,42,7,22,9,7,7,4,3,112
UCL521005,47,46,98,36,48,15,119,58,8,484
UCL521006,34,49,78,57,43,28,54,58,8,404
UCL521007,22,21,34,21,15,18,21,39,3,194
UCL521008,19,12,14,30,18,13,24,42,4,170
UCL521009,34,23,34,26,19,7,33,31,3,196
UCL521010,15,22,63,45,25,15,50,47,8,292
UCL521011,19,43,63,30,46,18,39,42,0,306
UCL521012,28,35,44,31,26,20,30,30,3,257
UCL521013,37,48,93,63,66,34,48,42,14,444
UCL521014,29,20,43,29,33,16,77,32,8,289
UCL521015,61,24,45,28,38,28,27,43,7,297
UCL521016,48,33,53,25,30,28,23,50,8,295
UCL521017,72,42,50,21,54,23,34,33,10,335
UCL521018,29,34,49,27,28,20,40,33,3,264
UCL521019,53,41,33,43,38,28,16,47,7,304
UCL521020,34,28,67,30,33,23,40,45,8,300
UCL521021,74,45,54,26,50,23,60,67,5,399
UCL521022,63,110,60,41,28,43,9,41,3,404
UCL521023,41,26,54,11,31,13,28,27,4,236
UCL521024,56,82,35,91,35,12,15,31,25,377
UCL521025,47,58,67,33,28,20,57,27,12,350
UCL521026,46,56,83,44,47,20,51,34,4,378
UCL521027,9,21,51,17,24,16,95,22,9,261
UCL521028,30,23,52,44,21,26,31,63,9,297
UCL521029,59,35,63,35,33,23,51,95,3,395
UCL521030,44,25,43,26,19,13,34,120,19,341
UCL521031,29,22,43,40,26,10,33,40,4,240
UCL521032,29,33,15,24,25,12,17,17,14,196
UCL521033,23,20,12,16,20,7,17,26,6,133
UCL521034,53,43,85,32,41,20,59,46,16,380
UCL521035,29,27,32,33,15,9,27,46,0,217
UCL521036,24,28,19,23,27,18,22,28,0,195
UCL521037,11,20,62,58,20,33,73,61,4,336
UCL521038,25,23,29,33,12,10,50,43,5,233
UCL521039,51,85,67,43,28,26,20,37,13,374
UCL521040,51,60,69,45,47,13,44,41,4,367
UCL521041,17,26,106,28,21,5,118,18,5,352
UCL521042,46,33,25,35,25,27,31,80,3,292
UCL521043,36,64,43,44,29,10,20,22,0,268
UCL521044,24,24,41,28,20,12,24,32,10,210
UCL521045,40,9,12,25,7,15,15,23,0,151
UCL521046,18,24,23,50,20,11,19,27,0,185
UCL521047,36,14,45,20,33,18,42,39,6,245
UCL521048,42,51,54,42,41,20,22,36,3,318
UCL521049,20,25,0,12,13,4,0,9,0,82
UCL521050,41,40,61,35,41,29,46,48,5,343
UCL521051,16,24,64,42,47,29,47,74,10,353
UCL521052,32,49,25,59,15,8,18,24,10,231
UCL522001,7,21,6,14,0,6,5,8,6,74
UCL522002,20,18,18,13,8,3,17,17,3,108
UCL522003,7,15,4,18,10,4,8,7,0,70
UCL522004,3,0,0,9,5,3,0,6,0,33
UCL522005,3,13,0,17,10,4,3,4,3,71
UCL522006,31,64,41,24,18,18,6,16,9,224
UCL522007,28,4,22,11,9,5,10,21,0,101
UCL522008,15,3,11,11,6,0,15,13,0,76
UCL522009,11,12,53,16,25,12,31,30,0,203
UCL522010,21,39,35,23,19,17,9,4,0,161
UCL522011,27,15,24,15,15,10,18,13,0,145
UCL522012,34,17,26,23,23,7,21,45,5,196
UCL522013,15,25,49,20,16,9,30,23,5,189
