UCL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
UCL121076,0,0,6,96,123,216,0,0,0,3,11,12,0,0,0,75,90,164,0,0,0,0,8,3,0,14,14,0,0,0,0,0,0,0,0,0,0,7,10,0,7,5,11,13,24,0,6,3,0,5,4,15,27,35,11,9,17,0,0,0,229,298,526,0,4,5,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,222,189,421,0,0,0,0,0,0,222,192,416,59,52,114,517,553,1071
UCL121077,0,0,0,60,80,140,0,0,0,3,4,9,0,0,0,73,108,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,10,0,0,0,0,0,0,19,16,41,11,9,17,0,0,0,178,231,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,6,128,130,267,0,0,0,0,0,0,132,130,266,35,38,69,344,408,750
UCL121078,0,3,3,58,87,150,0,0,0,4,4,11,0,0,0,51,57,104,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,3,5,9,17,0,0,3,0,0,3,7,13,16,12,4,15,3,0,0,152,184,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,140,319,0,0,0,0,0,0,179,140,319,13,10,21,341,338,686
UCL121079,5,4,6,34,37,72,0,0,0,0,4,3,0,0,0,50,49,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,15,10,29,0,0,0,0,0,0,5,7,13,8,10,14,5,0,6,128,125,250,0,0,0,0,0,0,0,3,3,0,0,0,0,7,7,0,0,0,0,4,7,114,105,218,0,0,0,0,6,6,114,104,225,14,19,33,265,259,526
UCL121080,0,3,6,82,89,167,0,0,0,4,12,13,0,0,0,83,109,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,6,13,21,11,15,31,0,0,4,0,0,0,8,15,26,8,15,21,0,0,0,209,265,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,6,5,6,250,214,462,4,4,5,0,0,0,250,217,467,18,20,41,488,514,996
UCL121081,4,0,3,38,34,68,0,0,0,9,9,15,0,0,0,42,41,86,0,0,0,0,0,0,0,3,6,0,0,0,0,0,3,0,0,0,0,3,3,3,9,15,0,8,12,0,0,0,0,5,5,9,9,18,8,9,14,0,0,0,120,126,248,0,0,0,0,0,0,0,0,0,0,0,0,6,8,7,0,0,0,3,8,14,150,141,291,0,0,0,0,0,0,155,142,292,17,13,33,291,290,583
UCL121082,0,0,0,60,62,118,0,0,0,5,10,8,0,0,0,93,127,218,4,3,3,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,6,3,6,8,10,14,15,30,0,0,0,0,0,0,4,9,8,5,11,22,0,0,0,192,243,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5,275,255,532,3,0,3,0,0,3,281,256,537,72,66,137,550,572,1125
UCL121083,11,5,15,49,58,109,0,0,0,9,6,18,0,0,0,60,60,112,0,0,0,0,4,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,8,5,17,0,0,0,0,0,0,7,5,12,13,15,19,0,3,3,150,164,313,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,3,0,6,4,4,6,276,238,515,5,5,11,6,3,9,282,242,531,23,25,45,471,440,913
UCL121084,0,0,6,91,83,173,0,0,0,0,3,3,0,0,0,149,166,318,0,0,0,11,7,20,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,8,7,19,8,3,8,0,0,0,0,0,0,3,0,5,23,24,47,0,0,0,307,302,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,94,208,0,0,0,0,0,0,117,94,208,10,12,24,434,409,844
UCL121085,4,0,5,66,78,144,0,0,0,12,23,34,0,0,0,112,111,220,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,0,0,0,7,9,24,9,11,15,0,0,0,8,9,15,13,19,32,20,20,38,0,0,0,257,280,535,0,0,0,0,0,5,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,223,216,438,0,0,3,0,0,0,225,218,440,20,18,37,509,518,1022
UCL121086,0,0,0,114,138,249,0,0,0,3,3,7,0,0,0,74,72,148,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,16,4,0,5,0,0,0,11,10,19,3,5,8,0,0,0,215,245,459,3,9,11,9,6,14,0,0,0,0,0,0,0,4,3,0,5,4,0,6,6,126,117,246,0,0,0,0,0,0,131,117,249,43,41,85,397,423,822
UCL121087,0,5,7,60,78,142,0,0,0,3,0,4,0,0,0,41,49,90,0,5,0,0,0,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,23,0,0,0,4,0,3,13,32,49,3,3,5,0,0,0,139,189,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,146,127,276,0,0,4,0,0,0,149,132,282,21,27,41,309,353,656
UCL121088,0,0,3,49,64,111,0,0,0,0,0,3,0,0,0,55,55,114,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,18,6,5,10,0,0,0,0,0,0,3,7,14,7,6,17,0,0,0,134,159,289,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,123,115,241,0,0,0,0,0,0,127,116,241,23,29,58,287,312,598
UCL121089,0,7,11,59,46,103,0,0,0,11,6,20,0,0,0,86,82,172,0,0,0,9,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,8,14,5,16,23,0,4,0,6,10,12,18,21,39,0,5,8,0,0,0,203,203,405,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,6,6,0,6,6,220,214,436,3,6,3,0,0,8,226,220,447,9,15,30,442,448,895
UCL121090,0,0,0,80,100,173,0,0,0,6,7,17,0,0,0,78,86,164,0,0,0,7,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,15,20,30,3,0,6,0,0,0,16,26,40,9,9,21,0,0,0,217,258,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,158,319,0,0,0,0,0,4,164,160,328,15,19,31,393,435,828
UCL121091,3,8,7,44,47,85,0,0,0,0,5,7,0,0,0,64,68,137,0,0,0,0,0,4,0,6,7,3,3,3,0,0,0,0,0,0,0,0,0,4,13,17,10,14,27,0,0,0,14,15,28,7,9,19,8,3,15,0,0,0,168,179,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,149,137,285,3,3,0,0,0,0,153,132,292,24,25,51,347,349,696
UCL121092,3,0,3,124,141,262,0,0,0,11,3,13,0,0,0,149,144,295,0,0,0,9,8,16,0,0,0,0,0,0,0,0,4,4,0,0,0,3,3,0,0,0,3,6,13,0,0,4,3,5,7,26,20,40,6,8,16,0,0,0,335,336,671,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,216,191,408,0,0,0,0,0,0,213,191,406,37,52,92,596,578,1179
UCL121093,3,0,5,120,142,265,0,0,0,5,4,5,0,0,0,76,87,160,0,0,0,0,0,0,6,5,8,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,10,4,17,4,4,3,6,3,11,6,11,20,9,6,21,0,0,0,241,280,512,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,6,0,5,307,257,568,0,0,3,0,3,0,308,265,574,31,27,55,581,574,1160
UCL121094,0,3,3,66,64,136,0,0,0,0,3,7,0,0,0,83,94,181,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,12,23,14,16,24,0,0,0,0,0,0,16,16,32,8,22,31,0,3,3,205,237,442,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6,94,97,198,0,0,0,4,0,4,98,97,196,60,62,124,373,402,768
UCL121095,0,0,0,74,82,161,0,0,0,0,0,0,0,0,0,120,125,240,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,10,24,0,0,0,0,0,0,12,17,31,6,17,19,0,0,0,233,256,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,79,165,0,0,4,0,0,0,91,80,168,19,14,31,346,349,693
UCL121096,0,4,7,70,87,161,0,0,0,7,3,8,0,0,0,77,78,154,0,0,0,0,4,6,3,5,7,0,0,0,3,3,3,0,0,0,11,3,11,0,4,7,14,9,14,0,0,0,0,0,0,11,13,29,5,3,12,0,0,5,203,216,422,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,169,329,0,0,0,0,3,3,166,171,333,23,12,37,394,402,798
UCL121097,0,6,6,49,49,99,0,0,0,6,0,9,0,0,0,31,38,68,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,10,12,26,0,0,0,0,0,0,13,10,26,14,8,23,0,0,0,122,134,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,191,364,0,0,0,0,7,9,178,190,368,17,20,36,321,347,667
UCL121098,0,4,5,55,61,111,0,0,0,5,5,10,0,0,0,93,114,203,0,0,0,0,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,19,18,41,0,0,0,6,0,8,22,23,47,8,9,17,0,0,0,213,236,449,0,0,4,0,0,0,4,3,3,0,0,0,0,0,0,16,25,38,16,25,38,173,145,318,0,0,0,0,0,0,175,144,326,16,15,27,423,431,850
UCL121099,0,3,0,89,101,190,0,0,0,0,0,0,0,0,0,57,69,124,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,4,10,0,0,0,0,0,0,10,12,27,9,8,8,0,0,0,176,197,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,102,103,205,0,0,0,0,0,0,105,103,213,18,17,35,303,321,624
UCL121100,0,9,4,85,102,184,0,0,0,0,4,6,0,0,0,94,106,198,0,0,0,0,0,0,12,14,23,0,0,0,5,7,3,0,0,0,0,0,0,8,5,13,10,14,26,0,0,0,0,0,0,8,9,24,3,0,5,0,0,0,226,258,486,0,0,0,0,0,0,0,0,0,0,0,0,23,29,53,4,0,3,23,29,56,255,247,500,3,3,3,3,0,6,260,251,508,22,26,50,537,568,1103
UCL121101,3,11,17,107,111,216,0,0,0,3,8,14,0,0,0,105,97,202,3,4,4,3,4,4,0,5,8,0,0,0,4,0,3,0,0,0,0,0,0,5,6,14,8,13,18,0,0,0,3,3,7,23,14,41,25,18,42,0,0,0,290,278,570,0,0,0,3,0,5,0,0,0,5,0,5,0,0,0,0,0,0,5,0,4,215,176,397,0,4,0,0,0,0,219,181,400,60,49,105,584,522,1103
UCL121102,3,8,12,51,60,113,0,0,0,0,0,9,0,0,0,66,71,138,0,0,0,0,0,0,19,20,40,0,0,0,0,0,0,0,0,0,0,0,0,9,6,14,9,15,25,0,7,5,5,5,8,9,18,27,8,14,24,0,0,0,190,210,399,0,0,0,0,0,3,6,9,11,0,0,0,0,0,0,0,0,5,3,0,3,252,231,485,0,0,0,0,0,0,258,231,491,41,32,81,494,495,994
UCL121103,4,0,5,72,105,178,0,0,0,0,0,0,0,0,0,95,118,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,16,25,0,0,5,4,3,8,35,46,77,4,11,20,0,0,0,221,303,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,207,182,390,3,0,5,0,0,0,207,182,391,47,49,95,481,535,1021
UCL121104,0,0,0,91,116,210,0,0,0,13,20,34,0,0,0,35,38,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,18,0,0,0,0,0,0,7,15,22,10,17,26,0,0,0,174,214,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,151,140,294,0,0,0,0,0,0,149,140,293,21,36,60,348,394,738
UCL121105,0,0,0,65,67,129,0,0,0,5,0,5,0,0,0,56,65,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,8,21,0,0,0,0,0,0,17,8,23,6,4,11,0,0,0,164,162,319,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,131,276,0,0,0,0,0,0,148,132,283,26,19,47,336,319,656
UCL121106,6,10,12,89,110,196,0,0,0,7,6,7,0,0,0,109,110,215,0,0,0,0,0,0,9,8,12,0,0,0,0,0,0,0,0,0,0,0,3,3,4,8,12,18,29,0,0,0,0,0,0,9,16,20,6,12,19,0,0,0,247,279,526,0,0,0,0,0,0,4,0,5,0,0,0,3,4,4,0,0,0,3,4,6,182,178,363,0,0,4,0,0,0,182,181,368,39,43,79,485,509,993
UCL121107,0,5,5,83,95,177,0,0,0,4,9,10,0,0,0,135,119,256,0,0,0,0,0,0,0,0,0,0,0,0,9,8,13,0,0,0,0,0,0,0,0,0,17,21,35,0,6,6,0,0,3,24,35,59,4,5,8,0,0,0,274,296,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,160,141,304,0,0,4,0,0,0,161,151,309,34,31,72,473,480,953
UCL121108,0,4,6,81,90,167,0,0,0,11,9,15,0,0,0,49,66,111,0,0,0,0,3,3,3,0,5,0,0,0,0,0,0,0,0,0,4,4,5,0,7,11,13,30,42,0,5,5,3,0,6,14,20,35,25,24,42,0,0,0,200,244,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,158,326,0,4,6,0,0,0,168,165,333,27,36,64,396,445,840
UCL121109,0,3,3,29,39,67,0,0,0,0,0,3,0,0,0,55,39,90,0,0,0,3,4,5,5,0,3,0,0,0,3,5,8,0,0,0,0,0,0,0,7,6,13,5,20,0,0,0,3,6,6,6,5,11,5,8,14,0,0,0,119,121,235,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,102,110,218,0,0,0,0,0,0,102,110,218,21,17,39,248,252,499
UCL121110,0,5,5,72,85,161,0,0,0,8,9,20,0,0,0,81,99,181,0,0,0,0,0,0,7,7,16,0,0,0,0,3,3,0,0,0,0,0,0,4,4,11,32,30,70,3,0,5,0,0,3,12,17,27,15,21,29,0,0,0,241,290,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,176,376,0,3,7,0,0,0,205,179,383,23,44,63,468,523,991
UCL121111,0,0,0,77,77,153,0,0,0,0,0,5,0,0,0,106,101,206,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,14,12,31,0,0,0,0,6,6,25,40,66,0,3,9,0,0,0,231,241,475,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,78,174,0,0,0,0,0,0,93,78,174,57,50,111,393,368,768
UCL121112,7,3,3,82,70,150,0,0,0,12,6,23,0,0,0,108,112,216,0,0,0,0,0,0,9,9,13,0,0,0,10,6,15,0,0,0,0,0,4,3,3,4,14,13,26,0,3,4,0,0,0,14,13,27,0,10,8,0,0,0,250,253,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,100,210,0,0,5,0,0,0,110,100,213,29,24,54,387,379,767
UCL121113,0,0,0,24,19,42,0,0,0,3,5,13,0,0,0,49,28,81,0,0,0,0,0,0,0,0,0,0,0,0,63,46,113,0,0,0,0,0,0,5,0,6,0,3,10,0,0,0,0,0,0,4,0,4,9,17,16,0,0,0,152,132,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,98,188,0,0,0,0,5,5,100,99,193,34,20,58,282,248,532
UCL121114,3,0,4,62,78,139,0,0,0,3,14,11,0,0,0,83,81,161,0,0,0,0,7,7,7,3,14,0,0,0,0,0,0,0,0,0,0,0,0,6,3,11,14,10,23,0,0,0,0,0,0,11,8,24,17,22,35,0,0,0,211,218,436,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,175,171,343,0,0,4,0,0,0,177,171,349,51,44,96,442,437,884
UCL121115,0,11,15,51,45,100,0,0,0,3,4,6,0,0,0,24,40,65,0,0,0,5,0,3,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,4,3,7,8,7,15,0,5,3,0,0,0,98,116,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,189,166,358,3,5,3,0,0,0,193,175,362,31,25,56,316,331,651
UCL121116,0,4,3,111,106,220,0,0,0,4,11,11,0,0,0,91,122,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,9,8,22,0,8,15,0,0,0,0,0,0,15,11,25,18,14,28,0,4,4,261,296,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,152,362,9,0,13,0,6,4,219,159,379,15,10,21,496,464,963
UCL121117,4,0,4,54,65,121,0,0,0,6,8,13,0,0,0,51,62,110,0,0,0,0,0,0,5,3,10,0,0,0,4,5,5,0,0,0,0,0,0,4,7,7,6,9,12,0,0,0,0,0,0,16,9,24,5,0,5,0,0,0,150,169,314,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,131,285,0,3,7,0,0,0,154,137,284,30,21,56,336,327,662
UCL121118,0,5,3,40,50,89,0,0,0,0,6,9,0,0,0,41,45,83,0,0,0,8,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,0,0,0,0,0,0,9,10,18,4,3,13,0,0,0,110,132,240,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,109,230,0,0,4,0,0,0,122,107,233,17,15,33,258,260,518
UCL121119,0,3,3,96,116,212,0,0,0,3,4,12,0,0,0,81,73,156,0,0,0,0,0,0,8,9,16,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,31,32,66,0,0,0,5,5,9,11,8,16,3,12,21,0,0,0,239,264,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,6,0,10,148,138,286,3,0,5,0,0,0,149,144,298,32,27,59,440,438,872
UCL121120,0,0,5,22,25,43,0,0,0,0,0,0,0,0,0,84,76,158,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,109,216,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,82,80,166,0,0,0,0,0,0,82,85,165,76,64,137,274,266,539
UCL121121,0,7,7,44,48,93,0,0,0,0,5,5,0,0,0,53,49,106,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,3,5,13,15,8,25,0,0,0,128,123,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,93,197,0,0,0,0,0,0,108,93,197,30,25,54,269,247,510
UCL121122,0,0,0,62,54,115,0,0,0,14,6,15,0,0,0,70,76,143,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,9,11,30,0,0,0,0,0,0,10,18,28,10,9,24,0,0,0,181,183,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,120,245,0,0,0,0,0,0,127,120,245,27,25,55,331,332,665
UCL121123,0,3,3,34,38,72,0,0,0,0,0,0,0,0,0,51,70,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,16,7,21,0,0,6,0,0,0,14,11,22,6,11,15,0,0,0,126,141,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,15,10,4,15,157,133,292,4,0,9,0,0,0,165,134,296,57,39,98,351,324,678
UCL121124,0,3,11,62,52,117,0,0,0,4,6,3,0,0,0,39,43,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,9,10,16,0,0,0,0,0,0,14,7,23,0,0,4,0,0,0,134,128,259,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,0,0,4,120,83,203,0,0,0,0,0,0,120,83,203,18,12,28,272,232,503
UCL121125,4,7,13,95,89,186,0,0,0,8,9,13,0,0,0,64,74,135,0,0,0,0,0,0,0,0,3,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,12,12,17,0,0,0,0,0,0,18,24,40,9,11,21,0,0,0,203,225,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,214,189,404,0,0,0,0,0,0,214,189,404,38,49,93,466,470,935
UCL121126,0,0,4,65,66,133,0,0,0,0,7,8,0,0,0,80,92,169,0,0,0,0,0,0,0,0,0,0,5,5,4,4,5,0,0,0,0,0,0,3,5,3,19,16,35,0,0,0,0,0,0,8,18,28,6,14,16,0,0,0,189,219,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,85,76,163,0,0,0,0,0,0,88,80,166,17,8,21,290,302,593
UCL121127,0,0,4,94,102,195,0,0,0,9,10,23,0,0,0,74,81,159,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,7,3,12,0,0,0,0,0,0,3,0,4,0,4,3,0,0,0,194,219,407,0,0,0,0,0,0,0,0,0,0,5,5,0,0,4,0,0,0,0,5,5,128,112,242,0,0,0,0,0,0,128,112,243,20,17,41,343,357,702
UCL121128,6,0,9,110,132,247,0,0,0,9,12,17,0,0,0,105,121,221,0,0,0,0,3,6,3,4,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,8,18,4,0,0,0,0,0,3,3,11,4,8,6,10,4,9,259,301,557,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,3,5,3,3,5,183,160,347,3,0,9,0,0,0,192,160,353,33,15,45,492,482,974
UCL122001,0,0,0,35,25,62,0,0,0,9,3,5,0,0,0,13,17,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,4,3,3,7,0,0,0,0,0,0,3,3,12,5,5,9,0,0,0,76,69,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,44,97,0,0,0,0,0,0,50,44,97,11,5,16,138,116,255
UCL122002,0,4,3,21,18,39,0,0,0,0,0,4,0,0,0,27,29,61,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,7,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,61,56,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,32,80,0,0,0,0,0,0,51,32,80,29,21,56,136,118,257
UCL122003,0,0,0,31,49,80,0,0,0,0,0,4,0,0,4,52,51,96,0,0,0,7,3,14,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,3,14,0,0,0,0,0,0,6,3,8,10,3,11,0,0,0,125,119,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,70,145,0,0,4,0,0,0,78,70,151,11,7,19,214,197,410
UCL122004,3,0,3,9,14,26,0,0,0,0,0,0,0,0,0,20,23,42,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,6,6,3,0,3,0,0,0,36,46,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,50,97,0,0,0,0,0,0,48,53,102,6,3,11,93,101,192
UCL122005,0,0,0,38,54,98,0,0,0,0,0,0,0,0,0,38,33,68,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,13,11,30,3,4,10,0,0,0,104,110,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,43,108,0,0,0,0,0,0,66,43,108,6,8,19,175,174,352
UCL122006,0,0,0,30,36,65,0,0,0,6,11,24,0,0,0,21,18,41,0,0,0,0,0,0,5,4,3,0,0,0,3,3,5,0,0,0,0,0,0,0,7,5,10,8,15,0,0,0,0,0,0,4,6,9,7,4,8,0,0,0,81,92,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,69,0,0,0,0,0,0,34,34,73,8,13,22,131,139,272
