UCL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL114008,4,8,15,23,24,19,12,0,0,114,3,11,30,20,22,24,13,4,0,121,183,216,497,438,550,576,212,31,0,2716
UCL114009,5,24,32,29,7,4,3,0,0,113,5,21,36,27,14,0,0,0,0,108,237,620,1237,793,480,235,56,10,0,3672
UCL114010,20,21,25,27,20,24,8,0,0,141,12,13,23,21,13,20,11,6,5,125,208,295,585,533,532,513,188,43,6,2900
UCL114011,7,5,27,19,17,23,7,0,0,104,11,7,24,15,15,21,7,0,0,95,141,118,335,292,340,362,125,17,4,1738
UCL114012,3,10,40,22,11,4,0,0,0,93,4,10,28,43,16,9,0,0,0,99,138,205,1181,1225,636,202,31,0,0,3621
UCL114013,13,24,55,31,21,31,10,3,0,186,6,9,37,21,11,18,10,5,0,119,214,356,924,716,556,563,187,26,0,3543
UCL114014,7,24,30,35,42,31,5,0,0,182,5,9,32,33,20,10,3,0,0,109,196,290,605,823,793,537,98,12,3,3362
UCL114015,10,19,46,30,24,25,12,3,0,173,7,28,38,30,15,23,11,9,0,158,255,402,841,692,641,579,163,43,4,3614
UCL114016,12,19,28,18,25,20,3,4,0,133,13,20,37,32,28,25,5,0,0,153,247,321,697,622,618,578,165,22,7,3274
UCL114017,5,14,24,22,30,28,4,0,0,121,10,12,28,40,31,13,6,5,0,136,279,233,643,904,935,700,188,20,0,3913
