UCL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL122038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,17,5,0,0,3,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,16,26,20,7,12,0,3,3,0,87
UCL122039,0,0,0,0,0,0,0,0,0,9,5,0,0,8,0,0,0,0,0,13,10,6,20,16,4,0,0,3,4,59,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,17,12,21,22,10,6,0,8,4,104
UCL122040,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,4,8,4,0,5,0,0,23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,8,0,5,0,0,37
UCL122041,0,0,0,0,5,0,0,0,0,10,3,0,0,7,3,0,0,4,0,18,0,5,25,14,3,3,0,12,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,22,27,26,14,3,3,17,0,130
UCL122042,5,0,0,0,0,0,0,0,0,7,0,3,4,0,0,0,0,0,0,15,8,0,18,7,5,3,8,4,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,25,17,8,10,12,3,3,99
UCL122043,0,0,0,0,3,0,0,0,0,8,0,0,0,0,3,0,0,0,0,9,9,0,13,6,0,0,9,8,3,52,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,8,19,14,10,5,3,13,5,85
UCL122044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,6,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,3,0,8,0,0,0,6,3,0,23
UCL122045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,3,0,3,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,9,5,6,6,3,9,6,0,45
UCL122046,4,0,3,3,3,4,0,0,0,15,6,3,5,4,0,0,0,0,0,10,8,0,31,0,9,6,0,8,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,39,38,12,14,9,0,12,0,142
UCL122047,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,8,5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,27,66,8,8,10,5,4,5,0,128
UCL122048,0,0,0,0,3,0,0,0,0,4,4,3,0,0,0,0,0,0,6,8,0,0,3,5,6,3,4,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,9,14,9,3,4,7,3,59
UCL122049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,5,0,3,0,5,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,14,10,0,8,0,9,0,48
UCL122050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,3,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,6,0,5,8,0,3,4,0,32
UCL122051,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,6,3,10,3,0,7,3,0,0,28,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,10,14,0,7,3,6,0,46
UCL122052,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,3,11,3,0,0,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,17,8,3,4,0,7,0,79
UCL122053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,0,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,9,3,0,0,4,0,33
UCL122054,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,4,0,6,9,0,10,4,7,0,8,10,0,54,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,13,7,6,0,13,14,0,97
UCL122055,4,3,0,4,6,0,0,0,0,10,0,0,0,5,0,0,0,0,0,9,3,0,15,0,0,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,52,17,10,17,4,0,0,0,131
UCL122056,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,4,11,0,0,7,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,13,3,4,8,0,3,0,67
UCL122057,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,12,3,0,8,4,8,0,0,5,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,13,18,14,15,13,4,4,5,0,84
UCL122058,0,4,0,0,0,0,0,0,0,5,4,0,0,4,0,0,0,0,0,11,0,9,16,5,13,3,3,4,0,50,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,14,18,16,4,7,14,0,105
UCL122059,0,0,0,6,3,0,0,0,0,8,0,0,0,5,0,0,0,0,0,11,10,5,26,14,10,0,3,3,0,72,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,16,18,29,31,23,7,3,3,0,136
UCL122060,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,0,0,8,4,0,11,6,4,9,7,7,0,46,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,10,11,16,12,14,6,12,0,82
UCL122061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,5,20
UCL122062,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,11,3,0,10,7,5,4,4,5,0,42,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,4,17,6,13,13,9,9,6,10,0,82
UCL122063,3,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,3,5,15,7,6,0,9,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,9,7,21,15,10,0,6,3,0,75
UCL122064,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,5,8,0,0,0,8,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,6,3,8,6,13,7,0,0,3,6,45
UCL122065,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,7,4,16,3,0,3,6,3,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,33,20,14,7,5,0,4,0,101
UCL122066,0,6,3,4,0,0,0,0,0,8,3,7,0,5,0,0,0,0,0,16,12,0,21,11,6,3,10,5,0,70,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,32,30,24,18,9,13,11,6,145
UCL122067,0,0,0,0,0,0,0,0,0,6,3,0,0,8,3,0,0,0,0,23,4,0,13,11,13,0,9,9,0,56,0,0,0,0,7,0,0,0,0,3,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,33,18,29,19,5,9,15,0,126
UCL122068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,4,0,21
UCL122069,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,6,3,5,0,0,0,0,22,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,33,17,7,8,3,0,4,0,104
UCL122070,0,6,0,0,7,0,0,0,0,13,3,3,4,4,0,0,0,0,0,23,10,3,17,0,13,0,3,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,31,48,29,12,24,3,0,4,4,152
UCL122071,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,10,3,0,17,14,5,3,3,4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,23,25,3,8,3,5,0,96
UCL122072,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,3,3,0,16,6,3,0,0,9,0,33,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,18,15,8,7,5,0,12,0,77
UCL122073,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,4,0,8,10,4,6,0,0,7,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,12,12,4,13,4,0,12,0,67
UCL122074,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,3,0,4,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,4,9,4,3,4,5,0,35
UCL122075,4,5,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,11,0,0,18,3,3,3,5,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,22,11,12,4,0,4,0,97
UCL122076,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,6,4,0,14,6,0,0,3,7,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,13,12,9,10,0,8,6,0,68
UCL122077,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,10,3,0,6,8,5,0,6,5,0,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,23,7,7,3,5,4,59
UCL122078,7,0,0,6,0,0,0,0,0,8,0,0,0,4,3,0,0,0,0,8,6,0,8,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,27,12,9,5,5,5,0,0,81
UCL122079,0,0,0,3,0,0,0,0,0,5,4,6,0,0,0,0,0,0,0,10,4,0,11,3,6,0,0,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,42,12,17,15,0,0,6,0,107
UCL122080,3,5,0,5,0,0,0,0,0,15,6,7,0,9,5,0,0,0,0,18,6,0,30,0,5,9,9,8,4,76,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,37,24,14,14,11,6,7,157
UCL122081,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,7,10,0,0,8,7,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,6,9,0,8,12,0,56
UCL122082,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,4,0,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,11,0,8,3,0,3,0,0,38
UCL122083,0,4,0,0,0,0,0,0,0,6,0,3,5,4,5,0,0,0,0,9,7,4,24,3,4,0,6,4,0,53,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,12,28,26,10,17,3,9,4,0,113
UCL122084,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,7,0,4,0,4,3,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,5,10,0,4,3,0,44
UCL122085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,7,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,6,5,3,3,7,0,42
UCL122086,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,3,3,3,0,3,0,0,14,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,3,13,5,0,0,3,0,50
UCL122087,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,16,5,7,9,3,0,6,0,55
UCL122088,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,8,0,14,6,5,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,14,5,7,4,0,3,3,48
UCL122089,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,0,0,0,0,13,12,0,32,11,12,3,6,10,0,86,0,4,0,0,3,0,0,0,0,4,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,13,13,43,20,19,4,8,11,0,139
UCL122090,3,3,0,3,5,0,0,0,0,16,0,0,0,4,0,0,0,0,0,15,8,3,27,0,9,0,0,3,0,59,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,47,49,32,12,25,7,4,14,6,188
UCL122091,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,10,6,0,8,11,3,0,5,4,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,8,12,10,6,5,14,0,72
UCL122092,0,0,5,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,17,5,4,20,6,9,0,3,5,0,59,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,34,25,12,17,3,3,5,8,122
UCL122093,0,0,0,6,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,10,6,0,7,0,7,0,4,8,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,15,21,9,20,8,0,3,5,3,84
UCL122094,0,0,0,5,3,0,0,0,0,10,0,0,0,4,0,0,0,0,0,11,3,3,14,6,5,4,0,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,22,17,13,14,3,0,9,0,90
UCL122095,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,9,5,3,9,6,8,3,4,0,0,40,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,9,13,7,3,11,5,0,73
UCL122096,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,5,6,5,16,3,3,0,3,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,16,3,5,4,9,4,0,54
UCL122097,0,0,0,0,0,0,0,0,0,6,0,0,0,5,4,0,0,0,0,5,3,0,13,9,6,10,0,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,9,16,7,9,10,0,4,0,65
UCL122098,0,3,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,0,9,4,0,4,9,4,3,3,5,0,28,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,5,28,10,4,3,6,0,90
UCL122099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,5,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,14,7,4,4,4,3,0,58
UCL122100,3,3,0,4,5,0,0,0,0,14,5,0,0,0,0,0,0,0,0,8,5,3,12,7,5,0,0,5,0,43,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,5,24,28,21,20,20,11,0,8,0,123
UCL122101,0,0,0,5,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,12,11,5,19,18,8,4,3,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,27,21,26,20,6,3,8,0,133
UCL122102,4,0,0,0,3,0,0,0,0,6,4,0,0,4,0,0,0,0,0,3,0,0,4,3,4,0,0,7,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,8,9,0,3,4,3,57
UCL122103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,10,0,5,8,0,32,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,3,4,3,5,14,0,16,15,0,61
UCL122104,0,0,0,0,8,0,0,0,0,8,0,0,3,0,4,0,0,0,0,12,13,0,26,7,3,4,4,4,0,61,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,34,24,31,22,22,4,7,3,0,146
UCL122105,0,0,0,0,3,0,0,0,0,4,0,3,4,3,0,0,3,0,0,18,3,0,13,4,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,60,18,11,15,3,5,7,4,149
UCL122106,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,17,6,0,0,0,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,8,3,16,9,3,5,6,10,0,58
UCL122107,0,3,0,4,0,0,0,0,0,5,4,0,4,0,9,0,0,0,0,15,8,0,24,5,16,3,12,0,0,74,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,19,27,23,14,25,11,12,4,0,132
UCL122108,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,4,0,3,0,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,11,23,3,7,6,0,0,5,0,50
UCL122109,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,9,0,4,0,4,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,4,0,4,0,0,15,0,53
UCL122110,0,0,0,0,0,0,0,0,0,8,0,0,8,3,0,0,0,0,0,17,3,0,19,9,9,5,7,3,0,56,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,29,27,23,13,9,9,3,0,136
UCL122111,6,0,0,0,4,0,0,0,0,12,9,4,0,5,3,3,0,0,0,21,5,0,18,3,6,4,3,4,0,45,0,0,0,0,3,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,29,39,29,5,23,7,10,4,0,149
UCL122112,0,0,0,0,3,0,0,0,0,4,5,0,0,0,0,0,0,0,0,7,0,9,10,3,4,4,6,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,0,11,13,17,14,10,13,4,4,3,0,78
UCL122113,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,9,5,0,4,8,4,7,0,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,11,12,10,5,10,0,4,0,63
