SED_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SED30040,137,37,349,210,134,128,36,106,10,1132,0,3,3,6,0,15,0,4,0,28,26,46,33,31,26,14,6,23,3,214,44,55,76,57,39,37,25,39,69,437,2168,5144,2924,2357,1977,1036,529,998,227,17370
SED30041,110,32,307,193,137,104,79,110,10,1086,0,4,6,3,0,9,0,3,0,31,24,40,31,46,28,10,35,25,8,246,43,32,95,54,49,33,72,90,63,541,1730,4229,3291,2332,1789,684,1075,899,240,16267
SED30042,116,44,324,204,187,131,69,113,11,1196,0,0,0,4,4,12,0,0,0,30,26,30,46,44,38,21,29,20,14,267,45,32,81,59,52,36,40,71,81,506,2220,4167,3584,2802,2588,1114,961,1224,294,18950
SED30043,110,17,221,142,100,94,64,194,9,943,0,0,0,3,0,7,0,10,0,29,48,28,30,34,32,13,44,52,7,284,56,32,94,68,39,27,70,109,92,586,1705,2480,2592,2053,1520,760,944,1747,254,14054
SED30044,117,36,322,190,194,121,110,150,14,1262,0,0,3,4,8,3,4,0,0,31,42,24,50,25,33,17,59,34,10,301,51,32,94,48,62,45,83,78,159,659,2029,3319,3956,2693,2512,1076,1573,1426,392,18976
SED30045,126,51,283,158,148,98,55,100,8,1017,4,3,3,4,0,9,6,0,0,22,49,59,17,17,42,15,19,17,4,250,63,45,68,38,56,27,40,45,95,472,3238,5924,2844,1995,2608,1011,720,915,315,19573
SED30046,126,33,269,210,175,136,100,155,19,1229,4,0,5,3,4,0,0,9,0,15,27,25,35,29,25,11,48,33,17,238,44,35,92,55,49,38,61,79,117,565,1893,3459,3247,2593,2315,1054,1073,1461,346,17446
SED30047,105,24,328,163,116,120,101,109,14,1091,0,4,4,0,0,0,0,6,0,23,26,29,50,31,23,17,49,16,10,248,43,26,124,42,43,31,80,67,94,552,1669,4088,4091,2100,1733,815,1301,1001,325,17125
SED30048,85,45,212,129,96,77,33,81,8,755,0,7,3,8,8,6,0,5,0,40,45,111,25,30,58,35,9,22,16,355,38,71,26,45,28,24,12,20,69,333,4044,13290,1680,2195,2683,1325,422,995,373,26999
SED30049,118,34,256,146,105,92,42,72,5,869,4,0,5,3,0,10,0,9,0,25,39,63,24,25,37,20,28,18,8,268,43,45,68,37,42,25,28,37,98,418,3059,8552,2399,2111,2718,1296,704,1046,368,22245
SED30050,158,44,407,212,135,135,40,112,18,1263,0,0,0,8,0,5,0,3,0,28,36,46,32,36,26,20,19,28,16,259,38,41,80,63,42,50,14,49,73,446,2367,4951,2746,2488,1970,1160,520,1114,282,17606
SED30051,82,17,238,172,90,82,43,110,11,859,0,0,4,0,0,0,0,3,0,12,13,23,25,33,13,10,29,14,10,165,31,19,56,67,37,40,54,73,68,452,1213,2507,2041,2251,1404,679,663,958,211,11937
SED30052,227,80,649,312,176,135,40,135,19,1777,8,7,7,12,8,10,0,16,0,59,97,133,33,56,65,42,11,37,12,485,79,84,67,64,55,44,28,57,136,607,5379,14713,2805,3274,3722,1849,686,1906,538,34876
SED30053,185,45,455,249,177,175,39,108,10,1434,6,0,0,5,0,0,5,6,0,22,47,47,35,30,34,13,21,22,4,249,54,61,78,64,64,49,20,39,119,548,3026,6311,2824,2621,2240,1515,539,999,361,20433
SED30054,91,33,179,95,73,67,20,65,6,634,5,5,0,4,0,3,0,4,0,23,49,85,14,24,41,13,10,7,9,257,44,43,23,39,34,23,13,22,53,292,3641,10602,1755,1669,2352,961,382,703,268,22338
SED30055,78,27,184,102,108,73,95,85,11,761,6,5,7,0,0,4,3,0,0,23,19,19,40,13,11,5,41,15,12,179,75,20,100,48,42,30,106,75,75,574,1586,2488,3712,1428,1522,544,1513,858,276,13933
SED30056,90,23,140,88,83,51,14,47,8,533,0,0,0,5,0,5,0,3,0,19,42,84,18,30,42,12,0,14,8,247,33,55,27,23,40,21,10,20,53,284,3967,9023,1814,1514,2201,806,306,550,228,20402
SED30057,111,23,303,199,110,145,60,203,15,1179,0,0,5,3,9,12,0,18,0,48,19,27,25,32,31,13,40,42,7,228,38,31,89,56,48,52,56,108,128,604,1358,2430,2752,2800,1806,1045,973,1818,281,15269
SED30058,91,31,233,112,104,65,30,78,3,746,0,0,6,7,0,7,0,5,0,29,44,70,28,30,40,12,15,17,3,260,44,44,48,30,39,21,24,30,52,332,3179,8148,2250,1953,2488,890,492,753,251,20399
SED30059,170,63,356,242,184,128,51,132,10,1338,0,5,5,0,0,0,0,6,0,19,43,53,29,14,36,16,12,19,15,248,49,53,73,49,60,46,24,51,120,529,2911,5967,3183,2702,2529,1425,626,1109,398,20855
SED30060,137,34,346,220,140,142,71,143,13,1250,0,0,5,3,6,0,3,4,0,21,26,38,42,41,16,25,20,19,11,234,42,37,99,74,60,47,42,75,84,562,1778,3637,3345,2730,2111,1010,824,1054,283,16774
SED30061,110,20,281,214,93,95,53,85,8,978,0,0,3,7,0,7,0,13,0,33,32,39,39,54,21,12,18,17,7,223,33,30,66,68,31,28,36,47,64,403,1762,5265,2421,2545,1661,710,709,770,223,16063
SED30062,186,58,446,268,214,175,140,189,23,1690,5,3,0,0,5,3,4,0,0,20,36,41,43,58,55,21,42,29,14,335,54,51,78,57,75,48,65,58,116,597,2436,5384,3630,3711,3073,1421,1310,1455,372,22792
SED30063,101,13,194,125,64,73,48,184,11,821,0,0,9,0,0,3,0,8,0,21,20,23,29,21,14,9,21,19,10,178,74,24,97,50,36,49,51,107,72,565,1775,2150,1998,1830,1126,569,675,1370,244,11740
SED30064,138,32,349,180,114,99,47,134,12,1102,0,3,0,4,4,4,3,4,0,26,26,40,34,16,29,12,24,18,8,216,54,17,78,65,41,46,42,75,83,502,1835,3654,2930,2294,1740,890,678,1304,272,15601
SED30065,193,44,408,223,151,131,55,115,14,1341,0,3,0,0,0,5,0,5,0,17,44,45,34,34,42,28,21,20,16,285,51,41,95,54,50,36,24,34,109,500,2737,5319,3354,2442,2095,1165,640,1109,329,19199
SED30066,193,41,418,181,118,100,31,136,16,1230,0,0,4,5,0,3,0,3,0,21,37,51,23,32,30,26,16,21,5,233,59,43,67,48,35,39,17,36,79,414,2600,4205,2389,1952,1460,1037,413,965,293,15313
SED30067,147,60,331,195,174,101,80,133,9,1232,0,4,3,5,3,0,0,15,0,29,54,60,36,35,51,18,35,26,9,320,51,51,62,35,47,23,31,53,88,460,3256,7900,2839,2440,3079,1134,824,1140,385,23001
SED30068,121,23,223,108,113,103,29,63,4,786,0,7,0,3,0,0,3,0,0,15,37,44,17,31,32,13,4,7,0,201,46,38,51,32,45,26,16,34,50,335,2699,4247,2140,1717,2030,896,473,701,194,15092
SED30069,127,30,283,172,144,102,42,95,8,1013,0,0,3,4,5,7,4,4,0,24,39,62,39,33,40,17,20,23,10,286,52,40,65,58,49,24,31,48,74,443,2984,5545,3273,2484,2640,1017,741,949,313,19932
SED30070,101,33,257,149,106,107,40,116,9,927,0,0,0,0,3,0,0,4,0,19,27,24,29,22,21,19,21,16,0,179,31,28,83,47,34,46,40,83,63,454,1358,2318,2340,2003,1471,817,680,1070,223,12284
SED30071,112,40,254,179,123,85,35,114,7,957,0,0,3,8,0,0,4,4,0,30,27,36,27,26,30,22,27,20,13,226,52,62,55,70,48,37,32,56,77,484,2154,4002,2504,2210,1945,791,627,1023,264,15511
SED30072,146,34,292,165,177,100,48,99,12,1073,0,7,0,3,0,6,4,8,0,28,25,28,37,36,33,20,15,17,7,222,45,37,86,42,58,32,40,35,86,461,2293,3721,3174,2235,2301,976,715,995,276,16687
SED30073,112,23,298,188,101,118,72,123,11,1036,5,4,3,6,0,10,0,11,0,38,20,21,30,38,30,9,50,23,8,227,27,31,93,65,39,33,62,94,97,541,1298,3597,2884,2447,1526,741,961,1044,262,14759
SED30074,114,40,297,175,147,98,96,105,13,1074,0,5,0,6,3,3,3,4,0,26,39,65,47,41,50,17,47,36,11,354,45,43,62,51,60,20,26,62,82,443,2522,5789,2743,2579,2635,979,855,1068,314,19484
SED30075,119,25,268,140,144,102,56,119,13,990,0,0,0,4,0,0,3,8,0,17,34,39,39,29,15,7,23,26,10,225,81,28,108,60,48,47,62,85,108,633,2311,3316,3143,2188,1744,774,891,1246,307,15929
SED30076,155,62,409,205,130,93,30,100,17,1200,3,4,7,12,9,4,6,5,4,55,69,131,34,54,54,26,14,28,13,424,62,102,54,77,53,42,24,49,103,572,4341,13903,2455,2974,3201,1510,639,1389,474,30884
SED30077,132,28,249,146,85,109,58,146,15,970,0,0,3,0,0,0,0,7,0,17,27,17,7,20,13,13,27,24,11,152,67,22,63,64,25,31,57,125,78,530,2071,2447,1870,1729,1226,676,801,1430,230,12471
SED30078,178,42,534,281,152,151,57,190,14,1608,4,0,0,0,0,10,0,3,3,29,32,41,20,28,30,24,12,30,13,234,66,57,88,69,46,44,22,73,115,574,2347,5186,2672,2739,2007,1443,660,1416,374,18844
SED30079,109,46,279,159,167,100,59,85,14,1008,6,4,0,0,0,3,0,0,0,18,28,43,27,31,35,13,25,15,10,229,42,31,70,38,66,36,35,45,88,465,2608,5777,3345,2162,2636,1012,724,947,336,19548
SED30080,120,40,311,194,148,101,35,101,6,1059,3,0,8,0,5,5,0,3,0,24,52,87,32,42,43,27,30,20,8,346,46,57,52,47,49,34,15,42,75,415,3669,9438,2640,2331,2698,1188,590,1008,333,23895
SED30081,105,27,295,157,122,89,94,107,18,1013,0,0,3,4,4,0,0,15,0,34,30,45,20,39,51,30,56,31,15,320,43,49,73,58,41,34,55,52,145,545,2332,6639,2319,2292,2625,1303,1203,1265,438,20417
SED30082,223,69,552,250,169,136,47,147,14,1608,3,0,4,3,0,4,0,7,3,26,44,51,25,34,35,20,11,26,13,260,81,38,84,66,32,67,28,47,101,547,3098,5264,2449,2366,1998,1645,558,1482,380,19241
SED30083,207,61,436,276,221,166,87,167,20,1650,0,6,0,0,7,0,0,4,7,21,30,32,49,34,29,22,19,21,9,246,56,47,101,75,54,43,45,53,120,603,2655,4767,3697,2871,2528,1390,949,1357,393,20609
SED30084,104,24,285,227,116,109,55,130,15,1065,3,0,5,3,3,6,4,7,0,32,31,28,32,52,22,13,28,23,11,238,26,34,77,92,43,37,39,77,75,495,1417,3225,2718,2872,1782,816,829,962,248,14872
SED30085,96,26,342,160,106,87,72,132,21,1039,0,4,4,5,9,0,3,6,0,37,35,67,27,42,47,15,19,50,10,304,35,49,83,58,49,30,46,71,137,551,2391,7431,2594,2329,2485,1334,1025,1547,411,21543
SED30086,99,16,320,209,130,129,39,124,5,1076,0,4,3,0,3,0,0,7,0,20,30,37,17,38,24,13,27,26,12,227,28,35,46,70,42,24,25,49,55,375,1972,5104,2569,2473,1933,896,624,1005,227,16804
SED30087,134,27,376,221,132,129,43,139,10,1211,0,0,5,11,0,12,0,8,0,39,16,48,27,38,28,24,19,18,6,230,29,32,64,50,36,27,26,71,72,411,1828,5750,2690,3030,2045,1031,648,1302,243,18575
SED30088,128,27,298,217,96,99,57,113,9,1042,4,6,3,5,0,3,3,0,0,25,44,41,41,28,33,10,17,20,4,240,40,48,87,56,46,32,32,61,70,464,2227,5748,2608,2507,1828,752,684,876,244,17481
SED30089,77,28,194,82,68,37,83,67,12,643,0,0,3,4,0,3,0,0,0,18,20,14,19,12,18,0,26,8,6,124,50,40,98,79,47,27,128,88,107,663,1443,2654,2556,1305,1101,377,1074,897,260,11656
SED30090,107,19,208,118,99,61,38,93,11,756,0,0,0,0,3,6,0,7,0,16,30,18,20,10,15,10,22,25,8,157,68,25,75,43,60,44,62,96,57,534,2338,2340,2033,1368,1315,581,648,1131,195,11944
SED30091,104,30,264,172,125,133,78,155,7,1068,4,0,3,5,0,4,7,6,0,29,31,34,44,22,35,11,45,44,13,272,31,31,78,72,64,38,59,86,108,563,1504,3232,2736,2499,2055,1069,1241,1422,317,16074
SED30092,184,22,457,276,165,148,105,143,11,1513,0,4,0,0,0,5,4,7,0,17,39,42,36,32,30,8,36,35,6,274,71,33,121,57,46,51,75,84,91,642,2314,3710,4132,2278,1781,935,1401,1232,314,18104
SED30093,90,26,211,145,104,94,116,161,15,960,0,5,6,10,6,5,11,14,0,43,18,24,34,28,23,23,70,51,6,269,23,28,88,75,46,50,145,137,157,751,1011,2137,2371,2799,1753,886,1646,1689,346,14646
SED39494,11,4,29,26,9,16,14,43,0,146,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,10,4,3,34,5,4,15,7,4,3,9,29,22,99,210,448,278,310,181,120,161,430,60,2209
SED39797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,12,0,0,0,0,0,11,0,24
SED40001,100,24,291,106,55,51,18,53,11,714,0,3,0,7,4,0,0,0,0,20,42,79,16,39,35,17,9,20,14,259,46,35,37,30,28,15,6,18,46,257,2771,8007,1449,1704,1943,900,310,699,262,18043
SED40002,84,27,312,139,87,55,32,91,16,836,0,0,0,0,4,0,0,4,0,8,19,52,22,34,34,21,14,29,10,226,24,35,32,31,27,12,17,23,52,252,1784,5643,1960,2531,1912,822,523,991,257,16427
SED40003,77,17,221,111,98,53,28,57,6,660,0,6,0,0,0,0,3,0,0,13,28,36,35,16,30,9,13,4,7,185,32,26,43,43,34,11,7,27,36,262,1823,4145,2143,1855,1721,599,349,549,197,13382
SED40004,58,13,129,41,34,25,6,27,6,341,0,0,0,0,0,0,0,0,0,3,47,61,8,29,38,7,6,6,0,215,28,38,15,10,19,15,4,17,33,173,2664,7022,868,984,1532,637,162,391,198,14454
SED40005,94,11,217,104,57,71,42,108,17,721,5,0,0,0,0,0,0,0,0,6,23,13,11,14,15,8,18,24,5,124,70,15,47,50,24,25,23,99,40,397,1447,1705,1416,1424,874,455,434,1095,170,9021
SED40006,91,30,272,128,87,61,55,87,4,822,0,0,6,5,4,0,0,0,0,25,34,40,20,45,37,11,26,28,3,241,26,23,56,43,34,18,39,47,54,336,1525,3916,1991,1992,1707,713,669,896,216,13627
SED40007,78,28,198,109,90,42,21,30,3,607,0,0,0,0,4,0,0,0,0,8,16,24,20,26,26,15,5,14,5,160,34,30,45,32,29,20,11,20,31,252,2356,4557,1590,1439,1676,673,305,447,200,13237
SED40008,88,26,340,123,49,70,47,113,3,857,0,0,0,4,3,0,0,4,0,10,14,45,22,42,27,23,35,32,8,242,28,30,50,51,25,17,35,51,76,371,1516,4615,1879,1989,1553,735,660,1031,264,14237
SED40009,57,22,209,113,91,69,12,64,3,651,4,0,0,0,4,4,0,0,0,19,26,34,25,36,29,6,16,20,9,194,26,24,41,33,21,14,19,21,37,239,1710,4090,2013,1909,1690,621,381,632,200,13236
SED40010,81,28,226,81,55,39,18,40,8,580,0,0,4,0,0,0,0,6,0,14,41,57,14,31,28,14,13,16,10,229,33,37,30,19,36,11,6,14,31,215,2482,7061,1325,1420,1712,720,332,567,190,15804
SED40011,94,13,228,90,71,52,16,53,9,632,0,0,0,0,0,3,0,8,0,12,34,36,31,36,26,10,11,18,9,208,26,28,28,41,25,18,8,33,38,254,1990,5684,1712,1936,1615,684,362,714,185,14880
SED40012,47,20,180,94,82,68,32,77,6,595,0,0,0,6,3,5,0,5,0,25,15,11,26,27,13,7,17,24,8,150,14,9,45,43,20,23,45,58,57,318,746,1393,1497,1778,1044,533,614,788,176,8575
SED40013,93,26,268,122,76,60,44,79,6,780,0,3,0,4,4,0,0,4,0,23,29,45,34,35,36,11,50,46,6,297,29,33,59,30,22,17,25,44,61,329,1860,5179,2005,2140,1893,733,778,1095,232,15910
SED40014,70,12,202,74,43,55,15,69,8,534,0,0,0,6,0,0,0,4,0,5,10,16,18,24,6,0,6,11,3,101,27,14,44,39,25,20,22,38,32,264,1067,1741,1317,1394,771,479,309,595,125,7796
SED40015,77,14,192,107,56,70,32,88,10,658,0,0,0,0,0,0,0,0,0,3,17,7,16,18,10,4,4,16,0,104,83,29,53,62,35,27,34,75,49,452,1666,2140,1541,1429,919,523,418,858,146,9640
SED40016,63,18,230,92,73,57,47,79,4,667,4,0,0,0,0,0,5,3,0,16,17,22,31,45,24,16,30,26,8,227,10,21,48,45,28,13,34,34,56,294,1061,2920,1916,1987,1476,620,724,921,205,11827
SED40017,72,13,213,86,64,70,40,91,11,662,0,0,0,0,0,0,0,3,0,7,17,17,20,20,15,3,24,25,0,140,60,21,57,40,21,19,47,76,51,402,1793,1961,1970,1422,1119,508,615,964,197,10559
SED40018,67,24,197,103,79,58,20,41,6,595,0,3,0,0,0,0,0,0,7,9,30,39,22,31,30,11,9,13,3,177,30,24,39,36,26,19,16,16,44,251,1800,4717,1552,1963,1520,646,303,530,197,13222
SED40019,67,13,162,93,57,45,65,64,5,576,0,0,4,4,0,0,0,5,0,17,5,14,33,23,11,4,32,11,6,151,20,24,80,54,26,22,79,42,53,401,1010,1969,2049,1418,846,347,971,587,199,9389
SED40020,64,16,215,113,60,59,42,115,9,686,0,0,5,3,4,0,0,0,0,8,12,11,17,17,18,9,11,20,3,122,33,11,69,36,16,24,37,73,46,347,1180,1609,1679,1621,1018,540,483,932,176,9241
SED40021,93,26,306,103,77,64,28,68,5,764,3,0,0,6,0,0,0,3,0,17,24,32,14,35,30,11,15,30,9,186,29,25,32,29,27,18,22,20,43,239,1776,5030,1777,1732,1779,755,448,737,198,14224
SED40022,92,20,179,62,61,37,11,35,8,494,0,0,0,0,0,0,0,3,0,4,38,46,17,27,35,11,9,11,4,196,50,35,37,27,33,15,16,24,28,264,2644,5201,1720,1202,1356,520,263,511,173,13602
SED40023,70,14,238,103,95,67,32,69,7,698,5,0,0,4,0,4,0,0,0,13,24,28,17,24,20,5,16,18,3,161,16,12,36,18,33,19,20,23,46,231,1070,2152,2030,1832,1375,608,421,658,161,10309
SED40024,96,18,299,135,91,112,33,84,5,885,0,3,0,0,3,0,3,5,0,17,20,22,25,29,25,11,27,14,6,176,28,31,51,46,31,22,22,35,41,300,1340,2794,2281,2230,1540,754,483,735,189,12343
SED40025,102,25,303,115,81,66,25,93,14,820,5,0,0,4,3,0,0,4,0,12,29,28,24,37,13,13,12,12,3,170,43,20,47,30,38,35,19,36,46,312,2018,3762,2255,1886,1581,764,445,784,186,13673
SED40026,89,18,205,115,101,73,29,65,3,690,0,0,0,0,3,0,0,0,0,10,20,22,26,21,19,3,15,10,0,141,38,24,38,30,33,22,22,28,45,276,1638,3013,2085,1804,1721,638,430,571,168,12066
SED40027,81,22,255,107,65,61,32,61,7,698,0,0,0,0,0,0,0,0,0,8,21,20,16,16,20,12,22,7,0,147,24,21,27,22,27,19,16,35,45,231,1507,3025,1698,1348,1360,577,412,549,176,10660
SED40028,46,20,222,87,92,89,50,80,5,693,0,0,4,0,0,0,0,0,0,12,12,16,23,20,21,9,14,21,9,135,18,12,41,33,18,22,20,35,41,246,1170,2352,1941,1799,1325,634,541,674,161,10594
SED40029,109,18,199,106,64,52,32,99,9,672,0,0,0,0,0,0,4,4,0,15,17,14,19,26,13,4,11,20,5,127,94,13,48,35,32,32,41,131,54,489,2349,1678,1566,1209,937,522,524,1304,165,10259
SED40030,97,20,240,123,76,66,30,85,19,750,0,0,0,0,0,0,0,0,0,10,34,37,27,17,11,12,14,18,10,183,39,23,60,37,29,18,28,37,33,297,1691,2512,1922,1659,1210,600,392,836,181,11002
SED40031,79,14,217,80,78,53,16,45,4,587,0,0,0,0,0,0,0,0,0,11,23,40,19,17,33,13,15,16,3,179,27,20,37,23,35,33,7,22,40,252,1953,4946,1739,1482,1764,660,354,561,171,13616
SED40032,64,24,226,102,71,59,26,60,3,628,0,0,0,0,0,0,0,4,0,4,29,42,14,33,27,3,7,12,8,174,40,25,32,33,28,21,8,25,42,258,1944,4346,1604,1703,1539,670,336,539,181,12857
SED40033,83,17,221,130,61,74,31,84,11,700,4,0,0,5,0,3,0,5,0,10,23,12,11,14,13,4,17,15,3,116,38,17,57,42,23,33,38,64,41,351,1266,2144,1821,1637,974,635,517,717,120,9826
SED40034,53,4,159,73,40,28,24,80,4,469,0,0,0,0,0,0,0,0,0,3,15,8,6,18,11,7,8,9,3,86,49,11,35,28,26,17,18,57,35,282,1216,1309,1116,1118,623,356,350,652,116,6864
SED40035,67,29,237,111,92,57,41,57,9,696,0,0,0,0,3,4,0,4,0,15,19,24,26,39,21,7,21,13,3,182,13,15,37,25,34,16,22,32,52,241,1275,3217,2056,1726,1558,612,499,696,192,11833
SED40036,54,12,199,113,58,64,46,104,10,664,3,0,3,3,0,3,8,4,0,26,20,13,29,56,22,10,46,45,6,241,18,25,48,54,31,22,33,43,67,332,963,2272,1733,2148,1296,631,809,1016,238,11105
SED40037,77,16,226,97,86,53,26,65,4,648,0,0,7,0,4,0,0,0,0,14,24,37,27,20,15,5,23,18,9,171,31,33,46,32,42,23,31,41,54,328,1524,3174,2013,1654,1480,563,489,673,201,11775
SED40038,50,13,180,92,62,56,44,113,12,622,0,0,0,4,0,0,0,6,0,18,12,14,18,28,20,13,24,38,9,173,17,8,62,51,24,29,74,72,64,401,623,1293,1487,1844,1064,514,639,1009,180,8654
SED40039,55,22,261,112,83,80,25,97,8,749,4,0,0,3,6,0,0,0,0,16,10,17,16,25,18,4,28,22,12,146,25,9,42,23,26,15,32,52,37,268,859,1832,1987,2006,1220,601,507,757,179,9938
SED40040,105,29,226,101,82,70,20,105,7,749,0,0,0,0,0,0,0,0,0,3,39,29,16,18,24,14,16,37,9,194,54,24,58,40,36,22,22,49,36,332,2212,2910,2241,1449,1354,601,457,1042,152,12409
SED40041,64,6,136,87,42,53,45,51,3,489,0,0,0,0,0,0,0,0,0,8,15,8,10,23,6,0,9,11,3,82,31,10,38,51,25,25,48,81,35,341,1108,1805,1388,1456,747,344,530,615,135,8129
SED40042,71,17,222,101,72,61,54,112,18,725,0,3,0,0,0,0,0,0,0,15,9,22,22,11,19,12,20,26,10,146,29,7,44,57,35,30,73,81,45,397,883,1399,1644,1954,1144,566,739,943,196,9469
SED40043,71,15,298,125,81,55,52,70,8,762,5,0,0,0,3,0,0,0,0,8,28,29,23,62,32,10,32,48,7,273,22,23,41,37,23,25,24,31,49,278,1721,4803,1977,2294,1840,810,754,1118,239,15552
SED40044,58,17,176,60,58,44,5,42,8,455,0,0,0,0,0,0,0,0,0,6,34,61,14,22,23,14,4,0,9,188,45,35,13,16,17,14,4,0,34,180,2760,7202,1026,1126,1537,679,163,401,194,15082
SED40045,89,19,136,55,54,46,12,20,6,441,0,3,0,0,0,0,0,0,0,3,41,60,18,21,23,7,0,17,5,201,32,34,24,23,21,11,12,27,30,207,2549,6504,1456,1396,1556,570,194,393,164,14770
SED40046,67,36,317,114,92,58,45,89,4,828,0,0,0,4,3,0,4,0,0,15,24,50,33,37,35,12,22,23,11,232,35,33,24,30,35,11,20,24,36,247,1814,4938,1851,1856,1748,735,535,808,188,14475
SED40047,68,20,232,94,96,61,27,69,8,665,0,4,0,0,0,4,0,3,0,5,15,19,17,23,22,12,16,15,10,155,21,19,44,29,29,22,23,31,34,245,1353,2907,2142,1829,1593,593,517,653,200,11785
SED49494,0,3,12,6,0,0,4,3,0,30,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,9,3,0,4,5,0,0,5,8,11,29,47,114,76,58,42,28,33,71,15,489
SED49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SED50106,81,26,240,118,73,67,37,79,10,731,0,0,0,3,0,3,0,5,0,22,20,19,22,29,15,4,7,17,8,138,38,22,64,45,29,25,22,53,27,327,1423,2864,2103,1822,1128,681,562,917,131,11635
SED50202,66,20,275,166,120,87,96,126,7,968,5,0,0,0,6,4,6,10,3,25,17,27,40,32,19,10,34,28,6,202,33,19,70,45,46,34,76,64,92,489,1023,2360,2809,2318,1588,751,1237,1138,246,13473
SED50304,100,26,403,178,106,90,69,96,15,1077,0,0,3,3,0,3,5,6,0,26,36,34,22,43,19,23,29,26,12,245,43,44,69,54,46,22,28,35,66,405,2137,5859,2615,2194,2073,1041,803,1234,275,18230
SED50405,135,37,438,263,140,115,119,116,15,1376,0,3,5,0,8,3,3,4,0,24,21,30,64,46,21,20,46,29,9,291,45,31,84,72,49,31,70,67,85,539,1931,4025,4162,3070,2134,957,1284,1213,279,19047
SED50502,80,26,275,151,93,71,55,63,6,825,4,0,4,3,5,3,0,4,0,18,19,44,37,26,24,15,22,19,9,228,24,24,72,50,36,30,50,51,64,407,1518,3789,2488,1890,1666,793,742,836,216,13938
SED50605,66,21,163,92,75,54,6,24,4,505,0,0,0,0,0,0,4,4,0,8,39,51,26,27,21,17,16,12,11,208,30,48,38,18,36,28,14,19,65,297,2979,7489,1645,1317,2008,872,334,491,221,17374
SED50702,123,40,456,226,113,92,81,108,15,1257,5,6,3,3,0,6,6,7,0,24,24,43,52,36,23,13,30,18,11,250,54,50,99,62,74,28,58,58,107,579,2173,5136,3099,2215,2115,949,1085,1083,301,18152
SED50805,80,19,144,85,72,48,24,23,5,508,0,0,0,5,4,0,0,0,0,10,47,63,15,32,31,15,5,19,4,231,25,35,48,23,30,23,9,14,31,246,2885,6412,1639,1338,1719,731,284,463,160,15622
SED50906,66,20,264,124,83,77,67,100,9,799,3,5,0,9,0,0,8,6,0,29,14,44,38,27,19,4,35,18,7,205,26,24,84,37,19,24,56,62,68,393,1343,3470,2797,1846,1373,714,885,1092,191,13713
SED51004,116,53,289,184,133,104,49,94,16,1036,5,0,0,0,0,7,3,3,0,16,26,40,26,36,34,18,21,15,5,221,49,29,83,36,62,22,26,43,80,431,2197,4299,3239,2303,2144,907,685,898,244,16927
SED51104,119,40,443,247,183,121,116,123,19,1412,3,4,0,3,3,5,0,5,0,22,24,34,42,60,41,12,41,22,17,289,42,36,120,69,61,40,52,65,104,588,1779,3548,3860,2941,2023,953,1107,1213,295,17719
SED51205,115,14,565,195,114,85,154,176,13,1428,0,0,9,3,6,5,5,3,0,30,18,26,47,45,39,21,57,44,16,321,28,39,90,62,42,34,61,90,103,554,1533,4869,3169,2809,2078,999,1410,1641,335,18838
