SED_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED39494,1684,1277,239,26,9143
SED39797,5,3,0,0,170
SED40001,3572,3069,1410,561,28529
SED40002,2704,1809,896,452,22726
SED40003,3447,2587,920,240,19107
SED40004,3770,3380,1986,684,22392
SED40005,2673,2295,1004,302,15279
SED40006,2538,1533,627,247,19058
SED40007,3462,2383,1226,492,19487
SED40008,2315,1391,566,223,20681
SED40009,3190,2475,1089,309,19383
SED40010,3617,2826,1370,479,23155
SED40011,2943,2110,1041,423,21372
SED40012,2094,1264,609,282,15031
SED40013,2370,1592,740,297,22210
SED40014,3373,4245,2318,647,17271
SED40015,2671,2031,857,312,15512
SED40016,2155,1593,862,324,17829
SED40017,3047,2218,940,301,16649
SED40018,3031,2790,1486,706,20703
SED40019,2646,1654,833,260,15755
SED40020,2869,2371,1148,367,16055
SED40021,2652,1972,1332,662,21106
SED40022,4056,3292,1266,333,20310
SED40023,2546,2073,995,330,16326
SED40024,2869,2086,1025,433,19269
SED40025,2971,2336,1036,303,19616
SED40026,3104,1788,818,271,17157
SED40027,2457,2208,1075,420,16483
SED40028,2426,1632,863,350,16067
SED40029,2922,2218,1043,318,16513
SED40030,3553,3111,1379,383,18677
SED40031,2997,2231,1217,306,19457
SED40032,2935,2485,1232,501,19194
SED40033,2384,1894,914,335,15232
SED40034,2865,2732,1344,417,14005
SED40035,2328,2211,1458,561,18285
SED40036,1938,1155,455,142,16256
SED40037,3381,2207,744,251,17854
SED40038,2027,1316,643,308,15068
SED40039,2215,1944,989,277,16204
SED40040,3578,2653,1055,314,18513
SED40041,2677,1881,924,237,14229
SED40042,1807,1189,569,200,15757
SED40043,2462,1887,1008,329,22476
SED40044,3626,3301,1667,743,22678
SED40045,3799,3168,1721,496,21763
SED40046,2559,1511,670,228,19809
SED40047,2697,2062,744,186,16949
SED49494,345,212,26,9,1909
SED49797,0,0,0,0,9
SED50106,3428,2744,1346,498,18875
SED50202,2921,1971,970,297,22322
SED50304,2814,1860,942,382,25322
SED50405,2782,1472,750,149,26603
SED50502,3021,1977,849,233,20486
SED50605,4343,3597,1658,554,26006
SED50702,3150,2027,938,383,26525
SED50805,3823,2689,1399,728,22829
SED50906,3458,2458,1111,407,21405
SED51004,4028,1764,698,211,23201
SED51104,3135,1811,1005,359,26139
SED51205,2874,2095,974,304,27790
SED51304,3904,3737,1700,415,23858
SED51401,3044,2474,1124,352,16520
SED51504,4042,2741,1603,743,26528
SED51605,3058,1618,630,174,24273
SED51706,3615,2632,1166,359,20857
SED51804,4794,3884,2389,1018,27561
SED51902,3457,2166,886,194,22600
SED52006,3858,3543,1876,492,20705
SED52102,2725,1790,801,254,19533
SED52205,4185,2891,1166,439,25802
SED52301,2945,1890,880,370,18164
SED52404,3886,2825,993,232,22599
SED52505,3629,2181,650,148,29578
SED52604,4350,2619,955,336,22633
SED52702,4047,3397,1831,574,21644
SED52803,2517,1150,368,100,17505
SED52903,2335,1123,291,60,16135
SED53004,3605,2928,1146,384,21908
SED53105,2469,1407,539,200,22774
SED53204,2801,1522,586,194,22642
SED53306,3258,2660,1695,746,21293
SED53402,3268,2196,923,345,25670
SED53502,3329,2285,1194,541,22964
SED53602,2475,1730,839,278,20111
SED53701,3587,2956,1270,263,17872
SED53802,2904,2179,1155,329,23247
SED53902,3426,2450,1381,683,24757
SED54006,3484,2674,1237,383,19751
SED54104,4374,3801,2091,720,30539
SED54203,1702,913,307,55,11600
SED54304,4034,2334,838,274,36702
SED54403,2946,720,145,18,24996
SED54505,3840,3176,1576,485,25120
SED54605,3621,2593,1487,570,20327
SED54701,2763,1904,1020,302,16454
SED54804,3404,2296,1329,614,27671
SED54905,3956,3175,1536,742,26861
SED55005,2834,1732,695,229,23683
SED55102,3317,1943,708,116,22401
SED55202,2820,2095,1150,448,21849
SED55306,3835,3274,1576,452,22551
SED55405,2955,1927,1020,661,29606
SED55504,3114,1907,874,284,23369
SED55605,3472,1561,690,208,22729
SED55706,4326,3738,1573,425,22276
SED55802,3048,1531,706,221,24415
SED55905,3161,2130,1171,561,21136
SED59494,876,505,105,20,5668
SED59797,48,15,0,0,428
SED60105,1776,1431,850,364,12450
SED60106,691,593,288,124,3443
SED60113,3566,2817,1332,400,19616
SED60115,2712,2059,1048,282,17978
SED60207,2998,2649,1297,419,17733
SED60208,2814,2086,1013,255,15067
SED60209,3288,2386,1172,362,17519
SED60301,1019,640,457,153,7289
SED60302,2317,1646,816,358,19022
SED60303,3339,2638,1108,395,23667
SED60304,36,27,14,0,216
SED60310,2049,1956,934,346,13555
SED60404,3772,2960,1233,292,19269
SED60410,1071,1017,611,194,8811
SED60411,2634,2294,1381,585,17546
SED60414,2258,1525,567,116,13327
SED60501,1407,1007,435,100,8533
SED60505,870,604,309,79,4796
SED60506,2830,2450,1098,241,14227
SED60508,580,391,144,31,2622
SED60512,3125,2503,998,253,16370
SED60514,824,646,296,71,5029
SED69494,137,108,14,3,760
SED69797,0,0,0,0,14
SED70001,327,107,13,0,2161
SED70002,696,335,92,17,5353
SED70003,343,111,26,0,2899
SED70004,462,218,50,5,2999
SED70005,442,217,60,17,4162
SED70006,756,409,100,16,4698
SED70007,468,207,60,32,4323
SED70008,624,420,184,61,5412
SED70009,731,527,151,9,3885
SED70010,581,308,82,22,4100
SED70011,682,447,202,66,4892
SED70012,665,305,97,16,5017
SED70013,922,579,156,16,4886
SED70014,369,110,16,3,2396
SED70015,570,374,184,20,4604
SED70016,612,358,96,20,3799
SED70017,639,341,95,20,4398
SED70018,414,150,24,0,2997
SED70019,680,295,110,45,4029
SED70020,791,400,154,27,4734
SED70021,662,444,144,30,5437
SED70022,840,424,115,13,7811
SED70023,607,381,149,29,4041
SED70024,496,195,54,10,5762
SED70025,648,362,131,29,5131
SED79494,441,228,30,0,2351
SED79797,12,0,0,0,71
SED80001,7555,4973,1836,539,43216
SED80002,6377,5180,2753,845,54725
SED80003,7155,5041,2392,1040,58672
SED80004,7346,5877,3721,1299,53559
SED80005,5616,3513,1360,220,54719
SED89494,64,24,8,4,368
SED89797,0,0,0,0,0
SED99191,471,330,133,34,2605
SED99494,3,0,0,0,11
SED99797,0,0,0,0,0
