SED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED24408,9,33,0,442,12,3,0,8,0,9,6,5,3,17,221,283,8,5,3,14,6,3,0,5,3,66,67,188,1412,410,80,1202,135,552,96,539,110,2576,348,7469
SED24504,3,74,0,986,3,3,4,7,0,10,0,4,9,42,212,295,11,3,6,0,0,3,3,6,4,52,35,121,1390,454,65,1049,166,749,112,663,125,2752,274,7797
SED24606,18,277,7,1984,8,0,0,0,3,7,0,4,0,19,163,210,8,5,4,10,4,6,0,4,3,19,22,80,1801,357,30,914,108,612,56,590,69,1815,210,6574
SED24703,10,118,3,2927,6,0,5,5,11,8,7,8,7,3,441,502,3,9,7,0,0,5,0,0,0,11,51,78,4827,1363,131,2398,351,1790,243,1143,196,2047,524,15014
SED24808,3,17,0,375,5,0,0,4,6,10,0,10,3,17,206,268,9,0,5,8,0,0,5,0,4,55,74,165,1711,289,59,972,174,905,63,513,108,2547,340,7681
SED24904,6,38,0,316,9,0,0,6,3,7,3,6,5,21,252,318,13,3,11,9,0,3,0,4,3,75,100,231,1396,365,87,1014,122,621,77,488,105,2556,417,7252
SED25003,0,10,0,272,3,0,0,6,0,9,3,4,0,14,125,161,5,0,3,5,4,0,0,0,0,26,36,93,1201,205,38,829,121,647,63,423,77,1799,197,5600
SED25102,6,27,0,610,8,0,0,4,0,9,0,4,5,23,146,195,7,0,5,8,0,5,0,3,0,25,23,73,1248,321,38,995,129,588,70,524,97,1889,180,6071
SED25205,6,23,0,782,3,0,0,3,0,0,6,4,0,8,129,164,4,0,3,3,3,0,0,3,4,35,30,86,1573,252,34,858,118,557,67,426,74,2026,183,6163
SED25302,3,119,7,891,4,0,4,5,3,5,0,3,5,27,160,218,7,4,8,8,0,0,0,5,0,73,40,146,941,345,55,857,98,540,71,663,90,3646,243,7541
SED25402,7,33,0,438,12,0,5,8,6,7,0,7,8,29,242,322,4,7,0,9,4,3,0,4,3,73,50,168,1162,269,68,1069,131,671,88,601,147,3007,344,7561
SED25501,6,59,3,591,0,0,0,0,0,0,0,0,5,20,167,202,0,3,5,0,0,0,0,4,0,40,18,77,862,281,26,537,73,508,27,417,60,2906,227,5916
SED25605,3,34,4,399,8,0,4,0,0,8,4,6,3,29,160,216,5,0,0,3,0,5,4,3,0,44,49,107,930,285,28,648,86,506,42,452,73,2892,256,6195
SED25704,0,29,6,297,6,3,0,8,0,18,0,11,8,28,243,329,12,4,5,10,3,0,3,3,15,89,66,212,1353,400,105,1213,143,620,89,587,121,2994,391,8018
SED25802,7,37,0,545,15,3,0,6,3,8,3,5,4,42,235,331,14,5,4,7,0,10,0,7,0,83,71,208,1532,422,84,1246,144,737,108,676,143,3467,375,8937
SED25905,0,13,0,281,9,0,3,0,4,9,0,4,6,15,127,180,8,0,0,3,0,4,0,0,0,41,40,99,1210,221,27,789,106,696,46,443,73,1994,204,5803
SED26005,0,9,0,279,13,4,10,0,0,8,0,0,8,14,123,179,8,0,9,4,0,0,0,4,0,36,44,97,1253,238,52,777,107,699,52,388,59,1736,188,5551
SED26102,12,191,5,988,0,3,0,3,4,19,5,14,3,39,247,349,4,4,6,9,4,4,0,3,3,87,82,214,998,571,89,1017,134,645,117,853,188,4499,413,9517
SED26207,3,23,0,619,8,0,5,4,0,0,0,5,0,30,126,184,5,5,4,5,4,3,0,3,0,56,50,130,1172,214,40,612,104,468,52,403,72,2684,215,6042
SED26303,6,24,0,1429,5,6,8,0,13,4,4,0,5,10,178,225,0,0,5,0,3,0,0,0,0,17,22,42,2416,380,53,1168,159,533,87,419,64,1360,224,6852
